Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.3319604	0.026516056	-0.17870986	-0.3785649	16000	6.3329935e-08	0.12021929	-0.00597437	-0.10905363	1.3564423	0.006509027	0.03725	127.0	36.00498151779175	0.31172964	0.2693867	1.4849737	0.05005609	0.0	0.0
1	500.0	-0.010757063	0.0058052563	0.034377404	-0.036661334	32000	4.656613e-08	0.020990167	-0.0061121183	-0.012490489	1.3564423	0.0052042436	0.054250002	127.0	67.64073419570923	0.58086324	0.44321227	2.058197	0.08095567	0.0	0.0
2	500.0	0.10112647	0.01330666	0.13407473	0.05981487	48000	3.7252903e-09	0.02959388	-0.0053669848	-0.0095300535	1.3564423	0.0061939824	0.0448125	127.0	98.13426208496094	0.9525257	0.6705595	3.4077783	0.28775433	0.0	0.0
3	500.0	0.18981981	0.0203045	0.25939548	0.11087395	64000	7.450581e-09	0.21331893	-0.0068479767	-0.10296768	1.3564423	0.008554581	0.0680625	127.0	127.53333044052124	2.2198348	1.5881665	5.5012674	0.225926	0.0	0.0
4	500.0	0.54032606	0.12532516	0.8613446	0.07777148	80000	-1.4901161e-08	0.40813762	-0.005901482	-0.19679502	1.3564423	0.00412328	0.0559375	127.0	159.32826685905457	3.8827667	2.0917995	9.547874	1.0361621	0.0	0.0
5	500.0	0.9980215	0.4130122	1.8605201	0.07861499	96000	-2.2351742e-08	0.8291328	-0.0076528187	-0.32294905	1.3564423	0.0073133833	0.085125	127.0	189.0500693321228	6.154857	3.1072538	17.070778	1.6069398	0.0	0.0
6	500.0	1.7168169	0.68398565	2.8726172	0.06574662	112000	-1.4901161e-08	0.9534742	-0.007975381	-0.27306455	1.3564423	0.007409808	0.0905	127.0	223.79384636878967	8.165642	3.5731301	18.155014	2.989006	0.0	0.0
7	500.0	2.2939785	1.0714678	4.133887	-0.22434846	128000	5.8673322e-08	2.4198833	-0.00922207	-1.1399376	1.3564423	0.007904926	0.0919375	127.0	257.50246024131775	13.2722225	5.005795	27.223688	5.4873247	0.0	0.0
8	500.0	3.4935052	1.5076591	5.411743	-0.3607065	144000	-1.1175871e-08	2.5021973	-0.009624088	-1.1669428	1.3564423	0.007820198	0.087375	127.0	288.85450053215027	18.503521	4.412166	28.530516	10.570835	0.0	0.0
9	500.0	4.729106	1.734002	6.677417	-0.1308716	160000	-3.7252903e-09	2.0283155	-0.010086583	-0.5832312	1.3564423	0.007334168	0.0876875	127.0	320.8316345214844	22.301304	4.399935	32.90033	10.240662	0.0	0.0
10	500.0	5.5915637	1.6408272	7.273763	0.51878786	176000	-9.313226e-10	1.3433838	-0.010153642	-0.14559528	1.3564423	0.0068426346	0.069375	127.0	353.4984173774719	24.203396	3.3501582	30.717	15.831728	0.0	0.0
11	500.0	5.894207	1.484548	7.325693	0.939835	192000	-2.2351742e-08	2.8766215	-0.008707275	-0.46633035	1.3564423	0.0066568227	0.074562505	127.0	387.8302311897278	27.637386	5.354149	49.521324	14.09892	0.0	0.0
12	500.0	6.6460824	1.5519099	7.9579277	1.2100121	208000	0.0	1.1090492	-0.008774212	-0.07609726	1.3564423	0.0059833154	0.0594375	127.0	418.7753791809082	29.177681	3.4610095	37.226025	21.94106	0.0	0.0
13	500.0	6.962507	1.5462358	8.189699	1.2782748	224000	-2.4214387e-08	3.6017194	-0.00871393	-0.23847717	1.3564423	0.00745696	0.073750004	127.0	448.95906710624695	31.831205	7.1596813	54.93147	15.73811	0.0	0.0
14	500.0	7.3710203	1.5501	8.586617	1.6421123	240000	0.0	2.6417322	-0.008175822	-0.2620538	1.3564423	0.0056134546	0.0684375	127.0	478.68456172943115	33.835293	6.367292	54.56209	21.390594	0.0	0.0
15	500.0	7.8207707	1.6112105	9.063197	1.7467202	256000	-2.9802322e-08	7.495521	-0.007541605	-0.72312874	1.3564423	0.004964497	0.05125	127.0	509.1581151485443	37.373817	11.324714	76.23362	26.545351	0.0	0.0
16	500.0	8.546795	1.6454034	9.873408	2.406604	272000	5.5879354e-09	3.0260525	-0.007978812	-0.19011027	1.3564423	0.0077168187	0.059625	127.0	539.5820510387421	35.64144	6.600471	60.79831	19.952835	0.0	0.0
17	500.0	8.379017	1.5117631	9.53983	2.6440272	288000	7.450581e-09	3.2301416	-0.0070438962	-0.12817797	1.3564423	0.005346726	0.0505625	127.0	572.7596039772034	36.654278	7.5040236	63.54999	24.311964	0.0	0.0
18	500.0	8.434783	1.5185826	9.700127	2.5513499	304000	7.450581e-09	5.164581	-0.006253954	-0.099543706	1.3564423	0.0070383395	0.056562502	127.0	605.798552274704	37.42368	9.511376	79.40357	21.93886	0.0	0.0
19	500.0	8.618504	1.5751117	9.786876	2.5620668	320000	0.0	9.259388	-0.007488154	-0.80248	1.3564423	0.008561902	0.083625	127.0	640.6009433269501	40.663162	13.7635565	91.52113	29.196758	0.0	0.0
20	500.0	9.204755	1.8258086	10.827081	2.2088284	336000	7.450581e-09	1.6537242	-0.008404025	-0.15067895	1.3564423	0.006553589	0.0620625	127.0	675.8890767097473	38.96662	5.502299	57.87864	29.408487	0.0	0.0
21	500.0	9.016674	1.657323	10.741509	2.9071152	352000	-2.6077032e-08	1.5404848	-0.008140791	-0.63769424	1.3564423	0.005265742	0.0573125	127.0	726.9572560787201	35.174767	3.882002	42.274742	26.91017	0.0	0.0
22	500.0	8.3572445	1.5368382	9.870413	2.9757879	368000	7.450581e-09	0.9911073	-0.008279801	-0.12139705	1.3564423	0.006882963	0.06275	127.0	771.418271780014	35.7078	4.2248206	44.722885	29.073605	0.0	0.0
23	500.0	8.316475	1.4577827	9.818898	3.063537	384000	3.7252903e-09	0.95005536	-0.008260611	-0.0922729	1.3564423	0.0064710425	0.0680625	127.0	809.2261862754822	36.16034	3.8050988	43.454685	28.601028	0.0	0.0
24	500.0	8.424543	1.4582542	9.75922	3.0563033	400000	0.0	6.654395	-0.006687219	-1.0505322	1.3564423	0.0063253944	0.052500002	127.0	842.13818359375	40.96227	11.192872	97.062805	30.706106	0.0	0.0
25	500.0	9.136434	1.7227168	10.630398	2.6394384	416000	0.0	6.681669	-0.0066431565	-0.252687	1.3564423	0.0062686573	0.066875	127.0	876.5423979759216	41.086845	12.250385	103.7465	28.898035	0.0	0.0
