Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.28627312	0.0300777	-0.15544094	-0.34098315	16000	1.44355e-07	0.07391253	-0.0070557883	-0.06990326	1.3564423	0.0071452027	0.0606875	127.0	37.394885540008545	0.11204221	0.057869647	0.28716624	0.046642613	0.0	0.0
1	500.0	-0.04366256	0.024447303	0.025698781	-0.07774708	32000	-2.0489097e-08	0.002942002	-0.0076970696	-0.0026765475	1.3564423	0.00611646	0.06375	127.0	76.15159845352173	0.095381476	0.043873835	0.1913419	0.03529363	0.0	0.0
2	500.0	0.0156232165	0.015345274	0.05166482	-0.029395256	48000	0.0	0.0005105509	-0.009667717	-0.00016567452	1.3564423	0.0070985276	0.088125005	127.0	111.12955117225647	0.14023417	0.07851948	0.37626907	0.04226185	0.0	0.0
3	500.0	0.02398333	0.009767403	0.057313494	-0.006223984	64000	-5.5879354e-09	0.0018413026	-0.0060223797	-0.0006619053	1.3564423	0.007213984	0.0564375	127.0	148.77254581451416	0.25217873	0.16335592	0.69722	0.07085523	0.0	0.0
4	500.0	0.042916562	0.012138238	0.080407456	0.009577118	80000	-3.3527613e-08	0.006329738	-0.005481107	-0.0035455897	1.3564423	0.004357184	0.045937497	127.0	186.93516731262207	0.49736917	0.24721499	1.0247253	0.09905374	0.0	0.0
5	500.0	0.0986947	0.01507142	0.1572938	0.042079546	96000	1.4901161e-08	0.028814849	-0.007929766	-0.016930565	1.3564423	0.005758108	0.069375	127.0	224.85494470596313	1.0059159	0.5181241	2.4442134	0.13211545	0.0	0.0
6	500.0	0.25076425	0.077169724	0.43727756	0.048731595	112000	2.2351742e-08	0.039457224	-0.007904811	-0.01511025	1.3564423	0.0067431936	0.083749995	127.0	261.641587972641	1.4766259	0.7177489	3.4865506	0.6142758	0.0	0.0
7	500.0	0.37921256	0.15555862	0.70372915	-0.014931738	128000	0.0	0.39195457	-0.005689428	-0.19282675	1.3564423	0.007830773	0.073750004	127.0	297.09441781044006	3.154858	2.1979089	8.786456	0.73531324	0.0	0.0
8	500.0	0.85191137	0.41088358	1.632797	-0.2566903	144000	1.1175871e-08	1.6871948	-0.007023287	-0.95863473	1.3564423	0.008232381	0.077250004	127.0	336.22094535827637	7.20438	4.06098	16.957556	1.979718	0.0	0.0
9	500.0	1.9232408	0.9978509	3.621281	-0.4504078	160000	1.8626451e-09	2.4615216	-0.008459307	-1.350369	1.3564423	0.0050387518	0.073437504	127.0	374.70973014831543	12.11576	4.366955	21.304405	0.799169	0.0	0.0
10	500.0	3.2925735	1.5599041	5.3947845	-0.41881755	176000	-3.7252903e-09	1.5232747	-0.008516813	-0.5486226	1.3564423	0.005553957	0.073125005	127.0	412.98567819595337	15.332026	3.3009458	23.28087	8.594573	0.0	0.0
11	500.0	4.157236	1.840879	6.515492	-0.13531491	192000	4.1909516e-09	1.7251203	-0.008843824	-0.5674838	1.3564423	0.006522883	0.085062504	127.0	453.6622459888458	18.990475	4.0155005	28.04533	9.3377495	0.0	0.0
12	500.0	4.9300594	1.9733914	7.2945914	0.27347407	208000	0.0	2.3186727	-0.01036131	-0.6730808	1.3564423	0.006499562	0.0878125	127.0	491.6341471672058	22.863953	5.297768	33.509445	11.326987	0.0	0.0
13	500.0	5.8657517	2.1244235	8.147402	0.5044847	224000	2.7939677e-09	2.0843382	-0.011907081	-0.512184	1.3564423	0.007434788	0.100875005	127.0	529.7395815849304	26.611843	4.6006722	33.85193	12.942842	0.0	0.0
14	500.0	6.587171	2.1699386	8.6934	0.7127894	240000	-7.450581e-09	2.1699672	-0.009035846	-0.21046245	1.3564423	0.00653774	0.0625	127.0	567.3362770080566	27.157907	6.53763	35.181667	3.1600275	0.0	0.0
15	500.0	6.860923	2.2773087	9.04527	0.47169	256000	7.450581e-09	2.766478	-0.009467035	-0.2732439	1.3564423	0.006519855	0.07025	127.0	607.815024137497	26.75487	7.5520597	38.627495	6.9669604	0.0	0.0
16	500.0	6.900736	2.344537	9.140001	0.29731712	272000	1.4901161e-08	1.4547372	-0.010679809	-0.23250526	1.3564423	0.0073247924	0.08050001	127.0	646.1152534484863	29.66425	4.961496	40.254005	20.820112	0.0	0.0
17	500.0	7.431746	2.2195835	9.264672	0.7060792	288000	-1.1175871e-08	1.6170738	-0.008245675	-0.051478617	1.3564423	0.006375112	0.055625	127.0	684.8155808448792	30.497917	4.6148486	39.118042	16.617226	0.0	0.0
18	500.0	7.5612745	2.1710541	9.227232	0.6889971	304000	-1.4901161e-08	4.1936655	-0.008059027	-0.22694427	1.3564423	0.006423892	0.063125	127.0	726.2664089202881	30.283432	9.480847	73.36411	14.2567625	0.0	0.0
19	500.0	7.4698915	2.149156	9.060361	0.7570772	320000	-1.4901161e-08	1.7574971	-0.008299162	-0.07309262	1.3564423	0.006946868	0.0595	127.0	763.5992832183838	31.037596	5.920935	40.131664	20.797049	0.0	0.0
20	500.0	7.615609	1.9921871	9.099111	1.1306717	336000	5.5879354e-09	1.6824244	-0.009268297	-0.38083443	1.3564423	0.006042311	0.0695	127.0	802.2819421291351	34.979664	4.694762	42.805553	21.537952	0.0	0.0
21	500.0	8.167677	2.0127633	9.588659	1.192057	352000	1.4901161e-08	2.3149564	-0.009161899	-0.20885383	1.3564423	0.0068538743	0.06125	127.0	842.0482816696167	35.759895	6.936427	46.912243	20.416384	0.0	0.0
22	500.0	8.293579	2.2985592	10.00147	1.3899312	368000	-7.916242e-09	1.3008199	-0.008390005	-0.11637162	1.3564423	0.0050423453	0.059125002	127.0	879.0085618495941	33.852222	5.9854283	43.086857	19.143423	0.0	0.0
23	500.0	8.43726	2.2292278	10.046349	1.0499667	384000	2.7939677e-09	1.5016519	-0.007879786	-0.22926173	1.3564423	0.0046001375	0.059562497	127.0	917.3101260662079	37.845276	5.6811595	47.37126	22.618809	0.0	0.0
24	500.0	8.927404	2.1312215	10.348406	1.8358763	400000	-1.5832484e-08	0.93371475	-0.00855609	-0.046453934	1.3564423	0.0077339956	0.0595	127.0	956.460452079773	36.93811	5.0288734	47.316284	25.984268	0.0	0.0
25	500.0	8.708156	2.2528403	10.251317	1.4352776	416000	9.313226e-09	0.76613814	-0.0092433	-0.052908972	1.3564423	0.0070787696	0.0713125	127.0	993.6124904155731	37.50861	4.893287	47.17096	25.079525	0.0	0.0
26	500.0	9.071229	2.1740077	10.504581	1.8059127	432000	1.8626451e-09	1.0877337	-0.0085276235	-0.13698632	1.3564423	0.005716534	0.058125	127.0	1034.870773077011	40.150383	5.687786	46.76465	16.70363	0.0	0.0
27	500.0	9.441058	2.0212202	10.82116	2.377189	448000	5.5879354e-09	0.82092905	-0.0075913686	-0.2940241	1.3564423	0.0049492405	0.0666875	127.0	1072.6615431308746	42.893196	2.990983	49.353123	35.347504	0.0	0.0
