Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.28553256	0.029965755	-0.15334412	-0.34092712	16000	-5.5879354e-09	0.07207632	-0.007388196	-0.06808928	1.3564423	0.00717957	0.061125003	127.0	45.229737281799316	0.09861834	0.06512591	0.28732288	0.029533133	0.0	0.0
1	500.0	-0.04607934	0.023998115	0.021753706	-0.08047033	32000	1.8626451e-09	0.0031010243	-0.00789902	-0.0027979307	1.3564423	0.0067975465	0.067375	127.0	81.83693099021912	0.09123646	0.05279856	0.24169345	0.018456504	0.0	0.0
2	500.0	0.0141365165	0.015706021	0.05463621	-0.028497778	48000	-1.1175871e-08	0.00045922876	-0.009140665	-0.00013457947	1.3564423	0.0067598545	0.083812505	127.0	119.80633115768433	0.11918865	0.07935555	0.34891182	0.034906413	0.0	0.0
3	500.0	0.021123223	0.008911486	0.05087135	-0.00840012	64000	4.4703484e-08	0.001266869	-0.0048843203	-0.0004107593	1.3564423	0.0063440003	0.053375002	127.0	153.48509311676025	0.20035863	0.13679494	0.76960844	0.04571878	0.0	0.0
4	500.0	0.033392135	0.012562208	0.069705926	-0.0015071854	80000	2.9802322e-08	0.0035291817	-0.0056837182	-0.0017960239	1.3564423	0.0043437984	0.0470625	127.0	186.84011483192444	0.36634856	0.19738854	0.9254237	0.07798333	0.0	0.0
5	500.0	0.0713049	0.012094126	0.102980584	0.015620872	96000	4.656613e-08	0.016493732	-0.00789694	-0.008772917	1.3564423	0.0061011123	0.068375	127.0	222.7952058315277	0.74652207	0.4519578	1.8970181	0.1469818	0.0	0.0
6	500.0	0.18141991	0.04524645	0.3344927	0.03901513	112000	-1.8626451e-09	0.010136027	-0.0065895664	-0.0043617664	1.3564423	0.005514096	0.0628125	127.0	255.77126908302307	0.98491514	0.41553998	1.903691	0.27798826	0.0	0.0
7	500.0	0.22974306	0.069041364	0.41085988	0.04055436	128000	-1.4901161e-08	0.012944934	-0.008693773	-0.0049908296	1.3564423	0.00827194	0.0996875	127.0	290.39481258392334	1.0589024	0.52649665	2.336787	0.41492757	0.0	0.0
8	500.0	0.25790435	0.08050949	0.49183193	0.04160563	144000	3.7252903e-09	0.014337689	-0.0073039015	-0.008062721	1.3564423	0.008895266	0.088375	127.0	325.7244031429291	1.1996818	0.61056894	2.3740711	0.5467427	0.0	0.0
9	500.0	0.37959918	0.16905296	0.79646313	-0.0035305247	160000	-3.7252903e-09	0.015817767	-0.011403592	-0.0063666804	1.3564423	0.0077085523	0.1011875	127.0	363.04196310043335	1.7783157	0.7401041	3.2416863	0.5669426	0.0	0.0
