Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.32638192	0.026598731	-0.1735952	-0.37351525	16000	1.3411045e-07	0.11704749	-0.0059527876	-0.10618496	1.3564423	0.0066451216	0.0379375	127.0	34.31284523010254	0.31114584	0.2690585	1.4834561	0.04982471	0.0	0.0
1	500.0	-0.009574816	0.0059513547	0.036012247	-0.036102377	32000	1.8626451e-08	0.019332496	-0.006139421	-0.0113858245	1.3564423	0.005326566	0.056625	127.0	72.398184299469	0.55954695	0.42987162	2.0203273	0.07806764	0.0	0.0
2	500.0	0.09705625	0.013787992	0.13026144	0.054310635	48000	-3.7252903e-09	0.028179243	-0.005424539	-0.009066837	1.3564423	0.0062355218	0.0456875	127.0	110.04774713516235	0.9254165	0.6566316	3.3406203	0.28370112	0.0	0.0
3	500.0	0.1839882	0.019551922	0.24993917	0.10524156	64000	2.9802322e-08	0.20814097	-0.006798405	-0.1008041	1.3564423	0.008322567	0.067	127.0	145.81721138954163	2.1912892	1.5625495	5.3370767	0.25687003	0.0	0.0
4	500.0	0.52693874	0.12145207	0.8376736	0.07886894	80000	2.2351742e-08	0.39359432	-0.00578945	-0.19019186	1.3564423	0.0041421787	0.055499997	127.0	179.826922416687	3.7923489	2.077065	9.407215	1.0193855	0.0	0.0
5	500.0	0.9733896	0.40660936	1.8230497	0.069526896	96000	1.4901161e-08	0.83989245	-0.0075943256	-0.33148175	1.3564423	0.007329266	0.085125	127.0	214.18469309806824	6.1079216	3.1297112	17.130997	1.5605983	0.0	0.0
6	500.0	1.7000446	0.6803067	2.8521826	0.060030833	112000	1.4901161e-08	0.97097933	-0.008024518	-0.28447372	1.3564423	0.007376995	0.0900625	127.0	248.29436111450195	8.190013	3.572266	18.321232	3.0882616	0.0	0.0
7	500.0	2.2995577	1.0758989	4.1428843	-0.23210683	128000	-2.4214387e-08	2.451835	-0.009169305	-1.1518042	1.3564423	0.007890187	0.0896875	127.0	284.21383237838745	13.336733	5.0177436	26.845167	5.58817	0.0	0.0
8	500.0	3.5082579	1.5228084	5.493826	-0.36417323	144000	1.6763806e-08	2.3654952	-0.00906571	-1.0163376	1.3564423	0.008006246	0.087	127.0	321.69012475013733	18.212507	4.4871616	28.162842	10.599094	0.0	0.0
9	500.0	4.668838	1.7311279	6.6001253	-0.12556678	160000	-4.0978193e-08	2.0852637	-0.010504331	-0.67374337	1.3564423	0.008279886	0.0963125	127.0	354.55504298210144	22.429176	4.1523876	28.74365	9.8895645	0.0	0.0
10	500.0	5.638251	1.682718	7.306848	0.46549952	176000	-8.1490725e-09	1.4808754	-0.009821126	-0.15002394	1.3564423	0.0068150926	0.066375	127.0	391.2635827064514	24.477245	3.5740213	31.180773	16.001322	0.0	0.0
11	500.0	5.9548354	1.520937	7.342829	0.8793287	192000	4.0978193e-08	1.7777084	-0.009254023	-0.28738654	1.3564423	0.0062513268	0.071625	127.0	425.1615879535675	27.314438	3.8805032	35.645405	13.360256	0.0	0.0
12	500.0	6.53284	1.5065262	7.7246556	1.1907804	208000	1.4901161e-08	1.1870712	-0.0074958154	-0.148793	1.3564423	0.005951597	0.054250002	127.0	461.6114604473114	29.329367	3.247528	39.364605	24.859455	0.0	0.0
13	500.0	6.961995	1.5460265	8.10124	1.1877207	224000	2.2351742e-08	1.8194817	-0.0094911195	-0.10262671	1.3564423	0.007206126	0.068	127.0	499.63707304000854	30.700897	4.782776	40.268467	18.202147	0.0	0.0
14	500.0	7.19856	1.4420028	8.156102	1.6104714	240000	-6.519258e-09	1.7068439	-0.009640537	-0.25051415	1.3564423	0.006167358	0.079625	127.0	537.1999952793121	33.26307	3.9023209	41.70263	22.57269	0.0	0.0
15	500.0	7.6945453	1.48704	8.690995	1.8328562	256000	1.8626451e-08	2.6838264	-0.008259745	-0.25049174	1.3564423	0.0058760373	0.065500006	127.0	589.4175503253937	35.438522	5.9229984	57.29705	25.090544	0.0	0.0
16	500.0	8.150287	1.475278	9.029541	2.299043	272000	-1.8626451e-08	2.2973788	-0.008375544	-0.038681097	1.3564423	0.0055648806	0.060624998	127.0	648.5672519207001	36.12701	5.3041515	54.413235	25.736832	0.0	0.0
17	500.0	8.341387	1.4440677	9.169482	2.4684546	288000	7.450581e-09	3.1625323	-0.007923676	-0.21573964	1.3564423	0.0070994473	0.063812494	127.0	704.7279539108276	38.00995	6.3797364	61.845226	29.041475	0.0	0.0
18	500.0	8.700186	1.5903574	9.726207	2.385589	304000	-7.450581e-09	1.6605606	-0.008530603	-0.24719885	1.3564423	0.007315291	0.068875	127.0	748.6649425029755	35.4913	4.2945156	50.971138	24.85726	0.0	0.0
19	500.0	8.332557	1.4667826	9.278743	2.5996726	320000	-2.9802322e-08	7.4473543	-0.008568572	-1.2066202	1.3564423	0.007571672	0.0813125	127.0	783.3886053562164	41.765606	10.861325	85.6547	29.174847	0.0	0.0
20	500.0	9.366772	1.7350804	10.376701	2.7017224	336000	-7.450581e-09	1.5080283	-0.0086669	-0.11775699	1.3564423	0.0073122503	0.064624995	127.0	821.419682264328	39.427414	4.3190084	48.305084	31.215006	0.0	0.0
21	500.0	9.151333	1.5279213	10.091804	2.9982424	352000	2.6077032e-08	1.4662406	-0.007484147	-0.11048235	1.3564423	0.005636288	0.049875	127.0	855.023095369339	38.251053	5.1470957	49.121944	26.032484	0.0	0.0
22	500.0	8.953968	1.5575128	9.893684	3.0991464	368000	0.0	1.045753	-0.008033673	-0.071682185	1.3564423	0.0057288976	0.0593125	127.0	899.3507740497589	37.68895	3.7392333	44.527813	30.951765	0.0	0.0
23	500.0	8.733007	1.4675292	9.624703	3.0818803	384000	0.0	1.2808203	-0.008595115	-0.03298323	1.3564423	0.008410037	0.071624994	127.0	941.9442727565765	38.45362	3.9110787	47.31851	30.734396	0.0	0.0
24	500.0	8.813284	1.4556482	9.667666	3.068865	400000	-1.6763806e-08	2.434208	-0.009234395	-0.26517224	1.3564423	0.0073051583	0.074375	127.0	981.5431218147278	40.632153	5.9206853	57.42649	25.039028	0.0	0.0
25	500.0	9.209029	1.6846572	10.192938	2.6644804	416000	4.0978193e-08	9.441761	-0.0058705197	-0.7666731	1.3564423	0.0075275726	0.0454375	127.0	1017.8826155662537	43.54387	12.611306	95.003044	30.051035	0.0	0.0
26	500.0	9.974201	1.8353904	10.90219	2.6668794	432000	-1.4901161e-08	4.9253	-0.007373108	-0.05034817	1.3564423	0.008178021	0.069625	127.0	1058.6145341396332	43.142662	9.556835	82.86401	30.029686	0.0	0.0
27	500.0	9.979263	1.7735473	10.894523	3.1568704	448000	2.2351742e-08	22.567257	-0.0058040675	-1.489326	1.3564423	0.008402075	0.0693125	127.0	1094.8456768989563	48.933163	21.640306	110.34132	28.113688	0.0	0.0
28	500.0	11.05934	2.0607808	12.058954	3.2056303	464000	2.9802322e-08	14.944971	-0.0061117574	-0.809366	1.3564423	0.0053986944	0.0641875	127.0	1133.8576107025146	43.321396	17.508743	103.097275	28.887945	0.0	0.0
29	500.0	10.317752	2.0945008	11.516039	3.048381	480000	7.450581e-09	11.89917	-0.0074593117	-0.1793129	1.3564423	0.0065935487	0.076125	127.0	1171.3274970054626	43.021812	14.839021	91.20312	24.636686	0.0	0.0
30	500.0	10.083537	1.9449271	11.192931	3.2480783	496000	-7.450581e-09	17.028694	-0.0065277917	-0.30631918	1.3564423	0.0077574598	0.06725	127.0	1211.5499098300934	45.822372	19.290247	117.23009	26.949553	0.0	0.0
31	500.0	10.517759	2.0644898	11.687522	3.316495	512000	0.0	18.952637	-0.005730949	-0.16363993	1.3564423	0.0083334735	0.06631251	127.0	1247.988355398178	46.21885	20.514395	109.23524	30.69693	0.0	0.0
32	500.0	10.67982	2.14608	11.947221	3.2679596	528000	1.8626451e-08	9.876679	-0.0070174034	-0.56739324	1.3564423	0.005728604	0.059	127.0	1285.8099112510681	42.17593	14.569483	109.80262	28.113552	0.0	0.0
