Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18739924	0.022578483	-0.15791874	-0.31414518	16000	-1.8067658e-07	0.031477664	-0.005088961	-0.029807366	1.3564423	0.0057607694	0.049875002	127.0	41.86279797554016	0.13163123	0.12048614	0.59958804	0.023285015	0.0	0.0
1	500.0	-0.0117218355	0.02569319	0.042270333	-0.08650942	32000	-2.9802322e-08	0.0036413805	-0.009271564	-0.0021553948	1.3564423	0.0058443495	0.0965625	127.0	83.11846923828125	0.29992792	0.24348532	0.9435777	0.051130917	0.0	0.0
2	500.0	0.05435053	0.025849773	0.10214426	-0.032941878	48000	-7.450581e-09	0.0027942054	-0.010776369	-0.00071708526	1.3564423	0.0077615306	0.101624995	127.0	123.57105445861816	0.429641	0.27816004	1.1378176	0.07322173	0.0	0.0
3	500.0	0.09718368	0.017763928	0.1509957	0.040823802	64000	4.8428774e-08	0.009151878	-0.010545097	-0.004314488	1.3564423	0.0076318923	0.0955625	127.0	160.5661644935608	0.8218	0.37436482	1.8893027	0.12870347	0.0	0.0
4	500.0	0.17385498	0.02351084	0.23153386	0.070055954	80000	-5.9604645e-08	0.02882619	-0.0064189686	-0.012457534	1.3564423	0.004147296	0.051875	127.0	196.8170440196991	1.4086978	0.6173419	2.949621	0.4866729	0.0	0.0
5	500.0	0.2786526	0.030111473	0.39466318	0.19488758	96000	1.8626451e-08	0.039599918	-0.0062535233	-0.015037075	1.3564423	0.0053485623	0.0574375	127.0	234.48580694198608	1.7428672	0.82702214	4.2027564	0.5606422	0.0	0.0
6	500.0	0.4036232	0.09549712	0.65161663	0.15486303	112000	1.4901161e-08	0.08324902	-0.0072139576	-0.029296631	1.3564423	0.0072424677	0.0765625	127.0	272.8838515281677	2.1945868	1.2712002	6.7768817	0.53714806	0.0	0.0
7	500.0	0.57138497	0.21410707	1.1609887	0.0534819	128000	1.8626451e-09	0.39157963	-0.0060833525	-0.15717432	1.3564423	0.0067120567	0.0828125	127.0	315.6818151473999	3.307354	2.8119934	15.235978	1.1954747	0.0	0.0
8	500.0	1.0553906	0.47308135	2.1628292	0.013233364	144000	-4.8428774e-08	1.0395858	-0.007799035	-0.5822635	1.3564423	0.008326996	0.081	127.0	355.32579016685486	7.1748867	3.301028	16.257996	1.1925083	0.0	0.0
9	500.0	1.9534653	0.98346454	3.8611343	-0.080668546	160000	-3.7252903e-09	2.7229826	-0.0078045954	-1.1179616	1.3564423	0.0062073404	0.0828125	127.0	402.5095021724701	11.388439	6.367578	28.172552	2.0589888	0.0	0.0
10	500.0	3.185695	1.6550404	6.1092734	-0.0076497234	176000	3.7252903e-09	2.5054138	-0.009184957	-0.8373414	1.3564423	0.0072760573	0.085999995	127.0	446.90089321136475	14.970961	6.780666	30.15368	2.1022077	0.0	0.0
11	500.0	4.4046445	2.158181	7.4429326	-0.0058255717	192000	-4.8428774e-08	3.039603	-0.010744278	-0.6902667	1.3564423	0.007185607	0.089375004	127.0	492.6225607395172	19.394718	6.8339977	33.04563	8.160085	0.0	0.0
