Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.29998493	0.029781092	-0.16910976	-0.35533392	16000	5.6810677e-08	0.07871821	-0.007304822	-0.07446344	1.3564423	0.007270685	0.06075	127.0	43.36469626426697	0.09717883	0.05902503	0.3102642	0.027575752	0.0	0.0
1	500.0	-0.049013786	0.024166882	0.022104561	-0.084002644	32000	8.568168e-08	0.0033070035	-0.0078094234	-0.0030008568	1.3564423	0.0064450405	0.0641875	127.0	87.27212166786194	0.08974622	0.05139219	0.20336053	0.02501525	0.0	0.0
2	500.0	0.016167443	0.015702093	0.057331115	-0.031408757	48000	0.0	0.00030393928	-0.010378807	-0.00011261718	1.3564423	0.0072700074	0.090625	127.0	124.24101853370667	0.11178063	0.054347914	0.28744125	0.0369125	0.0	0.0
3	500.0	0.020960622	0.008364347	0.049912654	-0.0077299178	64000	1.8626451e-08	0.001108289	-0.0056019146	-0.00037039418	1.3564423	0.0068332097	0.0470625	127.0	170.56343150138855	0.19796762	0.1271059	0.5968753	0.045836627	0.0	0.0
4	500.0	0.032846034	0.011417404	0.08403012	0.0025692135	80000	-1.4901161e-08	0.002981065	-0.0056902766	-0.0014009458	1.3564423	0.0055969134	0.052812498	127.0	225.4582703113556	0.32360655	0.19358204	0.9030763	0.07078223	0.0	0.0
5	500.0	0.063070565	0.010383315	0.096259564	0.017375104	96000	2.9802322e-08	0.010429546	-0.008432203	-0.0057237446	1.3564423	0.0062622726	0.0753125	127.0	273.7625021934509	0.62010163	0.34025353	1.3823448	0.09316427	0.0	0.0
6	500.0	0.15339224	0.03979523	0.2483339	0.031755134	112000	-3.7252903e-09	0.017557656	-0.00787425	-0.006617562	1.3564423	0.0065321904	0.0735625	127.0	321.09400510787964	0.96619546	0.48189503	2.6340199	0.3131971	0.0	0.0
7	500.0	0.22807291	0.08077933	0.38924354	-0.010569919	128000	0.0	0.13666095	-0.0055228365	-0.06513461	1.3564423	0.008051468	0.073312506	127.0	353.15452456474304	1.8609085	1.3427969	5.1382637	0.46330208	0.0	0.0
8	500.0	0.50996125	0.2351914	1.009802	-0.17119727	144000	1.1175871e-08	0.6445639	-0.0069305524	-0.37023425	1.3564423	0.008187503	0.078250006	127.0	388.1423816680908	4.378265	2.581589	10.498404	1.3335489	0.0	0.0
9	500.0	1.2068461	0.60517174	2.3233309	-0.25799707	160000	-1.4901161e-08	1.2372386	-0.0075986367	-0.7505089	1.3564423	0.005334934	0.074875005	127.0	448.2426495552063	8.109528	3.137955	15.457497	0.45774403	0.0	0.0
10	500.0	2.261182	1.119915	4.0893307	-0.34084564	176000	-2.7939677e-08	1.3071271	-0.009366693	-0.5550047	1.3564423	0.0058353944	0.0895	127.0	504.692355632782	11.577091	3.2412608	19.840376	6.523196	0.0	0.0
11	500.0	3.1070395	1.4085001	5.231777	-0.13362494	192000	-7.450581e-09	2.607935	-0.008542884	-1.2042501	1.3564423	0.0076137907	0.0976875	127.0	551.0009908676147	16.512562	4.87766	27.266647	7.8947034	0.0	0.0
12	500.0	4.244583	1.823165	6.677994	-0.012150865	208000	-7.450581e-09	2.5952168	-0.00953975	-0.46582413	1.3564423	0.0064124707	0.086625	127.0	587.2788813114166	19.299824	6.2916374	32.46562	8.681444	0.0	0.0
13	500.0	4.9786625	1.9152235	7.297515	0.2880948	224000	1.6763806e-08	4.320554	-0.009267963	-0.4445942	1.3564423	0.00817931	0.101125	127.0	622.6439242362976	21.697453	8.396022	39.416546	8.611824	0.0	0.0
14	500.0	5.76245	2.1567583	8.132586	0.46170333	240000	1.8626451e-08	5.606804	-0.0075808177	-1.1948012	1.3564423	0.006813327	0.0668125	127.0	662.7817137241364	26.48494	9.828984	54.28027	2.6508658	0.0	0.0
15	500.0	6.649288	2.3416977	9.18222	0.48850986	256000	7.450581e-09	2.3456721	-0.008664809	-0.3383324	1.3564423	0.006789355	0.0609375	127.0	701.2636268138885	24.82825	6.4137917	34.568027	11.745688	0.0	0.0
16	500.0	6.41505	2.1290092	8.661479	0.8603068	272000	1.4901161e-08	1.8888806	-0.008501012	-0.15299198	1.3564423	0.0065288385	0.062499996	127.0	764.2825558185577	25.018095	6.093786	33.903034	13.705422	0.0	0.0
17	500.0	6.385143	1.9303749	8.398401	0.9909846	288000	7.450581e-09	7.323751	-0.007867013	-1.040943	1.3564423	0.00852265	0.06775	127.0	819.0433733463287	29.7957	11.791248	72.471664	12.447016	0.0	0.0
18	500.0	7.227271	2.2879617	9.598434	0.7011933	304000	7.450581e-09	8.46094	-0.007903763	-0.5021601	1.3564423	0.0071104118	0.0728125	127.0	867.9405665397644	29.470322	13.357767	86.63984	12.996241	0.0	0.0
19	500.0	7.190899	2.3633516	9.763965	0.25059238	320000	1.8626451e-08	4.1227503	-0.0077948268	-0.53249437	1.3564423	0.007066382	0.07575001	127.0	907.6797766685486	28.556297	10.079921	72.97609	8.504402	0.0	0.0
20	500.0	7.430031	2.2027547	10.073297	0.7416063	336000	-7.450581e-09	15.767094	-0.0063846563	-1.9686468	1.3564423	0.0057466403	0.059	127.0	944.3868026733398	36.261738	18.10259	85.01415	12.12566	0.0	0.0
21	500.0	8.578739	2.643124	11.839444	0.2890141	352000	1.4901161e-08	4.8550053	-0.007890349	-2.8820643	1.3564423	0.007272832	0.0584375	127.0	983.8245742321014	26.92966	7.2943907	37.12795	10.190892	0.0	0.0
22	500.0	7.141283	2.3985343	10.958282	0.85886586	368000	2.9802322e-08	3.7208767	-0.008739194	-0.75776505	1.3564423	0.0062250765	0.062	127.0	1047.2646355628967	26.43803	9.124293	43.694397	5.1576614	0.0	0.0
23	500.0	7.226322	2.2624393	11.054374	1.1371397	384000	0.0	2.7722955	-0.0077496353	-0.8098514	1.3564423	0.00600037	0.058125	127.0	1104.4424979686737	26.637667	7.588939	38.040756	14.320312	0.0	0.0
24	500.0	6.809814	1.9213077	10.587255	2.04021	400000	-1.4901161e-08	10.350627	-0.008069961	-0.9150593	1.3564423	0.006680187	0.0605625	127.0	1155.1958060264587	29.289621	15.720108	101.5271	14.950075	0.0	0.0
25	500.0	6.91233	1.9946047	10.086173	1.5035015	416000	-2.2351742e-08	7.8663073	-0.007944143	-0.7228425	1.3564423	0.0067933	0.075875	127.0	1193.6429960727692	27.92038	13.1701	79.902985	12.451404	0.0	0.0
26	500.0	6.8612356	2.0171468	10.054594	1.3517696	432000	-1.1175871e-08	4.6670365	-0.008770675	-0.6832808	1.3564423	0.006399075	0.0680625	127.0	1246.497676372528	29.672638	11.236188	62.463623	11.920332	0.0	0.0
27	500.0	7.3543787	2.075943	10.553532	0.50327873	448000	-1.1175871e-08	13.537202	-0.009363188	-1.4023349	1.3564423	0.0067870435	0.087625	127.0	1302.6999254226685	35.142525	17.38759	91.382805	13.915151	0.0	0.0
28	500.0	7.98643	2.6046894	11.710758	0.22395377	464000	-1.1175871e-08	4.4363947	-0.009592736	-0.7270354	1.3564423	0.006959755	0.0749375	127.0	1358.8496346473694	30.908012	9.28974	51.713787	14.685794	0.0	0.0
29	500.0	7.8354263	2.5356648	11.203819	0.75372195	480000	-1.1175871e-08	2.8149247	-0.010400524	-0.675218	1.3564423	0.00889815	0.071624994	127.0	1415.6327784061432	30.363796	9.080586	43.491577	1.2903947	0.0	0.0
30	500.0	7.656235	2.2623909	11.039301	0.5293906	496000	-1.4901161e-08	12.0167885	-0.008186586	-2.0798073	1.3564423	0.008669942	0.0795625	127.0	1462.231129169464	37.546265	16.05073	75.16559	15.238399	0.0	0.0
31	500.0	8.887066	2.7197626	12.374789	-1.3335924	512000	0.0	5.922699	-0.010568323	-1.8554341	1.3564423	0.00710292	0.078062505	127.0	1503.3477275371552	34.56709	10.316426	59.475742	14.449426	0.0	0.0
32	500.0	8.2065	2.5633905	11.645507	0.0016856762	528000	-2.2351742e-08	6.288968	-0.008778781	-0.33117098	1.3564423	0.006668943	0.079375	127.0	1542.734127998352	34.303467	13.027748	76.78946	14.480311	0.0	0.0
33	500.0	8.500062	2.9390025	12.396137	0.08806745	544000	7.450581e-09	6.176181	-0.008478951	-0.7189723	1.3564423	0.0071654026	0.070625	127.0	1578.0543801784515	32.06552	13.821831	81.73409	2.989135	0.0	0.0
34	500.0	7.706624	2.9775033	12.081739	-0.87931573	560000	-1.4901161e-08	8.087622	-0.010297949	-1.2964665	1.3564423	0.0055984072	0.0680625	127.0	1618.4803459644318	34.122772	16.285076	85.25533	3.4508848	0.0	0.0
35	500.0	8.854828	3.5376115	13.211787	-1.2609107	576000	-5.5879354e-09	3.7717156	-0.009818513	-1.4546041	1.3564423	0.0108423475	0.0784375	127.0	1662.0902116298676	30.83638	9.85692	42.571236	1.9691588	0.0	0.0
36	500.0	8.224204	2.8193069	11.910333	-0.087222755	592000	-1.4901161e-08	4.9537044	-0.008669205	-0.69815314	1.3564423	0.006539183	0.055812497	127.0	1702.8104169368744	34.993614	11.529617	65.09073	1.1246755	0.0	0.0
37	500.0	8.438946	2.9285798	12.074315	0.34159607	608000	-3.7252903e-09	3.3514588	-0.007425846	-0.5889404	1.3564423	0.0067810332	0.060312502	127.0	1739.507308959961	34.12875	11.763487	56.857285	2.471727	0.0	0.0
38	500.0	8.631191	3.1104133	12.826031	-0.2757096	624000	-9.313226e-09	6.1324043	-0.008932387	-0.8568012	1.3564423	0.008126829	0.07475	127.0	1790.16135764122	37.441483	13.54284	72.211365	2.8520222	0.0	0.0
39	500.0	9.219854	3.2617688	13.836151	-0.39998347	640000	-7.450581e-09	13.979896	-0.008102557	-1.97602	1.3564423	0.0065513146	0.061375	127.0	1844.9762542247772	39.08861	17.687988	95.31929	12.077913	0.0	0.0
40	500.0	9.076047	3.530515	14.284708	0.37386772	656000	-3.7252903e-09	8.544151	-0.009456306	-4.771426	1.3564423	0.00724631	0.0725625	127.0	1902.2167298793793	26.108452	12.3947	52.92662	0.9153133	0.0	0.0
41	500.0	7.6782794	3.0351727	12.955747	1.6957777	672000	-1.1175871e-08	6.5347486	-0.0086379545	-1.4423325	1.3564423	0.008150066	0.0701875	127.0	1945.423537015915	30.866379	13.410855	57.75613	6.354355	0.0	0.0
42	500.0	7.811904	2.835544	13.594735	1.033867	688000	1.8626451e-08	20.123737	-0.007927101	-3.60373	1.3564423	0.009200586	0.076000005	127.0	1988.0187847614288	33.51801	21.62305	101.546616	7.3645387	0.0	0.0
43	500.0	8.0110855	3.1218138	14.88189	1.2946146	704000	0.0	8.885205	-0.008016626	-1.8392746	1.3564423	0.004900342	0.06425	127.0	2030.405499458313	33.273533	15.619086	74.15351	0.7658362	0.0	0.0
44	500.0	8.258084	3.5230682	15.308538	0.5334581	720000	2.4214387e-08	6.4291706	-0.009579815	-1.6276451	1.3564423	0.007527935	0.08356249	127.0	2065.6820237636566	31.86335	14.017446	58.76562	9.749069	0.0	0.0
45	500.0	7.114601	3.3205862	14.739249	0.6148255	736000	3.7252903e-09	7.4997497	-0.009246273	-1.5025396	1.3564423	0.007876444	0.0799375	127.0	2107.1815123558044	27.468178	13.051307	66.15139	11.882477	0.0	0.0
46	500.0	7.5184336	3.1661274	14.196609	1.1922851	752000	5.5879354e-09	3.384513	-0.009636804	-0.47364762	1.3564423	0.007990227	0.082125	127.0	2152.8748512268066	33.09889	12.60269	58.09289	11.202764	0.0	0.0
47	500.0	7.335127	3.5121589	14.812462	-0.4975609	768000	-3.7252903e-09	4.0048175	-0.008216918	-1.034805	1.3564423	0.0062648715	0.069	127.0	2190.458328485489	28.458603	13.207299	55.907776	0.93122756	0.0	0.0
48	500.0	7.728235	3.629322	14.751568	0.054455318	784000	-3.7252903e-09	3.488966	-0.008167338	-0.9574521	1.3564423	0.0069777872	0.0605	127.0	2230.7083690166473	30.957165	11.746087	51.398933	0.93541664	0.0	0.0
49	500.0	7.427223	3.1402662	14.281313	0.66778976	800000	0.0	8.585304	-0.007638217	-1.9320459	1.3564423	0.006477261	0.074625	127.0	2270.250781774521	29.814442	18.065693	91.78422	0.9964976	0.0	0.0
50	500.0	8.04053	3.5338066	14.509929	1.0960543	816000	1.8626451e-09	9.690792	-0.0076497514	-2.7583303	1.3564423	0.007915592	0.069	127.0	2308.6868913173676	35.20094	16.330505	80.16098	8.179552	0.0	0.0
51	500.0	7.525837	3.693372	16.62688	-1.9813912	832000	1.8626451e-08	11.587873	-0.007684239	-2.5571625	1.3564423	0.006859403	0.068312496	127.0	2349.9684715270996	29.875816	17.812681	81.47703	8.570979	0.0	0.0
52	500.0	7.4125323	3.7091804	17.233927	-1.5770025	848000	0.0	10.504933	-0.006551472	-1.9917009	1.3564423	0.0068778517	0.058562502	127.0	2387.962035179138	34.242977	17.827652	81.04851	5.769331	0.0	0.0
53	500.0	7.705988	4.277098	18.282185	-8.107561	864000	0.0	7.272117	-0.009566363	-1.0715344	1.3564423	0.006616313	0.076312505	127.0	2427.096411705017	32.44197	16.613144	82.0104	1.1285472	0.0	0.0
54	500.0	8.251329	4.857943	19.068048	-2.91969	880000	0.0	10.35605	-0.0077967113	-2.0303903	1.3564423	0.007336219	0.065312505	127.0	2465.895173549652	37.058113	20.173885	78.20924	3.4083288	0.0	0.0
55	500.0	8.728759	4.6431346	20.553219	-2.3643165	896000	-7.450581e-09	11.309629	-0.009450436	-1.6840553	1.3564423	0.006716754	0.0775625	127.0	2503.3844616413116	37.30884	19.085487	83.07497	1.1935587	0.0	0.0
56	500.0	9.084786	4.4642196	21.055527	-2.346646	912000	-2.9802322e-08	8.669437	-0.008020546	-1.756871	1.3564423	0.00802498	0.0768125	127.0	2539.4009890556335	38.579792	17.12366	81.318565	6.5140576	0.0	0.0
57	500.0	9.432747	5.013643	22.572132	-0.72720116	928000	-3.7252903e-09	8.672895	-0.007796486	-2.04771	1.3564423	0.008891401	0.077875	127.0	2580.131317138672	36.08383	18.53725	82.95629	1.2806551	0.0	0.0
58	500.0	9.406777	5.3132696	23.45067	-3.3552284	944000	0.0	9.578124	-0.009198269	-2.7817261	1.3564423	0.0072817905	0.0899375	127.0	2628.1732482910156	37.32669	19.058979	84.597984	1.6697584	0.0	0.0
59	500.0	9.367426	5.155429	24.244398	-4.0628753	960000	-7.450581e-09	9.393244	-0.00843104	-1.4831835	1.3564423	0.007977347	0.066	127.0	2665.500233888626	36.726486	19.465912	84.62977	1.5083293	0.0	0.0
60	500.0	9.884262	6.369284	25.403038	-23.035069	976000	7.450581e-09	9.222549	-0.007466841	-3.8244543	1.3564423	0.007026487	0.0553125	127.0	2702.4696900844574	39.33805	18.412636	78.722755	1.2905991	0.0	0.0
61	500.0	9.783993	5.7916226	25.78154	-1.8835875	992000	0.0	10.140571	-0.008869719	-2.7661195	1.3564423	0.0070555797	0.0808125	127.0	2740.0670804977417	36.975727	20.267456	77.336876	1.6932052	0.0	0.0
62	500.0	10.549248	6.1904235	26.390068	-5.2389426	1008000	7.450581e-09	10.05148	-0.010418704	-3.6168313	1.3564423	0.0066146404	0.087124996	127.0	2785.0788114070892	41.58016	18.411741	83.28225	18.713268	0.0	0.0
63	500.0	11.042403	6.238124	27.298979	1.6692233	1024000	7.450581e-09	8.127621	-0.010235589	-1.7002463	1.3564423	0.007843638	0.0821875	127.0	2822.6284515857697	41.344757	21.916342	99.61071	1.3784673	0.0	0.0
64	500.0	12.087403	7.5185905	28.449404	1.0246853	1040000	1.3038516e-08	13.191818	-0.008324177	-2.329061	1.3564423	0.0062602432	0.063999996	127.0	2860.1199996471405	45.42588	27.09018	97.6019	1.2616681	0.0	0.0
65	500.0	12.537056	8.185583	29.680164	-4.8110204	1056000	3.7252903e-09	15.826639	-0.0094604455	-3.7809517	1.3564423	0.0071869716	0.084562495	127.0	2900.3007667064667	52.48915	29.556576	104.351555	8.861113	0.0	0.0
66	500.0	11.872202	9.236524	30.86268	-22.89556	1072000	7.450581e-09	18.257294	-0.009523217	-9.850497	1.3564423	0.007785556	0.084125	127.0	2940.749118089676	50.711403	25.688421	99.60659	16.583439	0.0	0.0
67	500.0	12.931682	9.013333	31.572346	-8.160898	1088000	-3.7252903e-09	8.586472	-0.010180705	-1.8515098	1.3564423	0.0075838044	0.0783125	127.0	2980.2401826381683	50.991722	27.077196	98.44868	1.4922516	0.0	0.0
68	500.0	14.870756	9.363977	32.18758	-9.359737	1104000	-7.450581e-09	20.128666	-0.010097139	-7.948871	1.3564423	0.0071899993	0.0755625	127.0	3019.4032497406006	53.11495	27.678991	96.92181	6.1080217	0.0	0.0
69	500.0	16.56511	10.6560755	32.542477	-9.42071	1120000	-1.3038516e-08	20.711102	-0.009780334	-7.819305	1.3564423	0.0075699557	0.07987501	127.0	3060.769408226013	70.791985	30.059172	107.29565	15.945932	0.0	0.0
70	500.0	14.863061	10.461823	34.05339	-8.226763	1136000	2.2351742e-08	21.076252	-0.008527811	-5.375084	1.3564423	0.007487907	0.06981251	127.0	3098.0122215747833	53.848892	32.859127	97.2144	1.2308978	0.0	0.0
71	500.0	13.368499	10.664111	34.92196	-14.428788	1152000	0.0	15.790907	-0.009556857	-3.1584234	1.3564423	0.007449681	0.078375	127.0	3135.590486764908	52.794884	34.55752	115.956985	10.381816	0.0	0.0
72	500.0	14.15745	11.1235	35.376637	-34.340668	1168000	1.8626451e-09	10.206673	-0.010296417	-1.74351	1.3564423	0.0068886057	0.0876875	127.0	3176.540536880493	56.760426	32.48297	103.56581	1.3336405	0.0	0.0
73	500.0	16.848703	11.477055	35.61674	-13.898076	1184000	-2.2351742e-08	19.001465	-0.011886921	-6.8513727	1.3564423	0.008283332	0.0991875	127.0	3220.9864342212677	62.259666	31.931356	116.16867	4.1010613	0.0	0.0
74	500.0	15.715632	12.946615	35.81401	-33.02216	1200000	-9.313226e-10	33.589508	-0.0088889655	-20.36974	1.3564423	0.008095341	0.0849375	127.0	3263.7893857955933	63.494587	34.32094	113.90535	18.025381	0.0	0.0
75	500.0	15.74917	11.053229	36.18013	-26.808708	1216000	0.0	21.881435	-0.009687543	-6.5904856	1.3564423	0.009063764	0.088125005	127.0	3312.5833854675293	59.438522	36.99614	103.88882	1.505105	0.0	0.0
76	500.0	15.583688	11.543196	36.575386	-30.753504	1232000	2.4214387e-08	15.521341	-0.010623998	-3.3473036	1.3564423	0.008438956	0.103	127.0	3356.2854595184326	61.819267	34.53739	111.82176	2.804087	0.0	0.0
77	500.0	18.734274	11.934727	36.76622	-1.7526448	1248000	-7.450581e-09	20.669327	-0.010192225	-4.8837976	1.3564423	0.007368209	0.0969375	127.0	3397.823872566223	69.5043	34.508823	121.6596	1.2052666	0.0	0.0
78	500.0	16.528913	12.313882	36.947617	-10.317883	1264000	-7.450581e-09	23.735758	-0.010933902	-3.1642396	1.3564423	0.0098704025	0.0925	127.0	3434.493044614792	63.472454	42.299084	142.55664	1.2399693	0.0	0.0
79	500.0	18.67039	12.816292	37.96386	-27.824667	1280000	8.381903e-09	23.559563	-0.010237526	-6.3316584	1.3564423	0.00699154	0.074375	127.0	3474.492833375931	72.81418	39.14428	156.9684	18.531763	0.0	0.0
80	500.0	17.889956	12.541836	38.797295	-9.831057	1296000	-3.4458935e-08	22.405628	-0.00947074	-4.932121	1.3564423	0.005491445	0.072437495	127.0	3517.4218249320984	66.65852	37.90704	127.213165	1.4833437	0.0	0.0
81	500.0	18.131247	12.080185	37.74738	-8.402196	1312000	1.1175871e-08	29.580223	-0.008762144	-7.979471	1.3564423	0.007926107	0.0738125	127.0	3559.5005955696106	70.41951	42.404125	164.0299	1.9982336	0.0	0.0
82	500.0	14.927675	13.651162	38.80426	-37.7173	1328000	-1.6763806e-08	37.70611	-0.008843108	-17.58447	1.3564423	0.0072646355	0.0730625	127.0	3598.9922354221344	59.89073	38.685173	149.4913	18.131056	0.0	0.0
83	500.0	16.48866	11.636674	38.669235	-14.173591	1344000	-3.7252903e-09	20.581717	-0.009651428	-5.143425	1.3564423	0.009128153	0.091562495	127.0	3637.4157366752625	66.37655	36.33936	120.569176	21.842	0.0	0.0
84	500.0	18.997149	12.300085	38.65898	-1.4867089	1360000	-1.4901161e-08	24.121294	-0.010346138	-3.637525	1.3564423	0.008762203	0.09549999	127.0	3675.9649546146393	78.53657	40.908554	157.46457	20.094667	0.0	0.0
85	500.0	18.316343	13.297895	39.603607	-13.166016	1376000	2.2351742e-08	28.040424	-0.01079697	-2.9639986	1.3564423	0.008473023	0.09468751	127.0	3713.5400128364563	74.28324	46.824165	182.65662	1.2449653	0.03125	1.9375
86	500.0	21.22474	13.250304	40.394203	-21.52269	1392000	-1.1175871e-08	44.94908	-0.008373498	-6.0827746	1.3564423	0.009700772	0.082875	127.0	3755.896748304367	84.91022	40.567123	170.5568	20.139942	0.03125	0.21875
87	500.0	15.2860365	12.894468	40.361946	-22.215738	1408000	0.0	44.06331	-0.010277171	-10.718167	1.3564423	0.0061072195	0.086062506	127.0	3795.6161420345306	57.272198	39.384354	143.76279	1.0853926	0.03125	2.09375
88	500.0	14.221169	11.328581	39.63835	-18.690092	1424000	3.5390258e-08	53.662285	-0.008610936	-8.037371	1.3564423	0.0057399566	0.073125	127.0	3836.1321969032288	65.00551	52.035343	204.11542	4.369429	0.0625	5.3125
89	500.0	14.484792	12.841159	41.135693	-18.713308	1440000	-9.313226e-09	25.643238	-0.009235391	-6.7300606	1.3564423	0.008587565	0.078187495	127.0	3878.7425405979156	56.337692	43.16346	126.22643	1.0881	0.0	0.0
90	500.0	14.676449	11.710044	40.773933	-17.173634	1456000	-1.4901161e-08	31.723915	-0.0095072	-7.632154	1.3564423	0.0070880633	0.077437505	127.0	3921.249011039734	56.46427	36.192463	125.10025	15.919038	0.0	0.0
91	500.0	17.263039	12.737572	40.298134	-15.019306	1472000	7.450581e-09	38.686428	-0.007352969	-4.544716	1.3564423	0.0060792016	0.0645625	127.0	3957.989491701126	74.12453	46.97603	209.65747	1.8060247	0.03125	2.90625
92	500.0	18.565336	12.600865	40.965942	-19.560028	1488000	1.8626451e-08	27.599817	-0.008143695	-5.3462076	1.3564423	0.00620443	0.07225	127.0	3997.6320328712463	73.56532	43.3352	134.42351	2.6845999	0.03125	0.125
93	500.0	18.744905	13.126379	40.222286	-22.58629	1504000	2.2351742e-08	31.876915	-0.0100202765	-5.9929857	1.3564423	0.007065684	0.090875	127.0	4041.253038406372	79.006165	41.49357	128.06454	1.1029692	0.0	0.0
94	500.0	17.152182	11.162247	40.02589	-11.728935	1520000	-7.450581e-09	31.695675	-0.0093036685	-8.887952	1.3564423	0.0071495157	0.077625	127.0	4080.535255432129	69.504974	43.15125	145.22896	4.1898217	0.03125	0.5625
