Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.32056195	0.028209606	-0.16265461	-0.36691308	16000	1.5646219e-07	0.13436425	-0.0056208847	-0.1191844	1.3564423	0.0058567864	0.03675	127.0	32.583523750305176	0.43394688	0.44090435	2.0610986	0.05382432	0.0	0.0
1	500.0	0.014381274	0.0094120875	0.06464554	-0.022000715	32000	-2.2351742e-08	0.06152254	-0.004281874	-0.028435854	1.3564423	0.004263841	0.0435625	127.0	65.51800346374512	0.93171966	0.88977724	4.035305	0.10959541	0.0	0.0
2	500.0	0.17444171	0.016729888	0.24766386	0.10567189	48000	0.0	0.30231887	-0.005429995	-0.08694346	1.3564423	0.0067519983	0.055062503	127.0	97.74951148033142	2.1030269	2.1852372	9.299889	0.18021697	0.0	0.0
3	500.0	0.41443208	0.07864755	0.7033883	0.23312335	64000	-7.450581e-09	0.31585556	-0.0074668443	-0.10288991	1.3564423	0.008400552	0.081687495	127.0	128.21693396568298	2.6007838	2.315472	9.389109	0.30010393	0.0	0.0
4	500.0	0.8331993	0.32612836	1.7191515	0.027749881	80000	1.4901161e-08	1.1530643	-0.0060682306	-0.48027942	1.3564423	0.004405394	0.066375	127.0	159.28051280975342	5.862329	3.7047837	17.487658	0.7091235	0.0	0.0
5	500.0	1.6060014	0.7636317	3.1182263	-0.07673155	96000	-7.450581e-09	1.3848048	-0.007949549	-0.5267511	1.3564423	0.008726574	0.0995	127.0	188.80740427970886	8.545174	4.1533575	18.167793	1.4545836	0.0	0.0
6	500.0	2.4844747	1.0203874	4.1312175	-0.18703213	112000	1.1175871e-08	0.82413566	-0.008579732	-0.14101055	1.3564423	0.0068633887	0.0799375	127.0	217.77256512641907	8.510662	3.4307363	19.426874	3.6211858	0.0	0.0
7	500.0	2.5422862	1.2643973	4.561206	-0.50046796	128000	-1.8626451e-08	2.0110402	-0.009327477	-0.8509121	1.3564423	0.008620764	0.1038125	127.0	250.15936541557312	13.533237	4.3646135	22.431307	5.831439	0.0	0.0
8	500.0	3.6824439	1.5504705	5.641131	-0.27604085	144000	-1.7695129e-08	1.4186502	-0.00825609	-0.26441205	1.3564423	0.008743795	0.0826875	127.0	280.93510365486145	16.220514	4.101733	24.029448	9.88158	0.0	0.0
9	500.0	4.3286324	1.4839945	6.108312	0.21991959	160000	-2.6077032e-08	2.6572216	-0.007801538	-0.33172393	1.3564423	0.007104664	0.0785625	127.0	311.9415144920349	19.532967	6.151516	34.782482	8.399101	0.0	0.0
