Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.30357203	0.029610962	-0.17210335	-0.3584175	16000	1.0617077e-07	0.08043809	-0.0073555154	-0.076024905	1.3564423	0.0072905277	0.0608125	127.0	37.64272117614746	0.097892255	0.059568554	0.31298083	0.027852355	0.0	0.0
1	500.0	-0.049689017	0.024009168	0.020099439	-0.084182926	32000	-1.8626451e-08	0.0034396248	-0.0076783393	-0.0031218533	1.3564423	0.006498102	0.064500004	127.0	86.0599410533905	0.0919262	0.052484304	0.20712781	0.025524039	0.0	0.0
2	500.0	0.016340103	0.015670804	0.05758875	-0.029924367	48000	7.450581e-09	0.00030122977	-0.010254366	-0.00011807614	1.3564423	0.0074345293	0.092250004	127.0	149.38606715202332	0.109199256	0.05344063	0.27097026	0.034818992	0.0	0.0
3	500.0	0.020352954	0.008291183	0.050560527	-0.0085958615	64000	-2.9802322e-08	0.0010241987	-0.00546018	-0.000319298	1.3564423	0.0066485666	0.0470625	127.0	197.10227036476135	0.18664286	0.12444218	0.597475	0.043569814	0.0	0.0
4	500.0	0.030120619	0.010142809	0.06949429	-0.00029388815	80000	3.3527613e-08	0.0022134786	-0.005669421	-0.0009925573	1.3564423	0.0051186443	0.049875	127.0	232.88767623901367	0.2937952	0.16569388	0.778924	0.071883395	0.0	0.0
5	500.0	0.054973688	0.00905159	0.08237289	0.015751362	96000	-5.2154064e-08	0.008151392	-0.008625399	-0.0043749465	1.3564423	0.0068578306	0.0809375	127.0	266.4299805164337	0.5462854	0.30583853	1.2503072	0.08503455	0.0	0.0
6	500.0	0.13437448	0.03159371	0.21539725	0.033927806	112000	7.450581e-09	0.014306618	-0.007861948	-0.0057095215	1.3564423	0.006472169	0.0711875	127.0	314.86069345474243	0.87752414	0.4389656	2.5195007	0.26090124	0.0	0.0
7	500.0	0.20666608	0.07086543	0.35764584	-0.00095456094	128000	-1.4901161e-08	0.122524165	-0.005560626	-0.058861922	1.3564423	0.00797222	0.0733125	127.0	361.91586685180664	1.7230015	1.280207	4.801292	0.3942048	0.0	0.0
8	500.0	0.4755133	0.21438348	0.8903337	-0.14417174	144000	1.8626451e-08	0.5550444	-0.0070592393	-0.3120901	1.3564423	0.008311257	0.0805625	127.0	410.86570477485657	3.994286	2.444942	9.349769	1.1825292	0.0	0.0
9	500.0	1.1205686	0.56147265	2.1677027	-0.25845823	160000	-2.2351742e-08	1.1542928	-0.0074067106	-0.7066141	1.3564423	0.0052548223	0.074875	127.0	463.23968505859375	7.6283875	3.0495768	14.323676	0.42999792	0.0	0.0
10	500.0	2.1643922	1.0889684	4.1200485	-0.3357144	176000	-4.656613e-08	1.7345195	-0.008446535	-0.82502604	1.3564423	0.0061988356	0.0836875	127.0	505.8830873966217	11.890322	3.5626955	24.4848	6.419056	0.0	0.0
11	500.0	3.2083988	1.4943482	5.5817394	-0.22313957	192000	1.1175871e-08	1.8032349	-0.008326434	-0.69475305	1.3564423	0.0071353046	0.0869375	127.0	539.5029485225677	15.249931	4.4142284	26.012478	6.9756594	0.0	0.0
12	500.0	4.0078673	1.7541584	6.4454107	-0.04285379	208000	1.8626451e-08	2.3858454	-0.009115731	-0.45234334	1.3564423	0.006142643	0.085062504	127.0	576.661500453949	18.138245	6.242414	32.194424	7.8561764	0.0	0.0
13	500.0	4.679869	1.8401941	7.2392716	0.27252808	224000	-1.3038516e-08	4.3906364	-0.009869682	-0.705637	1.3564423	0.0076348265	0.0991875	127.0	615.8546977043152	21.872532	7.646311	38.662125	10.650169	0.0	0.0
14	500.0	5.604945	2.067072	7.8535304	0.36161983	240000	7.450581e-09	4.552951	-0.008478595	-0.9746747	1.3564423	0.0064469753	0.072375	127.0	657.5075769424438	25.883848	8.908106	53.231483	2.4949033	0.0	0.0
15	500.0	6.4107003	2.3248167	9.10477	0.3292099	256000	0.0	2.3520107	-0.008502457	-0.27143553	1.3564423	0.0061175204	0.057875	127.0	691.1365025043488	24.624329	6.533409	34.46122	9.699055	0.0	0.0
16	500.0	6.379567	2.1269479	8.728598	0.8924737	272000	1.3038516e-08	1.9228729	-0.008420868	-0.1819392	1.3564423	0.006853497	0.06775	127.0	729.9177980422974	26.894657	6.054269	35.08515	14.785058	0.0	0.0
17	500.0	6.819233	2.10292	8.897032	0.8209217	288000	1.4901161e-08	4.701767	-0.008058733	-0.4078499	1.3564423	0.0069877794	0.053499997	127.0	769.422632932663	30.478325	9.366716	70.56118	13.737798	0.0	0.0
18	500.0	7.3726373	2.252886	9.661432	0.8186993	304000	1.8626451e-08	5.5145516	-0.009008016	-0.63752306	1.3564423	0.007871171	0.0733125	127.0	805.6106770038605	28.153255	11.186735	66.28358	8.57596	0.0	0.0
19	500.0	7.09496	2.3566341	9.688642	0.19486333	320000	3.7252903e-08	4.3766966	-0.00815106	-0.34003824	1.3564423	0.00767156	0.0671875	127.0	855.4557354450226	30.830776	8.942187	63.27343	15.808707	0.0	0.0
20	500.0	7.695467	2.2397325	9.978217	0.870707	336000	3.7252903e-09	10.929349	-0.0069319294	-1.5145948	1.3564423	0.004873274	0.0443125	127.0	911.7248237133026	36.920532	14.371822	74.03183	17.818495	0.0	0.0
21	500.0	8.578237	2.5677326	11.210103	0.6089319	352000	7.450581e-09	6.7066846	-0.007151996	-1.2676783	1.3564423	0.006526751	0.061249997	127.0	968.148720741272	30.85252	12.022308	80.76809	15.059449	0.0	0.0
22	500.0	7.731705	2.522566	10.777487	0.85020137	368000	2.6077032e-08	4.3206625	-0.0071016075	-0.7539404	1.3564423	0.0061703688	0.061437503	127.0	1006.9215292930603	28.468828	8.854742	62.145313	16.175184	0.0	0.0
23	500.0	7.3934073	2.1835897	10.293135	0.97078747	384000	-1.4901161e-08	2.3700323	-0.009973278	-0.88810945	1.3564423	0.00782816	0.069625	127.0	1039.7242617607117	27.471054	8.344459	38.55082	5.492698	0.0	0.0
24	500.0	7.0557985	2.0299861	10.26947	1.5817045	400000	2.7939677e-09	6.7001634	-0.008679219	-0.607731	1.3564423	0.00769166	0.0624375	127.0	1080.1271471977234	30.69637	11.589087	62.566593	7.596079	0.0	0.0
25	500.0	7.204767	2.1400557	10.174439	1.6160427	416000	-2.9802322e-08	3.5356376	-0.008284997	-1.2255695	1.3564423	0.004339129	0.0486875	127.0	1128.3206689357758	25.877823	8.8694935	39.107273	8.132868	0.0	0.0
26	500.0	6.418126	2.2979908	10.240322	-0.88451296	432000	0.0	7.6187162	-0.007904889	-2.4590726	1.3564423	0.0055510616	0.056250002	127.0	1166.8334455490112	34.806572	10.678826	56.66867	18.393532	0.0	0.0
