Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36816835	0.0267025	-0.22822261	-0.4054188	16000	-7.450581e-09	0.25990883	-0.0059658866	-0.22622153	1.3564423	0.00611233	0.044375002	127.0	36.807955741882324	1.0410397	0.6616651	3.1460445	0.24635342	0.0	0.0
1	500.0	0.10497757	0.017303396	0.15231004	0.043293647	32000	1.4901161e-08	0.060713526	-0.005896328	-0.02992103	1.3564423	0.0058256444	0.041625	127.0	66.25594735145569	1.4461353	0.82736784	3.9399543	0.14868401	0.0	0.0
2	500.0	0.2778784	0.018143998	0.30644664	0.15306601	48000	1.1175871e-08	0.70392096	-0.004891579	-0.15694207	1.3564423	0.0063165706	0.051562503	127.0	102.67489981651306	2.8757856	3.1851325	15.630965	0.45775336	0.0	0.0
3	500.0	0.61273926	0.13627432	0.99822396	0.14357638	64000	3.3527613e-08	0.7779816	-0.006724391	-0.34344977	1.3564423	0.009318045	0.0719375	127.0	135.0294804573059	4.811425	3.069745	14.03201	0.5926661	0.0	0.0
4	500.0	1.147726	0.3986034	1.9557786	-0.21087363	80000	-2.9802322e-08	2.062883	-0.00619645	-0.99213505	1.3564423	0.0064174384	0.04975	127.0	171.1918249130249	8.052411	5.2353144	22.059786	1.0837275	0.0	0.0
5	500.0	2.0751505	1.1037022	4.003027	-0.59772277	96000	1.3038516e-08	3.2047935	-0.0067066904	-1.6432216	1.3564423	0.005618982	0.0653125	127.0	208.7610695362091	12.760676	6.2158074	25.794468	1.4010869	0.0	0.0
6	500.0	3.4871542	1.8195012	6.244752	-0.8426006	112000	-2.2351742e-08	3.7515223	-0.0073087895	-0.9519153	1.3564423	0.0077049034	0.0785625	127.0	243.9416217803955	16.441679	7.2353835	29.119907	4.783033	0.0	0.0
7	500.0	4.6308427	2.25916	7.369634	-0.8571998	128000	-1.4901161e-08	2.735831	-0.008511483	-0.34626037	1.3564423	0.008418469	0.082625	127.0	283.7900688648224	19.621239	5.8884454	39.81445	12.1159525	0.0	0.0
8	500.0	5.3088956	2.2807527	7.9075465	-0.2628645	144000	-2.2351742e-08	4.84208	-0.007650046	-1.1722088	1.3564423	0.007888839	0.072875	127.0	319.591429233551	25.417547	7.52665	42.334217	11.573276	0.0	0.0
9	500.0	6.514917	2.2906613	8.699695	0.14516301	160000	1.4901161e-08	5.8578763	-0.008375384	-0.7671821	1.3564423	0.0065996326	0.0860625	127.0	361.7499225139618	29.939556	9.293422	53.37387	12.747327	0.0	0.0
10	500.0	7.5188603	2.4054766	9.493607	0.18181197	176000	-1.8626451e-08	5.9449425	-0.008616485	-0.34095705	1.3564423	0.0072824284	0.076124996	127.0	398.6862392425537	33.193657	9.823279	64.76371	23.345842	0.0	0.0
11	500.0	8.103657	2.0387332	9.622593	1.0337346	192000	-7.450581e-09	8.639952	-0.008506523	-0.2756365	1.3564423	0.00750394	0.0811875	127.0	443.7515137195587	35.616234	11.775388	61.82616	12.756808	0.0	0.0
12	500.0	8.322713	2.2369118	10.075252	0.8464096	208000	-1.4901161e-08	8.310941	-0.008421305	-0.4061147	1.3564423	0.007473129	0.070125	127.0	478.17080068588257	36.850044	11.337393	58.560577	15.697869	0.0	0.0
13	500.0	8.87186	2.41514	10.637336	0.90467894	224000	1.4901161e-08	13.205709	-0.007844389	-1.1006178	1.3564423	0.008571491	0.06475	127.0	514.5201845169067	36.754494	16.412321	76.22485	1.4558477	0.0	0.0
14	500.0	8.930599	2.476991	10.865933	-0.59438896	240000	-2.9802322e-08	16.042223	-0.008122846	-0.99690527	1.3564423	0.009165697	0.0728125	127.0	549.2147600650787	39.716194	19.46415	90.27964	1.1474518	0.0	0.0
15	500.0	9.209443	2.1885717	11.387737	-1.5242426	256000	3.7252903e-09	19.507654	-0.009061187	-1.5694933	1.3564423	0.00798076	0.073874995	127.0	586.5460035800934	43.130447	19.613731	99.269806	16.318405	0.0	0.0
