Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.38971552	0.034827936	-0.21358497	-0.43370938	16000	2.6077032e-08	0.88135296	-0.004478938	-0.5691152	1.3564423	0.0064584464	0.045874998	127.0	36.665741205215454	2.5551229	2.557925	9.288178	0.303853	0.0	0.0
1	500.0	0.35891736	0.024228413	0.41268075	0.26425815	32000	0.0	2.2678814	-0.005348729	-0.62250924	1.3564423	0.00397966	0.0381875	127.0	69.24920201301575	5.9358926	6.1578355	31.157799	0.37101102	0.0	0.0
2	500.0	1.1394936	0.05447622	1.215218	0.74019384	48000	1.1175871e-08	2.039391	-0.0058352444	-0.32166004	1.3564423	0.0060556876	0.054375	127.0	101.10544323921204	7.5473013	5.976853	26.204103	0.7919278	0.0	0.0
3	500.0	1.6202836	0.14856146	1.8735363	0.8617809	64000	2.4214387e-08	3.3881602	-0.006705285	-1.1037027	1.3564423	0.0075859264	0.054750003	127.0	134.56878113746643	12.019569	6.6702003	30.678516	2.593727	0.0	0.0
4	500.0	2.6435812	0.30750242	3.1137433	0.8364729	80000	1.8626451e-09	6.054631	-0.0070894444	-2.3545675	1.3564423	0.005075833	0.041	127.0	166.49342107772827	18.761274	7.1349053	39.17683	5.72735	0.0	0.0
5	500.0	4.03047	0.54271287	4.9320183	1.0918729	96000	-2.9802322e-08	7.6127143	-0.00568052	-2.9404428	1.3564423	0.004817892	0.035000004	127.0	206.84546661376953	24.436905	8.324848	43.71047	10.008728	0.0	0.0
6	500.0	5.2577863	1.040439	6.72297	0.008522749	112000	-1.4901161e-08	4.9746647	-0.008947706	-1.038993	1.3564423	0.00621454	0.0670625	127.0	240.88565683364868	22.833115	8.703977	47.948727	8.069858	0.0	0.0
7	500.0	5.747389	1.7808486	7.7917356	-1.0201685	128000	-7.450581e-09	11.137979	-0.008985897	-3.2515254	1.3564423	0.008052456	0.078125	127.0	274.1311535835266	32.1987	11.790697	72.55811	17.925133	0.0	0.0
8	500.0	7.4186153	1.9090912	9.108039	-0.32861662	144000	-1.4901161e-08	8.202308	-0.007925723	-1.184798	1.3564423	0.00743308	0.061499998	127.0	311.6480219364166	35.890297	10.282783	64.21163	22.636318	0.0	0.0
9	500.0	8.469518	2.1367686	10.096096	-0.32311383	160000	7.450581e-09	5.9811983	-0.008161286	-0.77739894	1.3564423	0.005626659	0.0639375	127.0	343.6720950603485	39.90621	8.654264	55.998787	23.616764	0.0	0.0
10	500.0	9.438615	1.9347342	10.774465	1.1395372	176000	-1.4901161e-08	9.997503	-0.006307744	-0.4195894	1.3564423	0.0056989477	0.051	127.0	377.8973424434662	43.77879	13.280707	89.37988	26.54133	0.0	0.0
11	500.0	10.002414	1.8150858	11.16996	1.1982139	192000	-1.4901161e-08	7.2507772	-0.007888247	-0.17621756	1.3564423	0.0062293913	0.060000002	127.0	413.93159461021423	42.084507	11.153724	64.732185	28.229221	0.0	0.0
12	500.0	9.79646	1.6273305	10.795638	2.0329747	208000	1.4901161e-08	7.738347	-0.008442232	-0.6055295	1.3564423	0.008496428	0.070375	127.0	452.96430945396423	46.734753	10.27758	73.74396	29.016249	0.0	0.0
13	500.0	10.54111	1.7523174	11.552146	1.7036068	224000	-1.3969839e-09	12.964188	-0.00828849	-0.8671122	1.3564423	0.010275202	0.0740625	127.0	487.22360038757324	50.983574	13.3474245	78.87906	31.34067	0.0	0.0
14	500.0	11.482037	1.8038443	12.417993	2.1688917	240000	-7.450581e-09	11.596689	-0.0076181754	-0.14173694	1.3564423	0.0064338427	0.054250002	127.0	526.5766801834106	49.861183	14.646516	93.55712	26.914467	0.0	0.0
15	500.0	11.315875	1.6534728	12.283213	3.5143137	256000	3.7252903e-09	10.231287	-0.0084745325	-0.49782777	1.3564423	0.009069047	0.076375	127.0	559.4437208175659	53.541634	12.763525	89.52396	35.1692	0.0	0.0
16	500.0	11.87633	1.4815208	12.688571	4.4371715	272000	0.0	11.043746	-0.008734116	-0.7081535	1.3564423	0.008005373	0.07625	127.0	601.6091566085815	55.863052	14.395493	101.015076	37.900295	0.0	0.0
17	500.0	12.447578	1.7390035	13.470774	3.7142656	288000	-3.7252903e-09	8.37992	-0.007197505	-0.19782798	1.3564423	0.006572736	0.065249994	127.0	633.1324825286865	53.741943	12.1233425	96.01241	37.517895	0.0	0.0
