Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.35507017	0.034322456	-0.1837822	-0.40174013	16000	3.9115548e-08	0.47238564	-0.0056785396	-0.37103346	1.3564423	0.0058362447	0.042187497	127.0	48.54227590560913	1.9298377	1.3113571	4.4318805	0.27036303	0.0	0.0
1	500.0	0.24521792	0.018238222	0.289216	0.18088478	32000	1.4901161e-08	1.2748747	-0.005094216	-0.39562106	1.3564423	0.005789584	0.0465	127.0	104.57713460922241	4.5572004	4.5652895	24.337652	0.493136	0.0	0.0
2	500.0	0.87326425	0.043064978	0.9362239	0.5755042	48000	-2.2351742e-08	3.1682098	-0.0051336037	-1.0397491	1.3564423	0.0060357004	0.042687498	127.0	154.95358395576477	9.234932	6.786278	30.125196	1.5621029	0.0	0.0
3	500.0	1.8432643	0.16975074	2.1538863	1.0882717	64000	-7.450581e-09	3.200674	-0.006935057	-0.5931775	1.3564423	0.0069010574	0.052625	127.0	188.9472463130951	11.404243	6.8897963	26.308554	3.0393994	0.0	0.0
4	500.0	2.6086614	0.26084247	3.1411538	1.2081138	80000	-8.568168e-08	12.941238	-0.0059796916	-5.1972876	1.3564423	0.0046144016	0.04175	127.0	224.03824758529663	22.942158	11.115615	61.43904	8.217651	0.0	0.0
5	500.0	4.7604637	0.3879138	5.3159537	2.3281891	96000	1.4901161e-08	9.038131	-0.007936548	-1.701249	1.3564423	0.0057689245	0.048687503	127.0	255.37704825401306	25.714031	10.689912	60.14515	6.274035	0.0	0.0
6	500.0	5.6285977	0.6765907	6.5910935	1.3889451	112000	0.0	6.2235384	-0.0066321413	-1.9351628	1.3564423	0.004949824	0.04475	127.0	287.7132306098938	25.17709	8.617786	47.994453	8.284371	0.0	0.0
7	500.0	6.041809	1.6829906	7.861138	-1.6012886	128000	2.9802322e-08	4.9199514	-0.008704591	-0.7240089	1.3564423	0.007085002	0.078687504	127.0	323.4174120426178	28.16357	7.971696	47.80899	12.006359	0.0	0.0
8	500.0	6.904255	1.881995	8.614678	-0.91796184	144000	1.4901161e-08	8.507407	-0.008088002	-1.070487	1.3564423	0.007343293	0.0685	127.0	354.5826256275177	33.756416	10.284907	64.87443	22.417727	0.0	0.0
9	500.0	7.996584	1.8567878	9.419854	0.02443352	160000	-2.2351742e-08	10.149705	-0.009011394	-0.40931356	1.3564423	0.006616998	0.07224999	127.0	390.1843719482422	37.025555	11.961575	72.17652	20.840906	0.0	0.0
10	500.0	8.65117	1.6953299	9.845614	0.96338636	176000	0.0	11.342356	-0.0070401784	-0.33738428	1.3564423	0.0063930918	0.057375003	127.0	424.91361594200134	39.00129	13.666515	84.79567	19.623934	0.0	0.0
11	500.0	9.028358	1.8924488	10.301869	0.8950631	192000	-9.313226e-09	6.827199	-0.008918103	-0.2099481	1.3564423	0.009269426	0.0675	127.0	459.3992028236389	37.47178	9.54478	69.85569	20.972124	0.0	0.0
12	500.0	8.852034	1.5746629	9.980418	1.7028214	208000	-3.7252903e-09	4.811129	-0.008200171	-0.13713856	1.3564423	0.007302697	0.064125	127.0	495.7855417728424	39.046722	8.844885	60.942905	24.128275	0.0	0.0
13	500.0	8.959043	1.2583629	9.8045225	3.12802	224000	1.8626451e-08	16.011211	-0.0069109183	-1.2725893	1.3564423	0.010124663	0.0773125	127.0	532.3155415058136	44.979477	16.57895	105.4069	22.905617	0.0	0.0
14	500.0	10.02784	1.5325288	10.917453	2.09665	240000	4.0978193e-08	10.087744	-0.006614152	-0.13729484	1.3564423	0.0059079947	0.0518125	127.0	572.4302363395691	45.27379	13.90747	91.28522	24.0785	0.0	0.0
15	500.0	10.15171	1.5156229	11.09661	3.1430125	256000	1.4901161e-08	12.276746	-0.009162623	-2.0003905	1.3564423	0.0076687965	0.076625004	127.0	605.7235381603241	52.28865	13.376179	96.34596	30.604069	0.0	0.0
16	500.0	11.443788	1.6111655	12.352091	3.3970256	272000	-7.450581e-09	8.867389	-0.008394485	-0.069604814	1.3564423	0.0098701	0.0753125	127.0	640.241278886795	51.011898	13.281002	107.68782	35.023483	0.0	0.0
17	500.0	11.548893	1.5046972	12.378384	4.093427	288000	-7.450581e-09	10.335241	-0.008457322	-0.19573244	1.3564423	0.005884709	0.068937495	127.0	675.5448055267334	50.31127	14.634099	101.80906	19.873558	0.0	0.0
18	500.0	11.362453	1.5122755	12.307217	3.7411208	304000	2.6077032e-08	27.890064	-0.0070157936	-2.9290915	1.3564423	0.0071828705	0.069625005	127.0	707.6074812412262	60.194435	22.843582	137.0917	32.554104	0.0	0.0
19	500.0	12.972888	1.4650518	13.710643	4.7612143	320000	-7.450581e-09	15.673107	-0.00860854	-0.3283215	1.3564423	0.00852141	0.0788125	127.0	745.0532383918762	58.500793	16.684927	112.10942	39.16014	0.0	0.0
20	500.0	13.014145	1.8229399	14.069978	4.3554893	336000	0.0	35.67903	-0.007921341	-2.9376616	1.3564423	0.0076026428	0.0636875	127.0	777.7789015769958	66.03494	25.60215	118.78659	26.050028	0.0	0.0
21	500.0	14.340731	2.1189868	15.528171	4.640763	352000	-1.8626451e-08	15.768627	-0.007832985	-2.9541383	1.3564423	0.009646684	0.070875004	127.0	815.9151320457458	55.74128	16.19936	125.14908	34.04998	0.0	0.0
22	500.0	12.452298	2.3365877	14.570751	-1.097986	368000	-1.3038516e-08	22.65794	-0.008390951	-3.3995838	1.3564423	0.007647934	0.0613125	127.0	853.9319157600403	60.381916	21.326864	134.66794	30.608868	0.0	0.0
23	500.0	13.024823	1.6573662	15.03303	6.9555297	384000	9.313226e-09	19.555408	-0.009140742	-2.0956128	1.3564423	0.008024194	0.08275	127.0	891.2639157772064	61.615017	20.901361	126.66371	14.80882	0.0	0.0
24	500.0	13.187654	2.558088	15.74419	3.4678876	400000	-9.313226e-09	33.552826	-0.0082063535	-2.7322528	1.3564423	0.0068839435	0.0685625	127.0	928.5408802032471	64.4488	29.89075	141.64053	25.35201	0.0	0.0
