Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.3754263	0.034748908	-0.1988988	-0.4203142	16000	-5.2154064e-08	0.98231506	-0.004462908	-0.6165575	1.3564423	0.0063697095	0.044687502	127.0	42.22439670562744	2.7810936	2.7714953	10.02089	0.33643928	0.0	0.0
1	500.0	0.4054965	0.023356477	0.45972145	0.3020441	32000	0.0	2.586482	-0.00459814	-0.7186222	1.3564423	0.0038616387	0.035125002	127.0	81.44497275352478	6.4418535	6.55736	32.809345	0.39126953	0.0	0.0
2	500.0	1.2444842	0.05759985	1.31821	0.81503946	48000	1.1175871e-08	2.6091814	-0.0054943245	-0.35265052	1.3564423	0.005852905	0.050812498	127.0	115.6861298084259	8.055945	6.909381	32.053577	0.8186603	0.0	0.0
3	500.0	1.7441779	0.1567513	2.0178592	0.92859477	64000	-5.5879354e-09	3.5494902	-0.006886636	-1.0308075	1.3564423	0.0075663542	0.0560625	127.0	150.90709829330444	12.205187	7.10738	33.17252	2.150209	0.0	0.0
4	500.0	2.7040884	0.33345026	3.2656953	0.80320245	80000	-2.0489097e-08	6.42068	-0.006977965	-2.591082	1.3564423	0.0053284923	0.041625	127.0	187.72635555267334	19.343258	7.263562	37.569286	5.541865	0.0	0.0
5	500.0	4.1555667	0.5961062	5.090861	1.034609	96000	9.313226e-09	6.956493	-0.0058472697	-2.6171136	1.3564423	0.0049992586	0.039625	127.0	220.02013158798218	24.269995	8.158725	42.987125	9.861809	0.0	0.0
6	500.0	5.280495	1.1325897	6.836465	-0.1118149	112000	7.450581e-09	5.568268	-0.008492527	-1.0309896	1.3564423	0.006536188	0.063875005	127.0	256.4498300552368	23.415335	9.474203	58.530872	9.612336	0.0	0.0
7	500.0	5.8681464	1.8282443	7.882346	-0.87168586	128000	7.450581e-09	9.647372	-0.0087055005	-1.9916699	1.3564423	0.008167533	0.0795625	127.0	291.7361478805542	30.646454	11.617705	74.660545	14.831324	0.0	0.0
8	500.0	7.214156	1.8172003	8.881529	0.23722893	144000	1.4901161e-08	6.767123	-0.007441613	-1.0760242	1.3564423	0.006970839	0.065	127.0	331.85757637023926	35.065166	8.280674	58.245792	21.561571	0.0	0.0
9	500.0	8.2542715	2.0192268	9.828849	-0.09969791	160000	-4.0978193e-08	6.7317705	-0.007941475	-1.0045199	1.3564423	0.0044999365	0.057812497	127.0	363.115718126297	39.877983	8.430143	56.13814	23.367474	0.0	0.0
10	500.0	9.373774	1.8392037	10.625765	1.3113574	176000	-7.450581e-09	7.0015182	-0.007108256	-0.17795369	1.3564423	0.0060204496	0.0559375	127.0	400.49992656707764	40.658447	9.660969	69.25832	26.155058	0.0	0.0
11	500.0	9.431739	1.5482364	10.414682	1.6267676	192000	2.2351742e-08	10.415718	-0.0076281494	-0.98543364	1.3564423	0.005933467	0.0618125	127.0	436.3246786594391	46.171505	12.391901	86.30678	28.345774	0.0	0.0
12	500.0	10.343988	1.7488545	11.356923	1.5781511	208000	0.0	8.924463	-0.007933661	-0.21566886	1.3564423	0.0085120555	0.06475	127.0	472.69607877731323	47.423996	11.039174	79.31403	20.842806	0.0	0.0
13	500.0	10.772471	1.7591436	11.747724	1.6786054	224000	-5.5879354e-09	12.684922	-0.008225374	-0.8134599	1.3564423	0.0076382295	0.0633125	127.0	507.2186851501465	51.73062	12.610678	79.263794	28.334019	0.0	0.0
14	500.0	11.6624	1.862019	12.631825	2.2418582	240000	2.2351742e-08	7.5592804	-0.00812396	-0.2607822	1.3564423	0.0075244396	0.0715625	127.0	542.8864459991455	49.347908	10.967107	81.45851	26.46327	0.0	0.0
15	500.0	11.295554	1.5962087	12.221047	3.7883344	256000	4.0978193e-08	28.021471	-0.0074432166	-5.2184863	1.3564423	0.009269055	0.065124996	127.0	574.8181705474854	62.644547	19.982302	116.72188	33.57712	0.0	0.0
16	500.0	13.235406	1.653796	14.042147	4.5628586	272000	7.450581e-09	19.454256	-0.0073301974	-0.8253356	1.3564423	0.009348025	0.07906251	127.0	610.4467251300812	61.32411	18.463015	113.08152	34.830032	0.0	0.0
17	500.0	13.688527	2.0252569	14.754788	3.6467369	288000	2.9802322e-08	16.607986	-0.0069383993	-0.76663136	1.3564423	0.006892835	0.0595	127.0	647.682267665863	58.207092	17.211685	105.416245	35.66875	0.0	0.0
18	500.0	13.271106	1.8343397	14.489321	5.057432	304000	-2.9802322e-08	24.957678	-0.008148332	-1.7871873	1.3564423	0.0073075667	0.0773125	127.0	687.8518264293671	64.50128	22.503757	114.97058	31.554955	0.0	0.0
19	500.0	14.086198	2.0555494	15.443339	4.938838	320000	-1.4901161e-08	17.025509	-0.0069959895	-0.45325512	1.3564423	0.007083335	0.064875	127.0	723.6695339679718	61.1884	18.627472	114.20747	40.949318	0.0	0.0
20	500.0	13.856809	1.9298121	15.4380045	5.419798	336000	-7.0780516e-08	22.733404	-0.0087892935	-2.072136	1.3564423	0.007934388	0.0760625	127.0	764.1631717681885	69.12878	20.179058	117.84185	41.834743	0.0	0.0
21	500.0	15.234969	2.073272	16.426586	5.180787	352000	-1.4901161e-08	31.836449	-0.00829801	-1.0524981	1.3564423	0.009438276	0.070999995	127.0	800.6401479244232	67.98569	25.949783	134.2223	39.453697	0.0	0.0
