Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.35734433	0.026976136	-0.21603934	-0.39508587	16000	-3.46452e-07	0.2754511	-0.005933779	-0.23478171	1.3564423	0.0061207833	0.046375	127.0	58.545166015625	1.1378438	0.7563365	3.3882778	0.25390586	0.0	0.0
1	500.0	0.123712756	0.016805599	0.16573465	0.06210292	32000	-1.4901161e-08	0.0622293	-0.005929382	-0.028293166	1.3564423	0.0060067303	0.040375	127.0	96.14534139633179	1.5049169	0.8575307	3.950588	0.15297651	0.0	0.0
2	500.0	0.29308784	0.018113721	0.32141638	0.1606017	48000	-1.1175871e-08	0.64035165	-0.0051356563	-0.13645965	1.3564423	0.006614199	0.052374996	127.0	133.43676376342773	2.7974582	3.0893192	14.638658	0.66028595	0.0	0.0
3	500.0	0.60350066	0.13521357	0.985029	0.14801964	64000	-2.4214387e-08	0.60671926	-0.006782488	-0.26193184	1.3564423	0.009434639	0.0733125	127.0	174.88185119628906	4.4984064	2.7253497	13.051862	0.8031312	0.0	0.0
4	500.0	1.0699902	0.37216654	1.8274989	-0.12594463	80000	1.4901161e-08	1.7994626	-0.005779892	-0.808434	1.3564423	0.006562745	0.0495625	127.0	211.40518403053284	7.4172564	4.9475913	21.793472	1.154492	0.0	0.0
5	500.0	1.9091406	1.0075448	3.9194484	-0.46902972	96000	-2.4214387e-08	3.298165	-0.007178358	-1.7642267	1.3564423	0.0053349026	0.064500004	127.0	247.75181460380554	12.349701	6.267178	23.258373	1.3864946	0.0	0.0
6	500.0	3.2983844	1.7266188	5.9660726	-0.7528347	112000	3.7252903e-09	3.5332584	-0.0076753264	-0.93679154	1.3564423	0.007273543	0.0759375	127.0	287.3005647659302	15.673882	7.330889	27.992268	1.6794637	0.0	0.0
7	500.0	4.389328	2.1981575	7.2361946	-0.83447015	128000	-7.450581e-09	4.41988	-0.007968737	-0.7445035	1.3564423	0.008275482	0.083625	127.0	330.3766927719116	19.97131	8.249799	43.50173	11.192715	0.0	0.0
8	500.0	5.448636	2.4329655	8.1578665	-0.2604561	144000	7.450581e-09	4.774941	-0.008287236	-1.0095906	1.3564423	0.008587025	0.073750004	127.0	367.02013087272644	25.429962	7.410762	45.775013	10.955199	0.0	0.0
9	500.0	6.583552	2.320362	8.824049	0.36398616	160000	1.4901161e-08	6.2560387	-0.008112912	-0.9904933	1.3564423	0.0052505247	0.076875	127.0	405.078818321228	30.67421	9.682669	55.978397	12.710317	0.0	0.0
10	500.0	7.6578903	2.5088181	9.770628	0.28622118	176000	1.1175871e-08	3.2933125	-0.0096209785	-0.5666653	1.3564423	0.0075928564	0.0721875	127.0	441.5931615829468	29.916256	6.223089	52.41878	19.0175	0.0	0.0
11	500.0	7.5170093	1.7976485	8.978347	0.99521905	192000	0.0	7.462946	-0.008403635	-0.49475628	1.3564423	0.005840412	0.073125	127.0	478.05966114997864	33.08524	11.660625	61.014374	7.937569	0.0	0.0
12	500.0	7.7493486	2.0596538	9.475821	0.49553254	208000	1.4901161e-08	9.791334	-0.008309874	-0.987759	1.3564423	0.0075945635	0.0659375	127.0	516.9955587387085	36.655083	12.225982	62.77222	16.451204	0.0	0.0
13	500.0	8.669061	2.3723483	10.42071	0.6789207	224000	9.313226e-09	12.339663	-0.008223401	-0.43160164	1.3564423	0.008840862	0.0715	127.0	552.5295572280884	36.136528	15.414996	68.66097	1.4365795	0.0	0.0
14	500.0	8.779899	2.2958064	10.393783	0.6390512	240000	7.450581e-09	21.585365	-0.00843138	-1.2433773	1.3564423	0.0092535205	0.074625	127.0	589.7958452701569	42.059044	21.584377	95.32726	1.0706092	0.0	0.0
15	500.0	9.777266	2.218617	11.453712	0.06929848	256000	-1.4901161e-08	18.941858	-0.008638973	-0.7167374	1.3564423	0.007539739	0.078	127.0	625.192239522934	41.732006	19.298023	89.56312	14.893214	0.0	0.0
16	500.0	10.140978	2.1063414	11.76326	0.8921144	272000	0.0	26.807384	-0.007979782	-2.9776244	1.3564423	0.0072372193	0.070875004	127.0	665.0696108341217	50.980545	22.78464	105.538994	17.395468	0.0	0.0
17	500.0	11.202432	2.6709344	13.379385	1.1142598	288000	3.5390258e-08	32.132477	-0.0076595796	-4.747905	1.3564423	0.0067359577	0.058	127.0	701.929438829422	40.625114	25.20064	119.54233	16.5273	0.0	0.0
18	500.0	10.086151	2.5160885	12.928446	1.7722085	304000	1.8626451e-08	24.798325	-0.008457308	-1.8564193	1.3564423	0.0065322346	0.068937495	127.0	738.8878691196442	43.7901	23.047226	106.78988	14.403095	0.0	0.0
19	500.0	10.265629	2.7507534	13.082465	-2.3050253	320000	-7.450581e-09	27.940144	-0.007909888	-1.8474798	1.3564423	0.0066705705	0.064125	127.0	774.5838360786438	47.934967	24.22041	119.504845	19.33062	0.0	0.0
20	500.0	10.973209	1.939658	13.04479	3.3341713	336000	1.4901161e-08	39.952435	-0.0065522874	-7.5251017	1.3564423	0.0060015814	0.060125	127.0	811.0398299694061	61.22201	24.948582	109.325905	19.708664	0.0	0.0
21	500.0	12.528824	2.9593801	15.272632	1.7560778	352000	0.0	31.017561	-0.008904924	-2.8396463	1.3564423	0.009351048	0.0778125	127.0	848.6280426979065	48.365707	25.100904	103.52587	11.053986	0.0	0.0
22	500.0	11.782738	3.2605917	15.187534	0.51626587	368000	-5.5879354e-09	30.22162	-0.008103276	-1.6954572	1.3564423	0.007685177	0.0725625	127.0	885.999662399292	49.515938	24.991919	112.60184	13.653976	0.0	0.0
23	500.0	11.438004	2.4552877	14.9648	2.9919	384000	3.7252903e-09	41.10544	-0.008231666	-4.3748636	1.3564423	0.008981244	0.0788125	127.0	923.8939189910889	56.850983	31.468662	132.37184	3.3572986	0.0	0.0
24	500.0	12.682183	2.8598752	16.235962	1.4105693	400000	-3.7252903e-09	27.76065	-0.008148568	-2.4248476	1.3564423	0.00798309	0.057375	127.0	963.7555503845215	51.03751	26.358187	120.56982	4.5884953	0.0	0.0
25	500.0	10.916998	3.3274078	16.16218	1.7557571	416000	7.450581e-09	33.239822	-0.00891908	-4.8210187	1.3564423	0.007139616	0.08687499	127.0	1002.0959229469299	47.90175	30.131294	118.19008	1.3030049	0.0	0.0
26	500.0	11.963707	3.8571556	17.130518	-0.48003852	432000	-3.7252903e-09	39.340332	-0.0078798365	-3.798942	1.3564423	0.010267372	0.0753125	127.0	1037.6053273677826	53.84086	32.849403	119.34919	1.3686192	0.0	0.0
27	500.0	13.287916	3.4235733	18.10612	1.8788826	448000	-1.1175871e-08	31.383837	-0.008898899	-1.405529	1.3564423	0.008002292	0.0676875	127.0	1075.7244100570679	59.797127	26.893265	127.438866	20.933643	0.0	0.0
28	500.0	13.823565	3.8006575	18.439579	0.1342277	464000	-1.1175871e-08	42.092583	-0.008384651	-6.1633244	1.3564423	0.007769131	0.0760625	127.0	1114.5127294063568	65.5544	34.637554	128.33965	20.314512	0.0	0.0
29	500.0	14.023938	4.608641	20.156075	-0.44278014	480000	0.0	38.33793	-0.008712142	-7.6937313	1.3564423	0.007402445	0.07625	127.0	1157.963603258133	57.85086	33.48993	122.774475	0.76128775	0.0	0.0
30	500.0	14.691352	4.9736705	20.38119	-6.5651646	496000	-7.450581e-09	37.315865	-0.008771642	-5.659242	1.3564423	0.0059198677	0.065437496	127.0	1196.5892746448517	63.014217	31.480759	130.68839	6.5952754	0.0	0.0
31	500.0	15.863775	4.3388195	20.858831	3.3480632	512000	-1.8626451e-08	37.215843	-0.0090125725	-2.7461042	1.3564423	0.0063831136	0.061375	127.0	1234.33575963974	69.72771	30.1016	129.303	35.141823	0.0	0.0
32	500.0	15.49691	5.042146	21.06154	-11.15389	528000	-1.8626451e-09	29.37943	-0.009455568	-3.0558147	1.3564423	0.007893168	0.0748125	127.0	1269.7691156864166	60.10013	28.370743	130.84123	4.546312	0.0	0.0
33	500.0	15.186206	4.4422517	20.629374	3.1539085	544000	3.259629e-08	47.42391	-0.010085704	-7.1525536	1.3564423	0.008390926	0.086875	127.0	1308.4678835868835	74.253136	33.411385	135.54979	2.6899068	0.0	0.0
34	500.0	16.959991	4.806577	22.06926	3.0506337	560000	4.4703484e-08	43.415703	-0.009561452	-8.011939	1.3564423	0.007674953	0.0699375	127.0	1344.3341915607452	63.459656	34.926113	133.57018	3.0738692	0.0	0.0
