Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18932123	0.030800082	-0.15648788	-0.34065145	16000	1.6205013e-07	0.053515714	-0.0053488873	-0.044802163	1.3564423	0.00559315	0.0390625	127.0	36.090524673461914	0.3886954	0.47002244	2.1270497	0.029952724	0.0	0.0
1	500.0	0.024970876	0.027218074	0.08664218	-0.060940716	32000	0.0	0.050024927	-0.0057389913	-0.020411717	1.3564423	0.004155364	0.0436875	127.0	83.28614139556885	1.0167148	1.0398101	4.1495934	0.105699405	0.0	0.0
2	500.0	0.16634595	0.04249054	0.27648604	0.018353246	48000	1.8626451e-08	0.025568398	-0.007827623	-0.004357604	1.3564423	0.007734621	0.0766875	127.0	128.01381754875183	0.9953941	0.8430517	3.7709682	0.11809401	0.0	0.0
3	500.0	0.2264481	0.045880504	0.36479318	0.057843216	64000	0.0	0.13093293	-0.009060808	-0.052837104	1.3564423	0.0083864285	0.0900625	127.0	159.2540454864502	2.1815128	1.6025916	6.9040685	0.14065869	0.0	0.0
4	500.0	0.5240701	0.09804835	0.85575324	0.23830314	80000	2.2351742e-08	0.7743321	-0.0054078386	-0.29859722	1.3564423	0.00418881	0.042875	127.0	191.6894953250885	4.8757606	3.754104	16.424582	0.8414206	0.0	0.0
5	500.0	1.0242246	0.22838883	1.6835616	0.36240783	96000	-1.4901161e-08	1.208984	-0.0070328694	-0.44524592	1.3564423	0.0050680772	0.070625	127.0	224.82102513313293	6.599903	5.251327	22.426561	1.2478834	0.0	0.0
6	500.0	1.7528533	0.52059674	3.0689108	0.05814059	112000	2.2351742e-08	2.0978577	-0.0076067895	-0.9402733	1.3564423	0.0064230897	0.077	127.0	257.6745674610138	10.755581	6.523185	27.826298	2.4439023	0.0	0.0
7	500.0	2.8303492	1.1018183	4.977174	-0.4790503	128000	-2.2351742e-08	8.350608	-0.0072009144	-2.447087	1.3564423	0.0059277574	0.0904375	127.0	289.0478365421295	16.229692	12.733664	55.29588	1.867149	0.0	0.0
8	500.0	4.3290486	1.4579728	7.0295258	-0.22897813	144000	-2.561137e-08	3.5603733	-0.011180255	-1.305166	1.3564423	0.008282911	0.10325	127.0	324.82132363319397	22.598728	6.8380346	35.109108	5.881635	0.0	0.0
9	500.0	5.5410695	1.8473679	8.220437	-0.7425867	160000	-1.6763806e-08	6.237899	-0.009905283	-0.9053946	1.3564423	0.0074678035	0.099374995	127.0	380.3456780910492	26.529636	11.834815	53.79911	7.995178	0.0	0.0
10	500.0	7.118361	1.8041517	9.449891	0.3073184	176000	-7.450581e-09	7.971959	-0.008759986	-0.8579094	1.3564423	0.0070831543	0.083000004	127.0	420.1753568649292	28.545916	12.0240345	70.65243	9.418265	0.0	0.0
11	500.0	6.9540486	1.2589476	8.657518	-0.5082446	192000	-2.2351742e-08	13.146513	-0.007938912	-1.0683411	1.3564423	0.006244409	0.0675	127.0	452.2782473564148	33.41644	16.200895	102.9702	10.584132	0.0	0.0
12	500.0	7.650044	1.4457513	9.374114	0.51804745	208000	-2.9802322e-08	5.8828583	-0.008964751	-1.1716803	1.3564423	0.0069208075	0.0699375	127.0	484.1875343322754	29.408653	8.042496	46.838223	11.938462	0.0	0.0
13	500.0	7.0835276	0.8965324	8.216796	1.9920292	224000	-7.450581e-09	6.669834	-0.007497685	-0.66487354	1.3564423	0.0064841234	0.0606875	127.0	520.1105585098267	34.447502	9.141771	48.31763	16.31083	0.0	0.0
14	500.0	7.5132833	0.6339326	8.179754	2.629055	240000	-2.2351742e-08	9.756186	-0.007807079	-0.76433223	1.3564423	0.009106541	0.0633125	127.0	557.1767983436584	37.71279	12.527883	73.285545	15.461337	0.0	0.0
15	500.0	8.201776	0.97409123	9.083813	1.1484331	256000	1.3038516e-08	12.965128	-0.007762567	-0.57404494	1.3564423	0.007458926	0.065375	127.0	590.4522869586945	40.412636	14.837909	84.74009	17.834707	0.0	0.0
