Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36436263	0.03153278	-0.22948444	-0.40411824	16000	2.9802322e-08	0.24114192	-0.006053223	-0.21839178	1.3564423	0.006195357	0.038875	127.0	32.36045718193054	1.0305328	0.374175	2.225692	0.4984414	0.0	0.0
1	500.0	0.09749366	0.022130508	0.15666667	0.011238292	32000	2.2351742e-08	0.02502716	-0.00695952	-0.013055931	1.3564423	0.008079311	0.063812494	127.0	69.46423292160034	1.1554742	0.52001894	3.0573769	0.40086615	0.0	0.0
2	500.0	0.21361215	0.03004109	0.27264786	0.104708776	48000	4.4703484e-08	0.03270434	-0.0060093543	-0.010107978	1.3564423	0.005948605	0.06343751	127.0	114.45853400230408	1.595274	0.7939323	5.302215	0.8940355	0.0	0.0
3	500.0	0.3022366	0.04289012	0.39564282	0.14685377	64000	0.0	0.01994109	-0.008330004	-0.0027288657	1.3564423	0.010411584	0.0864375	127.0	157.80292177200317	1.7305486	0.57948893	3.2156205	0.7496256	0.0	0.0
4	500.0	0.36447895	0.035377473	0.4465647	0.20052615	80000	-1.8626451e-08	0.3610988	-0.0048290812	-0.097283006	1.3564423	0.0065007163	0.0773125	127.0	201.93221735954285	2.7106278	2.5646496	13.348486	0.8090585	0.0	0.0
5	500.0	0.5394188	0.13459644	1.153516	0.19351467	96000	4.4703484e-08	0.5877602	-0.0056179487	-0.3001061	1.3564423	0.0067161317	0.074562505	127.0	233.23267126083374	3.1496882	3.7001092	17.824352	0.73898506	0.0	0.0
6	500.0	0.83555484	0.54456	3.2055898	-0.20279673	112000	1.8626451e-08	0.41096714	-0.007134036	-0.18066579	1.3564423	0.006196108	0.088375	127.0	264.7774965763092	3.5400624	4.019855	19.774286	0.90914214	0.0	0.0
7	500.0	1.5789434	1.3000834	4.838039	-0.38828385	128000	7.450581e-09	0.54436344	-0.009634467	-0.1205082	1.3564423	0.007116407	0.09375	127.0	297.94840693473816	4.7157087	4.6450667	18.845097	0.93597436	0.0	0.0
8	500.0	2.349166	1.47691	5.2225	-0.4672047	144000	-3.7252903e-09	1.3196342	-0.008410133	-0.48601964	1.3564423	0.0075581586	0.08400001	127.0	329.08440828323364	11.089491	6.3709416	23.236696	0.8357209	0.0	0.0
9	500.0	2.740264	1.6179334	5.6565185	-0.36219203	160000	-4.4703484e-08	1.3077779	-0.008504285	-0.28053036	1.3564423	0.005756634	0.086687505	127.0	360.56889748573303	11.513497	8.232447	38.629784	1.0761358	0.0	0.0
10	500.0	2.935185	1.9775583	6.633766	-0.51745784	176000	7.450581e-09	1.5879099	-0.008980087	-0.15187106	1.3564423	0.009246074	0.08831251	127.0	394.6323323249817	10.3224125	7.117327	28.959036	0.7848058	0.0	0.0
11	500.0	3.6319408	2.1960816	6.5222564	-0.6085712	192000	3.7252903e-09	1.5729297	-0.008179732	-0.53170335	1.3564423	0.007519358	0.0670625	127.0	426.2609808444977	11.716029	5.22977	18.631662	0.74469864	0.0	0.0
12	500.0	3.667898	1.5479761	5.786821	-0.090433985	208000	-1.1175871e-08	3.4488072	-0.0070406296	-0.43516514	1.3564423	0.005707471	0.0629375	127.0	459.0752840042114	17.267237	7.5495653	42.13348	1.6438066	0.0	0.0
13	500.0	4.432101	1.3703928	5.83153	-0.28676537	224000	-3.7252903e-09	2.9252872	-0.007419908	-0.3569535	1.3564423	0.005316238	0.056562502	127.0	489.3964169025421	17.195156	6.945145	51.390755	9.669017	0.0	0.0
14	500.0	4.2257476	1.0558547	5.3109655	-0.13082787	240000	1.4901161e-08	3.826404	-0.00698552	-0.4463336	1.3564423	0.0053831646	0.0564375	127.0	520.1469492912292	19.684639	8.531891	55.05059	10.993912	0.0	0.0
15	500.0	4.5099444	1.0193185	5.6440725	0.33996892	256000	0.0	2.539381	-0.007201248	-0.358715	1.3564423	0.005476333	0.059249997	127.0	550.976594209671	20.563557	6.903695	54.099884	15.188017	0.0	0.0
16	500.0	4.7785916	0.976868	6.0054407	0.31230876	272000	-1.4901161e-08	1.954896	-0.0078235	-0.3755802	1.3564423	0.005936172	0.062000003	127.0	580.0000517368317	20.82175	5.739535	50.59977	16.181904	0.0	0.0
17	500.0	4.597017	0.9880953	6.164686	0.2670921	288000	2.2351742e-08	2.450374	-0.0070247804	-0.46008152	1.3564423	0.005704057	0.066375	127.0	610.9613807201385	22.260551	7.6067553	61.468754	16.424572	0.0	0.0
18	500.0	5.0734797	1.0854815	7.106569	0.83492666	304000	0.0	0.6070286	-0.010407271	-0.09333673	1.3564423	0.0075063957	0.0858125	127.0	644.7826504707336	23.234453	2.4915533	29.540543	18.025484	0.0	0.0
19	500.0	5.302055	0.9648099	6.9627457	1.41637	320000	-3.7252903e-09	1.4591658	-0.010607718	-0.487214	1.3564423	0.009127761	0.1000625	127.0	677.7673454284668	27.254076	4.4241834	47.911655	21.877483	0.0	0.0
20	500.0	6.1069303	1.0663376	7.481478	1.8302654	336000	1.8626451e-09	0.6298691	-0.011130398	-0.12728775	1.3564423	0.0068869274	0.102874994	127.0	716.2661793231964	28.498947	3.7430277	45.217636	23.686682	0.0	0.0
21	500.0	6.480057	1.2361928	7.9046526	1.6034985	352000	-3.3527613e-08	0.7038559	-0.012905781	-0.1964275	1.3564423	0.009216223	0.103437506	127.0	748.7123944759369	30.451817	2.502662	35.69323	24.658676	0.0	0.0
22	500.0	6.884774	1.1670725	8.207287	1.980636	368000	0.0	3.6099205	-0.007788537	-0.70933676	1.3564423	0.008712166	0.0733125	127.0	783.8079192638397	32.179665	9.071039	77.524376	17.356945	0.0	0.0
23	500.0	6.9107623	1.6120163	9.051413	-3.0882294	384000	-3.7252903e-09	1.2037675	-0.008925962	-0.17700757	1.3564423	0.0061223404	0.0734375	127.0	818.6574010848999	30.69038	4.6678495	40.533554	16.785402	0.0	0.0
24	500.0	7.142739	1.4034764	8.627726	-1.5370864	400000	7.450581e-09	0.7326964	-0.010684673	-0.11749121	1.3564423	0.0065290295	0.0884375	127.0	852.148086309433	32.83506	4.3233867	37.76417	16.955492	0.0	0.0
