Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36847875	0.03425538	-0.19859752	-0.4139397	16000	-1.07102096e-07	0.55228114	-0.0056591113	-0.43700022	1.3564423	0.0058351513	0.043375	127.0	39.51750040054321	2.1884074	1.3312899	4.7320023	0.42426637	0.0	0.0
1	500.0	0.2836023	0.019079225	0.32498777	0.19030812	32000	-1.4901161e-08	1.2566648	-0.0053727333	-0.45108905	1.3564423	0.006755322	0.054250002	127.0	70.46624398231506	5.0076065	4.334364	24.050127	0.54148936	0.0	0.0
2	500.0	0.9601926	0.047465235	1.0229173	0.61634696	48000	-1.6763806e-08	3.1243353	-0.005391623	-1.1960465	1.3564423	0.006326041	0.047937497	127.0	103.30948138237	10.183908	6.142711	28.811382	2.194391	0.0	0.0
3	500.0	2.0191963	0.16066165	2.2582219	1.2630676	64000	1.1175871e-08	2.7061012	-0.007998709	-0.82519495	1.3564423	0.0075175557	0.06	127.0	135.8200716972351	13.384542	5.1515756	23.197483	5.3876305	0.0	0.0
4	500.0	2.9658804	0.20761397	3.28641	1.5907079	80000	1.4901161e-08	5.8797626	-0.006676168	-2.358035	1.3564423	0.0047093485	0.0520625	127.0	168.007337808609	20.946465	6.727984	37.770542	9.627618	0.0	0.0
5	500.0	4.440055	0.2978974	4.8381534	2.3906817	96000	0.0	3.291034	-0.0077422266	-0.35257864	1.3564423	0.0055225985	0.0605	127.0	199.2421875	21.991268	6.892717	39.54611	10.478785	0.0	0.0
6	500.0	4.9111724	0.37120828	5.4812465	2.0694342	112000	-3.7252903e-09	4.235808	-0.006831828	-0.9060949	1.3564423	0.005562096	0.0430625	127.0	230.2537136077881	23.817795	6.560657	39.23264	12.395222	0.0	0.0
7	500.0	5.4173594	0.8513605	6.509293	0.24745974	128000	2.7939677e-09	4.810462	-0.0077026077	-1.0204409	1.3564423	0.006399774	0.0674375	127.0	262.7886700630188	27.348097	8.050219	42.547005	12.914044	0.0	0.0
8	500.0	6.303267	1.1827911	7.571966	-0.33212647	144000	-1.4901161e-08	3.408124	-0.0069429567	-0.109896466	1.3564423	0.006873139	0.0546875	127.0	292.1630413532257	27.931576	6.856921	43.34467	15.596435	0.0	0.0
9	500.0	6.6517158	1.1113281	7.650893	0.618725	160000	7.450581e-09	4.6321206	-0.0079243975	-0.16655101	1.3564423	0.005222796	0.066125005	127.0	321.464035987854	28.581554	8.721459	48.00143	16.538666	0.0	0.0
10	500.0	6.6308928	0.7893832	7.311978	1.8731418	176000	1.4901161e-08	4.270575	-0.0066147465	-0.095946595	1.3564423	0.005281193	0.04525	127.0	349.45549869537354	28.349747	8.708517	48.36883	18.13464	0.0	0.0
11	500.0	6.4331427	0.6972659	7.01648	2.325074	192000	-3.1664968e-08	6.9243455	-0.008478909	-0.34716225	1.3564423	0.0066672117	0.059125	127.0	379.1003074645996	31.630405	10.755395	50.00323	14.071628	0.0	0.0
12	500.0	6.964012	0.7604258	7.5343924	2.2331	208000	1.8626451e-08	4.8362885	-0.0076268986	-0.40518308	1.3564423	0.0067507615	0.057875	127.0	407.8518784046173	28.894825	8.910331	49.966263	20.515295	0.0	0.0
13	500.0	6.50105	0.5344791	6.9771295	2.898546	224000	7.450581e-09	5.5365005	-0.0073219393	-0.16293468	1.3564423	0.0064753075	0.0581875	127.0	436.42916107177734	31.305279	9.860463	50.465878	17.759499	0.0	0.0
14	500.0	6.8085823	0.6741164	7.386974	2.4021006	240000	-7.450581e-09	3.5481834	-0.006348012	-0.3739081	1.3564423	0.005947998	0.052062504	127.0	466.464684009552	28.630142	7.6393743	51.64216	16.949074	0.0	0.0
15	500.0	6.3251176	0.4409643	6.877219	2.7738154	256000	9.313226e-09	4.876077	-0.0076405574	-0.48922437	1.3564423	0.0064591016	0.0679375	127.0	496.2515404224396	32.719017	9.103813	52.24121	16.549751	0.0	0.0
16	500.0	6.9442577	0.48091012	7.4267416	3.662547	272000	-3.7252903e-09	5.408656	-0.008052924	-0.6863518	1.3564423	0.008711074	0.071125	127.0	527.4452607631683	36.298225	9.151318	51.441547	24.213818	0.0	0.0
17	500.0	7.7788386	0.48776895	8.181153	3.6155734	288000	-2.6077032e-08	3.5767393	-0.007007014	-0.42002726	1.3564423	0.004644895	0.047312498	127.0	561.532769203186	32.734497	8.082983	53.40137	23.485592	0.0	0.0
18	500.0	7.1691194	0.6670225	7.983475	2.0734766	304000	-1.8626451e-08	8.641631	-0.0074068513	-1.9913433	1.3564423	0.006738927	0.06025	127.0	592.9265785217285	40.853683	11.433986	62.881985	25.950012	0.0	0.0
19	496.78125	8.398959	0.5248269	9.091779	3.6974967	320000	1.4901161e-08	5.0578337	-0.00720598	-1.2165825	1.3564423	0.005079099	0.048875	127.0	623.629695892334	33.636223	8.946477	56.13662	21.534231	0.0	0.0
20	499.625	7.5471983	0.7285535	8.7297945	3.26083	336000	2.4214387e-08	7.7787704	-0.0066145905	-1.9149107	1.3564423	0.005814852	0.053499997	127.0	655.4704642295837	40.42133	12.816202	63.216755	24.662146	0.0	0.0
21	500.0	8.336952	1.0688035	10.11873	2.872625	352000	-1.8626451e-09	6.686617	-0.009005388	-0.54697216	1.3564423	0.0074327607	0.0723125	127.0	687.3053016662598	37.68147	11.798318	68.52717	24.634022	0.0	0.0
22	500.0	8.298246	0.89522845	10.293555	3.690101	368000	3.7252903e-09	5.211958	-0.009336945	-1.0278485	1.3564423	0.008203873	0.0805625	127.0	725.3315536975861	41.557304	11.315896	66.959045	27.331766	0.0	0.0
23	500.0	9.075277	1.321844	11.211532	3.0691128	384000	5.5879354e-09	5.2118225	-0.009816876	-1.2702093	1.3564423	0.008721976	0.0795	127.0	758.7064340114594	46.004395	10.837496	71.501724	28.790205	0.0	0.0
24	500.0	10.198238	1.4032856	12.308948	3.1220767	400000	3.7252903e-09	6.0641146	-0.009630039	-0.5236506	1.3564423	0.0061742095	0.070250005	127.0	792.1672041416168	46.997826	10.974322	73.27778	29.37638	0.0	0.0
25	500.0	10.302027	1.4958737	12.773803	3.4674711	416000	2.9802322e-08	4.304514	-0.011006055	-0.8090873	1.3564423	0.007391703	0.0889375	127.0	820.8363544940948	44.007206	6.934172	61.79556	31.11547	0.0	0.0
26	500.0	10.198475	1.1472698	12.055166	3.8624918	432000	-2.2351742e-08	3.661299	-0.008982765	-0.65970445	1.3564423	0.005631165	0.071625	127.0	851.1623721122742	47.881763	7.864584	66.864	34.404285	0.0	0.0
27	500.0	10.4265995	1.6841292	12.551687	1.4648551	448000	-1.1175871e-08	6.36838	-0.011010766	-1.2863187	1.3564423	0.009898209	0.0839375	127.0	884.0992832183838	49.26169	10.141744	71.96088	29.860167	0.0	0.0
28	500.0	10.387969	2.193411	12.761959	-4.8366613	464000	0.0	7.316025	-0.009213807	-1.7089319	1.3564423	0.007884163	0.084750004	127.0	914.1841819286346	51.96118	13.8323145	78.43857	24.03134	0.0	0.0
29	500.0	10.302807	3.1132083	13.918766	-7.201273	480000	-1.4901161e-08	7.0310783	-0.008078832	-1.707097	1.3564423	0.00562494	0.062000003	127.0	946.2331161499023	46.353493	10.313229	67.65443	27.516876	0.0	0.0
30	500.0	9.862426	1.8505843	13.268869	0.88677317	496000	-1.4901161e-08	4.7666807	-0.008065088	-0.5913652	1.3564423	0.0061194533	0.076749995	127.0	978.4244291782379	49.582962	10.997475	74.706085	28.662987	0.0	0.0
