Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36753547	0.032021336	-0.23222853	-0.40783495	16000	-4.0605664e-07	0.24103904	-0.0060509	-0.2183125	1.3564423	0.0064391573	0.038999997	127.0	34.985005378723145	1.0172496	0.37135488	2.2477129	0.48670372	0.0	0.0
1	500.0	0.09372174	0.022570362	0.15462896	0.006875761	32000	2.9802322e-08	0.022434842	-0.0070535596	-0.013368258	1.3564423	0.0078021903	0.063125	127.0	70.50975942611694	1.1441898	0.46343142	2.4865773	0.38823885	0.0	0.0
2	500.0	0.21107332	0.029915182	0.27008426	0.103471205	48000	-1.4901161e-08	0.040420145	-0.0057379454	-0.01296246	1.3564423	0.005962789	0.060749996	127.0	114.9959876537323	1.6428943	0.8657326	5.638182	0.886411	0.0	0.0
3	500.0	0.30704376	0.04520152	0.40450287	0.16232714	64000	3.7252903e-09	0.021600714	-0.008348353	-0.0022586426	1.3564423	0.010779865	0.093062505	127.0	157.08833122253418	1.7074844	0.57991403	3.5913024	0.7456999	0.0	0.0
4	500.0	0.36309218	0.035762064	0.4467317	0.18566085	80000	0.0	0.30597416	-0.0056119123	-0.06338207	1.3564423	0.0061914697	0.076437496	127.0	207.11926579475403	2.540166	2.4313438	12.613276	0.8778332	0.0	0.0
5	500.0	0.5047472	0.10769287	1.0197407	0.20227055	96000	2.9802322e-08	1.1389192	-0.005200641	-0.6050485	1.3564423	0.006968633	0.0690625	127.0	249.169930934906	3.6308196	4.99444	22.43737	0.77531993	0.0	0.0
6	500.0	0.8732146	0.6418687	3.5994294	-0.3591299	112000	-3.7252903e-09	0.72799194	-0.006162761	-0.2778036	1.3564423	0.0062989164	0.082	127.0	285.9721567630768	3.8664207	5.1796365	26.079271	0.86556005	0.0	0.0
7	500.0	1.5879859	1.4515032	5.688725	-0.59911054	128000	1.8626451e-08	0.8061305	-0.008578787	-0.17842424	1.3564423	0.0072908327	0.094875	127.0	320.0500257015228	5.333005	6.091534	25.209915	0.98314184	0.0	0.0
8	500.0	2.5285494	1.8213687	6.829	-0.79302514	144000	1.1175871e-08	1.0479016	-0.008517186	-0.1674698	1.3564423	0.006781053	0.0796875	127.0	358.41116881370544	9.6374	6.7989016	26.404451	0.86347044	0.0	0.0
9	500.0	3.2262135	2.120532	7.229767	-0.65810853	160000	3.7252903e-09	1.9379654	-0.008918429	-0.17898706	1.3564423	0.0065973187	0.082875	127.0	392.677686214447	12.278161	7.835793	31.44977	1.204239	0.0	0.0
10	500.0	3.423891	2.084167	6.9001174	-0.5782468	176000	2.2351742e-08	2.9256437	-0.008577604	-0.22295986	1.3564423	0.008254955	0.079375	127.0	431.5244474411011	12.547756	9.371285	49.878773	0.9380066	0.0	0.0
11	500.0	4.2816076	2.3982646	7.4214754	-0.90236175	192000	1.8626451e-09	4.847437	-0.008260851	-0.49746916	1.3564423	0.007890956	0.072375	127.0	468.46417713165283	14.958226	10.95193	53.27444	1.0264623	0.0	0.0
12	500.0	4.4789443	1.8524916	6.6881213	-0.93167675	208000	0.0	5.267522	-0.006880147	-0.44105232	1.3564423	0.0064757746	0.0625625	127.0	506.65259075164795	18.997082	10.974748	45.702858	1.4362075	0.0	0.0
