Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.37466568	0.034527246	-0.19969404	-0.4189058	16000	8.940697e-08	1.3196671	-0.004530154	-0.8344127	1.3564423	0.0061858	0.047312498	127.0	39.570364236831665	3.5112245	3.1486309	11.967238	0.5787734	0.0	0.0
1	500.0	0.5362348	0.027017057	0.5894125	0.38620603	32000	0.0	2.3906407	-0.004479112	-0.8747723	1.3564423	0.0047851354	0.039812498	127.0	78.92213463783264	7.5342555	5.606778	28.026968	0.77184075	0.0	0.0
2	500.0	1.4693699	0.057288583	1.5350127	0.9878643	48000	-1.6763806e-08	2.3491135	-0.0061301976	-0.62052286	1.3564423	0.006177269	0.053375	127.0	117.62779688835144	10.405735	5.498294	22.39796	1.7327763	0.0	0.0
3	500.0	2.2009814	0.15462267	2.4556544	1.3542154	64000	3.1664968e-08	4.211266	-0.0074777026	-1.4550571	1.3564423	0.008076804	0.062124997	127.0	152.18730878829956	15.744225	6.8329844	38.13226	5.6821575	0.0	0.0
4	500.0	3.3950288	0.25897795	3.7299273	1.7300538	80000	3.7252903e-09	3.6486816	-0.0067841783	-1.0318162	1.3564423	0.005296584	0.0459375	127.0	191.21771931648254	19.955368	4.949275	32.206463	9.78796	0.0	0.0
5	500.0	4.344407	0.35072052	4.90982	1.9462439	96000	7.450581e-09	5.495331	-0.0062899757	-1.450783	1.3564423	0.0068400893	0.051250003	127.0	228.966246843338	24.56381	7.69135	38.674717	10.827848	0.0	0.0
6	500.0	5.333751	0.522957	6.0901356	1.5398254	112000	2.6077032e-08	3.3035898	-0.008326547	-0.796146	1.3564423	0.0071817795	0.0634375	127.0	267.23906087875366	23.201172	6.0407524	38.41692	12.0161705	0.0	0.0
7	500.0	5.4787683	1.1662979	6.9676275	-0.40115273	128000	-7.450581e-09	3.8979971	-0.008757611	-1.0237855	1.3564423	0.007504225	0.0770625	127.0	302.91330790519714	27.96548	6.753668	42.973515	18.997763	0.0	0.0
8	500.0	6.4914203	1.2666974	7.812119	-0.09785308	144000	0.0	4.048955	-0.0070892936	-0.2434302	1.3564423	0.0077236616	0.0596875	127.0	339.1471321582794	29.648798	7.908409	45.797832	19.029827	0.0	0.0
9	500.0	6.990419	1.3209819	8.16503	0.47861627	160000	0.0	5.0486503	-0.007621823	-0.6258211	1.3564423	0.0038987866	0.05525	127.0	372.81206345558167	34.05768	9.353675	53.25524	16.84691	0.0	0.0
10	500.0	7.850165	1.2543273	8.812165	1.4821966	176000	0.0	6.168022	-0.0065966398	-1.0329269	1.3564423	0.0064674485	0.043562498	127.0	417.8720746040344	30.159227	9.415474	49.00118	16.136925	0.0	0.0
11	500.0	7.076834	0.7679795	7.693058	3.1372283	192000	1.4901161e-08	8.227179	-0.008308161	-0.20851001	1.3564423	0.0052570044	0.0585	127.0	455.04217433929443	33.640705	12.412848	60.805744	18.372179	0.0	0.0
12	500.0	7.469817	0.7995578	8.049084	3.1684465	208000	0.0	6.6657867	-0.006153308	-0.14740936	1.3564423	0.0061587766	0.0503125	127.0	496.7984697818756	35.200157	11.11432	56.54693	16.943941	0.0	0.0
13	500.0	7.8513055	0.84247667	8.373127	3.1182127	224000	-3.7252903e-09	8.8749695	-0.007957308	-0.26418513	1.3564423	0.006303249	0.056500003	127.0	535.5319948196411	37.872326	13.258432	68.16578	18.350641	0.0	0.0
14	500.0	8.358861	0.92928946	8.87695	3.3087573	240000	3.7252903e-09	8.101091	-0.006741697	-0.23810554	1.3564423	0.005995758	0.0500625	127.0	571.5050318241119	35.50951	13.264455	60.83485	15.924782	0.0	0.0
