Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36980885	0.03412982	-0.20101273	-0.41330552	16000	-5.2154064e-08	0.38570917	-0.0058790543	-0.32321554	1.3564423	0.00602948	0.0459375	127.0	34.13359451293945	1.613884	0.8922728	3.582864	0.43305296	0.0	0.0
1	500.0	0.19053833	0.019583367	0.23586893	0.101668455	32000	8.940697e-08	0.5749312	-0.005673713	-0.24134335	1.3564423	0.006715816	0.054250002	127.0	62.26752519607544	3.5648918	2.7148578	15.043929	0.3341175	0.0	0.0
2	500.0	0.6878392	0.039499182	0.74955064	0.4165972	48000	1.3038516e-08	1.9198892	-0.005693881	-0.8396735	1.3564423	0.0063736867	0.049125	127.0	94.26048254966736	7.8947372	4.3433137	19.522167	1.8816984	0.0	0.0
3	500.0	1.5681052	0.15068978	1.8143958	0.8931498	64000	7.450581e-09	2.7633097	-0.008025672	-1.1008689	1.3564423	0.008234803	0.066375	127.0	125.83698844909668	11.935257	4.5763087	22.103823	4.607805	0.0	0.0
4	500.0	2.6527474	0.24346325	3.0768082	1.1693269	80000	0.0	5.706269	-0.006288195	-2.8298333	1.3564423	0.0043343166	0.0431875	127.0	154.3453392982483	19.914333	5.1459436	32.265984	9.190791	0.0	0.0
5	500.0	4.2194896	0.4022942	4.8338895	1.7759293	96000	0.0	3.9555855	-0.0073783323	-1.1423035	1.3564423	0.005188073	0.0511875	127.0	186.3970181941986	22.86003	5.8010836	35.46367	8.942228	0.0	0.0
6	500.0	5.1102233	0.5932403	5.9486938	1.1692231	112000	-1.3038516e-08	2.9201045	-0.007352176	-0.9036002	1.3564423	0.005492553	0.047749996	127.0	217.21983289718628	23.022926	4.2062173	33.927967	13.909288	0.0	0.0
7	500.0	5.4704914	1.2257845	6.924446	-0.52049637	128000	1.5832484e-08	2.039763	-0.009366758	-0.3742184	1.3564423	0.007032678	0.08325	127.0	249.7230920791626	25.041193	4.730781	34.006886	12.213062	0.0	0.0
8	500.0	6.0866523	1.3832961	7.503897	-0.057819057	144000	-1.8626451e-09	2.3099365	-0.007949632	-0.20019877	1.3564423	0.007083995	0.060624998	127.0	279.03953433036804	27.430471	4.7236533	35.781727	15.301031	0.0	0.0
9	500.0	6.5569344	1.2494173	7.6166253	0.8072156	160000	1.4901161e-08	2.132245	-0.009491832	-0.20639127	1.3564423	0.0052343393	0.075625	127.0	311.9927523136139	30.309166	4.3946643	37.4215	16.744015	0.0	0.0
