Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.35577944	0.034070194	-0.18648332	-0.39995039	16000	-8.195639e-08	0.41469625	-0.0059732907	-0.3432622	1.3564423	0.0061297277	0.0481875	127.0	35.29740810394287	1.7706057	0.9861802	4.0077252	0.47065338	0.0	0.0
1	500.0	0.2218333	0.019019118	0.26789847	0.14868782	32000	-1.4901161e-08	0.6778152	-0.005807574	-0.28139547	1.3564423	0.0066871033	0.056	127.0	66.57759857177734	3.9175966	2.9213352	15.999132	0.40914357	0.0	0.0
2	500.0	0.7547142	0.037105083	0.80422246	0.4868195	48000	-2.2351742e-08	2.3068311	-0.0056773648	-1.0356297	1.3564423	0.0064668586	0.0495625	127.0	96.17831087112427	8.703793	4.619307	20.511251	1.9831707	0.0	0.0
3	500.0	1.7301606	0.16040461	1.9790461	1.0382767	64000	2.9802322e-08	2.453663	-0.007789923	-0.9482671	1.3564423	0.008662503	0.067	127.0	132.09234523773193	12.131907	4.328231	22.367222	5.0262985	0.0	0.0
4	500.0	2.721728	0.254315	3.16891	1.1597755	80000	4.8428774e-08	5.6464434	-0.0069844853	-2.912909	1.3564423	0.0041632084	0.04625	127.0	164.1059787273407	20.431225	4.7117963	31.146238	10.390342	0.0	0.0
5	500.0	4.330613	0.38077056	4.8717394	1.8893881	96000	7.450581e-09	3.4479494	-0.0073502697	-0.8143226	1.3564423	0.006581674	0.056625	127.0	195.43984150886536	22.545143	5.80162	33.165905	9.293521	0.0	0.0
6	500.0	5.0669365	0.567256	5.8836107	1.3032637	112000	-2.2351742e-08	2.8668718	-0.007951709	-0.9082421	1.3564423	0.005499588	0.0485625	127.0	225.57681369781494	23.503084	4.0590496	34.016964	15.270739	0.0	0.0
7	500.0	5.532103	1.1790524	6.9206347	-0.3929831	128000	4.1909516e-08	2.2709923	-0.009030223	-0.5740001	1.3564423	0.006793882	0.07618751	127.0	256.0284435749054	26.12695	4.715757	33.834026	12.188095	0.0	0.0
8	500.0	6.296223	1.42987	7.680051	-0.18552183	144000	-7.450581e-09	2.1524851	-0.008232329	-0.13977864	1.3564423	0.0075252	0.0635	127.0	288.8997540473938	27.945301	4.9951844	38.160065	17.087778	0.0	0.0
9	500.0	6.7051053	1.3124913	7.796432	0.52600133	160000	7.450581e-09	2.3593228	-0.00958517	-0.23803988	1.3564423	0.0059987186	0.078625	127.0	319.5029377937317	30.96679	5.0167236	41.945564	17.430859	0.0	0.0
10	500.0	7.191692	1.0896671	8.01087	1.9250257	176000	-7.450581e-09	1.983606	-0.0075341314	-0.05617077	1.3564423	0.005253506	0.0585	127.0	352.3809304237366	32.14586	4.9589596	48.66498	20.655334	0.0	0.0
11	500.0	7.339394	1.1504762	8.129972	1.9679561	192000	5.5879354e-09	1.8222067	-0.008915784	-0.10507953	1.3564423	0.0061359718	0.073937505	127.0	384.7656800746918	33.62372	4.7984524	40.56012	20.18723	0.0	0.0
12	500.0	7.64667	1.1369754	8.393377	2.1831782	208000	-2.7008355e-08	1.8409376	-0.007590712	-0.30036908	1.3564423	0.005127227	0.0508125	127.0	416.06863379478455	36.61761	4.5276423	44.981834	27.604132	0.0	0.0
13	500.0	8.191311	1.0155313	8.807691	3.0875745	224000	-2.2351742e-08	1.9804308	-0.008668918	-0.15776557	1.3564423	0.007199952	0.069125004	127.0	447.99625992774963	34.359722	5.786716	45.208714	22.89619	0.0	0.0
14	500.0	7.877094	0.94668037	8.437666	2.9302583	240000	1.6763806e-08	1.7634366	-0.00754607	-0.1064229	1.3564423	0.0062361327	0.0601875	127.0	480.51109981536865	36.99301	5.5044785	55.552563	24.617882	0.0	0.0
15	500.0	8.147781	0.9602047	8.728596	3.3687725	256000	4.4703484e-08	1.9206296	-0.008165477	-0.3533463	1.3564423	0.0061229877	0.06575	127.0	514.125156879425	39.578	4.5347843	50.09976	31.381836	0.0	0.0
16	500.0	8.716532	1.03402	9.311719	3.2762094	272000	-3.7252903e-09	1.8932133	-0.008057758	-0.07546223	1.3564423	0.0072702887	0.054250002	127.0	547.0476427078247	40.402893	4.9282923	49.518394	28.993786	0.0	0.0
17	500.0	9.024207	0.93677855	9.515278	3.7675166	288000	2.2351742e-08	1.6681442	-0.007579256	-0.08257411	1.3564423	0.0053619784	0.0589375	127.0	579.6462330818176	41.73724	5.001536	54.735302	33.171616	0.0	0.0
18	500.0	9.240081	1.0508506	9.794365	3.5841804	304000	-1.4901161e-08	4.29207	-0.007551957	-0.39294246	1.3564423	0.00632907	0.057812497	127.0	614.555002450943	45.06083	8.042506	74.17035	35.52717	0.0	0.0
19	500.0	9.844816	0.9641526	10.319164	4.290059	320000	2.2351742e-08	5.4206414	-0.0068502	-0.2817843	1.3564423	0.005663729	0.0508125	127.0	650.7474870681763	46.984165	10.129345	99.190735	37.425484	0.0	0.0
20	500.0	10.297019	1.1298068	10.882605	3.6553178	336000	-1.8626451e-08	0.7516458	-0.0072296476	-0.078887664	1.3564423	0.0052056136	0.06518751	127.0	687.0182964801788	45.297646	2.9516633	50.50457	37.571518	0.0	0.0
21	500.0	10.129746	1.1935583	10.872351	4.189169	352000	2.2351742e-08	1.5872912	-0.0075954753	-0.016750507	1.3564423	0.0058659166	0.0525625	127.0	719.5311121940613	45.741234	5.2435174	63.884296	35.738537	0.0	0.0
22	500.0	10.168933	1.1327171	10.908705	4.4369407	368000	0.0	3.7570093	-0.0076112123	-0.18879536	1.3564423	0.008240834	0.067687504	127.0	752.326183795929	47.886894	7.561841	84.04548	37.33073	0.0	0.0
