Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.37603217	0.034532394	-0.2025658	-0.41935873	16000	5.5879354e-08	0.71034646	-0.0049717072	-0.51999366	1.3564423	0.0063609444	0.051875003	127.0	41.5446720123291	2.4057794	1.8724968	7.51818	0.47371203	0.0	0.0
1	500.0	0.34178773	0.02222709	0.39865088	0.2627207	32000	-2.2351742e-08	1.4196646	-0.004786204	-0.59673315	1.3564423	0.0049572107	0.043125	127.0	71.93190002441406	5.715662	3.9489012	18.811975	0.81301135	0.0	0.0
2	500.0	1.115761	0.051203154	1.176588	0.7184591	48000	3.3527613e-08	2.4737763	-0.0059420904	-0.8040116	1.3564423	0.005916561	0.05125	127.0	101.6995153427124	9.318794	5.257441	25.277132	1.5188146	0.0	0.0
3	500.0	1.9500116	0.1800045	2.2505434	1.0692888	64000	-8.754432e-08	3.3943043	-0.0072981436	-1.474802	1.3564423	0.007925516	0.059249997	127.0	134.12795877456665	14.201184	5.219292	26.623266	4.593278	0.0	0.0
4	500.0	3.1319373	0.32898644	3.6529496	1.0868036	80000	1.8626451e-08	4.0212526	-0.0067101927	-1.6297921	1.3564423	0.004443109	0.0379375	127.0	166.0234010219574	19.417065	4.475495	27.146486	9.748117	0.0	0.0
5	500.0	4.2435565	0.5513478	5.010427	1.1283708	96000	-2.9802322e-08	3.1871467	-0.0071031614	-1.1095425	1.3564423	0.005016052	0.051249996	127.0	196.7303605079651	22.326342	4.924903	29.26792	12.762997	0.0	0.0
6	500.0	5.0462794	0.88641506	6.2748623	0.37796316	112000	1.4901161e-08	2.4599981	-0.009418517	-0.5905539	1.3564423	0.007036576	0.071687505	127.0	229.66423201560974	22.674526	5.1578684	38.285587	11.8758745	0.0	0.0
7	500.0	5.545822	1.3917369	7.094776	-0.20055163	128000	-3.1664968e-08	2.2373579	-0.009526443	-0.6876271	1.3564423	0.006437691	0.076625004	127.0	263.3554015159607	26.997845	3.3750858	33.186756	18.88364	0.0	0.0
8	500.0	6.433495	1.4061282	7.7941394	0.31377837	144000	0.0	1.9044088	-0.009328082	-0.1408232	1.3564423	0.007138809	0.07375	127.0	295.7873499393463	28.597206	4.4083247	37.9888	20.569967	0.0	0.0
9	500.0	6.8277206	1.3512373	7.9456196	1.0082369	160000	2.2351742e-08	3.2744112	-0.009273826	-0.5451992	1.3564423	0.005788817	0.07475	127.0	328.06237053871155	33.083595	6.0014806	53.35014	17.17885	0.0	0.0
10	500.0	7.62399	1.2232885	8.509523	2.0769134	176000	-9.313226e-10	1.7778654	-0.008824025	-0.049967125	1.3564423	0.006099604	0.06325	127.0	361.0839042663574	33.203304	4.8683834	42.253094	20.49103	0.0	0.0
11	500.0	7.6188393	1.0610195	8.342468	2.6964602	192000	-1.6763806e-08	1.5992246	-0.008691654	-0.044957656	1.3564423	0.0074808323	0.067875	127.0	395.2512791156769	34.251945	4.013904	41.678074	22.558067	0.0	0.0
12	500.0	7.7402835	0.9735341	8.371814	2.9214694	208000	1.9557774e-08	2.064523	-0.0073119067	-0.21110395	1.3564423	0.006339376	0.056999996	127.0	429.3124210834503	36.739197	4.795364	45.560326	21.740171	0.0	0.0
13	500.0	8.199668	0.9786234	8.76641	3.040627	224000	2.2351742e-08	2.3154564	-0.009078948	-0.028250337	1.3564423	0.0075143296	0.073	127.0	464.16393089294434	37.228558	5.9247036	54.06777	19.640175	0.0	0.0
14	500.0	8.374988	1.0124015	8.936334	2.9949644	240000	-2.9802322e-08	2.3359375	-0.006636264	-0.19709481	1.3564423	0.005950989	0.0578125	127.0	503.61810636520386	39.994698	5.6627374	57.294876	30.263813	0.0	0.0
15	500.0	8.79355	0.9416981	9.316508	3.6276617	256000	-7.450581e-09	2.9288073	-0.007900719	-0.06706913	1.3564423	0.0057811933	0.0515	127.0	539.5295743942261	40.938995	7.039813	73.18362	26.184555	0.0	0.0
16	500.0	9.029441	0.9040446	9.493176	4.206904	272000	1.1175871e-08	3.821127	-0.006980688	-0.08017637	1.3564423	0.006937133	0.0656875	127.0	573.766001701355	41.8062	7.61572	71.76647	31.368164	0.0	0.0
17	500.0	9.277302	0.97826564	9.7824955	3.6758664	288000	-7.450581e-09	1.5346253	-0.0077055865	-0.098379135	1.3564423	0.0061082817	0.0640625	127.0	607.6478266716003	40.914078	4.6315618	49.67506	22.171747	0.0	0.0
18	500.0	9.06699	0.7843538	9.446918	4.6079226	304000	7.450581e-09	9.123238	-0.005952049	-0.8477582	1.3564423	0.007836608	0.0635625	127.0	641.0006966590881	46.14862	12.653658	103.315025	33.17541	0.0	0.0
19	500.0	9.9491415	0.9493648	10.40367	4.423358	320000	3.7252903e-09	6.32058	-0.006070948	-0.42581865	1.3564423	0.004203894	0.04625	127.0	675.2700097560883	48.3046	10.679763	88.93585	35.647305	0.0	0.0
20	500.0	10.507842	1.1006106	11.079797	4.2223544	336000	3.7252903e-09	1.9732422	-0.007871023	-0.09269761	1.3564423	0.0059051616	0.060999997	127.0	712.5687339305878	46.496525	5.404087	72.904076	39.288956	0.0	0.0
21	500.0	10.297762	1.0901697	11.085268	4.449355	352000	-7.450581e-09	10.643283	-0.0075578988	-1.1919726	1.3564423	0.0076766545	0.07443751	127.0	746.8435139656067	49.68547	15.223661	102.11239	24.648216	0.0	0.0
22	500.0	10.476362	1.2031889	12.249412	5.0713563	368000	1.1175871e-08	6.9237885	-0.0066253617	-0.3684314	1.3564423	0.008839371	0.0650625	127.0	780.9171876907349	48.29686	13.455981	120.9499	38.225735	0.0	0.0
