Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.3578045	0.026958676	-0.21900399	-0.39349163	16000	1.7881393e-07	0.2458938	-0.0063777976	-0.21819411	1.3564423	0.006202624	0.051562503	127.0	46.70012426376343	1.0361125	0.52256376	2.83239	0.35921112	0.0	0.0
1	500.0	0.107897475	0.016988486	0.15081824	0.037675537	32000	1.4901161e-08	0.0545949	-0.0063878642	-0.027512047	1.3564423	0.006743594	0.0546875	127.0	78.74367570877075	1.3762188	0.7785155	3.435265	0.30523762	0.0	0.0
2	500.0	0.27306837	0.02191835	0.3015355	0.12170123	48000	0.0	0.55929244	-0.006151883	-0.17141248	1.3564423	0.0064197937	0.054125004	127.0	112.93427562713623	3.0615182	2.6225502	13.646776	0.9454194	0.0	0.0
3	500.0	0.6502276	0.14158432	1.0231779	0.1456224	64000	-2.9802322e-08	1.0335772	-0.0074092313	-0.39087594	1.3564423	0.009573219	0.0765	127.0	144.31076312065125	5.269557	3.4560497	15.05916	0.91402197	0.0	0.0
4	500.0	1.2124215	0.3866782	2.0100646	-0.17761537	80000	0.0	1.4357207	-0.0053049913	-0.7014195	1.3564423	0.0055187754	0.039375	127.0	177.62151956558228	7.5510497	4.1969066	17.934584	1.4149007	0.0	0.0
5	500.0	1.8543471	0.9836494	3.6303935	-0.6321183	96000	-1.6763806e-08	1.9973816	-0.007862117	-1.0459442	1.3564423	0.006546587	0.076249994	127.0	208.57969784736633	11.033684	4.998502	21.408764	2.2774985	0.0	0.0
6	500.0	3.1100671	1.5271423	5.3397975	-0.5397125	112000	1.8626451e-08	2.0869646	-0.008731866	-0.65740573	1.3564423	0.0077927145	0.088937506	127.0	243.51378870010376	14.869918	5.159136	25.372662	4.6477456	0.0	0.0
7	500.0	4.043729	1.8361863	6.3902564	-0.41485855	128000	3.7252903e-09	1.8009107	-0.008180477	-0.2704217	1.3564423	0.0076460806	0.0744375	127.0	276.89104080200195	17.326742	4.5302696	26.27983	10.4460535	0.0	0.0
8	500.0	4.7072234	1.9158858	6.8095374	-0.2983105	144000	-1.8626451e-08	2.3328927	-0.008877366	-0.61557806	1.3564423	0.007736723	0.0776875	127.0	308.8378872871399	21.722408	4.8908367	30.43554	12.369764	0.0	0.0
9	500.0	5.562523	1.7860415	7.2588186	0.33544108	160000	-2.7939677e-09	1.932431	-0.009359941	-0.20388724	1.3564423	0.0060455455	0.0760625	127.0	342.15082025527954	24.251493	4.913011	35.175694	13.194565	0.0	0.0
10	500.0	6.047293	1.5200711	7.2621493	0.6708924	176000	5.2154064e-08	2.291836	-0.00750281	-0.3911595	1.3564423	0.005130126	0.053000003	127.0	375.0458312034607	28.3844	5.6683307	38.085964	14.896896	0.0	0.0
11	500.0	6.7275286	1.4440446	7.833599	1.16696	192000	1.0244548e-08	2.0061667	-0.009125575	-0.30520728	1.3564423	0.0074341344	0.07875	127.0	407.99130296707153	31.326647	4.380652	40.71061	20.460846	0.0	0.0
12	500.0	7.2168026	1.485729	8.243829	1.4199231	208000	2.2351742e-08	1.9128397	-0.008781784	-0.083627544	1.3564423	0.0062247273	0.067625	127.0	441.43297576904297	31.568748	5.6099763	43.223396	17.068285	0.0	0.0
13	500.0	7.458379	1.5760274	8.531875	1.2370895	224000	-7.450581e-09	1.8454319	-0.0099034095	-0.052107394	1.3564423	0.009758779	0.0754375	127.0	473.92969155311584	32.62538	4.9563875	42.351196	22.67047	0.0	0.0
14	500.0	7.6585155	1.4339594	8.554795	1.8282748	240000	1.4901161e-08	1.4998534	-0.007595329	-0.050870012	1.3564423	0.007373188	0.0554375	127.0	507.1557068824768	34.20189	5.0224195	45.506397	23.500654	0.0	0.0
15	500.0	7.814822	1.3472435	8.648312	2.34155	256000	-9.313226e-10	1.5802145	-0.007941881	-0.023105312	1.3564423	0.005584472	0.0529375	127.0	541.971531867981	34.22197	4.7801566	45.38482	20.685213	0.0	0.0
16	500.0	7.930745	1.256414	8.631206	2.462646	272000	-1.8626451e-08	1.2316917	-0.008245634	-0.13461116	1.3564423	0.00669136	0.0626875	127.0	576.0870988368988	36.657364	3.0910823	46.07786	32.10976	0.0	0.0
17	500.0	8.299378	1.2108301	8.955193	2.7470393	288000	7.450581e-09	0.9172251	-0.0085242065	-0.013395891	1.3564423	0.005130526	0.065437496	127.0	611.343355178833	36.65927	3.0828474	44.466854	30.806864	0.0	0.0
18	500.0	8.338496	1.1383724	8.906499	2.9589007	304000	-1.8626451e-08	2.0558765	-0.008183222	-0.5500558	1.3564423	0.005924127	0.060687497	127.0	646.4091551303864	40.661167	4.682267	48.464962	31.405968	0.0	0.0
19	500.0	9.072941	1.2976347	9.723991	2.881126	320000	7.450581e-09	1.7477866	-0.0066185985	-0.038955633	1.3564423	0.0050972784	0.059375	127.0	681.716872215271	40.417038	4.8358126	60.798622	35.978916	0.0	0.0
20	500.0	9.068765	1.1344417	9.656828	3.529824	336000	-1.1175871e-08	1.2926986	-0.0071537513	-0.021175934	1.3564423	0.006538338	0.05575	127.0	714.0468776226044	40.77176	4.635035	51.366158	34.277626	0.0	0.0
21	500.0	9.170906	1.2233309	9.7793455	3.126368	352000	0.0	1.4581604	-0.008010566	-0.18651141	1.3564423	0.0056334375	0.064875	127.0	748.1896166801453	42.724728	4.4764705	49.926773	32.872993	0.0	0.0
22	500.0	9.533643	1.364952	10.25985	3.498123	368000	1.8626451e-09	0.82891357	-0.0085018845	-0.056140106	1.3564423	0.0077847503	0.0678125	127.0	783.6608352661133	41.681145	3.2431846	50.79975	35.280113	0.0	0.0
