Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.3539904	0.031937994	-0.21756867	-0.39554334	16000	9.685755e-08	0.17284495	-0.0070183026	-0.1584462	1.3564423	0.0065828683	0.0435625	127.0	38.351808071136475	0.6682539	0.28400764	1.4953374	0.30155665	0.0	0.0
1	500.0	0.045859184	0.023398567	0.10658617	-0.04794	32000	-7.450581e-09	0.013403637	-0.0072032115	-0.008126607	1.3564423	0.007468475	0.057875	127.0	75.03923273086548	0.75683403	0.37807128	1.861402	0.13097928	0.0	0.0
2	500.0	0.13613938	0.028522104	0.19317152	0.03135267	48000	1.3038516e-08	0.0067303353	-0.008054722	-0.0023823162	1.3564423	0.0070414185	0.069625005	127.0	114.40478277206421	0.9738095	0.34144342	1.7788428	0.50461966	0.0	0.0
3	500.0	0.18831943	0.028739419	0.24779749	0.10030803	64000	-2.2351742e-08	0.0066971136	-0.0077857506	-0.0017257393	1.3564423	0.00872241	0.0721875	127.0	152.9363534450531	1.1374509	0.35590544	1.8188436	0.56984913	0.0	0.0
4	500.0	0.22935908	0.022667224	0.28301767	0.16209882	80000	7.450581e-09	0.009053014	-0.006182042	-0.0017870304	1.3564423	0.0056430805	0.047375	127.0	188.8581554889679	1.3054509	0.4785868	2.4332159	0.5886525	0.0	0.0
5	500.0	0.2624843	0.019761639	0.30748507	0.1724639	96000	-3.7252903e-09	0.82119954	-0.0055416445	-0.23796187	1.3564423	0.0056236954	0.0528125	127.0	225.81278276443481	2.5689058	3.749373	16.65923	0.42036998	0.0	0.0
6	500.0	0.40439636	0.10891953	0.9464787	0.027017578	112000	0.0	0.031496014	-0.0072246445	-0.0141858235	1.3564423	0.006309619	0.0730625	127.0	267.8151481151581	1.5203311	0.8353732	5.1233673	0.69347763	0.0	0.0
7	500.0	0.47004193	0.27457726	1.6226865	-0.09485289	128000	1.1175871e-08	0.06258333	-0.0076724	-0.012219898	1.3564423	0.006397868	0.0843125	127.0	311.57562708854675	1.9256127	1.3529171	5.184734	0.64467055	0.0	0.0
8	500.0	0.5899719	0.33762503	1.7768444	0.027515769	144000	-1.1175871e-08	0.60535073	-0.007381566	-0.24447216	1.3564423	0.009151027	0.089062504	127.0	353.64654636383057	3.3250303	3.6765835	16.279886	0.5106906	0.0	0.0
9	500.0	0.966189	0.6642851	3.244576	-0.24223632	160000	-3.7252903e-08	0.3846197	-0.0077420226	-0.11324927	1.3564423	0.0066418257	0.0871875	127.0	391.25282621383667	3.764927	3.9034362	14.519797	0.63581777	0.0	0.0
10	500.0	0.93891233	0.84193635	3.7286582	-0.4356198	176000	3.7252903e-09	0.53586227	-0.0065863566	-0.17354724	1.3564423	0.0075167464	0.0720625	127.0	426.17117524147034	3.8401139	4.3215694	17.964151	0.61216587	0.0	0.0
11	500.0	1.0644417	1.3013101	5.8823776	-0.77110225	192000	1.4901161e-08	0.41320875	-0.010055666	-0.04555761	1.3564423	0.006219369	0.082499996	127.0	466.58064126968384	3.5426428	4.427681	15.280297	0.55583936	0.0	0.0
12	500.0	2.1172242	2.02787	5.9918385	-0.7859687	208000	0.0	1.5937086	-0.009326255	-0.46700627	1.3564423	0.008188909	0.088375	127.0	505.1790292263031	9.573952	8.977394	27.43445	0.5944898	0.0	0.0
13	500.0	4.154216	2.0910022	6.8822565	-0.85061854	224000	1.1175871e-08	1.7357557	-0.008195278	-0.23684499	1.3564423	0.006651302	0.072500005	127.0	544.6268589496613	15.765729	5.8327994	30.514162	0.8854673	0.0	0.0
14	500.0	4.2230616	1.7797765	6.4708962	-0.50384486	240000	3.7252903e-08	1.7925609	-0.008051715	-0.4003448	1.3564423	0.006877829	0.06375	127.0	581.5992741584778	15.350044	6.620308	28.198818	3.2089198	0.0	0.0
15	500.0	4.1852236	1.4788809	6.2055893	-0.18974864	256000	7.450581e-09	1.6863991	-0.009641629	-0.28869712	1.3564423	0.008605717	0.0810625	127.0	616.9265971183777	17.948997	4.1620026	27.31448	9.948035	0.0	0.0
16	500.0	4.3350234	1.2809454	6.071605	0.07747842	272000	4.656613e-09	1.5360236	-0.008029819	-0.23140508	1.3564423	0.0056163706	0.070875004	127.0	655.4135336875916	18.029484	4.842723	29.856855	11.337349	0.0	0.0
17	500.0	4.5008144	1.2211814	6.2659144	0.36327687	288000	-7.450581e-09	1.8086045	-0.0078043155	-0.27681735	1.3564423	0.0044978047	0.0655625	127.0	710.8832333087921	20.482086	5.17733	30.55036	12.57016	0.0	0.0
18	500.0	5.0738654	1.1972778	6.6198134	0.37177822	304000	-1.8626451e-09	1.9031631	-0.00995793	-0.3691469	1.3564423	0.006678341	0.0791875	127.0	758.9119915962219	21.961126	5.2561617	30.836655	11.446454	0.0	0.0
19	500.0	4.9090724	1.0452993	6.6821365	0.69745797	320000	7.450581e-09	1.5245099	-0.009415053	-0.22495872	1.3564423	0.0060127024	0.074625	127.0	796.541079044342	22.950596	5.1254516	30.366129	12.521212	0.0	0.0
20	500.0	5.250522	1.1802051	7.099443	0.7929717	336000	2.8871e-08	1.4265982	-0.008819938	-0.3403175	1.3564423	0.006668673	0.082812496	127.0	837.1647961139679	25.03666	4.9742465	32.663925	14.257882	0.0	0.0
21	500.0	5.663717	1.2145989	7.554953	1.208794	352000	-5.5879354e-09	1.6434767	-0.009149888	-0.45131302	1.3564423	0.007255506	0.0800625	127.0	878.5765910148621	27.129068	4.7175593	34.913193	17.601713	0.0	0.0
22	500.0	6.0831437	1.2434335	8.056298	1.4893497	368000	1.3038516e-08	1.0025909	-0.009488836	-0.1947688	1.3564423	0.0069628796	0.073937505	127.0	919.9112286567688	27.682888	4.946104	35.12039	16.823877	0.0	0.0
23	500.0	6.4981356	1.3655473	8.525206	1.8201581	384000	-2.0489097e-08	1.0256116	-0.009781034	-0.10092681	1.3564423	0.008155229	0.0879375	127.0	964.6287162303925	29.250809	5.180907	37.132793	17.414576	0.0	0.0
24	500.0	6.3520966	1.3140602	8.627922	1.8821442	400000	-2.9802322e-08	1.8351241	-0.0089836875	-0.60153043	1.3564423	0.006921474	0.075937495	127.0	1004.6784915924072	31.179514	5.311491	39.953293	13.5511265	0.0	0.0
25	500.0	6.735465	1.5264316	9.219644	1.9744115	416000	-5.5879354e-09	1.3949122	-0.009073854	-0.25925052	1.3564423	0.0076934486	0.0784375	127.0	1055.2391421794891	31.620571	5.9271846	39.205013	17.084553	0.0	0.0
26	500.0	7.168849	1.4431856	9.4900055	2.2894814	432000	7.450581e-09	1.0690507	-0.01044734	-0.13634521	1.3564423	0.008462612	0.089562505	127.0	1125.690200805664	33.20021	5.369853	42.236942	19.732908	0.0	0.0
27	500.0	7.4774218	1.3487303	9.694233	2.4991946	448000	1.8626451e-08	5.3151383	-0.007340102	-1.13942	1.3564423	0.00600205	0.090312496	127.0	1171.0950076580048	37.74351	8.836553	76.75644	24.718145	0.0	0.0
28	500.0	8.142912	1.5002364	10.378125	3.1782756	464000	5.5879354e-09	1.6025362	-0.009725664	-0.4676636	1.3564423	0.005499211	0.0740625	127.0	1215.2061352729797	37.580723	6.0165253	46.314426	22.152401	0.0	0.0
29	500.0	8.648274	1.592677	10.638802	3.1125913	480000	-2.2351742e-08	2.1596339	-0.009953719	-0.11271246	1.3564423	0.008890249	0.086687505	127.0	1252.1743791103363	39.998936	6.6692357	63.3978	24.916393	0.0	0.0
30	500.0	8.838616	1.6526345	10.771186	3.1189332	496000	7.450581e-09	1.4088342	-0.009031961	-0.57844466	1.3564423	0.008390896	0.070374995	127.0	1295.7961390018463	40.672806	6.169348	49.02278	21.946041	0.0	0.0
31	500.0	9.257133	1.8447661	11.255403	3.1879923	512000	-7.450581e-09	1.490315	-0.010834032	-0.39502266	1.3564423	0.008924388	0.07675	127.0	1351.107228755951	42.220024	7.4654217	50.896347	23.54879	0.0	0.0
32	500.0	9.406018	2.1991138	12.013269	-1.6032393	528000	-1.1175871e-08	1.1685541	-0.010801469	-0.20027503	1.3564423	0.0069779693	0.081750005	127.0	1405.5764706134796	41.746323	6.766348	51.976494	16.847706	0.0	0.0
33	500.0	10.014662	2.0041978	12.09393	3.6367934	544000	-3.7252903e-09	0.695524	-0.010142956	-0.17317855	1.3564423	0.006142925	0.0836875	127.0	1444.6550405025482	44.38357	5.742161	50.99969	22.278435	0.0	0.0
34	500.0	10.358013	1.7942841	12.151585	4.1001725	560000	7.450581e-09	0.78578866	-0.0099866595	-0.12087054	1.3564423	0.0061785867	0.077374995	127.0	1482.3540382385254	45.227604	4.5258145	51.01843	33.08465	0.0	0.0
35	500.0	10.0344095	2.0568194	12.025119	3.941487	576000	1.1175871e-08	1.3258626	-0.008941096	-0.38645238	1.3564423	0.006983363	0.06649999	127.0	1523.0607924461365	42.41877	7.2922077	52.616505	24.657959	0.0	0.0
36	500.0	10.379519	1.8008606	12.002951	4.1449614	592000	-3.7252903e-09	0.9209502	-0.010586113	-0.16655849	1.3564423	0.0077410024	0.0833125	127.0	1564.2346813678741	45.422012	5.323086	51.70278	25.12259	0.0	0.0
37	500.0	10.316339	1.9704049	12.152551	3.231066	608000	3.7252903e-09	1.0926857	-0.009077678	-0.23692048	1.3564423	0.0060671326	0.066687495	127.0	1606.6432056427002	45.93392	5.9860754	51.107124	15.820509	0.0	0.0
38	500.0	10.619956	1.741873	11.905613	4.24649	624000	1.8626451e-09	0.6821273	-0.010112732	-0.12223226	1.3564423	0.007252764	0.0664375	127.0	1646.9715864658356	46.795597	4.9306245	53.359665	31.887634	0.0	0.0
39	500.0	10.726175	1.7821652	12.104097	4.0767183	640000	-1.4901161e-08	0.5362079	-0.00807627	-0.05250196	1.3564423	0.005412367	0.062437497	127.0	1688.4648146629333	47.72249	3.3788552	52.306545	37.14232	0.0	0.0
40	500.0	10.480853	2.1627138	12.113444	1.6557869	656000	3.7252903e-09	0.6967766	-0.0105628455	-0.106489316	1.3564423	0.0081412345	0.076124996	127.0	1728.2774488925934	46.31676	7.3400726	53.019665	12.630773	0.0	0.0
