Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36339992	0.03156665	-0.22785439	-0.4037395	16000	5.5879354e-08	0.17742352	-0.00698217	-0.16264805	1.3564423	0.006721218	0.04625	127.0	38.50672769546509	0.6541444	0.2766281	1.4361001	0.29222405	0.0	0.0
1	500.0	0.041443594	0.022453029	0.10052536	-0.04767075	32000	0.0	0.013446601	-0.0071751564	-0.008257971	1.3564423	0.0075419196	0.05725	127.0	72.67333769798279	0.73245174	0.3822207	1.9205499	0.11964741	0.0	0.0
2	500.0	0.1349381	0.027158877	0.19005929	0.04024545	48000	3.7252903e-09	0.005694247	-0.008584712	-0.0018904791	1.3564423	0.0071547264	0.070125	127.0	107.04974317550659	0.93846977	0.3187882	1.6968185	0.44664302	0.0	0.0
3	500.0	0.1801427	0.028599882	0.2393814	0.0922153	64000	0.0	0.11704947	-0.0043080067	-0.016225506	1.3564423	0.00808318	0.072125	127.0	139.95544505119324	1.344924	1.4054753	8.957764	0.63799244	0.0	0.0
4	500.0	0.2762334	0.043844603	0.3792979	0.12750784	80000	7.450581e-09	0.008873116	-0.00800466	-0.0016902608	1.3564423	0.006550126	0.066	127.0	171.71187281608582	1.3320472	0.4495517	2.3603542	0.49490103	0.0	0.0
5	500.0	0.29038125	0.03881337	0.44570518	0.15952533	96000	-1.4901161e-08	1.0092949	-0.0052487124	-0.37666306	1.3564423	0.005336739	0.0476875	127.0	204.7131633758545	2.863589	4.2449236	18.949327	0.35388944	0.0	0.0
6	500.0	0.46482942	0.2709486	2.0341368	-0.26430148	112000	7.450581e-09	0.22205281	-0.006368927	-0.084156595	1.3564423	0.00646123	0.0826875	127.0	236.30515146255493	1.9497806	2.525841	15.137949	0.5577841	0.0	0.0
7	500.0	0.7503969	0.72691894	3.4304094	-0.31995457	128000	7.450581e-09	0.1343055	-0.010408934	-0.05181071	1.3564423	0.005929069	0.0871875	127.0	267.7760832309723	2.1380906	1.9129331	9.371514	0.67057365	0.0	0.0
8	500.0	1.0177659	0.80520934	3.3424692	-0.1789439	144000	7.450581e-09	1.7258329	-0.0066352515	-0.81762713	1.3564423	0.008209428	0.08075	127.0	299.94996523857117	5.863534	6.589888	24.036377	0.60735327	0.0	0.0
9	500.0	1.781896	1.3548757	5.3918056	-0.5734588	160000	0.0	1.897617	-0.007780089	-0.7060113	1.3564423	0.0048193648	0.077875	127.0	330.5564954280853	7.795988	8.403445	30.213608	0.7317303	0.0	0.0
10	500.0	2.6771963	2.0369046	6.7322626	-0.9171629	176000	1.8626451e-08	1.059871	-0.009664787	-0.21803844	1.3564423	0.008691029	0.093125	127.0	360.31416058540344	9.6924715	7.1971645	21.945189	0.6492631	0.0	0.0
11	500.0	3.2935927	2.5927505	7.927164	-0.98239625	192000	7.450581e-09	1.7288022	-0.009488134	-0.31407356	1.3564423	0.0068044467	0.079624996	127.0	394.5632553100586	12.730866	7.995982	26.864428	0.5315984	0.0	0.0
12	500.0	4.5687304	2.5588067	7.708759	-0.869726	208000	3.7252903e-09	1.9124045	-0.008655391	-0.19671908	1.3564423	0.0075426814	0.073125	127.0	431.75821685791016	17.261703	8.362156	29.946367	0.7597663	0.0	0.0
13	500.0	5.453835	1.9191917	7.194654	-0.9525475	224000	7.450581e-09	2.6490922	-0.00796585	-0.20229363	1.3564423	0.0069979476	0.056687497	127.0	466.2990207672119	22.460888	6.3403153	35.215565	9.6901045	0.0	0.0
14	500.0	5.403081	1.7806468	6.904214	-0.027055524	240000	-1.4901161e-08	2.139742	-0.009122792	-0.32360834	1.3564423	0.007934815	0.079687506	127.0	500.50710248947144	23.43649	8.269517	38.05208	8.739655	0.0	0.0
15	500.0	5.9637713	1.8643274	7.659109	-0.22328262	256000	-4.656613e-09	2.5163343	-0.009318866	-0.25038466	1.3564423	0.007854346	0.0743125	127.0	536.5089740753174	25.978516	7.037825	41.968597	13.895131	0.0	0.0
16	500.0	6.148789	1.6830972	7.721947	0.23640972	272000	5.5879354e-09	2.2542331	-0.007776761	-0.1709791	1.3564423	0.0061642006	0.0651875	127.0	569.9398651123047	27.833397	6.3306203	39.08608	13.801692	0.0	0.0
17	500.0	6.7431026	1.5603623	7.990447	0.7189358	288000	-1.3038516e-08	3.3016706	-0.007851228	-0.31153113	1.3564423	0.0055697015	0.06487501	127.0	601.2565565109253	31.152876	7.1800575	40.469776	15.378116	0.0	0.0
18	500.0	7.303395	1.4602554	8.384314	1.0717347	304000	-4.656613e-09	2.1265955	-0.008292825	-0.1425646	1.3564423	0.0066475943	0.0628125	127.0	633.8723061084747	33.265965	6.5906696	41.69572	19.211334	0.0	0.0
19	500.0	7.6868606	1.5030969	8.655229	0.554274	320000	1.4901161e-08	2.0912716	-0.009376798	-0.35268962	1.3564423	0.0069209132	0.066062495	127.0	667.6571545600891	36.011032	5.764185	43.89843	16.87859	0.0	0.0
20	500.0	8.145674	1.4887428	9.242164	1.5144224	336000	-1.1175871e-08	2.3230267	-0.0084740985	-0.7475073	1.3564423	0.006316878	0.05925	127.0	701.321026802063	38.584023	6.14684	45.989727	13.685613	0.0	0.0
21	500.0	8.930297	1.7612861	10.157109	1.7037444	352000	1.1175871e-08	2.3374891	-0.009674177	-0.24922511	1.3564423	0.0052892035	0.0644375	127.0	733.6622548103333	37.07521	6.313218	45.525997	18.070745	0.0	0.0
22	500.0	8.7194	1.5498761	9.701462	2.0875635	368000	1.8626451e-09	3.0349183	-0.008798739	-0.5887002	1.3564423	0.0058742235	0.0645	127.0	766.874951839447	41.468033	6.0613155	60.778828	27.38617	0.0	0.0
23	500.0	9.4664135	1.6702483	10.386306	2.0082672	384000	-2.0489097e-08	1.7705817	-0.009264265	-0.13257055	1.3564423	0.0062602055	0.067499995	127.0	798.6759743690491	42.628998	5.224326	52.128704	26.391312	0.0	0.0
24	500.0	9.66554	1.847155	10.726911	2.2190938	400000	-3.7252903e-08	1.0514634	-0.008794647	-0.043283608	1.3564423	0.006712214	0.054	127.0	833.8272051811218	42.162064	4.8597045	49.09774	28.773876	0.0	0.0
25	500.0	9.675123	1.9077461	10.848363	2.397717	416000	-7.450581e-09	1.202071	-0.009243553	-0.18114832	1.3564423	0.0066966093	0.0584375	127.0	869.4023873806	43.65069	6.4789357	49.37633	20.994799	0.0	0.0
26	500.0	9.9797735	1.9686124	11.22147	2.5939713	432000	-2.9802322e-08	3.6427698	-0.008574022	-0.5949408	1.3564423	0.008883502	0.096625	127.0	904.8693051338196	46.973484	8.33622	77.13888	24.086945	0.0	0.0
27	500.0	10.633664	2.1275558	11.918693	1.5791148	448000	-9.313226e-09	0.9777708	-0.010295112	-0.13346349	1.3564423	0.0070757475	0.0720625	127.0	939.7133960723877	45.901222	4.74106	52.38135	30.627148	0.0	0.0
28	500.0	10.534674	1.9016458	11.80828	3.5210516	464000	0.0	2.6464715	-0.007486242	-0.21592468	1.3564423	0.006710235	0.054624997	127.0	972.9637820720673	45.623436	8.140353	67.440506	18.39842	0.0	0.0
29	500.0	10.572789	1.9859598	11.750503	1.3181032	480000	-9.313226e-09	0.9876647	-0.008964358	-0.08817414	1.3564423	0.006214088	0.06325	127.0	1006.1757438182831	47.669777	4.5562105	53.497887	29.621723	0.0	0.0
30	500.0	10.413861	2.558449	11.902299	-5.6272025	496000	7.450581e-09	2.7986448	-0.0071497913	-0.470199	1.3564423	0.007872634	0.07762501	127.0	1041.5360674858093	48.464127	7.143191	76.7601	25.73084	0.0	0.0
31	500.0	11.242277	1.9784607	12.357587	3.7421904	512000	-7.450581e-09	1.2067978	-0.0071160696	-0.0894381	1.3564423	0.0055080885	0.0488125	127.0	1080.6276109218597	48.25975	5.096556	57.454533	27.231953	0.0	0.0
32	500.0	10.984016	1.8808423	12.023993	4.021501	528000	-1.1175871e-08	1.3699186	-0.0060908264	-0.029943883	1.3564423	0.008261857	0.0531875	127.0	1113.7166323661804	47.34955	3.536037	53.090553	36.767597	0.0	0.0
33	500.0	10.926205	1.8084297	11.922557	3.940877	544000	1.8626451e-09	2.0415149	-0.0074824095	-0.096056275	1.3564423	0.006894788	0.0549375	127.0	1147.7441456317902	49.18295	3.2082806	61.374752	42.74424	0.0	0.0
34	500.0	10.912969	2.1162255	12.088938	0.29222354	560000	-1.8626451e-08	1.4816649	-0.009413959	-0.5283234	1.3564423	0.005605484	0.057062503	127.0	1181.1321597099304	46.538094	7.854728	53.028202	17.913067	0.0	0.0
35	500.0	10.911951	2.0944376	12.224989	3.7067149	576000	0.0	4.7635446	-0.0072719986	-0.4178808	1.3564423	0.0058587496	0.0561875	127.0	1217.1564872264862	47.986065	7.7706866	70.61376	26.42025	0.0	0.0
36	500.0	11.04934	1.667769	11.890108	3.9650483	592000	-3.7252903e-09	1.4699444	-0.0073746513	-0.034030672	1.3564423	0.0073534157	0.07	127.0	1250.5167288780212	48.769096	4.8154187	55.27082	28.58899	0.0	0.0
37	500.0	11.081493	1.6915213	11.979845	4.292384	608000	-3.7252903e-09	2.3325129	-0.006255663	-0.21537158	1.3564423	0.005139096	0.0641875	127.0	1286.2902374267578	50.813473	6.1004624	80.3768	43.315887	0.0	0.0
38	500.0	11.531116	1.7475171	12.392897	3.95251	624000	-3.7252903e-09	8.594195	-0.008350869	-0.3925703	1.3564423	0.00942067	0.093125	127.0	1320.5279185771942	52.402084	14.744798	115.94543	35.37009	0.0	0.0
39	500.0	11.659005	1.9272894	12.6797905	3.740635	640000	0.0	4.3984413	-0.00907067	-0.52718604	1.3564423	0.0071814395	0.077562496	127.0	1356.1021320819855	48.758995	9.730938	69.94718	25.373775	0.0	0.0
40	500.0	11.360049	1.863065	12.331864	4.3318	656000	7.450581e-09	9.790972	-0.00737378	-0.35880738	1.3564423	0.007446068	0.0698125	127.0	1390.0050604343414	51.184814	13.915154	119.93468	34.934917	0.0	0.0
41	500.0	11.60944	1.8388505	12.478455	4.241209	672000	1.8626451e-09	1.013561	-0.0062518665	-0.0621663	1.3564423	0.0063410047	0.0529375	127.0	1421.6077857017517	49.82644	2.3796022	53.77154	44.66521	0.0	0.0
42	500.0	11.421004	1.7834553	12.272406	4.3353624	688000	-2.0489097e-08	2.0249119	-0.007847788	-0.030844811	1.3564423	0.006191015	0.0641875	127.0	1455.5193600654602	49.9177	4.697909	62.60207	32.90171	0.0	0.0
43	500.0	11.376352	1.8634787	12.287786	4.1326733	704000	-3.7252903e-09	1.3947251	-0.010303961	-0.112575665	1.3564423	0.006536358	0.069437504	127.0	1489.0727548599243	48.553024	5.4826045	57.81047	30.529755	0.0	0.0
44	500.0	11.131815	1.98539	12.149489	3.9917362	720000	7.450581e-09	7.1575017	-0.0063137175	-0.17472431	1.3564423	0.008192333	0.083749995	127.0	1523.1502392292023	50.376057	12.815001	116.72774	35.554035	0.0	0.0
45	500.0	11.506547	1.9086003	12.528825	4.026416	736000	-1.4901161e-08	3.739286	-0.0073011555	-0.056634516	1.3564423	0.006786872	0.078375004	127.0	1555.4191329479218	50.5309	7.088352	75.02332	29.933401	0.0	0.0
46	500.0	11.59675	1.8047175	12.512432	4.365601	752000	3.7252903e-09	5.161705	-0.009094633	-0.13996233	1.3564423	0.009123774	0.087312505	127.0	1588.4320559501648	51.196125	8.900975	81.16917	19.529413	0.0	0.0
47	500.0	11.544795	1.6776054	12.470501	4.20712	768000	-1.6763806e-08	5.3175106	-0.0062120105	-0.15484074	1.3564423	0.008395179	0.0778125	127.0	1625.323653936386	51.758972	9.747256	82.68686	43.030228	0.0	0.0
48	500.0	11.703797	1.8355786	12.847587	4.081276	784000	0.0	12.166865	-0.008847654	-0.54311883	1.3564423	0.009336904	0.08425	127.0	1658.7568118572235	52.83361	15.48607	108.422134	32.108185	0.0	0.0
49	500.0	12.041088	2.0504994	13.368634	4.3722	800000	-1.4901161e-08	7.648884	-0.008430782	-0.36005786	1.3564423	0.0076211304	0.074875	127.0	1690.9846029281616	51.894688	11.832452	101.71679	41.69735	0.0	0.0
50	500.0	11.78043	2.242425	13.362814	4.0302024	816000	-1.4901161e-08	11.741189	-0.006354674	-0.69211054	1.3564423	0.006716322	0.051124997	127.0	1725.2121114730835	51.289124	16.640373	108.33112	24.947262	0.0	0.0
51	500.0	11.625	2.3434653	13.848031	3.7696283	832000	-1.4901161e-08	3.4319954	-0.0066855485	-0.30217797	1.3564423	0.0068824785	0.0800625	127.0	1759.5347990989685	51.01777	10.524361	79.973045	23.877768	0.0	0.0
52	500.0	11.836534	2.2917662	14.532144	3.8281355	848000	-4.8428774e-08	15.369183	-0.007466168	-3.0479455	1.3564423	0.0071426397	0.0668125	127.0	1791.9397220611572	54.34194	17.772478	119.750046	36.88918	0.0	0.0
53	500.0	11.815897	1.9741987	16.801575	5.143926	864000	-1.6763806e-08	5.7945175	-0.00817165	-0.8924238	1.3564423	0.005035246	0.060187504	127.0	1823.7305977344513	51.048523	12.383902	99.16616	24.249464	0.0	0.0
54	500.0	11.746055	2.2437491	16.584276	3.6682785	880000	-2.2351742e-08	9.800722	-0.0082090525	-1.7230574	1.3564423	0.007918792	0.0839375	127.0	1857.2177233695984	53.401962	14.071376	106.22548	39.23933	0.0	0.0
55	500.0	11.965442	2.7343025	18.948315	2.9868774	896000	1.4901161e-08	11.850496	-0.008791305	-2.115796	1.3564423	0.00597395	0.056312498	127.0	1891.814971446991	51.897057	18.402328	115.18466	18.841183	0.0	0.0
56	500.0	12.3380375	3.3228066	18.962177	2.5777512	912000	-1.7695129e-08	19.820208	-0.008745335	-5.109867	1.3564423	0.0075281076	0.0858125	127.0	1924.241520166397	56.60396	23.418596	121.47607	29.243708	0.0	0.0
57	500.0	11.986395	2.5204403	21.209024	3.8741343	928000	-1.8626451e-09	6.2352176	-0.009203166	-2.0304317	1.3564423	0.006785083	0.075375	127.0	1956.0091853141785	49.4999	12.919117	114.27557	26.735361	0.0	0.0
58	500.0	11.704729	2.7933242	20.393147	3.869475	944000	2.2351742e-08	10.646872	-0.009216284	-3.8256724	1.3564423	0.009092789	0.0853125	127.0	1991.794383764267	54.61727	16.026978	108.528366	38.74765	0.0	0.0
59	500.0	12.717177	3.7489839	22.693817	3.8390796	960000	-1.3038516e-08	13.660231	-0.007830141	-3.2040462	1.3564423	0.006081879	0.0656875	127.0	2025.2914562225342	52.95582	17.042086	113.99663	28.68854	0.0	0.0
60	500.0	12.509465	3.5486684	22.66556	3.300273	976000	3.7252903e-09	14.063566	-0.009263482	-3.2437572	1.3564423	0.0061195777	0.07325	127.0	2059.5149488449097	54.131752	17.327848	123.32187	26.27209	0.0	0.0
61	500.0	11.977836	2.6724713	21.25517	4.5936756	992000	1.1175871e-08	13.188976	-0.008338801	-2.702026	1.3564423	0.007951373	0.08625	127.0	2092.452766418457	52.7473	18.16672	109.37405	28.000328	0.0	0.0
62	500.0	11.0394	2.0839481	19.911072	3.5703814	1008000	9.313226e-09	2.0696301	-0.00828951	-0.28354082	1.3564423	0.0069768997	0.0725625	127.0	2125.8736159801483	49.897926	5.3836946	77.953316	43.698013	0.0	0.0
63	500.0	12.52444	4.052404	24.090675	4.1889806	1024000	-1.4901161e-08	20.705248	-0.0076450324	-7.6361036	1.3564423	0.0059366724	0.059437502	127.0	2160.0662121772766	59.87546	28.453215	120.62694	23.615934	0.0	0.0
64	500.0	13.955557	5.1414213	25.774668	4.052605	1040000	-2.0489097e-08	13.10688	-0.0071271583	-2.5087821	1.3564423	0.0048416164	0.0676875	127.0	2193.2766692638397	60.128864	24.899984	129.15181	32.40506	0.0	0.0
65	500.0	12.3120165	4.1455173	26.008339	-4.7758822	1056000	-1.8626451e-09	9.300146	-0.008504491	-2.8446865	1.3564423	0.0075205243	0.08075	127.0	2227.569534301758	51.54253	17.1326	115.87707	24.38525	0.0	0.0
66	500.0	11.857268	3.8942182	25.434149	-4.6602144	1072000	-7.450581e-09	14.969954	-0.007901499	-5.302632	1.3564423	0.006713567	0.088374995	127.0	2265.6902792453766	55.784164	20.032146	128.33055	29.686611	0.0	0.0
67	500.0	13.080545	4.4896417	26.73623	4.074095	1088000	-1.1175871e-08	16.165659	-0.008109808	-2.028389	1.3564423	0.005484918	0.0755	127.0	2300.865159034729	54.61911	19.631325	124.76177	20.056387	0.0	0.0
68	500.0	11.607617	2.8881698	24.798538	4.724466	1104000	-6.519258e-09	8.498598	-0.0076137795	-3.3854265	1.3564423	0.005590002	0.0700625	127.0	2337.46048784256	49.64141	9.416113	77.96343	22.692873	0.0	0.0
69	500.0	11.851283	2.5698235	23.531776	4.268646	1120000	0.0	24.85167	-0.006653779	-9.476296	1.3564423	0.0071337866	0.0616875	127.0	2372.5845115184784	59.3151	26.001339	129.64178	30.572222	0.0	0.0
70	500.0	12.388248	3.532983	26.193024	-1.1762224	1136000	0.0	14.733493	-0.010391606	-4.8725243	1.3564423	0.007217617	0.0784375	127.0	2405.802580833435	54.03283	21.697855	125.898476	29.277222	0.0	0.0
71	500.0	12.511205	4.736779	27.693014	-3.1728184	1152000	0.0	18.68139	-0.00974395	-4.2027082	1.3564423	0.005811639	0.07425	127.0	2437.4855246543884	57.959106	27.5252	133.13441	25.966316	0.0	0.0
72	500.0	14.131439	6.2802033	28.566223	3.5352602	1168000	-7.450581e-09	31.304304	-0.008469455	-6.3350086	1.3564423	0.0075514223	0.0870625	127.0	2470.1515209674835	64.24342	34.03333	162.93802	25.13426	0.0	0.0
73	500.0	12.357068	4.783852	28.760569	2.9315171	1184000	-3.7252903e-09	15.283915	-0.007064945	-3.792658	1.3564423	0.0042534564	0.075625	127.0	2505.9442579746246	52.933075	29.764723	168.43987	21.499014	0.0	0.0
74	500.0	12.645817	5.9180965	29.831697	-0.62664366	1200000	1.4901161e-08	15.435255	-0.007308006	-3.9352732	1.3564423	0.006764198	0.075937495	127.0	2540.6891090869904	53.768387	30.09251	148.80559	23.862532	0.0	0.0
75	500.0	13.13506	5.902774	30.448877	0.4531536	1216000	2.2351742e-08	35.207085	-0.0083482	-11.353624	1.3564423	0.010767063	0.0961875	127.0	2575.6053814888	64.21246	39.409756	159.92372	24.551535	0.0	0.0
76	500.0	15.65437	7.6238	32.44918	4.313949	1232000	-3.7252903e-09	35.03417	-0.009013645	-4.304017	1.3564423	0.008440043	0.0906875	127.0	2609.083408355713	67.42821	38.340553	184.84943	23.481808	0.0	0.0
77	500.0	14.399496	7.555968	32.96709	-9.302758	1248000	7.450581e-09	35.212627	-0.009353325	-5.5930552	1.3564423	0.0088129565	0.095312506	127.0	2641.621657848358	67.08951	45.599518	205.99983	27.120823	0.0	0.0
78	500.0	14.555029	8.822637	34.90694	-8.1097145	1264000	-9.313226e-10	28.754951	-0.0073675523	-6.232651	1.3564423	0.007477623	0.078	127.0	2677.896722793579	67.51586	44.403114	172.89526	23.590736	0.0	0.0
79	500.0	14.417163	8.153597	36.260952	-0.5774491	1280000	1.1175871e-08	31.499372	-0.009089325	-6.609479	1.3564423	0.008370711	0.0826875	127.0	2711.500450372696	61.665356	42.841595	181.60446	22.903814	0.0	0.0
80	500.0	16.825264	9.658378	37.68659	3.8817122	1296000	7.450581e-09	34.121872	-0.009118736	-7.133212	1.3564423	0.009753737	0.085812494	127.0	2746.240365743637	76.73062	48.975983	187.6941	27.867207	0.0	0.0
81	500.0	15.402428	9.668445	39.01435	-0.37775666	1312000	-1.8626451e-08	26.678259	-0.008875854	-4.843841	1.3564423	0.0049961614	0.083	127.0	2779.284088611603	65.07941	45.443268	175.9379	23.390512	0.0	0.0
82	500.0	19.096739	11.501522	39.414886	0.5326118	1328000	1.1175871e-08	53.453323	-0.00827886	-11.602648	1.3564423	0.008458116	0.0813125	127.0	2813.245906352997	84.633095	54.357983	188.05865	20.840527	0.0	0.0
83	500.0	18.450195	11.40584	40.5294	-4.5906434	1344000	0.0	42.85569	-0.0070090406	-9.193412	1.3564423	0.007115876	0.08400001	127.0	2846.5388753414154	79.27854	54.438923	182.63763	22.796368	0.0	0.0
84	500.0	16.456377	10.392146	41.915577	-2.702866	1360000	-3.7252903e-09	36.518063	-0.009130723	-9.59298	1.3564423	0.006521146	0.08275	127.0	2882.0202827453613	68.982704	47.630447	181.23814	25.43457	0.0	0.0
85	500.0	17.581507	11.443758	42.3324	-2.5612707	1376000	-1.4901161e-08	46.624985	-0.009148367	-13.297618	1.3564423	0.008715961	0.097375005	127.0	2918.1014189720154	76.29056	52.256824	180.12859	21.54744	0.0	0.0
86	500.0	13.930054	9.54405	43.045227	-16.947283	1392000	-3.7252903e-09	40.160767	-0.007278309	-17.616121	1.3564423	0.0074401223	0.084125	127.0	2950.961037874222	64.44421	39.37509	163.14587	26.34674	0.0	0.0
87	500.0	16.693289	11.888452	43.228245	-3.7914243	1408000	-9.313226e-09	49.13346	-0.008984531	-14.192257	1.3564423	0.009277236	0.083125	127.0	2984.3772757053375	68.49852	55.98539	182.11536	22.931137	0.0	0.0
88	500.0	14.519082	8.662864	43.419453	-11.673608	1424000	-5.5879354e-09	30.398096	-0.0084665865	-7.4134436	1.3564423	0.006803478	0.08425	127.0	3017.844475030899	63.55584	41.308586	180.34148	23.885931	0.0	0.0
