Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.36916763	0.03204198	-0.23352322	-0.40826982	16000	1.6763806e-08	0.1813593	-0.006547551	-0.16613859	1.3564423	0.006539791	0.0413125	127.0	33.509812116622925	0.6553925	0.28722024	1.5958359	0.29677916	0.0	0.0
1	500.0	0.03946239	0.025313137	0.11808522	-0.042980216	32000	-3.7252903e-08	0.012562979	-0.0056293127	-0.009055292	1.3564423	0.006329316	0.03825	127.0	63.08960270881653	0.76608014	0.26469883	1.405954	0.15701391	0.0	0.0
2	500.0	0.12996322	0.027352355	0.18924776	0.036406875	48000	1.3038516e-08	0.01002438	-0.007024183	-0.0027193343	1.3564423	0.006818637	0.0736875	127.0	96.01829934120178	0.9489762	0.38897178	2.194584	0.44840008	0.0	0.0
3	500.0	0.17591612	0.031477086	0.24068531	0.08818104	64000	-1.4901161e-08	0.006865333	-0.008363404	-0.0010179455	1.3564423	0.009426889	0.081125006	127.0	129.00197792053223	1.0278795	0.32204935	1.9496304	0.35178366	0.0	0.0
4	500.0	0.20271398	0.026558673	0.26358488	0.122236066	80000	-7.450581e-09	0.014147106	-0.006664657	-0.0039487947	1.3564423	0.005467967	0.0563125	127.0	163.1923065185547	1.3429854	0.48339245	2.7521148	0.57600594	0.0	0.0
5	500.0	0.27491948	0.036602803	0.37879616	0.18508628	96000	1.1175871e-08	0.09248851	-0.0053702462	-0.04167738	1.3564423	0.00446044	0.034375	127.0	192.70541787147522	1.5489016	1.1561105	5.8968463	0.55999666	0.0	0.0
6	500.0	0.36201224	0.13059531	1.0356929	0.09544025	112000	2.9802322e-08	0.14648768	-0.0059187473	-0.04714588	1.3564423	0.008253862	0.090312496	127.0	223.58180403709412	1.8630002	1.7639953	9.312938	0.6317251	0.0	0.0
7	500.0	0.4693182	0.3227138	1.8206987	-0.06446984	128000	0.0	0.3136782	-0.007846621	-0.18996526	1.3564423	0.0066026687	0.085999995	127.0	254.74501848220825	2.63273	2.9043725	11.038942	0.44382316	0.0	0.0
8	500.0	0.5338328	0.40311837	2.953722	-0.3014483	144000	-1.1175871e-08	0.46741247	-0.007562399	-0.25269204	1.3564423	0.0076889135	0.093625	127.0	291.3864712715149	2.2338936	3.9027946	23.334976	0.44683912	0.0	0.0
9	500.0	0.91154003	0.97660327	6.06708	-0.7567493	160000	-7.450581e-09	0.53904235	-0.0103189675	-0.18973385	1.3564423	0.006079632	0.0944375	127.0	323.48141384124756	3.2295902	5.604592	32.548466	0.7332863	0.0	0.0
10	500.0	1.138917	1.3062048	6.910478	-0.8331493	176000	1.1175871e-08	0.37280306	-0.009567396	-0.11833093	1.3564423	0.007890832	0.0905	127.0	356.5437066555023	3.449511	4.9537234	29.242762	0.9853332	0.0	0.0
11	500.0	1.949291	2.2933893	8.755753	-0.7185706	192000	-7.450581e-09	1.1338402	-0.011039112	-0.2689564	1.3564423	0.007480242	0.0823125	127.0	387.77915596961975	4.8336873	6.6425476	33.624878	0.85902727	0.0	0.0
12	500.0	3.2667727	2.486808	7.5040755	-0.6102549	208000	2.9802322e-08	2.4909294	-0.007862532	-0.58076996	1.3564423	0.0059026647	0.0645	127.0	419.1370179653168	14.1613655	11.257842	41.2311	0.8525628	0.0	0.0
13	500.0	4.4462867	2.7600176	8.14259	-0.58774734	224000	-7.450581e-09	3.2916617	-0.00762864	-0.17284575	1.3564423	0.0058140387	0.056687504	127.0	453.9738869667053	16.054672	11.347293	41.479477	1.3510189	0.0	0.0
14	500.0	5.140182	2.4681535	7.7494526	-0.79336613	240000	-7.450581e-09	3.8626013	-0.008362185	-0.24127637	1.3564423	0.0061048106	0.065375	127.0	486.58791851997375	19.468193	10.119538	43.273647	2.8195636	0.0	0.0
15	500.0	5.3475986	2.0572546	7.052115	-0.6895275	256000	0.0	3.7615912	-0.007878927	-0.12799722	1.3564423	0.0056555746	0.0553125	127.0	520.0854465961456	20.98035	9.751094	49.631187	4.569976	0.0	0.0
16	500.0	5.632167	1.7104388	6.774104	-0.43386817	272000	1.8626451e-09	4.200004	-0.007017824	-0.22558999	1.3564423	0.00442045	0.0531875	127.0	553.0591430664062	23.956001	9.928388	44.94378	11.403172	0.0	0.0
17	500.0	5.884791	1.5921917	6.9616942	0.16104573	288000	-2.9802322e-08	4.214177	-0.00672699	-0.5977664	1.3564423	0.004980083	0.0549375	127.0	585.2826101779938	21.590004	8.391567	48.163696	10.102794	0.0	0.0
18	500.0	5.380591	1.3968942	6.4900937	0.5183027	304000	7.450581e-09	3.799832	-0.008007917	-0.50663567	1.3564423	0.0072672763	0.068875	127.0	617.8711483478546	24.509644	9.063892	43.232178	8.951387	0.0	0.0
19	500.0	5.772923	1.4191164	7.1819296	0.67326313	320000	1.1175871e-08	4.3281255	-0.007846041	-0.73826355	1.3564423	0.0067580463	0.061499998	127.0	651.9188287258148	26.291895	10.00337	46.321648	9.149858	0.0	0.0
20	500.0	6.138614	1.6773975	7.935022	0.20746267	336000	-3.7252903e-09	5.4674406	-0.006712213	-0.72071993	1.3564423	0.0042528873	0.055125	127.0	686.415277004242	28.954529	11.587066	52.21691	8.132118	0.0	0.0
21	500.0	6.8113723	1.7198023	8.723837	0.28167403	352000	-1.1175871e-08	5.0034056	-0.0084469225	-0.89360225	1.3564423	0.005695995	0.064187504	127.0	721.0354714393616	32.68515	10.730798	57.841072	14.187616	0.0	0.0
22	500.0	7.3694777	1.903278	9.549343	0.69936395	368000	3.7252903e-09	3.4268155	-0.007418118	-0.85012484	1.3564423	0.004486545	0.0615625	127.0	753.0372867584229	33.1508	9.990571	54.415047	11.936947	0.0	0.0
23	500.0	7.6155543	1.891989	10.183621	0.9938496	384000	-7.450581e-09	4.063945	-0.008215303	-0.6214187	1.3564423	0.0075551015	0.064687505	127.0	785.7542486190796	34.578186	11.176687	58.61047	11.989611	0.0	0.0
24	500.0	8.052776	1.8810205	10.694776	1.727443	400000	-1.3038516e-08	3.3337028	-0.010423114	-0.24877378	1.3564423	0.0073324163	0.076812506	127.0	820.7604146003723	35.995293	9.703409	66.4567	15.818513	0.0	0.0
