Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.37628755	0.03459303	-0.20144947	-0.42034072	16000	1.8626451e-08	0.5929711	-0.004839146	-0.42900965	1.3564423	0.006404213	0.048249997	127.0	40.17123770713806	2.0270488	1.7744466	6.7653127	0.3128975	0.0	0.0
1	500.0	0.27339137	0.021227557	0.32938203	0.21046546	32000	2.2351742e-08	1.2886918	-0.0043974747	-0.44492826	1.3564423	0.0045429706	0.041	127.0	78.90887069702148	4.840312	4.230547	20.847042	0.47345918	0.0	0.0
2	500.0	0.9387872	0.04962831	1.0143288	0.59504974	48000	3.7252903e-09	1.4067744	-0.005961941	-0.3584289	1.3564423	0.006147	0.0543125	127.0	113.27918362617493	6.871934	4.395356	17.9086	0.93013996	0.0	0.0
3	500.0	1.4651606	0.16190977	1.7468132	0.7161234	64000	2.7939677e-09	3.0659738	-0.007079053	-1.1586571	1.3564423	0.008001594	0.058125	127.0	154.06648516654968	11.302036	5.970483	29.676777	3.269986	0.0	0.0
4	500.0	2.509422	0.35376173	3.0964437	0.6213672	80000	1.21071935e-08	3.3891947	-0.0063266484	-1.3998417	1.3564423	0.0045240996	0.035375	127.0	189.5529317855835	15.970343	4.5649414	25.855322	5.9440913	0.0	0.0
5	500.0	3.528011	0.67072165	4.493656	0.41424897	96000	-3.7252903e-09	5.379034	-0.006180226	-2.2113132	1.3564423	0.005653821	0.045375	127.0	224.2085361480713	21.368114	7.176515	39.409817	9.278869	0.0	0.0
6	500.0	4.8222623	1.1206727	6.3124137	-0.2000469	112000	1.4901161e-08	2.7829933	-0.0077674915	-0.36292362	1.3564423	0.0075138733	0.0735625	127.0	281.2189998626709	18.63471	6.9075627	34.5237	7.2079287	0.0	0.0
7	500.0	4.863217	1.4916743	6.7699227	-0.5107754	128000	1.0244548e-08	7.788579	-0.009169072	-2.259314	1.3564423	0.0071014008	0.07775	127.0	333.95995450019836	27.032766	10.54226	53.374874	14.488002	0.0	0.0
8	500.0	6.35645	1.6695745	8.01465	-0.21095385	144000	-7.450581e-09	3.2380178	-0.0064282175	-0.07505228	1.3564423	0.007818235	0.0426875	127.0	380.90664196014404	25.626965	7.4836574	51.33849	13.414662	0.0	0.0
9	500.0	6.333807	1.5232909	7.7502637	0.3584905	160000	2.6077032e-08	4.622395	-0.008069865	-0.7873677	1.3564423	0.005207477	0.060812503	127.0	416.96984219551086	31.12543	8.5176	52.829685	13.896483	0.0	0.0
