Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.35818616	0.026932761	-0.218606	-0.39542806	16000	-1.8253922e-07	0.21736048	-0.0063281804	-0.1933303	1.3564423	0.0062909955	0.0503125	127.0	41.949230670928955	0.87547	0.50468487	2.5442822	0.23811436	0.0	0.0
1	500.0	0.081072986	0.017634297	0.12921092	0.012335211	32000	3.7252903e-08	0.03414959	-0.0062168147	-0.019117076	1.3564423	0.006459694	0.047937497	127.0	81.00547313690186	1.1303195	0.581691	2.6575694	0.18268101	0.0	0.0
2	500.0	0.22033153	0.017612755	0.24826968	0.10134555	48000	2.6077032e-08	0.37155682	-0.005418496	-0.10899715	1.3564423	0.006424044	0.0479375	127.0	120.06847190856934	2.3976634	2.2142055	11.719413	0.60110915	0.0	0.0
3	500.0	0.51139295	0.11714667	0.8412925	0.10874466	64000	-7.450581e-09	0.6109989	-0.0063736625	-0.23799089	1.3564423	0.009515952	0.0710625	127.0	155.60203051567078	4.040004	2.727924	13.350524	0.36073178	0.0	0.0
4	500.0	0.9574313	0.33634242	1.6039567	-0.16734074	80000	-1.1175871e-08	1.1326132	-0.005416764	-0.5748894	1.3564423	0.006676455	0.045	127.0	189.98406720161438	6.44179	3.7366176	17.912088	1.1506293	0.0	0.0
5	500.0	1.622071	0.89496243	3.3564072	-0.41239583	96000	-2.6077032e-08	1.5926375	-0.006732132	-0.7889851	1.3564423	0.005941243	0.070875004	127.0	227.44494819641113	9.234493	4.68468	20.043985	0.88815653	0.0	0.0
6	500.0	2.717419	1.4513385	5.056922	-0.402227	112000	-2.6077032e-08	1.9213084	-0.007482264	-0.4153933	1.3564423	0.00821007	0.081375	127.0	269.4471538066864	12.146656	5.5624886	29.006329	3.0659654	0.0	0.0
7	500.0	3.4685147	1.7137767	5.917983	-0.27651688	128000	0.0	2.176385	-0.0078029945	-0.34348172	1.3564423	0.00820858	0.0886875	127.0	308.1257486343384	15.081766	5.624672	27.970682	8.594299	0.0	0.0
8	500.0	4.139337	1.7833358	6.3579054	0.038194474	144000	-2.9802322e-08	4.905887	-0.0071961405	-1.2880263	1.3564423	0.008122928	0.0735	127.0	345.86983919143677	21.070549	8.587675	37.77141	8.616095	0.0	0.0
9	500.0	5.3799667	1.9092156	7.374738	0.31755996	160000	-1.8626451e-09	3.6889322	-0.0080476375	-0.2606065	1.3564423	0.0068477527	0.0725625	127.0	384.25252652168274	22.506948	8.469828	38.65371	8.73126	0.0	0.0
10	500.0	5.7211475	1.7434956	7.5390325	0.5423178	176000	1.4901161e-08	4.3557243	-0.0063005923	-0.83715206	1.3564423	0.0051055183	0.0476875	127.0	425.7481565475464	27.830936	9.515992	43.515846	11.689488	0.0	0.0
11	500.0	6.690939	1.7853307	8.377245	0.79797614	192000	1.1175871e-08	5.525106	-0.008192904	-0.9350594	1.3564423	0.005016054	0.0695	127.0	462.6741797924042	32.41504	9.543286	55.766582	16.10173	0.0	0.0
12	500.0	7.4746966	2.1282845	9.341009	0.7920569	208000	-1.1175871e-08	2.660798	-0.006713579	-0.33354554	1.3564423	0.004561484	0.0460625	127.0	500.8942656517029	28.731514	8.397992	46.33705	13.612177	0.0	0.0
13	500.0	7.130947	2.0850306	9.25677	0.98703194	224000	0.0	3.503831	-0.007580245	-0.38711464	1.3564423	0.0066501526	0.058312498	127.0	543.8005747795105	27.954782	8.456234	42.70496	16.005007	0.0	0.0
14	500.0	7.0958323	1.8018969	8.962294	1.2326834	240000	3.7252903e-08	5.3017597	-0.0077027916	-0.7657541	1.3564423	0.0070576146	0.058750004	127.0	589.1519763469696	32.145744	10.762038	53.80698	15.216133	0.0	0.0
15	500.0	7.469334	1.7835969	9.719711	0.95579576	256000	-1.4901161e-08	2.8288016	-0.008890051	-0.15512955	1.3564423	0.0070337597	0.065375	127.0	626.0235645771027	32.53939	8.113955	46.435867	16.346434	0.0	0.0
16	500.0	7.996872	1.7431711	9.805502	0.78460026	272000	-2.2351742e-08	2.4363575	-0.007798691	-0.12022884	1.3564423	0.006691282	0.05675	127.0	662.0423758029938	34.362606	6.1830816	48.49328	19.787088	0.0	0.0
17	500.0	8.222013	1.6935221	9.699321	1.2305875	288000	-1.1175871e-08	2.3928103	-0.0071268063	-0.52883816	1.3564423	0.0055464646	0.046375	127.0	702.700432062149	37.074944	7.4366436	57.48352	17.560831	0.0	0.0
18	500.0	8.681825	1.7040691	10.363044	0.466061	304000	1.4901161e-08	3.5133772	-0.009465969	-0.6223997	1.3564423	0.0060385666	0.0805625	127.0	743.7318680286407	38.642857	8.435969	70.13196	22.31018	0.0	0.0
19	500.0	9.038189	1.6418649	10.210552	0.32354692	320000	1.4901161e-08	1.9921405	-0.0076819677	-0.06584494	1.3564423	0.005183229	0.06125	127.0	783.6200792789459	39.29433	6.758752	62.13313	19.7385	0.0	0.0
20	500.0	9.0591135	1.4993356	10.117083	1.9007677	336000	0.0	2.3353481	-0.0077090333	-0.1263409	1.3564423	0.007434368	0.069125	127.0	829.2632305622101	38.88067	6.7792597	57.691357	21.8902	0.0	0.0
21	500.0	8.992809	1.4815753	9.945633	2.5702846	352000	1.8626451e-08	3.2203028	-0.008741379	-0.24239314	1.3564423	0.005113027	0.0559375	127.0	888.8601777553558	41.236534	7.699677	67.65006	21.516298	0.0	0.0
22	500.0	9.340949	1.6532235	10.394902	2.2698085	368000	-5.5879354e-09	1.9989288	-0.007137605	-0.0702622	1.3564423	0.006683564	0.059562504	127.0	944.7341170310974	39.68505	6.3633924	62.196854	21.121193	0.0	0.0
23	500.0	9.195296	1.4923419	10.174206	3.184646	384000	2.7939677e-08	3.162025	-0.0071697426	-0.07706522	1.3564423	0.005862304	0.063062504	127.0	988.6382601261139	39.28	8.785348	63.34711	21.628521	0.0	0.0
24	500.0	9.042408	1.439701	10.068456	2.9199557	400000	5.5879354e-09	2.002903	-0.008889759	-0.36056098	1.3564423	0.006532779	0.0538125	127.0	1024.0379853248596	37.625114	6.6228924	44.482655	22.258266	0.0	0.0
25	500.0	8.564131	1.5037565	10.093685	3.208839	416000	1.4901161e-08	3.2526593	-0.0060729254	-1.6626614	1.3564423	0.004153446	0.0458125	127.0	1083.6388592720032	36.829197	11.14247	45.56512	0.9118912	0.0	0.0
26	500.0	8.935897	1.8539915	10.588638	2.057549	432000	-1.3038516e-08	2.312344	-0.00840169	-0.21960053	1.3564423	0.0071931034	0.05125	127.0	1145.1411578655243	39.696747	6.513853	61.729576	22.705053	0.0	0.0
27	500.0	9.211815	1.5099219	10.420948	2.8271637	448000	2.2351742e-08	5.3360205	-0.0069969557	-0.4260683	1.3564423	0.0062362724	0.0675	127.0	1208.5591704845428	43.238235	10.566097	85.671005	26.713385	0.0	0.0
28	500.0	9.718459	1.612275	11.107128	2.792686	464000	1.8626451e-08	6.9095206	-0.005994153	-0.186225	1.3564423	0.006987849	0.07675	127.0	1249.1825885772705	42.822174	12.234277	106.62775	23.479387	0.0	0.0
29	500.0	9.721692	1.640604	11.381827	2.7225738	480000	-2.9802322e-08	12.945008	-0.008079005	-1.6160084	1.3564423	0.0074160877	0.082125	127.0	1288.1967775821686	43.46728	18.30482	116.512665	18.651173	0.0	0.0
30	500.0	9.361982	1.6884445	12.358426	2.4866362	496000	1.4901161e-08	8.17773	-0.0078123026	-0.51490885	1.3564423	0.007480115	0.080625	127.0	1327.96444606781	42.625275	13.97797	110.49209	19.153915	0.0	0.0
31	500.0	9.978023	2.0534751	13.629338	2.054741	512000	2.3283064e-08	7.956145	-0.008850813	-1.8400955	1.3564423	0.008153521	0.088750005	127.0	1365.7711434364319	40.04712	14.315319	102.35995	14.139715	0.0	0.0
32	500.0	9.529376	2.1751354	14.030384	3.2880769	528000	-1.4901161e-08	9.017215	-0.008601384	-0.8235872	1.3564423	0.007993551	0.090500005	127.0	1404.2793045043945	40.746452	16.472223	117.99505	19.52972	0.0	0.0
33	500.0	10.110274	2.173931	14.132865	-1.1830821	544000	-9.313226e-10	1.4182932	-0.008001376	-0.6277188	1.3564423	0.006855468	0.0691875	127.0	1445.1797456741333	39.626183	5.8057528	44.201923	12.857197	0.0	0.0
34	500.0	9.95442	1.9635606	14.000233	3.8823166	560000	-1.1175871e-08	1.785713	-0.0071385712	-0.53499603	1.3564423	0.006597869	0.0594375	127.0	1484.6613357067108	39.70559	6.099542	49.173088	22.027166	0.0	0.0
35	500.0	9.304899	1.8524498	13.686516	3.7387714	576000	-3.7252903e-09	1.9464061	-0.00910344	-0.485524	1.3564423	0.008465025	0.07625	127.0	1523.3353559970856	37.866028	6.1696253	43.764442	16.996113	0.0	0.0
36	500.0	8.91376	1.6611867	13.311731	3.2478461	592000	-7.450581e-09	2.3171964	-0.0085508125	-0.73155755	1.3564423	0.007622	0.06175	127.0	1564.9100875854492	37.551094	7.301383	45.644535	19.731365	0.0	0.0
37	500.0	8.832926	1.5202779	13.146599	3.687888	608000	1.8626451e-08	0.8046151	-0.0074557923	-0.06457472	1.3564423	0.0064062383	0.060125	127.0	1606.9176242351532	38.94095	5.1042833	49.285496	21.22953	0.0	0.0
38	500.0	8.903993	1.6455789	12.9227705	0.60228956	624000	-7.450581e-09	5.305601	-0.0070899753	-0.5372813	1.3564423	0.005100386	0.033625	127.0	1648.9851155281067	38.916035	10.5555935	84.61541	22.438755	0.0	0.0
39	500.0	8.965105	2.1041522	13.184532	2.7449303	640000	4.4703484e-08	9.333845	-0.006566084	-0.9247929	1.3564423	0.0064628064	0.063062504	127.0	1689.2787165641785	40.554268	16.623005	120.134125	17.01954	0.0	0.0
40	500.0	8.754459	1.9350687	14.445836	0.5188914	656000	-1.1175871e-08	1.1378369	-0.0070357933	-0.25735515	1.3564423	0.0044331057	0.0514375	127.0	1728.2593133449554	38.058784	5.917101	48.9203	22.33491	0.0	0.0
41	500.0	9.018762	1.7681545	13.844548	3.7055364	672000	-1.4901161e-08	1.0712988	-0.0075051715	-0.12936677	1.3564423	0.0067083654	0.062875	127.0	1772.129834651947	39.598385	6.463915	50.410046	21.26357	0.0	0.0
42	500.0	8.955982	1.7693442	13.798252	2.801372	688000	2.2351742e-08	8.744669	-0.008020076	-1.2917209	1.3564423	0.005952412	0.0534375	127.0	1820.760773897171	42.585365	14.815652	112.80698	21.885538	0.0	0.0
43	500.0	8.742195	2.2438102	15.724319	0.45417714	704000	-3.1664968e-08	5.4742785	-0.008123658	-0.9063757	1.3564423	0.006167868	0.0656875	127.0	1863.5129373073578	37.94427	13.606439	100.87729	13.925678	0.0	0.0
44	500.0	9.057658	3.0283272	16.952517	-0.025679074	720000	0.0	8.993662	-0.007667671	-1.3275108	1.3564423	0.0055364077	0.06362499	127.0	1907.8829066753387	42.58461	16.785585	101.95018	1.5913069	0.0	0.0
45	500.0	9.158577	2.9106033	18.320982	-1.7297728	736000	1.1175871e-08	10.45327	-0.007781769	-2.2787728	1.3564423	0.006551086	0.0674375	127.0	1965.8581960201263	42.423912	17.45845	107.34166	19.355726	0.0	0.0
46	500.0	9.743145	2.7402704	19.711056	2.9957092	752000	-1.1175871e-08	2.5129464	-0.009031066	-0.9517659	1.3564423	0.007770341	0.082875	127.0	2020.239453792572	40.81559	6.0980067	49.002235	23.798258	0.0	0.0
