Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.3650243	0.034087926	-0.195713	-0.41014987	16000	-5.401671e-08	0.33628112	-0.0059198346	-0.28293452	1.3564423	0.005848781	0.043437503	127.0	51.58103370666504	1.4134357	0.8537256	3.1474092	0.28740296	0.0	0.0
1	500.0	0.15883468	0.020169884	0.20564197	0.08386728	32000	1.4901161e-08	0.6045363	-0.005221775	-0.21410798	1.3564423	0.006445987	0.05025	127.0	92.7011022567749	3.245998	3.0081635	16.629679	0.2990272	0.0	0.0
2	500.0	0.6227823	0.036158886	0.6729723	0.3804829	48000	-9.313226e-10	1.7511148	-0.0051185	-0.6553705	1.3564423	0.0063198614	0.0470625	127.0	150.57701992988586	6.989423	4.678761	19.979683	1.216702	0.0	0.0
3	500.0	1.3945029	0.1463707	1.682972	0.7540484	64000	1.4901161e-08	2.138947	-0.007451878	-0.55539477	1.3564423	0.007711913	0.060562503	127.0	195.46495413780212	9.433516	5.0383954	22.82083	3.055629	0.0	0.0
4	500.0	2.1666088	0.25134295	2.6473382	0.8690709	80000	2.0489097e-08	6.1617084	-0.0059269667	-2.8959832	1.3564423	0.004731371	0.04525	127.0	248.10896921157837	17.704212	6.7959332	35.407963	5.8234425	0.0	0.0
5	500.0	3.7436123	0.46148977	4.4780774	1.2868726	96000	-7.450581e-09	4.5580893	-0.0073084175	-1.2808053	1.3564423	0.0052750907	0.051437497	127.0	304.9697561264038	20.390049	7.372034	35.758793	6.238813	0.0	0.0
6	500.0	4.608214	0.81841916	5.8383656	0.38399523	112000	-3.7252903e-09	3.0691836	-0.00642054	-0.808606	1.3564423	0.0055576963	0.044	127.0	357.2987320423126	20.797802	6.0313754	32.695004	10.625336	0.0	0.0
7	500.0	5.1588225	1.5072447	7.0058193	-1.0862689	128000	-1.8626451e-09	2.9791312	-0.008166061	-0.3401112	1.3564423	0.006629441	0.065312505	127.0	410.2210490703583	22.948042	6.636588	34.615273	11.344889	0.0	0.0
8	500.0	5.6984324	1.5655781	7.3055644	-0.2477927	144000	-1.8626451e-08	2.8522656	-0.008107317	-0.16944614	1.3564423	0.0068762447	0.0591875	127.0	462.0570366382599	25.261602	6.495625	40.079468	14.113477	0.0	0.0
9	500.0	6.2479787	1.5038084	7.619952	0.38417703	160000	2.2351742e-08	4.571738	-0.0066853436	-0.19985256	1.3564423	0.0047709784	0.051875	127.0	508.42505526542664	27.953709	9.04083	45.076706	13.704266	0.0	0.0
10	500.0	6.6877875	1.3286664	7.7870445	1.3253644	176000	2.9802322e-08	4.44674	-0.006457762	-0.055720333	1.3564423	0.0042500887	0.0399375	127.0	561.7210509777069	28.272415	9.280213	45.637062	13.63952	0.0	0.0
11	500.0	6.653775	1.3470373	7.740876	1.4507929	192000	-3.9115548e-08	3.3335266	-0.007333124	-0.45992467	1.3564423	0.004567264	0.050937496	127.0	621.0490536689758	31.789055	7.011823	42.123432	13.999579	0.0	0.0
12	500.0	7.3412223	1.4047841	8.382729	1.54089	208000	1.4901161e-08	4.1735325	-0.007141965	-0.28985652	1.3564423	0.0056365463	0.0485	127.0	680.4071197509766	29.913261	8.955393	43.36225	14.426945	0.0	0.0
13	500.0	7.0379586	1.0375323	7.8047423	2.5884893	224000	-2.9802322e-08	4.1148148	-0.0061404225	-0.043687027	1.3564423	0.0054564737	0.0525625	127.0	749.2811205387115	30.938599	9.386833	49.75988	14.056777	0.0	0.0
14	500.0	7.1336093	1.051217	7.8398194	2.512495	240000	1.4901161e-08	5.014493	-0.007563051	-0.050019026	1.3564423	0.006638746	0.0509375	127.0	805.2957937717438	31.747576	10.338153	49.551674	12.846931	0.0	0.0
15	500.0	7.1325636	0.9104442	7.7731223	3.133024	256000	1.4901161e-08	3.472354	-0.007800721	-0.85224915	1.3564423	0.0051638978	0.044875	127.0	855.8490300178528	36.432213	6.7657914	45.44379	21.197609	0.0	0.0
16	500.0	8.032651	1.0336171	8.667377	3.285867	272000	3.3527613e-08	3.8809328	-0.007754866	-0.56648326	1.3564423	0.007071808	0.060312502	127.0	912.3697214126587	39.618233	8.064459	58.736523	19.609417	0.0	0.0
17	500.0	8.834813	1.1123309	9.399738	3.041432	288000	2.0489097e-08	4.418277	-0.006947617	-0.31933713	1.3564423	0.00454262	0.049312502	127.0	963.5169675350189	36.340736	9.591914	51.890575	17.707941	0.0	0.0
18	500.0	8.275514	1.0520483	8.874433	2.9247987	304000	2.2351742e-08	7.706446	-0.006901885	-0.2663285	1.3564423	0.005511006	0.0481875	127.0	1016.6291282176971	39.852566	12.740577	95.41903	20.768208	0.0	0.0
19	500.0	8.811395	0.95054567	9.287574	3.8904798	320000	-9.313226e-09	4.7191067	-0.006500745	-0.12586471	1.3564423	0.0047580767	0.045187503	127.0	1076.2878675460815	38.3295	10.279402	55.997566	15.830488	0.0	0.0
20	500.0	8.571936	0.9508425	9.073938	3.572841	336000	-7.450581e-09	6.2289047	-0.007310766	-0.3056826	1.3564423	0.0060972264	0.057	127.0	1131.9943351745605	41.173	11.233139	90.72342	19.883444	0.0	0.0
21	500.0	9.126879	1.0882107	9.676163	3.4622402	352000	-1.8626451e-08	2.1621222	-0.0084237	-0.08934751	1.3564423	0.006637839	0.05425	127.0	1174.035583972931	39.47764	6.6504793	51.387104	21.209627	0.0	0.0
22	500.0	8.88815	1.0735219	9.470115	3.7298744	368000	0.0	16.26279	-0.007643952	-0.7416451	1.3564423	0.004913156	0.0580625	127.0	1232.6131281852722	43.923878	19.113997	95.08346	14.336061	0.0	0.0
23	500.0	9.607233	1.2258922	10.335489	4.0518856	384000	2.2351742e-08	13.293494	-0.0076491837	-1.357753	1.3564423	0.0062349397	0.059062503	127.0	1294.973056793213	39.182594	17.120771	92.469246	16.234577	0.0	0.0
24	500.0	8.963802	1.3822317	10.398354	3.7376485	400000	-1.1175871e-08	8.51779	-0.008484683	-0.58293086	1.3564423	0.006169809	0.06575	127.0	1358.8931477069855	40.005936	13.371577	90.49716	20.545382	0.0	0.0
25	500.0	8.764071	1.3554553	10.950545	4.2442536	416000	-2.2351742e-08	10.410587	-0.0076020407	-1.4401693	1.3564423	0.008317024	0.065937504	127.0	1397.149052143097	42.381866	14.8841095	84.23743	19.897507	0.0	0.0
26	500.0	9.487623	1.2985018	11.910757	5.0021906	432000	1.4901161e-08	5.280081	-0.009349247	-0.677895	1.3564423	0.008927199	0.0823125	127.0	1440.1530606746674	41.46383	11.344296	76.48816	18.15659	0.0	0.0
27	500.0	9.188315	2.1827204	12.700483	1.4139174	448000	1.4901161e-08	11.288551	-0.008798942	-1.7949237	1.3564423	0.0062836753	0.0765625	127.0	1488.6731374263763	46.252716	14.7860155	85.13134	22.29243	0.0	0.0
28	500.0	9.862133	2.3736362	13.654472	1.4267224	464000	1.8626451e-08	2.6098602	-0.009661549	-0.6315026	1.3564423	0.0057086777	0.0725625	127.0	1532.5490417480469	41.39944	9.387486	66.70618	18.634453	0.0	0.0
29	500.0	9.4515705	2.1028392	13.420161	2.9188728	480000	-7.450581e-09	2.9459574	-0.01105913	-0.3569981	1.3564423	0.009055329	0.0870625	127.0	1582.1170222759247	41.33943	9.842213	63.673073	20.810465	0.0	0.0
30	500.0	9.136158	2.2036972	13.34585	-1.9409992	496000	-2.2351742e-08	3.326674	-0.0076043243	-0.58229965	1.3564423	0.006053883	0.053999998	127.0	1650.4094021320343	40.452744	9.861499	58.27872	19.252373	0.0	0.0
31	500.0	9.657229	1.7118484	13.0971	4.0635448	512000	9.313226e-09	6.283366	-0.008450885	-1.25647	1.3564423	0.005361693	0.0671875	127.0	1739.6592202186584	47.28486	10.893789	85.27516	27.926447	0.0	0.0
32	500.0	10.516361	2.430904	14.318238	-5.186068	528000	-4.4703484e-08	14.024466	-0.009278774	-0.9766886	1.3564423	0.00776344	0.0756875	127.0	1799.0410425662994	45.325867	15.855367	93.59044	18.479525	0.0	0.0
33	500.0	10.410576	2.3271945	14.252652	1.5642279	544000	7.450581e-09	2.285476	-0.010007119	-0.6547726	1.3564423	0.0066965837	0.081	127.0	1870.2762792110443	44.64966	8.536833	63.594376	19.590145	0.0	0.0
34	500.0	10.295258	2.824752	14.296648	0.44841844	560000	-7.450581e-09	11.27733	-0.0076962793	-1.2986295	1.3564423	0.007497931	0.0669375	127.0	1924.568972826004	48.11666	17.412489	95.44677	17.142506	0.0	0.0
35	500.0	10.681447	2.5760121	15.557915	3.7432337	576000	1.4901161e-08	7.8991957	-0.008947739	-0.7312048	1.3564423	0.007892819	0.0663125	127.0	1983.1480464935303	46.204277	12.111467	83.524254	24.797922	0.0	0.0
36	500.0	10.91983	2.8152978	15.230547	3.4937167	592000	1.4901161e-08	15.172696	-0.008639394	-0.898578	1.3564423	0.007964652	0.078125	127.0	2046.502677679062	50.76723	18.62383	114.742676	18.852863	0.0	0.0
37	500.0	11.040481	2.7544768	15.487127	1.476515	608000	0.0	7.7415543	-0.0077737584	-0.6912575	1.3564423	0.0048762346	0.061624996	127.0	2095.160992383957	47.179283	15.417615	113.448715	19.163256	0.0	0.0
38	500.0	10.801649	2.5332284	15.643422	4.0264297	624000	1.6763806e-08	5.4720035	-0.009643344	-0.8961264	1.3564423	0.004746938	0.0665625	127.0	2132.5908105373383	43.92885	12.401626	82.02678	20.406664	0.0	0.0
39	500.0	10.944451	3.0093036	15.253461	-8.468923	640000	1.1175871e-08	7.9434485	-0.009978859	-0.7345972	1.3564423	0.008095464	0.08687501	127.0	2192.5449590682983	49.173836	13.238285	91.462654	22.736008	0.0	0.0
40	500.0	10.900594	2.8236575	15.167083	2.488856	656000	-4.0978193e-08	10.193828	-0.0085852435	-1.6900461	1.3564423	0.008667186	0.0975625	127.0	2242.453018426895	50.16725	18.419952	104.32496	22.483803	0.0	0.0
41	500.0	10.599102	3.8414488	16.68633	0.3456923	672000	3.3527613e-08	16.715195	-0.007864484	-1.2976247	1.3564423	0.0066219205	0.0703125	127.0	2297.4900600910187	48.743492	23.083252	106.39014	19.071262	0.0	0.0
42	500.0	10.599371	4.045204	17.443071	-0.36630344	688000	-1.4901161e-08	8.388698	-0.008834286	-0.61908424	1.3564423	0.006239474	0.0784375	127.0	2360.6009600162506	44.165882	17.769888	116.74283	19.852594	0.0	0.0
43	500.0	10.497901	4.394296	17.255108	-13.919796	704000	1.8626451e-08	18.066776	-0.009437686	-1.2144301	1.3564423	0.0069023906	0.073125005	127.0	2429.6982769966125	47.31138	21.342613	113.014336	20.416986	0.0	0.0
44	500.0	10.534115	4.0953145	17.421518	-7.6552887	720000	2.2351742e-08	15.977438	-0.008961869	-1.7182624	1.3564423	0.010138933	0.0920625	127.0	2477.652951478958	49.06458	22.555017	122.04995	20.298376	0.0	0.0
45	500.0	11.813406	4.125553	18.357788	3.1338398	736000	2.2351742e-08	20.821075	-0.009551166	-1.7114192	1.3564423	0.007698046	0.0799375	127.0	2541.2170672416687	54.498512	24.76334	113.80311	18.669315	0.0	0.0
46	500.0	12.919981	3.7876046	18.938948	4.134859	752000	2.9802322e-08	26.296305	-0.0103874635	-6.415868	1.3564423	0.008872601	0.089125	127.0	2624.5563802719116	65.44873	27.356995	109.0968	26.608921	0.0	0.0
47	500.0	12.760636	3.8244765	21.456402	0.97532225	768000	-5.5879354e-09	13.8555355	-0.008227433	-3.2368937	1.3564423	0.0057447427	0.068	127.0	2699.6169805526733	51.503212	18.431194	108.40596	27.375376	0.0	0.0
48	500.0	11.824929	5.160429	21.25252	-17.64265	784000	3.7252903e-09	22.178593	-0.008555124	-5.3610754	1.3564423	0.0056523816	0.058000002	127.0	2758.7140011787415	52.784016	23.66704	125.641655	27.981144	0.0	0.0
49	500.0	11.17807	3.9208589	21.401356	-5.108805	800000	-7.450581e-09	9.202038	-0.010789471	-1.8735628	1.3564423	0.0080706235	0.0844375	127.0	2800.2141423225403	47.73716	18.045172	105.73365	26.024384	0.0	0.0
50	500.0	11.368564	3.781152	21.84911	3.9224708	816000	1.3038516e-08	20.967815	-0.009199826	-3.2311165	1.3564423	0.008508785	0.086062506	127.0	2846.869015932083	50.940205	26.501463	124.57518	19.801489	0.0	0.0
51	500.0	11.389408	3.1730735	21.804937	2.2568223	832000	-1.4901161e-08	12.576637	-0.0089765545	-1.3666438	1.3564423	0.005909128	0.064375	127.0	2913.264966726303	51.205162	19.462168	115.38287	29.774908	0.0	0.0
52	500.0	11.653152	4.168687	22.865767	0.866692	848000	7.450581e-09	18.093014	-0.0087904865	-3.038341	1.3564423	0.0068302755	0.076625004	127.0	2959.9890356063843	55.704254	25.310484	118.41465	26.484493	0.0	0.0
