Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.1597099	0.041352753	-0.12338769	-0.33654702	16000	5.2154064e-08	0.049616914	-0.0050406824	-0.04131684	1.3564423	0.005797551	0.0411875	127.0	37.21379637718201	0.4653321	0.43458378	1.9101379	0.053626556	0.0	0.0
1	500.0	0.052856315	0.0295332	0.118474595	-0.061157398	32000	-3.3527613e-08	0.07851529	-0.0063223513	-0.029825363	1.3564423	0.00423663	0.060187504	127.0	72.36112546920776	1.1702343	1.3312376	5.966831	0.06555653	0.0	0.0
2	500.0	0.27101868	0.07199195	0.4710037	0.0134708285	48000	2.2351742e-08	0.253729	-0.0069590854	-0.057830982	1.3564423	0.0058087884	0.071875006	127.0	105.49429845809937	2.4232228	2.4818246	10.182072	0.20491663	0.0	0.0
3	500.0	0.49832243	0.089106664	0.77314717	0.21659973	64000	-3.7252903e-08	0.27423888	-0.008159587	-0.09651527	1.3564423	0.005809918	0.0680625	127.0	142.46017622947693	3.2700434	2.7572215	11.450381	0.4470615	0.0	0.0
4	500.0	0.80549234	0.19776165	1.3519865	0.26692322	80000	4.4703484e-08	0.26857856	-0.010489026	-0.081965506	1.3564423	0.0075161504	0.087437496	127.0	186.59350728988647	4.380347	2.515409	11.093817	0.6761781	0.0	0.0
5	500.0	0.94696105	0.2527192	1.6600451	0.27450827	96000	-1.4901161e-08	0.18050343	-0.009485165	-0.058151305	1.3564423	0.009026889	0.0855	127.0	253.86561608314514	3.9921064	2.562136	9.035783	0.53184927	0.0	0.0
6	500.0	1.103076	0.34283072	2.18284	0.33253095	112000	-7.450581e-09	0.34993076	-0.007957542	-0.11157159	1.3564423	0.007712143	0.082375005	127.0	298.93866753578186	5.5072947	3.102915	15.083475	1.4418586	0.0	0.0
7	500.0	1.4175545	0.55544573	2.843784	-0.0130880885	128000	6.7055225e-08	1.6816914	-0.006789353	-0.9350885	1.3564423	0.0060238233	0.059062503	127.0	338.4068036079407	9.938068	4.807728	23.418516	2.3855681	0.0	0.0
8	500.0	2.5653002	0.88896126	4.3409286	-0.26974648	144000	7.450581e-09	3.3074365	-0.009133829	-1.5983651	1.3564423	0.007248005	0.083000004	127.0	375.13615918159485	14.475993	8.320762	33.898228	3.011274	0.0	0.0
9	500.0	3.718333	1.4327664	6.783089	-1.263489	160000	2.9802322e-08	3.2846973	-0.011056416	-1.412431	1.3564423	0.0074912608	0.0958125	127.0	410.0485329627991	19.756618	8.572087	36.086575	4.3042016	0.0	0.0
10	500.0	5.193541	1.8455739	8.156226	-1.563333	176000	-3.1664968e-08	4.1815715	-0.010125022	-0.95592576	1.3564423	0.00953751	0.092374995	127.0	444.53558683395386	25.814451	9.466652	45.544884	8.875115	0.0	0.0
11	500.0	5.9366717	2.09571	9.121146	-1.987378	192000	-3.7252903e-09	4.890804	-0.009306189	-1.2087154	1.3564423	0.0076663573	0.0763125	127.0	484.482120513916	29.253407	7.84802	48.306988	13.141852	0.0	0.0
12	500.0	7.547254	2.2209873	10.247716	-2.4087143	208000	2.2351742e-08	8.859474	-0.008526968	-1.532325	1.3564423	0.00607062	0.065625	127.0	521.5136218070984	36.744614	11.389639	78.13163	18.640724	0.0	0.0
13	500.0	8.715697	2.2342896	11.083913	-1.2901456	224000	-7.450581e-09	5.5540786	-0.00883667	-1.043209	1.3564423	0.0065469793	0.07062501	127.0	559.6017367839813	32.45118	9.1214905	54.65165	19.09519	0.0	0.0
14	500.0	8.217069	1.875437	10.349111	-0.59110135	240000	1.4901161e-08	6.605441	-0.008851653	-0.30050674	1.3564423	0.0069822785	0.06525	127.0	597.8429119586945	37.419624	12.169382	89.26392	22.560366	0.0	0.0
15	500.0	8.543994	1.9023778	10.842527	-0.11521307	256000	7.450581e-09	2.9252582	-0.010149134	-0.22112148	1.3564423	0.008518798	0.082875	127.0	636.7808120250702	37.13508	5.7185097	51.86859	26.419783	0.0	0.0
16	500.0	8.890457	1.7251172	10.667133	0.1557678	272000	-7.450581e-09	12.655808	-0.008501115	-2.0412705	1.3564423	0.010576764	0.0804375	127.0	674.0588986873627	45.59744	13.074295	92.82064	28.88163	0.0	0.0
17	500.0	10.20825	1.8791268	11.748658	0.8826629	288000	3.7252903e-08	9.546526	-0.0074898363	-0.6399287	1.3564423	0.0072226776	0.0658125	127.0	711.3623161315918	47.845688	13.029806	90.74779	27.136114	0.0	0.0
18	500.0	11.038689	2.0839102	12.7763	0.14545521	304000	0.0	8.89735	-0.0093891	-0.18148395	1.3564423	0.00743396	0.089250006	127.0	749.7167489528656	48.856068	12.672037	88.107544	35.366352	0.0	0.0
19	500.0	11.142199	2.2491846	12.988466	-0.12872733	320000	1.4901161e-08	5.978633	-0.008714948	-0.397824	1.3564423	0.0066608246	0.07349999	127.0	785.1953098773956	49.182228	11.26185	82.4135	31.084396	0.0	0.0
20	500.0	11.11792	2.4329052	13.522823	-0.42598045	336000	1.1175871e-08	10.296335	-0.0072212685	-0.51423335	1.3564423	0.008299947	0.0625625	127.0	822.0020575523376	48.514175	15.414951	103.96146	32.082867	0.0	0.0
21	500.0	11.401386	2.1792889	13.659025	-0.11935258	352000	0.0	21.106918	-0.0073487614	-1.316878	1.3564423	0.008618996	0.0680625	127.0	858.6567897796631	53.950706	20.483423	118.18535	33.902584	0.0	0.0
22	500.0	12.067644	2.3822098	14.590445	0.7140449	368000	-3.7252903e-09	5.5284443	-0.008084709	-0.6658283	1.3564423	0.0068859	0.0655625	127.0	897.4192152023315	49.60285	8.904332	82.992294	37.888485	0.0	0.0
23	500.0	11.257445	2.3534322	13.740626	1.6696268	384000	3.7252903e-08	6.9435077	-0.007827694	-0.18236457	1.3564423	0.005215467	0.065937504	127.0	934.2433643341064	49.433464	11.373501	97.38049	37.1109	0.0	0.0
24	500.0	11.134846	2.3716242	13.971371	1.8606832	400000	-1.4901161e-08	23.088299	-0.007837526	-3.6295657	1.3564423	0.0086472295	0.079375	127.0	972.1627442836761	56.441895	20.937847	117.623886	33.654583	0.0	0.0
25	500.0	12.875385	2.3651187	15.406091	1.4508587	416000	-1.4901161e-08	23.469893	-0.0075166915	-1.9715843	1.3564423	0.008488874	0.064125	127.0	1014.2310574054718	61.5159	21.719759	115.62622	37.61486	0.0	0.0
26	500.0	13.153767	3.1532476	16.480658	0.06999686	432000	0.0	10.817856	-0.0075581716	-1.9632552	1.3564423	0.007733866	0.0651875	127.0	1052.9658920764923	54.441055	14.47104	107.90779	38.39014	0.0	0.0
27	500.0	12.956569	2.6905906	16.500418	0.82511973	448000	7.450581e-09	18.46414	-0.009167342	-1.213746	1.3564423	0.009289535	0.092875004	127.0	1094.6256394386292	56.779884	20.687378	123.28217	34.64762	0.0	0.0
28	500.0	12.815074	2.6222756	16.266005	0.42648217	464000	3.7252903e-09	24.289484	-0.009015862	-5.716247	1.3564423	0.010632792	0.0878125	127.0	1133.486123085022	61.743378	22.29089	133.72014	41.920135	0.0	0.0
29	500.0	13.615108	2.8718286	16.728317	-0.9464325	480000	-1.1175871e-08	13.442438	-0.008152262	-1.1710544	1.3564423	0.007743963	0.080125	127.0	1172.892810344696	56.283577	16.902817	125.232124	37.05393	0.0	0.0
30	500.0	13.817793	2.8169029	16.991156	-0.010786124	496000	1.3038516e-08	34.000336	-0.009131845	-2.4991293	1.3564423	0.0089203585	0.090187505	127.0	1213.6901564598083	59.2063	24.828094	123.85545	35.607914	0.0	0.0
31	500.0	13.712217	2.51703	15.74805	2.4890757	512000	1.8626451e-09	25.098381	-0.008580449	-0.9864453	1.3564423	0.008452371	0.07443751	127.0	1254.7949349880219	59.09562	20.599886	103.49271	32.802013	0.0	0.0
32	500.0	13.556767	2.6132984	15.372564	1.1672956	528000	7.450581e-09	26.740887	-0.00789424	-2.912746	1.3564423	0.008526231	0.0688125	127.0	1295.0810904502869	65.06732	21.750748	114.9398	35.703735	0.0	0.0
33	500.0	14.865127	3.1849835	17.054285	-0.38597596	544000	-2.2351742e-08	30.27599	-0.009248177	-0.30903104	1.3564423	0.0072487895	0.080937505	127.0	1331.820452451706	65.880035	25.135057	125.738625	38.456932	0.0	0.0
34	500.0	15.229652	2.970005	17.395344	3.1393719	560000	2.2351742e-08	29.736488	-0.008794369	-2.0179875	1.3564423	0.009238177	0.0798125	127.0	1369.3593382835388	59.85093	24.36679	134.2303	35.604355	0.0	0.0
35	500.0	14.101529	2.678105	16.482178	2.4138408	576000	-1.4901161e-08	47.001816	-0.008403449	-5.00728	1.3564423	0.009885211	0.068875	127.0	1424.9874272346497	72.12252	30.234692	139.2533	41.37685	0.0	0.0
36	500.0	16.045992	3.1047378	18.200123	1.5610482	592000	2.9802322e-08	50.735092	-0.008220889	-0.7779102	1.3564423	0.007992957	0.068187505	127.0	1488.4872524738312	70.53725	34.602608	135.71957	33.02678	0.0	0.0
37	500.0	16.020147	3.2478287	18.534594	1.666315	608000	-2.2351742e-08	51.60335	-0.0078111887	-2.2882776	1.3564423	0.008236921	0.0700625	127.0	1528.8447465896606	71.797585	34.166893	140.49348	35.286945	0.0	0.0
38	500.0	16.258385	3.8527334	19.711227	3.5963495	624000	3.7252903e-08	43.09263	-0.009259153	-3.8804598	1.3564423	0.0061768666	0.084750004	127.0	1567.835259437561	64.60142	30.182833	126.61646	32.35553	0.0	0.0
39	500.0	15.242849	3.4755745	19.773193	4.9778976	640000	0.0	40.615936	-0.008775654	-5.1229396	1.3564423	0.008361575	0.0791875	127.0	1603.3594427108765	63.468967	30.155176	128.06995	30.808298	0.0	0.0
40	500.0	15.106846	3.9219933	20.678381	4.6413093	656000	1.4901161e-08	44.326565	-0.009022888	-3.686108	1.3564423	0.00924989	0.0756875	127.0	1643.679574728012	68.09863	31.405073	136.77998	31.782915	0.0	0.0
41	500.0	15.345131	4.402501	21.288025	2.264135	672000	0.0	50.236267	-0.00982645	-8.106203	1.3564423	0.008043235	0.094125	127.0	1684.4890758991241	78.60694	34.925766	137.32986	30.72046	0.0	0.0
42	500.0	18.31339	4.3455615	22.977028	2.980876	688000	-1.1175871e-08	49.564117	-0.009134071	-10.21412	1.3564423	0.0059461594	0.0719375	127.0	1722.419980764389	66.48305	31.968096	136.261	35.78124	0.0	0.0
43	500.0	16.104618	3.9900725	23.071623	6.107974	704000	-1.4901161e-08	39.120407	-0.009528386	-9.26997	1.3564423	0.006519435	0.0876875	127.0	1757.700339794159	59.747223	24.849615	128.84113	35.300816	0.0	0.0
44	500.0	14.609505	2.8281877	21.173737	4.232098	720000	1.4901161e-08	35.50517	-0.00962426	-2.5110202	1.3564423	0.010548025	0.100375	127.0	1794.6573560237885	61.65909	27.858913	141.85924	40.35274	0.0	0.0
45	500.0	14.216721	2.569871	19.444202	2.1990118	736000	7.450581e-09	37.978127	-0.009156565	-3.4170084	1.3564423	0.011203187	0.07987501	127.0	1834.4935257434845	65.82431	29.959929	131.64223	29.684679	0.0	0.0
46	500.0	15.524562	3.625786	21.988115	2.0516448	752000	-3.7252903e-08	47.484528	-0.009603586	-7.029725	1.3564423	0.008267518	0.080937505	127.0	1874.675299167633	71.89732	33.971012	135.90437	40.12926	0.0	0.0
47	500.0	16.134377	3.7801957	22.640425	2.2802815	768000	2.6077032e-08	42.311813	-0.010082359	-8.832994	1.3564423	0.009177979	0.0853125	127.0	1910.6317853927612	58.40434	28.781452	146.79303	31.857323	0.0	0.0
48	500.0	14.651374	3.2092433	22.739868	2.62802	784000	1.4901161e-08	46.236923	-0.008438809	-5.227845	1.3564423	0.008120235	0.075125	127.0	1964.8897445201874	70.76053	31.693893	129.6097	41.217083	0.0	0.0
49	500.0	15.329053	4.072066	23.178114	2.1923351	800000	-1.8626451e-09	38.212746	-0.009369049	-2.7316918	1.3564423	0.0086700395	0.083000004	127.0	2013.724824666977	69.3539	28.620909	122.94108	39.48392	0.0	0.0
50	500.0	16.082253	3.8425126	23.694653	2.5953975	816000	-1.4901161e-08	50.629047	-0.009651776	-8.60485	1.3564423	0.0069675166	0.080437504	127.0	2052.3741602897644	81.474525	31.097574	129.79875	38.59597	0.0	0.0
51	500.0	18.033821	4.5209646	23.83836	0.8310498	832000	3.7252903e-09	42.00205	-0.00886118	-5.9566784	1.3564423	0.008484556	0.077875	127.0	2089.7140510082245	69.36459	31.162725	125.65592	41.58296	0.0	0.0
52	500.0	16.768692	4.352754	24.952696	1.5853434	848000	-3.7252903e-09	40.5861	-0.0086940825	-5.562019	1.3564423	0.0075225984	0.070250005	127.0	2128.5542619228363	62.24067	29.914038	124.512566	29.645388	0.0	0.0
53	500.0	15.242728	4.0445337	23.86794	0.44434136	864000	-4.0978193e-08	44.53238	-0.009553083	-8.442152	1.3564423	0.008817148	0.0814375	127.0	2169.553989648819	75.37448	33.163055	128.88965	31.176144	0.0	0.0
54	500.0	16.434893	5.7213116	25.226686	-1.7836137	880000	-1.4901161e-08	49.879868	-0.009793492	-6.132286	1.3564423	0.008447002	0.0750625	127.0	2207.4630794525146	73.830246	36.98213	131.69171	35.08656	0.0	0.0
55	500.0	15.950313	5.171769	26.573483	-3.272615	896000	0.0	33.55788	-0.009005856	-3.8843656	1.3564423	0.0076509807	0.07862501	127.0	2250.123160123825	66.76914	29.969624	124.24215	34.691452	0.0	0.0
56	500.0	16.049698	5.054169	26.166737	2.1390674	912000	1.4901161e-08	36.18386	-0.010100504	-4.016465	1.3564423	0.008575085	0.0840625	127.0	2285.733320713043	68.48679	32.94767	126.519905	28.090002	0.0	0.0
57	500.0	17.585949	5.1437025	26.331211	3.187405	928000	2.9802322e-08	45.33996	-0.009406968	-11.76729	1.3564423	0.0072706817	0.0846875	127.0	2324.857410669327	78.46977	34.395584	129.57614	35.141605	0.0	0.0
58	500.0	16.169708	6.289078	28.915756	-0.58780503	944000	3.7252903e-09	32.14107	-0.009615366	-5.4890327	1.3564423	0.007808248	0.09568751	127.0	2363.775011777878	73.78433	33.621605	130.05707	30.336164	0.0	0.0
59	500.0	17.352203	7.752092	29.430824	-4.9503865	960000	-5.5879354e-09	33.03997	-0.011652021	-4.5658464	1.3564423	0.009992069	0.09275	127.0	2406.717784881592	76.612015	34.053856	137.40155	34.137585	0.0	0.0
60	500.0	18.647932	7.5574	30.215755	-11.937466	976000	1.4901161e-08	41.23374	-0.009499341	-8.953522	1.3564423	0.008004218	0.077562496	127.0	2453.846375465393	79.47516	34.262398	127.60678	28.989807	0.0	0.0
61	500.0	16.696253	7.026083	30.809448	-5.1606946	992000	-2.9802322e-08	29.104414	-0.009641245	-4.986762	1.3564423	0.0076043624	0.08375	127.0	2496.1540212631226	69.955246	26.273159	121.14575	38.30542	0.0	0.0
62	500.0	15.200723	5.7684846	30.393085	-9.239503	1008000	1.1175871e-08	28.004887	-0.00891428	-5.1994553	1.3564423	0.008259989	0.083187506	127.0	2535.619009256363	66.95526	26.668041	117.426926	35.179134	0.0	0.0
63	500.0	16.295397	6.4111266	30.107876	-0.8402364	1024000	-1.6763806e-08	37.591064	-0.009309935	-7.584051	1.3564423	0.006102587	0.0735625	127.0	2575.043614625931	76.98034	34.4613	129.40672	23.497278	0.0	0.0
64	500.0	18.244886	8.157237	31.776567	-2.9495518	1040000	3.3527613e-08	38.109802	-0.009683992	-4.729067	1.3564423	0.006434164	0.076937504	127.0	2611.9398119449615	80.7962	33.660175	127.32791	35.075314	0.0	0.0
