Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20238797	0.048190642	-0.1484245	-0.33002388	16000	-1.0803342e-07	0.042255044	-0.005335639	-0.038748883	1.3564423	0.005810026	0.0418125	127.0	40.96074175834656	0.20177048	0.19249174	0.8957677	0.03022481	0.0	0.0
1	500.0	-0.0014184458	0.041995	0.073427446	-0.10910694	32000	0.0	0.005313185	-0.010307385	-0.002395243	1.3564423	0.007078009	0.118125	127.0	75.85000419616699	0.36190578	0.3097401	1.1824042	0.067579776	0.0	0.0
2	500.0	0.07882173	0.029287757	0.1273148	-0.035695117	48000	-3.7252903e-08	0.0042017265	-0.009962164	-0.0007176633	1.3564423	0.0066461843	0.0920625	127.0	113.37573575973511	0.53768766	0.33926317	1.5514201	0.08091956	0.0	0.0
3	500.0	0.10535443	0.020789435	0.16101009	0.03300576	64000	-2.2351742e-08	0.012890116	-0.009355892	-0.007000495	1.3564423	0.007459498	0.0821875	127.0	150.91869115829468	0.991238	0.4352801	2.0562806	0.14535879	0.0	0.0
4	500.0	0.20519315	0.031239	0.3003429	0.072090395	80000	-1.4901161e-08	0.02762312	-0.006598086	-0.009103273	1.3564423	0.0055998713	0.0580625	127.0	186.5503273010254	1.3643283	0.7951606	4.225466	0.455645	0.0	0.0
5	500.0	0.2838	0.046566352	0.4788591	0.17283839	96000	1.4901161e-08	0.016769558	-0.009087851	-0.0066491836	1.3564423	0.007834154	0.0785625	127.0	221.7993824481964	1.3950965	0.6195981	2.8899755	0.42082816	0.0	0.0
6	500.0	0.35240355	0.08123817	0.6381066	0.16626638	112000	-7.450581e-09	0.027487142	-0.007764482	-0.0112064	1.3564423	0.0070229084	0.0741875	127.0	258.016877412796	1.8116362	0.90682447	3.7935965	0.26852584	0.0	0.0
7	500.0	0.41211265	0.17254777	1.0720776	0.07744706	128000	1.1175871e-08	0.033874493	-0.009537311	-0.014100019	1.3564423	0.009084335	0.0985	127.0	295.9230215549469	2.0804687	1.190065	4.813399	0.73231626	0.0	0.0
8	500.0	0.70599097	0.323053	1.544782	0.101786286	144000	3.3527613e-08	0.14113449	-0.007225323	-0.072287746	1.3564423	0.008354915	0.080125	127.0	335.8552186489105	3.6219702	2.0028324	7.9672875	0.4970769	0.0	0.0
9	500.0	0.9159268	0.42600134	1.9732972	-0.043691017	160000	-2.2351742e-08	0.18279012	-0.0077520143	-0.058910366	1.3564423	0.006776412	0.0920625	127.0	376.557204246521	4.0620728	2.5419168	12.724976	1.0537823	0.0	0.0
