Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.16266263	0.041581236	-0.12630168	-0.339377	16000	5.9604645e-08	0.050873756	-0.005229391	-0.042404238	1.3564423	0.0059709186	0.04475	127.0	46.68401288986206	0.46858072	0.4368683	1.9333484	0.053934433	0.0	0.0
1	500.0	0.053078804	0.029475356	0.11763264	-0.05979567	32000	5.029142e-08	0.0783074	-0.0062237848	-0.029803619	1.3564423	0.0040927194	0.0574375	127.0	95.58721876144409	1.1748221	1.3258415	5.9218264	0.06508408	0.0	0.0
2	500.0	0.2683142	0.07136376	0.46889037	0.02919159	48000	-3.3527613e-08	0.2460511	-0.0067189033	-0.055809528	1.3564423	0.0059429323	0.069375	127.0	140.9933500289917	2.402571	2.444056	10.004385	0.1925026	0.0	0.0
3	500.0	0.48995855	0.07974614	0.7267011	0.22742096	64000	-7.450581e-09	0.27850443	-0.0071202433	-0.10144116	1.3564423	0.005156953	0.055625	127.0	178.9252462387085	3.355443	2.7174282	11.070475	0.44435185	0.0	0.0
4	500.0	0.7928473	0.18579336	1.4146777	0.30392528	80000	-2.2351742e-08	0.33939672	-0.009987658	-0.10279438	1.3564423	0.0067699216	0.084625006	127.0	212.689799785614	4.675474	2.782297	13.827135	0.7173518	0.0	0.0
5	500.0	1.1419485	0.28252405	1.8441938	0.26644337	96000	-1.4901161e-08	0.29234576	-0.008263689	-0.10448429	1.3564423	0.007960061	0.076124996	127.0	245.77250337600708	4.9743137	2.8416905	11.4075985	0.7888677	0.0	0.0
6	500.0	1.2698637	0.40098688	2.4960527	0.30664465	112000	0.0	0.4305334	-0.008382864	-0.15064532	1.3564423	0.008305531	0.0836875	127.0	278.2422378063202	6.1114597	3.296413	16.473314	1.9157343	0.0	0.0
7	500.0	1.5908899	0.6683216	3.0854979	-0.054097995	128000	-1.4901161e-08	2.0824242	-0.007886395	-0.9754759	1.3564423	0.0063030915	0.0848125	127.0	310.2546751499176	10.430878	5.682494	31.992172	2.6469104	0.0	0.0
8	500.0	2.8598092	1.1012325	4.879956	-0.5336561	144000	-1.1175871e-08	4.068902	-0.00932868	-1.800842	1.3564423	0.008621005	0.0901875	127.0	345.34383153915405	16.877613	8.909013	36.49515	3.1481855	0.0	0.0
9	500.0	4.231255	1.7360554	7.8159256	-1.3459889	160000	-1.3038516e-08	3.268559	-0.010366479	-1.3054929	1.3564423	0.008024756	0.0936875	127.0	377.516642332077	21.334274	9.3856735	41.38007	3.9764462	0.0	0.0
10	500.0	5.487094	2.0110414	8.730002	-1.9564309	176000	3.3527613e-08	6.197933	-0.008854367	-2.2114851	1.3564423	0.008580921	0.0845	127.0	413.4580717086792	29.279327	10.914245	55.315285	11.516213	0.0	0.0
11	500.0	6.541558	2.436202	10.41702	-2.5045154	192000	4.0978193e-08	3.4487514	-0.01094466	-0.82335603	1.3564423	0.007832342	0.0835	127.0	452.33042311668396	30.509241	7.677416	45.537167	15.586333	0.0	0.0
12	500.0	7.9689317	2.4537456	10.910923	-2.8817303	208000	2.9802322e-08	7.178776	-0.0074438667	-1.6800163	1.3564423	0.0045445086	0.0508125	127.0	487.609735250473	39.133446	9.947274	57.684986	24.691761	0.0	0.0
13	500.0	9.219887	2.5866222	11.861158	-1.8442137	224000	-3.7252903e-09	5.597839	-0.009268729	-0.7209317	1.3564423	0.00755959	0.068937495	127.0	520.7386844158173	36.116066	8.6044035	57.97606	20.833626	0.0	0.0
