Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20595013	0.0486723	-0.15091076	-0.33261508	16000	-3.5390258e-08	0.04212202	-0.0055071576	-0.038729414	1.3564423	0.005948447	0.042625	127.0	44.56160283088684	0.19003117	0.16606793	0.90987533	0.030567354	0.0	0.0
1	500.0	-0.009940723	0.03741269	0.064571194	-0.10731911	32000	-1.4901161e-08	0.0050078784	-0.010373583	-0.0025885273	1.3564423	0.00685291	0.115625	127.0	81.77128291130066	0.33864126	0.2815556	0.9644366	0.06060888	0.0	0.0
2	500.0	0.07063522	0.029704437	0.12188028	-0.040281735	48000	1.4901161e-08	0.002872347	-0.009355671	-0.00048915076	1.3564423	0.005762968	0.0845625	127.0	119.12628769874573	0.42657992	0.29550564	1.4319146	0.055822033	0.0	0.0
3	500.0	0.08642892	0.018450564	0.13398506	0.024148233	64000	4.8428774e-08	0.010406615	-0.009369174	-0.0049053603	1.3564423	0.007473875	0.085999995	127.0	157.4485034942627	0.8389447	0.42207232	1.9441574	0.107397884	0.0	0.0
4	500.0	0.1806499	0.026069092	0.26775306	0.09468785	80000	3.7252903e-09	0.022052616	-0.0064596706	-0.008818755	1.3564423	0.0049196933	0.051250003	127.0	196.45503115653992	1.328546	0.64328384	2.7594278	0.42835072	0.0	0.0
5	500.0	0.26411015	0.026988963	0.3524771	0.20272392	96000	-2.9802322e-08	0.014320463	-0.007269297	-0.0038578117	1.3564423	0.0056678276	0.0559375	127.0	232.10083484649658	1.3353508	0.63627386	3.3338377	0.45641747	0.0	0.0
6	500.0	0.31837785	0.05445023	0.4945354	0.16154286	112000	1.4901161e-08	0.033594396	-0.007988459	-0.010771321	1.3564423	0.007824768	0.077374995	127.0	266.8923816680908	1.8314161	0.9006332	3.963059	0.23044205	0.0	0.0
7	500.0	0.45760491	0.12345279	0.75780594	0.15694651	128000	4.4703484e-08	0.15690435	-0.007433644	-0.08025899	1.3564423	0.0059830565	0.065375	127.0	302.37518191337585	3.1168537	1.5256015	7.337219	0.99485403	0.0	0.0
8	500.0	0.76172525	0.2536339	1.3950094	0.17268497	144000	-2.6077032e-08	0.2808685	-0.008394819	-0.16099669	1.3564423	0.0077384235	0.085374996	127.0	340.08440017700195	4.5736113	1.797927	8.527638	0.99128234	0.0	0.0
9	500.0	1.1329045	0.4544651	2.1633613	-0.03606908	160000	2.2351742e-08	0.28235134	-0.009174952	-0.07247786	1.3564423	0.008408969	0.106000006	127.0	377.1788992881775	4.946273	2.5818365	12.532429	1.3328224	0.0	0.0
10	500.0	1.5532434	0.66343004	3.0023365	-0.050331652	176000	1.4901161e-08	0.405127	-0.007952532	-0.14598334	1.3564423	0.0068948353	0.085125	127.0	413.72275495529175	7.5399065	3.012643	15.089695	1.8010054	0.0	0.0
11	500.0	2.1552703	0.824747	3.9189355	-0.00015880167	192000	3.7252903e-08	0.48719212	-0.011254931	-0.1108508	1.3564423	0.008551027	0.1055	127.0	455.1638684272766	9.923481	3.2403603	16.148788	2.6973107	0.0	0.0
12	500.0	2.810192	1.0370108	4.6078925	0.08508552	208000	1.3038516e-08	0.541851	-0.008107159	-0.084131055	1.3564423	0.007035711	0.07525	127.0	494.77676153182983	11.6286545	3.3535726	19.99662	4.5856023	0.0	0.0
13	500.0	3.2588468	1.2206165	5.086758	0.15691844	224000	3.7252903e-09	2.758852	-0.008438167	-1.049437	1.3564423	0.0050001806	0.068187505	127.0	533.9501020908356	14.207301	7.230664	33.231194	4.3848605	0.0	0.0
14	500.0	3.422876	1.4406141	6.9570303	-0.3130744	240000	0.0	1.681839	-0.007606142	-0.4517972	1.3564423	0.0056992215	0.057375	127.0	570.8912703990936	13.859434	6.056925	27.897766	6.6264963	0.0	0.0
15	500.0	4.195617	1.7431765	7.223419	0.46269083	256000	1.4901161e-08	1.2541661	-0.010262223	-0.18433635	1.3564423	0.0069183894	0.0824375	127.0	606.9932055473328	17.591541	5.01048	28.05263	8.943114	0.0	0.0
16	500.0	4.4766736	1.8264116	8.20731	0.6025165	272000	2.6077032e-08	2.5653589	-0.007657573	-0.77779007	1.3564423	0.0061365776	0.0705625	127.0	643.1467092037201	20.02224	7.55947	32.137123	4.6924615	0.0	0.0
