Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.205859	0.04874904	-0.15091076	-0.33261508	16000	5.2154064e-08	0.04348956	-0.005332159	-0.039692596	1.3564423	0.0056618	0.0418125	127.0	35.4573118686676	0.20407398	0.1953679	0.90987533	0.030567354	0.0	0.0
1	500.0	-0.0049168975	0.04056953	0.07035459	-0.10649529	32000	-1.1175871e-08	0.005024182	-0.01006621	-0.002308746	1.3564423	0.006640331	0.111875	127.0	67.40387272834778	0.34345236	0.29917616	1.2000266	0.065118186	0.0	0.0
2	500.0	0.07459416	0.029607994	0.12362141	-0.036284305	48000	7.450581e-09	0.0038738346	-0.010136219	-0.0006084089	1.3564423	0.0065091834	0.094375	127.0	97.39212346076965	0.50891936	0.33051112	1.4884143	0.074047826	0.0	0.0
3	500.0	0.10080237	0.019971412	0.15720561	0.024792105	64000	1.1175871e-08	0.012523018	-0.009334554	-0.0065461863	1.3564423	0.0075144246	0.085125	127.0	129.60129380226135	0.9551815	0.44412965	2.0894864	0.13399531	0.0	0.0
4	500.0	0.19947109	0.029870361	0.29052263	0.07540512	80000	1.4901161e-08	0.024703087	-0.0067789014	-0.008683059	1.3564423	0.005864049	0.061937496	127.0	162.73605680465698	1.3176755	0.75866014	4.032217	0.46578705	0.0	0.0
5	500.0	0.2745261	0.052345578	0.46723473	0.16684279	96000	1.4901161e-08	0.02380904	-0.009061614	-0.011257481	1.3564423	0.0077717965	0.085062504	127.0	203.85289025306702	1.4090656	0.7358281	3.4567072	0.49369636	0.0	0.0
6	500.0	0.3348701	0.08986086	0.65890676	0.123841695	112000	0.0	0.024988111	-0.009262181	-0.0100454595	1.3564423	0.0086901	0.0983125	127.0	250.64233922958374	1.6116601	0.88189596	3.856566	0.28529474	0.0	0.0
7	500.0	0.4236334	0.20073438	1.1845645	0.050765753	128000	1.8626451e-08	0.035112638	-0.009104194	-0.010979198	1.3564423	0.008144077	0.09625	127.0	289.84367299079895	2.0470111	1.17466	4.9937983	0.7209847	0.0	0.0
8	500.0	0.72087574	0.32159382	1.5115726	0.1267823	144000	3.7252903e-08	0.13587774	-0.0072456966	-0.054719318	1.3564423	0.008682588	0.081625	127.0	320.44171118736267	3.6027687	1.8585535	7.8287115	0.5260108	0.0	0.0
9	500.0	0.95567393	0.38819078	1.7209054	0.032870494	160000	-2.7939677e-08	0.17385286	-0.0072904387	-0.07370629	1.3564423	0.0067314985	0.0821875	127.0	353.13468837738037	4.0346565	2.5232608	12.276397	0.45616594	0.0	0.0
10	500.0	1.2784771	0.6347128	2.651053	-0.2845899	176000	1.1175871e-08	0.39052677	-0.007850103	-0.08218262	1.3564423	0.0069468543	0.090625	127.0	394.31999039649963	5.8703547	3.4067855	15.445191	0.8244134	0.0	0.0
11	500.0	1.6056126	0.71212256	3.369497	-0.34128305	192000	3.7252903e-09	0.37751886	-0.008684473	-0.102276124	1.3564423	0.0063872505	0.076875	127.0	439.9528489112854	7.7397213	3.0323842	12.9485445	1.8355662	0.0	0.0
12	500.0	1.7573935	0.82513463	3.6176076	-0.22655907	208000	0.0	0.9916018	-0.0047653187	-0.17103608	1.3564423	0.006633605	0.052874997	127.0	477.09989833831787	7.697149	5.9518156	26.466846	0.9357593	0.0	0.0
13	500.0	2.6132426	1.1176672	4.968491	-0.5206538	224000	-2.0489097e-08	2.2586508	-0.0063176015	-0.9177828	1.3564423	0.007756572	0.075	127.0	509.23810482025146	12.52846	9.387932	42.669518	1.7784861	0.0	0.0
14	500.0	3.391805	1.6161875	7.2349834	-1.6729404	240000	-3.7252903e-09	2.1204317	-0.0083271265	-0.6790379	1.3564423	0.006009974	0.068375	127.0	559.0918173789978	11.34099	7.526446	34.513702	0.66450626	0.0	0.0
15	500.0	3.4838014	1.7625407	6.940094	-2.2259994	256000	0.0	1.4050188	-0.009248946	-0.38215905	1.3564423	0.0065803006	0.0799375	127.0	608.1960823535919	14.010922	7.9397335	35.15007	2.4776628	0.0	0.0
16	500.0	3.812422	2.061334	10.034401	-1.9870541	272000	-2.2351742e-08	1.8127339	-0.008016534	-0.6879959	1.3564423	0.003786753	0.061499998	127.0	641.501656293869	14.441598	10.008737	30.766064	1.1810538	0.0	0.0
17	500.0	3.666041	2.2161596	9.13388	-2.4677382	288000	3.7252903e-08	1.3087101	-0.007331156	-0.4546346	1.3564423	0.005814	0.056687504	127.0	673.7763619422913	12.320404	8.81594	31.231987	1.2879862	0.0	0.0
18	500.0	4.188548	2.8220637	12.359487	-1.9209219	304000	1.3038516e-08	1.5098643	-0.009721394	-0.36677152	1.3564423	0.008130296	0.085875	127.0	707.534455537796	14.821064	9.643398	39.63738	2.2362604	0.0	0.0
19	500.0	4.4520636	2.5394385	10.666515	-1.3159196	320000	-5.5879354e-09	1.8865478	-0.01012661	-0.59271634	1.3564423	0.008310528	0.084875	127.0	741.6546502113342	15.975094	8.017447	34.11594	1.350788	0.0	0.0
20	500.0	4.8303976	2.7340283	10.290857	-1.3746371	336000	-9.313226e-10	2.5179372	-0.009094631	-0.35161787	1.3564423	0.0068545286	0.07325	127.0	775.0647857189178	18.567308	9.090486	38.130466	3.1026459	0.0	0.0
21	500.0	5.1561804	2.2264903	9.358565	-0.63606685	352000	-3.7252903e-09	1.9475281	-0.008415723	-0.41315323	1.3564423	0.0066172034	0.07175	127.0	822.3855490684509	18.37997	6.677833	29.35724	2.1576073	0.0	0.0
22	500.0	5.3852954	2.2594872	9.386287	-0.8458992	368000	-2.2351742e-08	4.229432	-0.006771622	-1.1516659	1.3564423	0.005519431	0.0465625	127.0	871.700581073761	22.646996	10.195786	39.361115	2.0922866	0.0	0.0
23	500.0	5.024712	3.0227036	9.454586	-1.3752718	384000	-1.0244548e-08	3.208418	-0.0074174413	-0.6977121	1.3564423	0.00691285	0.058875002	127.0	921.6087448596954	23.550743	12.392	40.53016	1.5164886	0.0	0.0
24	500.0	6.192514	3.3348777	10.209786	-1.3462417	400000	-1.4901161e-08	4.5472198	-0.008465358	-0.6190816	1.3564423	0.0077787833	0.0695625	127.0	973.9008414745331	25.767447	12.1554165	55.444748	1.6922356	0.0	0.0
