Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.1986835	0.022608588	-0.1721046	-0.32510495	16000	1.0058284e-07	0.036816776	-0.005654487	-0.034723774	1.3564423	0.006235293	0.0594375	127.0	61.99357867240906	0.17208979	0.13287425	0.54182583	0.031242043	0.0	0.0
1	500.0	-0.010605295	0.027805869	0.049366318	-0.093042806	32000	-5.2154064e-08	0.00315977	-0.011862053	-0.0019889814	1.3564423	0.006874242	0.118687496	127.0	111.78410601615906	0.29999846	0.22156528	0.9200322	0.06892211	0.0	0.0
2	500.0	0.057769332	0.025798801	0.11140582	-0.035157703	48000	2.7939677e-08	0.014680225	-0.009635083	-0.0052913763	1.3564423	0.007788495	0.09825	127.0	148.94479537010193	0.69568515	0.5869687	2.3824785	0.095313944	0.0	0.0
3	500.0	0.14739783	0.03220333	0.2468409	0.037931263	64000	1.1175871e-08	0.027231	-0.009193241	-0.007765444	1.3564423	0.007589725	0.090749994	127.0	183.22148489952087	1.0855436	0.71119916	4.077259	0.29532984	0.0	0.0
4	500.0	0.23343635	0.03474279	0.35566244	0.12621188	80000	0.0	0.027790392	-0.008071218	-0.009499238	1.3564423	0.0051836325	0.0779375	127.0	225.41487050056458	1.4941568	0.7182364	4.0476594	0.62290025	0.0	0.0
5	500.0	0.32313308	0.06468709	0.5189541	0.16613147	96000	3.3527613e-08	0.5311455	-0.0051605506	-0.27341792	1.3564423	0.0067633465	0.065874994	127.0	261.5062572956085	2.9947152	3.1015844	15.31392	0.782335	0.0	0.0
6	500.0	0.8664935	0.43869343	1.8235965	-0.10155721	112000	1.1175871e-08	0.57107466	-0.007670858	-0.23028365	1.3564423	0.0076632993	0.0881875	127.0	302.6441276073456	4.600413	3.5145268	14.679104	0.92555964	0.0	0.0
7	500.0	1.4203911	0.83589655	3.1851654	-0.1121176	128000	-7.450581e-09	1.3866469	-0.0071862163	-0.54218674	1.3564423	0.007861411	0.092437506	127.0	339.67814683914185	7.500189	5.8360004	24.571028	1.0896163	0.0	0.0
8	500.0	2.5185947	1.3168539	5.192539	-0.75345546	144000	-1.8626451e-08	2.6095738	-0.0073464923	-0.8855282	1.3564423	0.0079795	0.07718749	127.0	376.9331548213959	13.437246	7.4046893	28.867884	1.0056462	0.0	0.0
9	500.0	4.0003695	1.8864506	6.9347897	-0.5079541	160000	1.8626451e-09	2.2646396	-0.0082897	-0.26006705	1.3564423	0.0061335284	0.082562506	127.0	417.2520649433136	14.946194	7.992817	32.425594	1.900334	0.0	0.0
