Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.14707693	0.039387472	-0.112152666	-0.32507253	16000	1.4901161e-08	0.044778846	-0.0054387045	-0.037444733	1.3564423	0.0060800565	0.0475	127.0	42.03799271583557	0.45559758	0.42648643	1.8535099	0.05290009	0.0	0.0
1	500.0	0.054740053	0.031438384	0.122676454	-0.06960279	32000	2.6077032e-08	0.07159032	-0.006448282	-0.026357187	1.3564423	0.0043926947	0.061937504	127.0	78.26803159713745	1.1223428	1.2869539	5.8865104	0.06594931	0.0	0.0
2	500.0	0.26613587	0.07299518	0.46419653	-0.0076575205	48000	-1.4901161e-08	0.20917667	-0.0070906766	-0.04731666	1.3564423	0.0064197644	0.0738125	127.0	113.150221824646	2.2840762	2.290786	9.647351	0.23974705	0.0	0.0
3	500.0	0.46627307	0.08366913	0.7295875	0.2209363	64000	3.7252903e-08	0.28821927	-0.007729753	-0.113019325	1.3564423	0.005907806	0.064625	127.0	143.85110211372375	3.333108	2.7595427	10.94467	0.44028163	0.0	0.0
4	500.0	0.793281	0.1947025	1.4152555	0.29147565	80000	-1.4901161e-08	0.27182692	-0.010374654	-0.0892021	1.3564423	0.007613397	0.088375	127.0	182.19857621192932	4.4166994	2.5071294	11.158021	0.68097275	0.0	0.0
5	500.0	0.9952998	0.27429146	1.7952228	0.2681278	96000	-7.450581e-09	0.21966657	-0.009002333	-0.06967001	1.3564423	0.008895582	0.0811875	127.0	216.43654131889343	4.3035836	2.7682807	9.902616	0.5199078	0.0	0.0
6	500.0	1.1996875	0.38091832	2.417367	0.35904136	112000	3.7252903e-09	0.43110526	-0.0083298525	-0.15003893	1.3564423	0.0077403807	0.0835	127.0	247.99341940879822	6.0998697	3.3222558	15.995783	1.7385832	0.0	0.0
7	500.0	1.5774825	0.6163705	3.0581484	-0.06883247	128000	0.0	1.9041777	-0.0075674653	-1.0275838	1.3564423	0.0061444207	0.069	127.0	281.4857864379883	10.627338	5.350866	25.196768	2.941096	0.0	0.0
8	500.0	2.8564675	1.0153867	4.86445	-0.40116948	144000	-1.1175871e-08	4.377146	-0.009299272	-1.9256499	1.3564423	0.0071436637	0.0864375	127.0	315.5160129070282	16.661621	9.41898	42.91644	3.808217	0.0	0.0
9	500.0	4.1878324	1.6034738	7.1096916	-1.2209982	160000	2.9802322e-08	3.7276614	-0.01051131	-1.4215134	1.3564423	0.0074133803	0.0915	127.0	349.4955987930298	22.08628	8.983262	40.28476	5.920625	0.0	0.0
