Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20046121	0.048057146	-0.14683181	-0.32815683	16000	-6.3329935e-08	0.04025109	-0.005316443	-0.037164643	1.3564423	0.005853081	0.04225	127.0	69.70334267616272	0.1873816	0.16317172	0.8921005	0.030150253	0.0	0.0
1	500.0	-0.0056426083	0.03839931	0.06731277	-0.10367072	32000	-7.450581e-09	0.0055137263	-0.010226591	-0.0027556273	1.3564423	0.006473508	0.109125	127.0	135.71304869651794	0.365309	0.3045256	1.06131	0.064984016	0.0	0.0
2	500.0	0.07754578	0.029959802	0.12683105	-0.037990987	48000	-7.450581e-09	0.003328772	-0.009933926	-0.0005502084	1.3564423	0.006394626	0.092	127.0	190.65933322906494	0.4797635	0.3132704	1.5271933	0.06620518	0.0	0.0
3	500.0	0.09892013	0.017714767	0.15354118	0.034398265	64000	3.7252903e-08	0.014474273	-0.009189021	-0.007529068	1.3564423	0.007127978	0.0795	127.0	236.52857613563538	0.9807111	0.45689982	2.0966597	0.13193706	0.0	0.0
4	500.0	0.20729181	0.02563125	0.29623532	0.12522049	80000	-1.8626451e-08	0.027249683	-0.0068554683	-0.010290353	1.3564423	0.0049493704	0.056062497	127.0	271.2773823738098	1.4493587	0.6835435	2.9151158	0.49852526	0.0	0.0
5	500.0	0.29535228	0.039995972	0.43151015	0.20554927	96000	0.0	0.018937813	-0.0076740496	-0.00552392	1.3564423	0.00619011	0.0625625	127.0	310.004620552063	1.5091625	0.7089557	3.6608937	0.47910145	0.0	0.0
6	500.0	0.37146813	0.083151944	0.61282456	0.16688862	112000	0.0	0.070872195	-0.0063253986	-0.027003597	1.3564423	0.007013649	0.072125	127.0	343.75499868392944	2.1992576	1.2387688	5.5719643	0.26068765	0.0	0.0
7	500.0	0.58443	0.20608342	1.0883292	0.104789816	128000	-7.450581e-09	0.11990834	-0.008919822	-0.05010102	1.3564423	0.0075864927	0.103	127.0	377.991783618927	3.16109	1.4774343	7.2758183	1.3135006	0.0	0.0
8	500.0	0.84889805	0.2955098	1.5246114	0.19435102	144000	3.1664968e-08	0.26932383	-0.0074008247	-0.12128185	1.3564423	0.0075112656	0.0768125	127.0	416.8415184020996	4.839699	1.8605539	9.643273	2.114278	0.0	0.0
9	500.0	1.2256304	0.43401954	2.148507	0.16465166	160000	2.9802322e-08	0.30849394	-0.009171558	-0.10170221	1.3564423	0.007641498	0.114375	127.0	457.16852927207947	5.638953	2.3733742	11.870974	2.6275063	0.0	0.0
10	500.0	1.6089606	0.597745	3.1707268	0.32638028	176000	0.0	0.41664258	-0.0072670346	-0.16748083	1.3564423	0.0065499796	0.0721875	127.0	496.9237082004547	8.133192	2.6430135	15.942694	3.1305232	0.0	0.0
11	500.0	2.2702715	0.8340426	4.000553	0.4905489	192000	-3.3527613e-08	0.82092476	-0.008420171	-0.331725	1.3564423	0.0056301495	0.071375	127.0	530.4090747833252	11.297487	3.5100775	19.902964	3.2091336	0.0	0.0
12	500.0	2.8758464	1.1029994	4.669344	0.3832534	208000	-2.6077032e-08	0.84357464	-0.007559628	-0.16228023	1.3564423	0.007745376	0.0783125	127.0	567.4151821136475	11.826408	4.243806	21.114965	4.6002736	0.0	0.0
13	500.0	3.3018417	1.4090717	5.50576	0.007700436	224000	1.8626451e-09	1.7527341	-0.0074092173	-0.8581765	1.3564423	0.0049209557	0.055375002	127.0	601.205808877945	15.565317	4.9652104	26.380297	7.181571	0.0	0.0
14	500.0	3.860076	1.708799	7.2660127	0.0045527257	240000	9.313226e-09	1.1775393	-0.008381819	-0.15915737	1.3564423	0.006375907	0.062562495	127.0	636.8425810337067	14.386141	5.6700616	27.09457	3.118998	0.0	0.0
15	500.0	4.3688884	1.8229338	7.2519283	0.31882444	256000	2.2351742e-08	2.1788578	-0.008972259	-0.49215794	1.3564423	0.007219431	0.0788125	127.0	675.9568898677826	19.12239	6.371157	41.18804	8.457614	0.0	0.0
16	500.0	5.0820785	2.1004734	9.098314	0.1597957	272000	3.7252903e-09	3.6879551	-0.007457393	-1.0925132	1.3564423	0.0058694156	0.073125005	127.0	707.6248345375061	24.14888	7.599723	44.162365	10.516944	0.0	0.0
17	500.0	6.2929277	2.5235445	10.21237	0.32432485	288000	-1.4901161e-08	4.244652	-0.0070782197	-0.35354498	1.3564423	0.006952321	0.0656875	127.0	744.1704461574554	26.01283	9.959614	60.38191	6.684755	0.0	0.0
18	500.0	6.6813154	2.802915	10.704331	0.20345367	304000	2.4214387e-08	9.767483	-0.007723836	-1.5202549	1.3564423	0.0060922797	0.0706875	127.0	777.9869892597198	29.804462	14.93746	80.099556	5.306193	0.0	0.0
19	500.0	7.2769914	3.3581448	11.9222555	0.28909972	320000	-1.4901161e-08	3.5012658	-0.010174425	-1.4363283	1.3564423	0.0056564943	0.078812495	127.0	815.3580422401428	23.425095	9.243822	37.07747	3.6680856	0.0	0.0
20	500.0	7.013167	2.9673202	10.886118	0.7323807	336000	-1.4901161e-08	2.5709262	-0.009895547	-0.1838677	1.3564423	0.0071330746	0.073875	127.0	853.2140588760376	26.344814	7.9849553	43.38115	7.5921483	0.0	0.0
