Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.15859742	0.040710248	-0.12283996	-0.3345123	16000	5.9604645e-08	0.05169044	-0.005387992	-0.04430016	1.3564423	0.0057019945	0.042000003	127.0	43.012022972106934	0.52038103	0.3810518	1.5096908	0.09309187	0.0	0.0
1	500.0	0.0661518	0.031276625	0.14075255	-0.056637097	32000	-4.4703484e-08	0.08308819	-0.0071102325	-0.036114186	1.3564423	0.004229698	0.0674375	127.0	76.29463148117065	1.3657167	1.2876481	5.911602	0.12371081	0.0	0.0
2	500.0	0.3155898	0.07183651	0.52984935	0.078090966	48000	2.7939677e-08	0.25286737	-0.007849039	-0.06718241	1.3564423	0.0066631795	0.078125	127.0	112.94103050231934	2.851912	2.2475057	9.125626	0.4208013	0.0	0.0
3	500.0	0.6002728	0.084988765	0.82604563	0.34200928	64000	-2.2351742e-08	0.2904446	-0.008839156	-0.094983265	1.3564423	0.006703861	0.07175	127.0	146.56805443763733	4.1698923	2.4248295	9.929257	0.92026925	0.0	0.0
4	500.0	0.9463164	0.15407112	1.3666061	0.5172701	80000	-7.450581e-09	0.30183905	-0.009451262	-0.059255462	1.3564423	0.006380193	0.0766875	127.0	177.2045600414276	5.1709547	2.407369	10.142132	1.0036907	0.0	0.0
5	500.0	1.1383033	0.16279455	1.6162126	0.6571728	96000	-7.450581e-09	0.3197083	-0.008398948	-0.07317873	1.3564423	0.008788859	0.070875004	127.0	210.40027403831482	5.5870967	2.7187498	11.606692	1.3219378	0.0	0.0
6	500.0	1.3624727	0.24663834	2.126973	0.8161356	112000	-2.7939677e-09	0.8238085	-0.007214565	-0.3808386	1.3564423	0.0061327512	0.0570625	127.0	245.32322597503662	8.41596	3.349155	18.035324	3.4184272	0.0	0.0
7	500.0	1.9141678	0.5782788	3.2082314	0.3605711	128000	5.9604645e-08	2.0821576	-0.0085375765	-1.2709152	1.3564423	0.006839509	0.073750004	127.0	281.1599223613739	13.156443	4.2043695	22.529213	4.943928	0.0	0.0
8	500.0	3.280335	0.93827486	5.0241256	0.59003574	144000	5.401671e-08	3.169798	-0.008972984	-1.3047321	1.3564423	0.006800271	0.07625	127.0	314.88982105255127	18.673012	6.2587843	35.058216	6.9749975	0.0	0.0
9	500.0	4.5412893	1.2660818	6.4088683	0.62828255	160000	-5.2154064e-08	2.7439666	-0.011124928	-0.77595156	1.3564423	0.008378772	0.0963125	127.0	349.57486057281494	22.70488	6.0616693	34.827488	10.838964	0.0	0.0
10	500.0	5.6299505	1.398744	7.520359	0.94303215	176000	1.1175871e-08	2.2963896	-0.00906682	-0.13249832	1.3564423	0.007835075	0.075125	127.0	388.03265929222107	24.472786	6.45832	43.53438	17.057182	0.0	0.0
