Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18033305	0.045628943	-0.1422163	-0.3420329	16000	1.10827386e-07	0.058888566	-0.005727346	-0.049014054	1.3564423	0.0060678716	0.0503125	127.0	36.66232466697693	0.49191833	0.4786794	2.7026353	0.06350446	0.0	0.0
1	500.0	0.05460511	0.032962963	0.13894539	-0.049995944	32000	4.4703484e-08	0.09145258	-0.005998835	-0.036876008	1.3564423	0.0038485667	0.047937497	127.0	71.06222796440125	1.4095857	1.3213952	5.3630915	0.20811245	0.0	0.0
2	500.0	0.27648935	0.05380243	0.42834064	0.029199243	48000	1.4901161e-08	0.0439406	-0.009074373	-0.0069799395	1.3564423	0.0074961013	0.088	127.0	106.97133660316467	1.6569234	1.0216616	4.5412226	0.2513588	0.0	0.0
3	500.0	0.36291435	0.046910416	0.53181684	0.19373688	64000	2.6077032e-08	0.20209873	-0.008338668	-0.1004518	1.3564423	0.0068494286	0.07175	127.0	144.53437995910645	3.3941445	1.6747537	7.9530387	0.47280058	0.0	0.0
4	500.0	0.7507146	0.10420364	1.1013405	0.48205066	80000	7.450581e-09	0.3469463	-0.0065135965	-0.10318263	1.3564423	0.0055759656	0.052500002	127.0	181.3484127521515	4.9858303	2.43337	11.596504	1.5284349	0.0	0.0
5	500.0	1.0465658	0.10024765	1.3840368	0.7206324	96000	-1.4901161e-08	0.4865577	-0.0066533913	-0.16186975	1.3564423	0.006661782	0.0511875	127.0	219.7982153892517	6.413996	2.848131	13.023213	1.8442358	0.0	0.0
6	500.0	1.4791858	0.21024773	1.970923	0.87131435	112000	-1.1175871e-08	0.6742196	-0.0077595604	-0.26130396	1.3564423	0.0060735364	0.058	127.0	257.50311827659607	8.569558	3.2910557	19.100468	3.8845525	0.0	0.0
7	500.0	1.9666268	0.4650885	2.9632168	0.6161413	128000	-9.313226e-09	3.0859537	-0.0075838687	-1.4743898	1.3564423	0.006382353	0.0635625	127.0	292.9040296077728	13.900714	6.5651326	29.864475	4.8107314	0.0	0.0
8	500.0	3.253225	0.8160313	4.797414	0.84088683	144000	-2.2351742e-08	3.1987114	-0.010279341	-1.7443507	1.3564423	0.0076416815	0.0843125	127.0	330.6815915107727	19.765316	4.6331754	31.82209	9.261933	0.0	0.0
9	500.0	4.5476756	1.2610692	6.4645376	0.5967887	160000	4.0978193e-08	1.8031209	-0.011382983	-0.3756897	1.3564423	0.007670603	0.095375	127.0	366.723429441452	21.15731	5.519647	31.68874	10.135026	0.0	0.0
10	500.0	5.5368543	1.4523208	7.2431087	0.8069533	176000	0.0	1.7825185	-0.009303113	-0.28683636	1.3564423	0.006715356	0.072625	127.0	402.8380010128021	24.929234	5.010192	43.551968	15.130456	0.0	0.0
11	500.0	5.9258924	1.1800162	7.24325	1.3353752	192000	7.450581e-09	1.8549211	-0.0101587735	-0.10154368	1.3564423	0.00788172	0.0855	127.0	439.22774267196655	26.582928	5.6926074	44.34804	17.090374	0.0	0.0
12	500.0	6.211829	1.0634035	7.318025	1.2387487	208000	0.0	3.4256732	-0.007911691	-0.18274811	1.3564423	0.008505157	0.0706875	127.0	479.9474790096283	28.231045	7.093754	46.51876	16.988762	0.0	0.0
13	498.75	6.5383325	0.9400192	7.322709	1.838256	224000	0.0	3.6466992	-0.0077723525	-0.13872571	1.3564423	0.0061457986	0.054312497	127.0	519.3293051719666	30.273254	6.9955816	46.082134	23.185999	0.0	0.0
14	500.0	6.7893233	0.77186424	7.377832	1.8506821	240000	1.4901161e-08	6.1989636	-0.008370809	-0.2652036	1.3564423	0.008125348	0.060187496	127.0	558.1274971961975	32.614944	10.165191	50.61988	17.66001	0.0	0.0
15	496.25	7.2019744	0.8006971	7.801574	1.8053706	256000	-2.2351742e-08	4.641974	-0.009331283	-0.12281139	1.3564423	0.008356127	0.071875006	127.0	596.5897014141083	33.487114	8.640572	50.811447	18.989912	0.0	0.0
16	496.21875	7.4615617	0.8373501	8.031962	1.2124728	272000	-1.1175871e-08	4.309371	-0.0072697736	-0.15477099	1.3564423	0.00631095	0.0498125	127.0	633.054842710495	31.895422	8.898	54.97023	19.724989	0.0	0.0
17	500.0	7.1498747	0.7520245	7.6879516	1.9975168	288000	0.0	5.521694	-0.007638374	-0.312351	1.3564423	0.0053919046	0.0580625	127.0	671.0781025886536	34.61491	9.45034	55.19256	22.243044	0.0	0.0
18	500.0	7.539335	0.9270511	8.291118	0.85371476	304000	1.8626451e-08	3.6230965	-0.008190038	-0.22411057	1.3564423	0.006358278	0.056874998	127.0	708.8075215816498	35.704353	7.7938104	48.346214	22.997597	0.0	0.0
19	500.0	7.9437294	1.0546759	8.80232	1.3572721	320000	-4.0978193e-08	4.6962957	-0.008952543	-1.1941673	1.3564423	0.007331839	0.0645625	127.0	744.6297459602356	40.6962	8.120044	54.805653	26.914589	0.0	0.0
20	500.0	8.927703	1.3516493	10.056065	0.80319774	336000	-3.7252903e-08	5.5189657	-0.008484175	-0.70100224	1.3564423	0.0055269054	0.052500002	127.0	781.0351295471191	37.060783	10.037038	52.956738	24.032368	0.0	0.0
21	500.0	8.327789	1.0956649	9.514077	1.8921034	352000	9.313226e-09	4.699816	-0.0069013597	-0.47793174	1.3564423	0.0065904716	0.0575625	127.0	832.7613925933838	35.55495	9.156168	52.464333	24.98544	0.0	0.0
22	500.0	8.113378	0.9558135	9.429943	2.2955637	368000	0.0	4.7887297	-0.007169041	-0.9366622	1.3564423	0.0052562156	0.0519375	127.0	895.688330411911	36.340828	9.9225	52.21095	23.03293	0.0	0.0
23	500.0	7.5578136	1.4757109	9.827962	0.28437835	384000	-3.7252903e-09	4.389262	-0.009590039	-0.9952266	1.3564423	0.0069626435	0.0785	127.0	933.849865436554	33.06662	9.360339	58.96621	16.912369	0.0	0.0
24	500.0	8.229348	1.1153831	10.017574	3.3371532	400000	-3.7252903e-09	3.6653876	-0.008869953	-0.7392916	1.3564423	0.005852564	0.067875	127.0	974.1045603752136	39.304993	9.461962	55.702263	22.641338	0.0	0.0
25	500.0	8.8013315	1.335876	10.834663	2.678685	416000	-1.8626451e-09	3.6726296	-0.008665556	-0.5192922	1.3564423	0.0072447346	0.0746875	127.0	1009.5001909732819	40.95951	8.868744	54.15381	26.783628	0.0	0.0
26	500.0	9.271879	1.6688244	11.732111	0.9975548	432000	-1.7695129e-08	3.6355581	-0.009497553	-0.8296752	1.3564423	0.009250696	0.0734375	127.0	1048.2168362140656	40.786533	9.0796175	54.50131	20.6475	0.0	0.0
27	500.0	9.683881	1.5236264	11.942463	2.517906	448000	1.4901161e-08	3.2631106	-0.010443487	-1.1196313	1.3564423	0.0073584015	0.083124995	127.0	1088.9670221805573	40.415768	9.146202	54.909584	26.068335	0.0	0.0
28	500.0	9.532301	2.2955146	12.619313	-3.4183643	464000	-1.8626451e-08	3.9363089	-0.009820453	-0.8360785	1.3564423	0.0062699737	0.0690625	127.0	1126.479224205017	41.757454	9.372514	53.34027	24.012907	0.0	0.0
29	500.0	9.626803	1.9072688	12.726709	2.563691	480000	-1.4901161e-08	3.2048373	-0.00952022	-0.46326256	1.3564423	0.006816071	0.074875	127.0	1165.0048892498016	43.113323	9.255144	56.847553	24.602211	0.0	0.0
30	500.0	9.740034	1.7303652	12.741276	3.388195	496000	3.259629e-09	3.7923672	-0.009663999	-0.96663547	1.3564423	0.0061384747	0.064375	127.0	1206.4209809303284	39.74975	8.650062	52.45018	26.263868	0.0	0.0
31	500.0	9.17233	1.7590299	12.422004	3.2180247	512000	1.1175871e-08	2.6391077	-0.010417227	-0.3565213	1.3564423	0.0072364816	0.076875	127.0	1247.0226273536682	40.68524	7.956892	53.70055	28.87119	0.0	0.0
32	498.96875	9.592391	1.738911	12.017695	1.0486295	528000	-1.3038516e-08	2.6121023	-0.008111902	-0.49975577	1.3564423	0.0071516545	0.07125	127.0	1287.62056016922	45.098923	6.969378	57.024784	30.64662	0.0	0.0
