Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.187737	0.046647787	-0.13540286	-0.3178741	16000	-8.940697e-08	0.03754366	-0.005586923	-0.03478733	1.3564423	0.0058097267	0.042875	127.0	44.042712450027466	0.21341237	0.1405672	0.6724277	0.058688123	0.0	0.0
1	500.0	0.0034091894	0.040541	0.07622262	-0.09154322	32000	-7.450581e-09	0.004370161	-0.011914918	-0.0024411527	1.3564423	0.007177483	0.1303125	127.0	79.98457622528076	0.39287978	0.2549917	0.8766739	0.084760085	0.0	0.0
2	500.0	0.08501263	0.028303238	0.14289233	-0.03158156	48000	5.2154064e-08	0.005820783	-0.010874746	-0.0018578323	1.3564423	0.007302417	0.0984375	127.0	115.84883141517639	0.685811	0.34368205	1.432694	0.1571123	0.0	0.0
3	500.0	0.13574205	0.02279955	0.19876316	0.046430714	64000	-1.4901161e-08	0.020415526	-0.009426577	-0.012776474	1.3564423	0.007257877	0.083937496	127.0	153.3337619304657	1.3216658	0.4165253	2.3912094	0.3188789	0.0	0.0
4	500.0	0.2639911	0.0202425	0.32195076	0.17161837	80000	7.450581e-09	0.036437657	-0.0067420136	-0.0132699385	1.3564423	0.0050945813	0.060187504	127.0	188.11383390426636	1.7842833	0.74152476	4.4015274	0.7198894	0.0	0.0
5	500.0	0.38656273	0.04881231	0.51496327	0.280956	96000	1.4901161e-08	0.09473898	-0.0074570654	-0.03853508	1.3564423	0.008188618	0.0658125	127.0	223.49242663383484	2.5481691	1.1456888	5.372796	1.0192674	0.0	0.0
6	500.0	0.6072519	0.15009324	0.9610289	0.29020575	112000	-9.313226e-09	0.07570204	-0.007846702	-0.03405457	1.3564423	0.0075925402	0.0795	127.0	260.40830659866333	3.2442105	0.9983007	5.667547	1.5391481	0.0	0.0
7	500.0	0.8265765	0.26838815	1.4726388	0.2296812	128000	2.2351742e-08	0.26132622	-0.0068651903	-0.10412248	1.3564423	0.008123195	0.0845	127.0	302.03421425819397	4.5112734	1.9698725	12.561007	2.0544565	0.0	0.0
8	500.0	1.1932956	0.46929651	2.2067196	0.17140901	144000	-1.1175871e-08	0.54270595	-0.0074918577	-0.32794827	1.3564423	0.0074902354	0.07862499	127.0	340.61634850502014	7.2147675	2.0397432	12.153599	3.9537897	0.0	0.0
9	500.0	1.8532665	0.6746455	3.16067	0.35591477	160000	-4.4703484e-08	0.6071003	-0.009866182	-0.19050366	1.3564423	0.008621398	0.102375	127.0	379.1387529373169	9.17638	2.9542108	15.202515	4.2235956	0.0	0.0
10	500.0	2.4786758	0.88122886	3.9393735	0.38828394	176000	-1.4901161e-08	0.29386535	-0.00821208	-0.04374429	1.3564423	0.0068846266	0.078812495	127.0	419.0348529815674	10.274149	2.004109	15.536136	7.574442	0.0	0.0
11	500.0	2.7437866	0.8145601	4.0484104	0.52417946	192000	-2.9802322e-08	0.7906237	-0.008834191	-0.14454365	1.3564423	0.0061020516	0.0826875	127.0	458.9188115596771	12.718052	3.6862752	26.854979	6.431026	0.0	0.0
12	500.0	3.1868448	0.87425554	4.6255345	0.7163283	208000	-8.381903e-09	0.82334197	-0.008392353	-0.19033314	1.3564423	0.006886528	0.0876875	127.0	498.57792687416077	14.604321	3.7541234	26.761091	8.011863	0.0	0.0
13	500.0	3.7316194	1.0583556	5.1888847	0.72085005	224000	-1.8626451e-08	1.1786968	-0.008187432	-0.38727027	1.3564423	0.0071361996	0.0763125	127.0	539.7352182865143	18.098898	4.066258	29.34669	10.565436	0.0	0.0
14	500.0	4.6070538	1.3004287	6.0780873	0.80087495	240000	-1.3038516e-08	1.9999628	-0.006621276	-1.0221064	1.3564423	0.006597909	0.0658125	127.0	578.6913850307465	23.246937	4.961907	31.950884	13.413412	0.0	0.0
