Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.17514755	0.0441709	-0.13753098	-0.33756226	16000	6.798655e-08	0.056021728	-0.0056992294	-0.046580777	1.3564423	0.0056839064	0.046312504	127.0	38.519861936569214	0.48367998	0.47056794	2.6558373	0.06269298	0.0	0.0
1	500.0	0.052697968	0.03428775	0.13414782	-0.060164437	32000	0.0	0.08683887	-0.0063183047	-0.035963308	1.3564423	0.004203341	0.051562503	127.0	78.87529015541077	1.3745682	1.284896	5.1947074	0.19600365	0.0	0.0
2	500.0	0.27512214	0.061077073	0.44295868	0.0033966824	48000	7.450581e-09	0.041520625	-0.0093692895	-0.0061256248	1.3564423	0.007800633	0.093625	127.0	118.12725377082825	1.6338348	0.99742377	4.4044204	0.26730558	0.0	0.0
3	500.0	0.36447525	0.04844077	0.5452961	0.17865099	64000	-3.7252903e-08	0.20906295	-0.008102551	-0.10728516	1.3564423	0.0070544677	0.071625	127.0	156.3231372833252	3.4476073	1.6833593	7.75865	0.48387954	0.0	0.0
4	500.0	0.76712734	0.10493528	1.1148813	0.49509484	80000	-3.7252903e-08	0.2990939	-0.0070811906	-0.088596605	1.3564423	0.0057715774	0.056500003	127.0	194.3626503944397	4.910927	2.2525396	10.728806	1.4976997	0.0	0.0
5	500.0	1.0389199	0.10868019	1.3789778	0.6943489	96000	-2.2351742e-08	0.49836105	-0.006616192	-0.16898146	1.3564423	0.0061468333	0.0495	127.0	230.12408208847046	6.4347696	2.8180625	13.791845	2.0593634	0.0	0.0
6	500.0	1.479372	0.2190923	1.9894165	0.8546492	112000	4.8428774e-08	0.72851783	-0.007994095	-0.2890913	1.3564423	0.0061885193	0.061812498	127.0	266.03302693367004	8.719802	3.2929883	19.227669	3.832632	0.0	0.0
7	500.0	1.9959807	0.4754646	3.0010886	0.6255101	128000	-2.6077032e-08	2.869838	-0.00789122	-1.4129899	1.3564423	0.006573368	0.064062506	127.0	301.2552626132965	13.933849	6.1124864	26.550919	5.126639	0.0	0.0
8	500.0	3.247828	0.8138374	4.8128414	0.8936435	144000	1.1175871e-08	3.0050025	-0.009947649	-1.6938446	1.3564423	0.007350343	0.081125006	127.0	338.6607086658478	19.691612	4.4255476	29.883709	9.775815	0.0	0.0
9	500.0	4.55147	1.2709999	6.4879827	0.6377491	160000	8.381903e-09	2.1254048	-0.010925492	-0.45978272	1.3564423	0.008215204	0.097125	127.0	377.8207449913025	21.588219	5.7216964	33.85715	9.82347	0.0	0.0
10	500.0	5.5815086	1.4475288	7.3310075	0.8596823	176000	3.7252903e-08	1.3133208	-0.008917829	-0.21650833	1.3564423	0.0074382443	0.066874996	127.0	416.89381098747253	24.482735	3.651945	33.511818	14.884477	0.0	0.0
11	500.0	5.836433	1.120643	7.1262097	1.5220841	192000	0.0	2.8639195	-0.0096982345	-0.30330673	1.3564423	0.008633871	0.083124995	127.0	452.65610003471375	27.604134	6.4115467	45.657276	16.624102	0.0	0.0
12	500.0	6.355506	1.0500592	7.4534125	1.464335	208000	2.2351742e-08	3.8611093	-0.007978447	-0.35848707	1.3564423	0.007620439	0.071187496	127.0	492.0332326889038	30.39464	7.6246085	47.695667	16.785364	0.0	0.0
