Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.16356584	0.04169154	-0.12715243	-0.33817744	16000	-5.9604645e-08	0.043152973	-0.005393382	-0.038984813	1.3564423	0.006335346	0.0535	127.0	36.40558075904846	0.3977362	0.23114909	0.8879531	0.101222016	0.0	0.0
1	500.0	0.047514237	0.02769512	0.11081961	-0.061983794	32000	3.7252903e-09	0.040626444	-0.007930895	-0.020793613	1.3564423	0.004694595	0.0765	127.0	70.86806917190552	1.0480491	0.8170251	3.7704778	0.13240771	0.0	0.0
2	500.0	0.24252658	0.056931864	0.41044715	0.059975497	48000	3.3527613e-08	0.14449391	-0.007611176	-0.04535892	1.3564423	0.006753849	0.081	127.0	106.6684832572937	2.276599	1.5451236	6.133861	0.360286	0.0	0.0
3	500.0	0.48197004	0.059758767	0.65930176	0.27608156	64000	1.1175871e-08	0.24231741	-0.0082429135	-0.10428339	1.3564423	0.0069999136	0.071499996	127.0	142.08599996566772	3.680553	1.8716443	8.372596	0.99182725	0.0	0.0
4	500.0	0.828282	0.1477622	1.1660525	0.43310255	80000	7.450581e-09	0.25503677	-0.0094360765	-0.06839335	1.3564423	0.0070049	0.084312506	127.0	176.9875693321228	4.651661	1.9882011	8.500898	1.1445905	0.0	0.0
5	500.0	1.0141399	0.19778465	1.5562665	0.5093715	96000	1.4901161e-08	0.23104057	-0.008027126	-0.057979114	1.3564423	0.008745771	0.0805	127.0	211.32267355918884	4.569332	2.1555588	10.147837	0.91978735	0.0	0.0
6	500.0	1.156531	0.31604427	1.874589	0.54818165	112000	-4.656613e-09	0.6985203	-0.008311793	-0.29525337	1.3564423	0.006169232	0.08049999	127.0	247.9385187625885	7.110965	2.8720894	14.0140915	3.121034	0.0	0.0
7	500.0	1.8036155	0.59239	2.9481323	0.36426997	128000	5.2154064e-08	2.302421	-0.008788299	-1.321039	1.3564423	0.007869786	0.082875	127.0	283.6014413833618	12.406103	4.489221	22.863842	5.52167	0.0	0.0
8	500.0	3.137458	1.068955	4.8678684	0.43298104	144000	4.4703484e-08	3.4801962	-0.009133581	-1.7953424	1.3564423	0.00576486	0.075187504	127.0	321.66157722473145	18.805798	5.4500966	32.56256	8.515763	0.0	0.0
9	500.0	4.611339	1.5194265	6.613373	0.34536967	160000	1.8626451e-08	1.9305544	-0.010691795	-0.57299393	1.3564423	0.0078603495	0.090625	127.0	360.4531970024109	22.156023	4.7695246	29.149725	11.962122	0.0	0.0
10	500.0	5.569422	1.6345874	7.463977	0.52724534	176000	1.4901161e-08	2.2696702	-0.008557311	-0.84387434	1.3564423	0.00588854	0.072937496	127.0	396.28056383132935	27.358423	4.636274	34.890465	17.598598	0.0	0.0
11	500.0	6.5131874	1.8551722	8.343819	0.43570063	192000	-9.313226e-09	1.3443625	-0.009601813	-0.05160337	1.3564423	0.008120251	0.0705	127.0	439.8602957725525	26.586838	5.064245	35.646397	14.877571	0.0	0.0
12	500.0	6.4920206	1.6715173	8.31099	0.8377985	208000	-1.4901161e-08	1.6277864	-0.009433854	-0.45835143	1.3564423	0.006675265	0.07075	127.0	474.2903485298157	30.711525	3.8947036	37.469727	21.827385	0.0	0.0
13	500.0	7.3632283	1.5230366	8.628523	1.6308684	224000	1.1175871e-08	1.5811741	-0.010267634	-0.091994226	1.3564423	0.0073526315	0.079624996	127.0	509.2211034297943	30.570074	4.296785	40.823116	20.437616	0.0	0.0
14	500.0	7.158704	1.4193349	8.356181	1.4887561	240000	-2.6077032e-08	1.5527244	-0.009662909	-0.11048517	1.3564423	0.007178099	0.069437504	127.0	544.5510764122009	32.27903	4.6168885	42.16235	20.987818	0.0	0.0
15	500.0	7.446007	1.3392565	8.489	1.9588889	256000	-7.450581e-09	2.2479105	-0.009274162	-0.6099645	1.3564423	0.0061385524	0.071625	127.0	580.129998922348	36.464394	4.099303	43.312813	26.260473	0.0	0.0
16	500.0	8.077739	1.4488199	9.317521	1.961067	272000	1.4901161e-08	1.3236027	-0.009451728	-0.10119035	1.3564423	0.0067901257	0.0725625	127.0	618.1378450393677	36.226494	4.3125324	43.530624	26.452932	0.0	0.0
17	500.0	8.517194	1.3518008	9.458528	2.8369575	288000	4.656613e-09	1.4036522	-0.008733031	-0.034343544	1.3564423	0.006129846	0.058437496	127.0	656.2173194885254	37.15043	5.0320497	45.11239	26.67191	0.0	0.0
18	500.0	8.347588	1.2716907	9.399418	2.8715227	304000	2.7939677e-09	1.3731607	-0.008645469	-0.12630236	1.3564423	0.005809344	0.06125	127.0	690.0402481555939	38.57583	4.5801625	46.843903	29.849981	0.0	0.0
19	500.0	8.772243	1.2440276	9.606958	3.0642316	320000	1.8626451e-08	1.2635232	-0.009982305	-0.07555719	1.3564423	0.00752771	0.0790625	127.0	727.9481008052826	39.06469	5.360007	47.57133	27.72073	0.0	0.0
20	500.0	8.778092	1.4648106	9.839989	2.277429	336000	1.4901161e-08	1.475703	-0.009978021	-0.24097025	1.3564423	0.009100035	0.07125	127.0	767.6513779163361	39.6671	5.53706	47.366474	28.080511	0.0	0.0
21	500.0	9.038932	1.4074377	10.10106	2.734864	352000	1.1175871e-08	1.7404354	-0.00907458	-0.1729106	1.3564423	0.008103158	0.062625006	127.0	801.3295695781708	41.293503	5.4447737	55.15672	30.756426	0.0	0.0
22	500.0	9.30168	1.3472443	10.3639965	2.6731648	368000	0.0	2.5956647	-0.007111257	-0.12509279	1.3564423	0.0058182534	0.0568125	127.0	836.1063892841339	43.063324	7.036885	65.54031	26.445105	0.0	0.0
23	500.0	9.532556	1.4056023	10.541521	3.1157484	384000	3.7252903e-09	1.9298298	-0.009440344	-0.15896654	1.3564423	0.005833934	0.070999995	127.0	875.9118411540985	42.731174	6.421476	52.409466	30.95871	0.0	0.0
24	500.0	9.715153	1.5462635	10.782728	2.6192744	400000	-9.313226e-09	2.573142	-0.010387139	-0.47193813	1.3564423	0.009303698	0.080625	127.0	915.6292636394501	45.688354	5.648065	60.465004	33.755856	0.0	0.0
25	500.0	10.24799	1.5584292	11.335085	2.798125	416000	1.8626451e-08	2.7858224	-0.009391931	-0.29854995	1.3564423	0.0073258276	0.0878125	127.0	954.8683562278748	45.240982	7.2794437	65.8257	27.19399	0.0	0.0
26	500.0	10.257076	1.7899903	11.9225645	2.146969	432000	7.450581e-09	3.9118733	-0.008754776	-0.34998807	1.3564423	0.0075917924	0.091562495	127.0	994.5858273506165	46.526077	9.061605	85.84866	32.93186	0.0	0.0
27	500.0	10.519541	1.79743	12.705385	2.8941073	448000	-2.2351742e-08	2.4756403	-0.008765051	-0.20986545	1.3564423	0.007415336	0.087625	127.0	1030.7768120765686	45.410328	7.8551955	77.270645	32.45177	0.0	0.0
28	500.0	10.518237	1.8282324	12.6607065	2.6366553	464000	3.7252903e-09	9.35905	-0.008591	-1.4244473	1.3564423	0.010236691	0.0930625	127.0	1067.5055537223816	49.404026	13.424576	86.40672	32.703014	0.0	0.0
29	500.0	10.073719	2.6695387	14.589298	0.74182725	480000	0.0	4.952805	-0.008778322	-0.8046385	1.3564423	0.0066831447	0.081687495	127.0	1104.0302064418793	43.451782	11.503318	89.889725	29.64223	0.0	0.0
30	500.0	10.802757	2.1662464	13.96227	1.440434	496000	1.4901161e-08	8.016992	-0.0071085705	-1.2615861	1.3564423	0.008425867	0.091625	127.0	1166.3016436100006	48.46616	16.438095	119.58196	30.759611	0.0	0.0
31	500.0	10.829904	2.3773808	15.2372265	1.0401648	512000	0.0	10.698931	-0.0074278754	-1.2478637	1.3564423	0.007910199	0.0795625	127.0	1217.4201247692108	49.12384	17.268381	109.68655	32.335075	0.0	0.0
32	500.0	10.77814	2.4650736	16.315493	-0.45031717	528000	1.1175871e-08	5.6686697	-0.009554815	-0.85538757	1.3564423	0.0068141003	0.087937504	127.0	1252.6036920547485	44.413445	12.79672	107.86359	30.261724	0.0	0.0
33	500.0	11.142376	2.4343088	16.756437	0.38870195	544000	-3.7252903e-09	5.1995044	-0.008869069	-0.69191825	1.3564423	0.0077558	0.085875	127.0	1292.001627922058	47.697243	11.964266	102.31924	31.863518	0.0	0.0
34	500.0	11.270981	2.4130468	16.589056	0.7831835	560000	3.7252903e-09	9.273872	-0.008403809	-1.9922707	1.3564423	0.007390831	0.07574999	127.0	1330.849752664566	47.455704	15.081176	104.046	30.75458	0.0	0.0
35	500.0	10.947608	2.4158523	17.526958	2.5535765	576000	-3.7252903e-08	9.377861	-0.007965629	-1.7915516	1.3564423	0.0068832226	0.0719375	127.0	1365.6883897781372	47.26449	17.135939	110.764534	32.17117	0.0	0.0
36	500.0	11.139975	2.5883749	18.324812	1.8933669	592000	7.450581e-09	7.185185	-0.008992473	-0.7652149	1.3564423	0.0080610085	0.093187496	127.0	1403.520302772522	49.748295	14.144265	100.355354	32.0761	0.0	0.0
37	500.0	10.973687	2.503879	19.00365	2.5914366	608000	-7.450581e-09	4.576692	-0.009344359	-0.71388113	1.3564423	0.0073024035	0.0934375	127.0	1438.8905732631683	47.598465	9.863655	88.82813	35.533722	0.0	0.0
38	500.0	10.468953	2.1025753	15.963655	2.4730976	624000	-9.313226e-09	3.681705	-0.008440039	-0.33194822	1.3564423	0.0067203976	0.091375	127.0	1476.6597945690155	45.543606	8.876852	67.93032	30.39005	0.0	0.0
39	500.0	10.907713	2.192948	17.540817	3.3369713	640000	0.0	10.268743	-0.006779714	-3.2510657	1.3564423	0.00611375	0.070625	127.0	1514.320769071579	51.399452	18.483425	109.39715	31.978554	0.0	0.0
40	500.0	11.953647	3.6493592	21.015604	1.8857914	656000	-3.7252903e-09	11.497733	-0.00783456	-2.2884996	1.3564423	0.0057949433	0.074687496	127.0	1554.0194041728973	51.025723	18.586992	118.59566	35.922882	0.0	0.0
41	500.0	11.574741	2.5537343	20.218754	3.9125266	672000	-7.450581e-09	8.90768	-0.007969024	-1.3142285	1.3564423	0.0073861587	0.078687504	127.0	1591.9508452415466	49.27854	13.405072	96.080055	34.702232	0.0	0.0
42	500.0	10.828174	2.299976	20.4934	3.2975268	688000	2.7939677e-08	10.321093	-0.008069754	-2.0473018	1.3564423	0.008937886	0.096125	127.0	1627.900668144226	51.021782	17.229593	115.07228	31.353224	0.0	0.0
43	500.0	11.373753	2.679055	21.362823	2.066804	704000	0.0	6.536426	-0.008378508	-1.1547023	1.3564423	0.006425895	0.086500004	127.0	1664.9452006816864	47.934658	13.323881	93.97243	35.53079	0.0	0.0
44	500.0	10.733387	2.8392751	21.547909	1.3289294	720000	-7.450581e-09	8.641773	-0.0077605657	-2.1609128	1.3564423	0.006094835	0.083812505	127.0	1700.1920821666718	46.46682	13.654987	111.33358	31.504416	0.0	0.0
45	500.0	11.339889	3.0738738	22.526825	2.1847472	736000	-3.5390258e-08	9.511229	-0.007791931	-0.7487165	1.3564423	0.008584591	0.08525	127.0	1735.8776547908783	50.033325	16.90531	100.50264	31.482824	0.0	0.0
46	500.0	12.960756	4.2151694	23.290873	3.1486945	752000	-7.450581e-09	27.139431	-0.007630557	-5.6413326	1.3564423	0.0058280258	0.062562495	127.0	1770.6171934604645	65.42828	25.435549	113.42017	35.49364	0.0	0.0
47	500.0	12.855717	3.6991403	24.081432	2.3748837	768000	3.1664968e-08	13.649273	-0.008234127	-3.220903	1.3564423	0.0072249034	0.0831875	127.0	1810.6043696403503	52.822212	23.088413	118.38649	32.582798	0.0	0.0
48	498.625	12.347786	4.276376	25.086967	2.3429465	784000	-7.450581e-09	17.83981	-0.009991569	-3.8392587	1.3564423	0.008510077	0.0926875	127.0	1849.9142520427704	59.192623	25.717966	120.38317	34.356247	0.0	0.0
49	500.0	12.513465	4.1424985	25.198864	2.2761123	800000	2.2351742e-08	13.654741	-0.008494807	-1.9761552	1.3564423	0.006600233	0.080375	127.0	1884.9736914634705	52.744102	20.49968	122.77661	32.535473	0.0	0.0
50	499.6875	13.358143	4.8699794	25.542807	2.6888301	816000	-1.1175871e-08	18.529387	-0.008179482	-1.3728971	1.3564423	0.00831963	0.088750005	127.0	1925.710381269455	61.398087	24.560024	117.81268	32.312885	0.0	0.0
51	497.53125	12.843742	4.284876	26.316793	2.9528642	832000	-9.313226e-10	20.444668	-0.00913307	-7.3605	1.3564423	0.008158892	0.0890625	127.0	1964.2166180610657	65.60118	28.295221	117.444244	34.996433	0.0	0.0
52	500.0	14.448748	5.4888763	27.062794	2.202298	848000	0.0	17.593382	-0.008688794	-3.0722892	1.3564423	0.008648482	0.0756875	127.0	2008.4967710971832	59.110542	25.05064	122.85292	32.585938	0.0	0.0
53	500.0	13.621319	5.27658	27.180128	4.1129274	864000	-5.5879354e-09	13.698277	-0.008867039	-1.3662593	1.3564423	0.008022685	0.0965625	127.0	2048.40770983696	60.328377	24.872236	120.48823	34.70347	0.0	0.0
54	500.0	13.272584	4.630241	27.98632	3.7986624	880000	-1.3038516e-08	17.55791	-0.0076287277	-2.4110506	1.3564423	0.0076528653	0.102	127.0	2096.7676622867584	56.33131	23.541649	118.59461	31.810266	0.0	0.0
55	497.5	13.810145	5.639597	28.136345	3.941218	896000	-9.313226e-09	17.396555	-0.00880266	-1.13042	1.3564423	0.009392664	0.091375	127.0	2150.977867126465	63.02462	29.940691	124.11876	30.534073	0.0	0.0
56	497.34375	14.618928	5.986382	28.879864	2.510567	912000	0.0	21.297169	-0.008495445	-1.8926189	1.3564423	0.007894132	0.08993751	127.0	2212.15571308136	65.162834	31.50514	122.71851	34.51642	0.0	0.0
57	500.0	12.494942	4.3903713	29.167032	2.943583	928000	0.0	9.397403	-0.0077138855	-0.9164158	1.3564423	0.0057924762	0.077625	127.0	2268.579803466797	53.424892	20.299734	117.99871	32.47232	0.0	0.0
58	493.21875	15.150351	7.326824	29.31086	2.2229385	944000	1.4901161e-08	22.50444	-0.010664119	-2.6230843	1.3564423	0.0092453305	0.1039375	127.0	2309.349109888077	64.394745	28.303759	121.0712	29.121763	0.0	0.0
59	499.53125	17.20482	7.5959854	28.884937	3.9054813	960000	1.8626451e-09	28.296698	-0.008865829	-6.875993	1.3564423	0.008596588	0.09406251	127.0	2348.4278647899628	82.061874	27.235655	120.421196	40.623928	0.0	0.0
60	496.28125	17.720121	6.8326125	29.124317	3.9815006	976000	-7.450581e-09	26.96584	-0.008889572	-6.961214	1.3564423	0.0060712676	0.0995	127.0	2385.3962149620056	68.51297	30.47668	126.31422	23.909563	0.0	0.0
61	500.0	16.665672	7.0109153	30.008633	3.7538195	992000	0.0	21.728111	-0.00791155	-1.9772036	1.3564423	0.006890473	0.074499995	127.0	2419.3998770713806	74.87999	31.640072	129.68658	35.007774	0.0	0.0
62	500.0	16.251127	6.906045	30.31034	2.8892438	1008000	7.450581e-09	19.344654	-0.008555188	-1.3230538	1.3564423	0.0062566516	0.0941875	127.0	2453.9506380558014	69.36119	28.25317	123.10428	30.687035	0.0	0.0
63	497.8125	19.37396	8.594306	30.983854	3.2772586	1024000	-7.450581e-09	26.224491	-0.009382965	-4.576645	1.3564423	0.008454624	0.1079375	127.0	2493.3107941150665	89.8633	29.42523	127.26519	30.250095	0.0	0.0
64	500.0	21.21239	7.371909	31.034119	4.996948	1040000	-9.313226e-09	15.278347	-0.007833108	-2.3345656	1.3564423	0.0053018085	0.0765	127.0	2535.0123641490936	87.04991	28.698523	120.475716	34.77814	0.0	0.0
65	492.03125	21.30487	8.563707	32.007782	1.6324643	1056000	0.0	19.160984	-0.009683436	-3.181326	1.3564423	0.009707379	0.119625	127.0	2575.097409248352	88.698166	30.449173	123.65213	31.415186	0.0	0.0
66	488.96875	20.317398	7.906667	31.708212	2.512314	1072000	0.0	23.392618	-0.009551382	-3.9564705	1.3564423	0.010572121	0.11225	127.0	2618.1905148029327	84.01875	31.790005	120.201515	29.18356	0.0	0.0
67	499.34375	22.966139	8.1029215	31.958483	3.2677896	1088000	-3.7252903e-09	16.05119	-0.009062905	-3.569539	1.3564423	0.0071177315	0.0970625	127.0	2653.8421111106873	103.93135	24.665867	132.45149	42.15102	0.0	0.0
68	493.78125	23.257843	7.7969484	32.037952	5.2990885	1104000	1.8626451e-09	18.522034	-0.007701054	-3.0915432	1.3564423	0.0077930675	0.0831875	127.0	2688.004409790039	93.832886	27.083641	122.70426	32.551025	0.0	0.0
69	493.875	22.984774	8.240792	32.594013	-10.931356	1120000	0.0	18.539028	-0.009647339	-3.7213144	1.3564423	0.008620576	0.113749996	127.0	2727.2498331069946	102.96544	25.15858	137.26898	39.210663	0.0	0.0
70	496.34375	23.155777	8.123318	34.12465	-3.2451982	1136000	-4.656613e-09	19.605005	-0.009717017	-5.0920954	1.3564423	0.0077967206	0.0939375	127.0	2764.9468240737915	98.169525	20.328304	132.91364	40.00496	0.0	0.0
71	500.0	25.10755	7.6093454	34.03682	4.148265	1152000	1.8626451e-09	9.143524	-0.0103401095	-2.8632522	1.3564423	0.00803579	0.083437495	127.0	2804.2726554870605	109.29089	24.539642	138.67207	28.28841	0.0	0.0
72	500.0	23.58393	8.7553215	33.895107	-7.678724	1168000	2.9802322e-08	18.33473	-0.0102385385	-5.661018	1.3564423	0.006345678	0.08643751	127.0	2842.9433789253235	94.53952	32.823624	130.5959	26.082571	0.0	0.0
73	500.0	23.929028	8.442093	33.658398	0.11212695	1184000	1.3038516e-08	13.870245	-0.009080766	-4.6822095	1.3564423	0.007814933	0.09775	127.0	2883.574615240097	110.871605	20.64608	141.37946	35.239067	0.0	0.0
74	499.53125	25.721947	7.703502	34.242058	4.9311066	1200000	-6.519258e-09	11.1662445	-0.0090528205	-1.0467107	1.3564423	0.0060656923	0.082875	127.0	2928.4427120685577	111.7655	17.849077	145.02408	61.25227	0.0	0.0
75	495.375	24.676739	7.9053144	34.1401	5.045795	1216000	1.1175871e-08	15.969211	-0.00854655	-2.1411805	1.3564423	0.006553669	0.082125	127.0	2963.056988477707	100.95981	24.682577	125.70073	37.820667	0.0	0.0
76	498.65625	24.912	8.611615	34.278625	2.740552	1232000	9.313226e-10	15.9710655	-0.008429612	-1.29169	1.3564423	0.008488355	0.0820625	127.0	2999.9668633937836	106.15239	26.837193	130.53001	38.565765	0.0	0.0
77	494.53125	23.937399	8.236969	34.6649	3.8761256	1248000	1.3038516e-08	19.372658	-0.009261322	-2.363865	1.3564423	0.007875865	0.10106251	127.0	3037.14879655838	100.49867	27.760378	133.21169	31.162884	0.0	0.0
78	499.90625	25.12209	7.4246974	33.59031	3.909398	1264000	-5.5879354e-09	16.308699	-0.009270443	-2.9226918	1.3564423	0.0072302623	0.09375	127.0	3080.9879257678986	110.86383	16.900667	132.37132	69.0565	0.0	0.0
79	494.0625	26.162977	7.3918233	33.335762	5.770762	1280000	-2.2351742e-08	13.487016	-0.009213254	-3.7317095	1.3564423	0.006728341	0.081062496	127.0	3119.8271048069	112.309784	25.00622	141.49791	32.174362	0.0	0.0
