Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18245555	0.047080033	-0.14341179	-0.34530503	16000	6.7055225e-08	0.047954798	-0.0057799025	-0.04288216	1.3564423	0.006568906	0.062062502	127.0	42.31227254867554	0.37734687	0.27789885	1.596135	0.07814143	0.0	0.0
1	500.0	0.03794264	0.029809441	0.11172957	-0.056423187	32000	4.4703484e-08	0.031110384	-0.006987261	-0.014944987	1.3564423	0.0045123342	0.0610625	127.0	81.74574255943298	0.9399228	0.7142944	3.0352862	0.2045764	0.0	0.0
2	500.0	0.19088766	0.040018752	0.29997838	0.014449291	48000	0.0	0.025174724	-0.008725308	-0.0064833835	1.3564423	0.0061315107	0.084	127.0	115.24105668067932	1.3050661	0.6847295	2.7433832	0.21939158	0.0	0.0
3	500.0	0.27702406	0.039399598	0.413909	0.16176862	64000	1.1175871e-08	0.08406215	-0.008838909	-0.041392058	1.3564423	0.007461992	0.07781251	127.0	153.12971425056458	2.3768015	1.0284826	5.1148725	0.5011787	0.0	0.0
4	500.0	0.53802073	0.069663204	0.745979	0.35428417	80000	3.7252903e-08	0.13201231	-0.0071423813	-0.045420364	1.3564423	0.0052637844	0.060125	127.0	189.17699074745178	3.412897	1.4193629	6.905155	1.2965419	0.0	0.0
5	500.0	0.7415579	0.081614316	0.98803335	0.51913583	96000	2.9802322e-08	0.21881454	-0.0072376984	-0.09303216	1.3564423	0.007074118	0.0565625	127.0	225.328706741333	4.6327	1.7256671	8.940571	1.5333841	0.0	0.0
6	500.0	1.0704255	0.18199688	1.4632629	0.5760524	112000	1.6763806e-08	0.38202345	-0.0076060123	-0.1778413	1.3564423	0.00660705	0.0646875	127.0	261.36833024024963	6.357585	2.2159517	13.08438	2.599362	0.0	0.0
7	500.0	1.5395021	0.43994987	2.3968585	0.37554395	128000	-3.5390258e-08	3.2267253	-0.0074186074	-1.7177196	1.3564423	0.006967193	0.0715	127.0	298.2203850746155	12.463862	5.841231	28.253645	4.4241037	0.0	0.0
8	500.0	2.9251912	0.86962134	4.4113064	0.69461966	144000	-4.0978193e-08	3.7717662	-0.00867996	-2.1328597	1.3564423	0.006806612	0.0740625	127.0	336.80632972717285	18.63126	5.146158	30.433142	8.224267	0.0	0.0
9	500.0	4.370337	1.4271898	6.3881	0.44915077	160000	1.9557774e-08	1.4620712	-0.011287527	-0.22574653	1.3564423	0.0076932684	0.0944375	127.0	374.33738255500793	19.446499	5.0005445	32.18238	9.460681	0.0	0.0
