Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20682934	0.04890182	-0.1510326	-0.33403784	16000	-9.685755e-08	0.04171489	-0.005577514	-0.038777556	1.3564423	0.0055122077	0.045624997	127.0	41.16886782646179	0.1834856	0.106737114	0.50081396	0.06747085	0.0	0.0
1	500.0	-0.005146494	0.040057283	0.063423	-0.11190335	32000	0.0	0.0023948583	-0.0120972525	-0.001589502	1.3564423	0.00729285	0.14293751	127.0	77.95235872268677	0.2780093	0.15535162	0.6217408	0.0627021	0.0	0.0
2	500.0	0.05996651	0.023090625	0.10061614	-0.03471024	48000	-2.2351742e-08	0.004422453	-0.010435788	-0.0014130974	1.3564423	0.006097115	0.089625	127.0	115.70831441879272	0.5360398	0.2964669	1.4098312	0.12809245	0.0	0.0
3	500.0	0.105452485	0.020827537	0.1690458	0.026509129	64000	3.1664968e-08	0.007714819	-0.010461449	-0.0040872036	1.3564423	0.008220369	0.094	127.0	156.02152466773987	0.884905	0.30256858	1.5499564	0.29225075	0.0	0.0
4	500.0	0.18694578	0.015453638	0.23831299	0.11046727	80000	7.450581e-09	0.017211977	-0.0073686196	-0.0049506817	1.3564423	0.0059317267	0.077562496	127.0	191.69690680503845	1.210109	0.55007946	3.701589	0.4124244	0.0	0.0
5	500.0	0.2637298	0.026052825	0.36522362	0.2028014	96000	2.9802322e-08	0.034081183	-0.0068703103	-0.01653618	1.3564423	0.0072833747	0.0593125	127.0	228.0255002975464	1.7844265	0.6253646	3.3903642	0.8829864	0.0	0.0
6	500.0	0.40342382	0.07242477	0.59662646	0.24952793	112000	-9.313226e-10	0.058231756	-0.007005995	-0.028103739	1.3564423	0.00682352	0.063250005	127.0	261.5366156101227	2.475702	0.8242554	5.017636	0.7143247	0.0	0.0
7	500.0	0.6001786	0.17242102	0.9620439	0.23536748	128000	-7.450581e-09	0.16171625	-0.006347451	-0.09017978	1.3564423	0.005372694	0.057	127.0	303.0769326686859	3.556828	1.5378919	8.428578	1.3692336	0.0	0.0
8	500.0	0.8683751	0.33978677	1.6980035	0.09751051	144000	0.0	0.28640568	-0.006661016	-0.12611547	1.3564423	0.0073949457	0.078187495	127.0	341.0418996810913	4.8471875	2.0692663	10.205073	1.3648325	0.0	0.0
9	500.0	1.355737	0.55455774	2.7285619	-0.029671866	160000	2.4214387e-08	0.3735362	-0.010189915	-0.14667909	1.3564423	0.008506366	0.107875	127.0	378.49447679519653	6.9919314	2.1877499	11.928466	3.0109358	0.0	0.0
10	500.0	1.9108702	0.7059083	3.4454575	0.334339	176000	-1.4901161e-08	0.29412362	-0.0073889806	-0.07141143	1.3564423	0.006397454	0.0670625	127.0	416.95341062545776	7.81277	2.7779706	13.751782	3.6150632	0.0	0.0
11	500.0	2.3263352	0.90205705	4.0235243	0.4011506	192000	-1.1175871e-08	1.0682677	-0.009238889	-0.35914737	1.3564423	0.006936112	0.087375	127.0	453.5871272087097	11.3563	3.981315	20.54204	3.1788867	0.0	0.0
12	500.0	2.9538803	1.2586917	5.2088737	0.19782731	208000	2.4214387e-08	1.2222462	-0.007894651	-0.33051273	1.3564423	0.0059535457	0.072437495	127.0	489.69954323768616	12.311667	5.060153	23.153166	4.5653133	0.0	0.0
13	500.0	3.4618149	1.757991	6.4827747	0.17845312	224000	-2.2351742e-08	2.0678663	-0.008685056	-1.0276799	1.3564423	0.0060537695	0.072625004	127.0	530.8022964000702	16.742554	5.1664715	27.241934	5.2382345	0.0	0.0
