Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20607714	0.0488479	-0.15038654	-0.33307165	16000	-9.313226e-09	0.041810736	-0.0060913926	-0.038718432	1.3564423	0.0059189824	0.051062502	127.0	37.01694059371948	0.18626037	0.14305882	0.55812126	0.035299256	0.0	0.0
1	500.0	-0.0054861004	0.044509128	0.06554577	-0.11679879	32000	-2.9802322e-08	0.0031162656	-0.010211642	-0.0016126609	1.3564423	0.0056233113	0.10350001	127.0	68.33922910690308	0.28111434	0.22157896	1.0439379	0.061454833	0.0	0.0
2	500.0	0.05717668	0.029214812	0.109363556	-0.048862707	48000	-5.5879354e-09	0.0072898245	-0.009085528	-0.0023794263	1.3564423	0.0061121415	0.0793125	127.0	101.85565161705017	0.5739536	0.38685846	1.413734	0.06819176	0.0	0.0
3	500.0	0.11028142	0.023595653	0.17561042	0.007869884	64000	0.0	0.008037835	-0.008726345	-0.0033501876	1.3564423	0.0069593447	0.081562504	127.0	136.0457751750946	0.7268318	0.46585134	1.7594938	0.22953884	0.0	0.0
4	500.0	0.17343436	0.032488026	0.30041307	0.08549467	80000	2.0489097e-08	0.007964038	-0.009224506	-0.003200039	1.3564423	0.0077762464	0.083375	127.0	167.87747263908386	0.9827956	0.45742515	2.2601373	0.2877743	0.0	0.0
5	500.0	0.23973382	0.04236691	0.405463	0.14077319	96000	7.450581e-09	0.013618199	-0.0083819665	-0.0052218838	1.3564423	0.006711426	0.071062505	127.0	201.49230885505676	1.2283996	0.5006719	3.193535	0.51786005	0.0	0.0
6	500.0	0.28378218	0.0538351	0.5512878	0.16475666	112000	1.4901161e-08	0.014637735	-0.009764096	-0.0067928713	1.3564423	0.007856229	0.0885	127.0	235.76029253005981	1.4107563	0.58293504	4.167138	0.68323326	0.0	0.0
7	500.0	0.37506488	0.15036596	0.9224262	0.104142845	128000	-1.4901161e-08	0.048458725	-0.008679619	-0.013318529	1.3564423	0.008161226	0.104875	127.0	269.7997932434082	1.9164251	1.1884111	7.53184	0.41186807	0.0	0.0
8	500.0	0.5815869	0.27119425	1.3610686	0.114243306	144000	4.284084e-08	0.24576677	-0.0065938663	-0.14708617	1.3564423	0.008318463	0.078	127.0	301.93276953697205	3.5897589	2.4098368	9.886934	0.93263954	0.0	0.0
9	500.0	1.0263965	0.57144547	2.4456403	-0.034163866	160000	7.450581e-09	0.2608683	-0.009671889	-0.086854175	1.3564423	0.0074861073	0.110937506	127.0	339.9578664302826	4.2774835	3.0493195	11.390616	0.60810876	0.0	0.0
10	500.0	1.5872314	0.7937593	3.5783672	-0.15140724	176000	-3.7252903e-08	0.32176882	-0.009418449	-0.10221726	1.3564423	0.007320222	0.0898125	127.0	389.5335268974304	6.389076	3.5620658	14.771313	0.6349022	0.0	0.0
11	500.0	2.043481	0.9612496	4.111643	-0.17631587	192000	-2.2351742e-08	0.56378	-0.008333719	-0.18781301	1.3564423	0.00591267	0.074687496	127.0	430.87322425842285	7.9665174	4.2192326	17.327753	0.726183	0.0	0.0
12	500.0	2.075535	1.1157552	4.702614	-0.16694303	208000	0.0	0.7083674	-0.008493168	-0.17920557	1.3564423	0.0068748053	0.0680625	127.0	462.83358550071716	8.365507	5.5069275	23.967676	1.0905138	0.0	0.0
13	500.0	2.7468321	1.5714742	6.6218243	-0.5561721	224000	-3.7252903e-09	0.91884756	-0.010816491	-0.3090927	1.3564423	0.007812187	0.089562505	127.0	499.38126492500305	12.445958	6.1924047	24.038727	0.59129673	0.0	0.0
14	500.0	3.124753	1.9718844	7.261024	-0.56453806	240000	1.8626451e-08	0.5870087	-0.009719238	-0.23146893	1.3564423	0.008012004	0.088937506	127.0	532.4624540805817	13.014393	5.971139	21.178991	0.663762	0.0	0.0
15	500.0	4.0161057	2.0090663	7.22943	-0.40766627	256000	1.21071935e-08	0.93825006	-0.009927668	-0.17107078	1.3564423	0.0069152117	0.0746875	127.0	565.153730392456	14.218406	5.401572	21.583189	0.8381269	0.0	0.0
16	500.0	3.785857	2.021463	7.2854233	-0.3637333	272000	1.1175871e-08	1.1354817	-0.009348501	-0.24489702	1.3564423	0.006362115	0.0731875	127.0	600.9567687511444	15.227939	7.560819	25.823145	0.34308058	0.0	0.0
17	500.0	3.6578906	2.1286929	6.944984	-0.3941719	288000	3.7252903e-09	0.9382291	-0.007944736	-0.17385069	1.3564423	0.0051316214	0.0575625	127.0	635.5229253768921	13.436392	7.910846	23.09406	0.51846576	0.0	0.0
18	500.0	4.309564	2.1340418	6.921668	-0.44009346	304000	-1.8626451e-09	1.4048522	-0.007056952	-0.33886188	1.3564423	0.00683619	0.0414375	127.0	667.3335962295532	16.19609	6.8278394	23.309938	0.5126704	0.0	0.0
19	500.0	3.9816928	1.8830466	6.151256	-0.05411478	320000	0.0	0.89089704	-0.0070144506	-0.10928418	1.3564423	0.006623452	0.055250004	127.0	701.1057600975037	16.251474	7.731832	25.619848	0.7249367	0.0	0.0
20	500.0	3.9721675	2.1742437	6.2980022	-0.859121	336000	-1.8626451e-09	0.9188925	-0.0061880443	-0.25027278	1.3564423	0.0047343345	0.045500003	127.0	735.4097974300385	16.212238	8.416112	27.13837	1.0411792	0.0	0.0
21	500.0	4.2285686	1.8931336	6.8289323	-0.6358301	352000	7.450581e-09	0.8744528	-0.009088747	-0.12777585	1.3564423	0.0075669526	0.0581875	127.0	768.9598319530487	15.999359	7.181628	24.809063	0.8115498	0.0	0.0
22	500.0	4.3537626	1.9243962	6.908361	-0.33095926	368000	1.4901161e-08	1.1240661	-0.008603627	-0.26219842	1.3564423	0.007206078	0.0636875	127.0	801.1875298023224	18.957851	6.632855	27.53967	1.5465878	0.0	0.0
23	500.0	4.5356016	2.0460696	7.4224486	-1.3271236	384000	-3.7252903e-09	1.0655333	-0.007149875	-0.19703251	1.3564423	0.005988165	0.05475	127.0	835.1180329322815	18.637264	7.3589215	27.243416	1.2423798	0.0	0.0
24	500.0	4.584206	1.9851941	7.340192	-0.47103977	400000	1.3038516e-08	0.84074754	-0.008877302	-0.17561638	1.3564423	0.007881101	0.0664375	127.0	869.8075385093689	18.44703	6.563849	25.945894	1.1440048	0.0	0.0
25	500.0	4.476828	1.90314	7.906324	-0.14994958	416000	2.2351742e-08	0.79631066	-0.009633778	-0.142602	1.3564423	0.0074658804	0.06518751	127.0	907.8489346504211	20.091818	6.315804	27.608908	1.2222611	0.0	0.0
26	500.0	4.7827373	1.98688	8.176494	0.07332337	432000	7.450581e-09	1.056587	-0.0101785995	-0.22408186	1.3564423	0.00787654	0.068375	127.0	942.345944404602	20.346498	6.923784	29.272755	1.4459718	0.0	0.0
27	500.0	5.0505753	1.8406291	8.268953	0.2550949	448000	-1.8626451e-08	0.73808694	-0.010064234	-0.26744097	1.3564423	0.0077042584	0.08006249	127.0	975.5118343830109	23.84748	3.4430456	29.27992	11.484459	0.0	0.0
28	500.0	5.2608294	1.8873806	8.383806	1.0334382	464000	1.4901161e-08	0.3870643	-0.008935138	-0.064816654	1.3564423	0.0046481304	0.0629375	127.0	1008.4758570194244	23.914162	4.6467404	29.810123	4.805893	0.0	0.0
29	500.0	5.7063055	1.8474704	8.646307	0.9411327	480000	-2.7939677e-08	0.525297	-0.008946085	-0.14170869	1.3564423	0.0070783463	0.0715625	127.0	1042.9774906635284	27.142752	2.768586	31.39345	19.31128	0.0	0.0
30	500.0	5.8344064	2.0248625	9.170426	1.3644696	496000	2.6077032e-08	0.3486073	-0.010338801	-0.053288072	1.3564423	0.00809096	0.078812495	127.0	1075.5931057929993	26.96666	3.0428367	30.79935	17.429554	0.0	0.0
31	500.0	6.116027	2.167391	9.261538	1.3922422	512000	-3.7252903e-09	0.6292298	-0.00868662	-0.18756032	1.3564423	0.0053579155	0.0625	127.0	1120.102331161499	26.304348	7.3888845	34.19455	0.8947185	0.0	0.0
32	500.0	6.3748903	2.3099775	9.932164	0.60852164	528000	0.0	0.7846742	-0.010353619	-0.22206451	1.3564423	0.006398532	0.0725	127.0	1168.3257672786713	28.508244	4.9364715	38.813145	9.543059	0.0	0.0
33	500.0	6.605249	2.0818434	9.578488	1.2528988	544000	-9.313226e-09	0.41709846	-0.00914363	-0.077880256	1.3564423	0.0068036434	0.0693125	127.0	1205.8262424468994	28.97505	2.9571946	32.57506	19.42929	0.0	0.0
34	500.0	6.631309	1.9928725	9.548041	1.4026577	560000	-1.3969839e-08	0.37620503	-0.009739025	-0.10323042	1.3564423	0.006776428	0.08525	127.0	1237.7100682258606	30.512497	2.2203336	34.022892	25.602276	0.0	0.0
35	500.0	6.853471	2.1830947	9.946831	1.7648284	576000	1.4901161e-08	0.77143115	-0.010208644	-0.17640719	1.3564423	0.0057251044	0.087937504	127.0	1271.8070166110992	30.475876	5.8509984	41.79869	3.772145	0.0	0.0
36	500.0	7.1731024	2.2933939	10.145185	1.3274634	592000	0.0	0.243316	-0.009125516	-0.052153137	1.3564423	0.0067340243	0.076	127.0	1305.6274032592773	31.336296	2.4228451	34.715477	22.131851	0.0	0.0
37	500.0	7.332157	2.2422268	10.294408	1.550338	608000	0.0	0.41790664	-0.00845173	-0.08430068	1.3564423	0.005216227	0.0709375	127.0	1340.4214160442352	32.30046	2.110122	39.715862	28.445385	0.0	0.0
38	500.0	7.271216	2.2782476	10.632568	1.7257681	624000	-3.7252903e-09	0.32469028	-0.008660092	-0.06613369	1.3564423	0.005395412	0.070625	127.0	1375.9918575286865	32.447212	5.9740524	36.918015	0.698764	0.0	0.0
39	500.0	7.538738	2.2960649	10.703218	1.2736932	640000	2.0489097e-08	0.38238963	-0.011266215	-0.07589413	1.3564423	0.0062746224	0.08925	127.0	1410.7876284122467	33.439198	3.1991494	37.218403	19.532385	0.0	0.0
40	500.0	7.804634	2.3163195	10.7825165	1.4887009	656000	3.7252903e-09	1.1787633	-0.009576099	-0.25899318	1.3564423	0.0068286145	0.098124996	127.0	1470.5217249393463	34.867195	4.935678	52.805836	17.161106	0.0	0.0
41	500.0	8.231337	2.660792	11.985295	1.6860248	672000	-1.1175871e-08	0.47049385	-0.010031357	-0.14636654	1.3564423	0.006795293	0.0733125	127.0	1526.0033586025238	34.643013	2.9375432	38.14328	23.832329	0.0	0.0
42	500.0	8.252051	2.5379896	11.309627	1.7299461	688000	-1.1641532e-08	0.53286266	-0.0084066205	-0.1444076	1.3564423	0.0060820775	0.0703125	127.0	1576.893445968628	35.76209	3.1131926	43.546295	25.717045	0.0	0.0
43	500.0	8.389399	2.7781236	11.758585	1.6676301	704000	3.7252903e-09	0.5058871	-0.00984292	-0.0852581	1.3564423	0.008563446	0.086812496	127.0	1607.5859653949738	35.961273	3.8990004	46.94032	21.727098	0.0	0.0
44	500.0	8.791818	2.801649	12.05878	1.5610304	720000	3.7252903e-09	1.0318677	-0.007983971	-0.20875019	1.3564423	0.0063454984	0.0560625	127.0	1642.4555118083954	38.20524	3.8537352	47.85008	33.303017	0.0	0.0
45	500.0	9.092261	2.935933	12.773541	1.6725196	736000	0.0	0.96358156	-0.008076133	-0.101924345	1.3564423	0.005901356	0.0674375	127.0	1675.5215497016907	38.221535	4.029523	52.28579	31.881447	0.0	0.0
46	500.0	9.016603	2.8500793	13.092507	1.9838048	752000	2.2351742e-08	0.6199241	-0.009373066	-0.097607106	1.3564423	0.0061610495	0.067687504	127.0	1707.8004131317139	38.215477	3.1798017	45.42596	31.98841	0.0	0.0
47	500.0	9.249473	2.936659	12.687687	1.9725857	768000	-4.0978193e-08	1.154123	-0.0077885217	-0.28777197	1.3564423	0.0072714593	0.0760625	127.0	1748.7408108711243	40.194874	3.5311363	48.69113	33.468037	0.0	0.0
48	500.0	9.589825	3.0881894	13.093895	2.0671942	784000	-2.6077032e-08	1.3638879	-0.0076248017	-0.16100743	1.3564423	0.006178084	0.061875	127.0	1799.0856881141663	40.42469	5.0921564	56.82746	34.547848	0.0	0.0
49	500.0	9.63343	3.151931	14.053652	2.0097811	800000	-7.450581e-09	1.4622674	-0.008667784	-0.3728008	1.3564423	0.0076096994	0.0623125	127.0	1839.935362815857	37.91944	5.698455	51.66801	20.651299	0.0	0.0
50	500.0	9.429184	3.0867338	13.096996	1.631016	816000	9.313226e-10	1.011138	-0.009156389	-0.17022082	1.3564423	0.007642473	0.0676875	127.0	1875.2790703773499	39.418617	4.1174736	51.024185	27.252642	0.0	0.0
51	500.0	9.565615	2.9590158	13.08163	2.0001452	832000	-9.313226e-09	0.6750003	-0.009564063	-0.09933452	1.3564423	0.008243939	0.071499996	127.0	1909.4875936508179	39.774193	3.7866497	49.552402	34.1837	0.0	0.0
52	500.0	9.518695	3.0401177	13.1259575	1.9535645	848000	-5.5879354e-09	0.95497143	-0.008780729	-0.17856781	1.3564423	0.008286789	0.070875004	127.0	1944.4636886119843	38.78217	3.6142519	46.388676	31.095146	0.0	0.0
53	500.0	9.516168	2.9673967	13.285383	1.9496517	864000	-3.7252903e-09	1.4364803	-0.007623801	-0.2543391	1.3564423	0.007605357	0.0784375	127.0	1976.3513004779816	39.239925	5.7042375	52.649094	18.470753	0.0	0.0
54	500.0	9.664678	3.280597	14.158688	1.8374391	880000	3.7252903e-09	1.9197426	-0.007873144	-0.5022539	1.3564423	0.0067564296	0.066874996	127.0	2010.965574502945	42.15546	6.3465967	53.83535	22.395025	0.0	0.0
55	500.0	10.155176	3.5746536	15.358077	1.5725818	896000	2.7939677e-08	2.8326075	-0.010125881	-0.27117607	1.3564423	0.008698739	0.08825	127.0	2045.8894665241241	43.63437	7.1176705	59.337357	29.873892	0.0	0.0
56	500.0	10.4667635	3.7345278	16.009846	1.7917496	912000	5.5879354e-09	2.6401029	-0.009289011	-0.15561591	1.3564423	0.0065420023	0.06725	127.0	2078.2192850112915	42.822052	6.934692	60.47095	34.5275	0.0	0.0
57	500.0	10.645143	3.529779	15.947714	2.1008604	928000	-3.7252903e-09	4.940336	-0.007057635	-0.7046479	1.3564423	0.0057994444	0.067499995	127.0	2112.9731554985046	45.981567	10.29193	63.16756	15.311356	0.0	0.0
58	500.0	10.808323	4.002471	16.837328	1.9576322	944000	-1.1175871e-08	3.2598	-0.0090251565	-0.3035634	1.3564423	0.0067546666	0.07925	127.0	2149.256294488907	46.831963	7.5799046	62.968357	29.04231	0.0	0.0
59	500.0	11.320672	4.1796546	17.624226	1.7436109	960000	-1.4901161e-08	4.685113	-0.0088995285	-0.7918763	1.3564423	0.0069842837	0.066562496	127.0	2198.5121054649353	48.60289	10.553981	68.06968	16.85455	0.0	0.0
60	500.0	11.753396	4.1306973	18.154099	1.7606323	976000	0.0	5.9165597	-0.008101876	-0.9622381	1.3564423	0.007481192	0.074875	127.0	2250.5938308238983	52.455276	10.302394	71.90518	31.163881	0.0	0.0
61	500.0	12.255108	5.145697	19.283688	2.0065022	992000	0.0	5.4305887	-0.008589664	-0.99487543	1.3564423	0.006730466	0.07975	127.0	2285.012882232666	51.59155	9.024838	73.55948	37.802376	0.0	0.0
62	500.0	12.588758	4.82277	19.885902	2.102887	1008000	0.0	5.657003	-0.009456486	-1.0326033	1.3564423	0.0072410638	0.078875005	127.0	2319.9062688350677	51.859848	11.396113	74.4899	31.836443	0.0	0.0
