Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.14777355	0.039150245	-0.11207907	-0.32385653	16000	2.6077032e-08	0.037525695	-0.005643989	-0.034199283	1.3564423	0.006546153	0.05775	127.0	40.06628370285034	0.38639238	0.22622572	0.8590435	0.099329114	0.0	0.0
1	500.0	0.050231557	0.02956265	0.11792428	-0.069610186	32000	-4.0978193e-08	0.036849	-0.008192093	-0.018015388	1.3564423	0.0047728997	0.07875	127.0	80.0839991569519	1.0037626	0.8039074	3.9126966	0.13594174	0.0	0.0
2	500.0	0.2396113	0.056586683	0.3957491	0.0378168	48000	4.0978193e-08	0.10880695	-0.008192941	-0.033395812	1.3564423	0.00659357	0.0854375	127.0	117.70094537734985	2.1058083	1.3690091	5.5759554	0.44441438	0.0	0.0
3	500.0	0.44860712	0.059721995	0.600535	0.25808752	64000	4.8428774e-08	0.22202908	-0.008072315	-0.09719895	1.3564423	0.0062478054	0.068	127.0	156.79237914085388	3.5177495	1.8038421	7.9127183	0.8961764	0.0	0.0
4	500.0	0.7764543	0.13167053	1.1918734	0.4392858	80000	-7.450581e-09	0.25581422	-0.009609563	-0.07388686	1.3564423	0.0067675505	0.084125	127.0	193.3820252418518	4.5240555	2.0214705	9.832875	1.0382112	0.0	0.0
5	500.0	1.024645	0.19102985	1.5286373	0.5013631	96000	1.4901161e-08	0.19780111	-0.008422059	-0.050712783	1.3564423	0.00836873	0.0748125	127.0	243.1300494670868	4.928466	1.9628112	9.374188	1.2303128	0.0	0.0
6	500.0	1.2452824	0.2857625	1.9692296	0.59613204	112000	1.3038516e-08	0.7674475	-0.0076762782	-0.37286624	1.3564423	0.0060808854	0.068937495	127.0	298.42529797554016	7.702101	2.9862816	17.741764	3.3094866	0.0	0.0
7	500.0	1.8651778	0.6596664	3.1813412	0.3181814	128000	-2.6077032e-08	1.904702	-0.00928342	-1.1195273	1.3564423	0.007431426	0.091	127.0	342.5851266384125	12.297492	4.287365	23.72515	5.0449924	0.0	0.0
8	500.0	3.1673362	1.0710218	5.0186234	0.4011579	144000	2.2351742e-08	3.1010253	-0.009296982	-1.4969697	1.3564423	0.007411902	0.081375	127.0	380.74785470962524	18.116596	6.0495877	30.267757	7.379058	0.0	0.0
9	500.0	4.423377	1.4405066	6.648755	0.19187048	160000	5.5879354e-08	2.41649	-0.010649532	-0.6999816	1.3564423	0.007506268	0.09275	127.0	420.3471031188965	21.665882	6.0216804	29.5369	11.111517	0.0	0.0
10	500.0	5.551219	1.5376687	7.601092	0.56846625	176000	3.7252903e-09	1.8031931	-0.010051604	-0.2840363	1.3564423	0.0069056833	0.0785	127.0	457.310751914978	25.382664	5.1352406	36.251797	14.336088	0.0	0.0
11	500.0	6.100383	1.5628967	7.822189	0.8126986	192000	-5.5879354e-09	1.3213067	-0.011229062	-0.106573254	1.3564423	0.0069711395	0.08075	127.0	495.65883231163025	26.79205	4.618279	36.66438	18.487343	0.0	0.0
12	500.0	6.4948406	1.6009927	8.303251	0.60431635	208000	1.4901161e-08	2.3952298	-0.009254612	-0.71025085	1.3564423	0.0059061293	0.0613125	127.0	535.445396900177	31.644207	4.6083283	44.34034	21.415783	0.0	0.0
13	500.0	7.501894	1.5186424	8.919876	1.2181554	224000	3.7252903e-09	1.7498274	-0.010913435	-0.03749266	1.3564423	0.006784973	0.0748125	127.0	578.8978440761566	31.938599	4.342426	43.03184	23.517239	0.0	0.0
14	500.0	7.42637	1.4128069	8.702466	1.3136928	240000	0.0	1.9956505	-0.009394087	-0.1667692	1.3564423	0.007906627	0.069874994	127.0	623.2811586856842	32.18253	5.8531876	41.717766	16.312157	0.0	0.0
15	500.0	7.395429	1.3401525	8.694008	1.399362	256000	1.4901161e-08	1.5480087	-0.008872599	-0.21256974	1.3564423	0.007594213	0.0688125	127.0	659.3954849243164	34.041878	3.9080844	40.74952	22.219955	0.0	0.0
16	500.0	7.782294	1.3547062	8.977995	1.6365268	272000	1.1175871e-08	2.876642	-0.009168341	-0.36129615	1.3564423	0.0072251614	0.07075	127.0	699.5111482143402	36.776726	5.7190433	52.428776	22.912058	0.0	0.0
17	500.0	8.282935	1.2475227	9.404211	2.6810966	288000	1.1175871e-08	2.0533395	-0.008206801	-0.031948235	1.3564423	0.0059207557	0.0665625	127.0	739.2598919868469	37.19883	5.3413844	56.009155	26.24547	0.0	0.0
