Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18966174	0.04705715	-0.13674226	-0.31978488	16000	5.5879354e-08	0.03595832	-0.005392096	-0.033591956	1.3564423	0.005986862	0.043937497	127.0	43.804126024246216	0.17716204	0.10218316	0.4799368	0.063936956	0.0	0.0
1	500.0	-0.0024419993	0.037798133	0.06592677	-0.101760834	32000	2.9802322e-08	0.0023225883	-0.012579984	-0.0015204467	1.3564423	0.007524433	0.1348125	127.0	83.50945854187012	0.2902615	0.15577479	0.62339854	0.07044178	0.0	0.0
2	500.0	0.060365964	0.024232717	0.10143253	-0.031838838	48000	2.9802322e-08	0.0045730975	-0.010158725	-0.0015923312	1.3564423	0.006370621	0.08831251	127.0	117.77539443969727	0.5491628	0.2900694	1.3106693	0.121184714	0.0	0.0
3	500.0	0.108143225	0.021082655	0.17510775	0.037270673	64000	1.6763806e-08	0.009559352	-0.01015579	-0.0054540546	1.3564423	0.007544946	0.090749994	127.0	153.2183918952942	0.9474495	0.3101184	1.5946989	0.30178124	0.0	0.0
4	500.0	0.19828378	0.014885633	0.24987122	0.13944146	80000	1.1175871e-08	0.01895957	-0.0070271567	-0.0055145007	1.3564423	0.0058406754	0.0736875	127.0	192.48016381263733	1.2606821	0.57004577	3.8646586	0.45681843	0.0	0.0
5	500.0	0.27762192	0.031334426	0.39429912	0.20332018	96000	0.0	0.044613503	-0.006489482	-0.02223865	1.3564423	0.007813564	0.062	127.0	225.35099601745605	1.9193809	0.69103426	3.8221815	0.9369214	0.0	0.0
6	500.0	0.44083637	0.08977378	0.66289514	0.25219214	112000	3.7252903e-09	0.112943575	-0.0068112947	-0.052897897	1.3564423	0.007043764	0.07175	127.0	263.2527525424957	2.8536336	1.1230315	6.0804477	1.0152609	0.0	0.0
7	500.0	0.7070365	0.22845851	1.1703541	0.2275176	128000	-7.450581e-09	0.25034618	-0.0065836776	-0.13863415	1.3564423	0.006260763	0.063562505	127.0	297.4362242221832	4.2319	1.7303298	8.85231	1.7097543	0.0	0.0
8	500.0	1.0465318	0.44013888	1.9843124	0.13007388	144000	0.0	0.2898516	-0.007800296	-0.12834659	1.3564423	0.008433286	0.089375004	127.0	334.7271046638489	5.491942	1.9703652	10.186391	2.1186872	0.0	0.0
9	500.0	1.5730164	0.6491066	3.0038893	0.078312725	160000	-7.450581e-09	0.51712716	-0.009984082	-0.21710226	1.3564423	0.0073382733	0.099125	127.0	371.0416147708893	8.192212	2.4478614	13.418874	3.0319686	0.0	0.0
10	500.0	2.1884542	0.80848837	3.788183	0.2626978	176000	-9.313226e-09	0.22850111	-0.00795185	-0.02058953	1.3564423	0.0062885405	0.064375	127.0	406.44199681282043	9.035305	1.9803853	13.255511	4.825628	0.0	0.0
11	500.0	2.4308376	0.84406376	3.9269767	0.39723092	192000	5.5879354e-08	0.64113605	-0.009368459	-0.18369034	1.3564423	0.0061710384	0.07975	127.0	443.48226499557495	11.206172	3.0929644	17.598078	6.039768	0.0	0.0
