Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18875597	0.04691934	-0.135977	-0.31881902	16000	1.4901161e-08	0.03599558	-0.00565186	-0.033497296	1.3564423	0.0059555573	0.0466875	127.0	42.641743659973145	0.17973632	0.13789973	0.55252266	0.033481553	0.0	0.0
1	500.0	-0.00041998076	0.042854026	0.06971315	-0.10724135	32000	1.3038516e-08	0.0030446493	-0.010476189	-0.0016140935	1.3564423	0.0061596045	0.113875	127.0	85.66907382011414	0.29189366	0.21673612	0.9751626	0.06747566	0.0	0.0
2	500.0	0.05882277	0.028133202	0.10836332	-0.041009583	48000	-1.6763806e-08	0.0063214996	-0.0109079555	-0.0022255236	1.3564423	0.007165069	0.09275	127.0	120.0741925239563	0.5745563	0.35790944	1.3281838	0.08697076	0.0	0.0
3	500.0	0.10899266	0.024925604	0.17792332	0.010107994	64000	-2.2351742e-08	0.0077125095	-0.009272955	-0.0031451853	1.3564423	0.007149262	0.081	127.0	156.36126828193665	0.80214894	0.3970318	1.665752	0.29110524	0.0	0.0
4	500.0	0.17426573	0.020889442	0.244674	0.1130858	80000	-2.4214387e-08	0.009513464	-0.0076673906	-0.0037915376	1.3564423	0.005703299	0.0649375	127.0	194.89887189865112	1.0187778	0.47009662	2.36346	0.34273142	0.0	0.0
5	500.0	0.23292762	0.036520578	0.38257053	0.14067206	96000	-1.4901161e-08	0.021133179	-0.008140381	-0.0121172145	1.3564423	0.006744139	0.069000006	127.0	235.03329181671143	1.343982	0.6243667	3.4176197	0.64423233	0.0	0.0
6	500.0	0.30520904	0.10327498	0.77316636	0.14890274	112000	1.1175871e-08	0.03550833	-0.008768523	-0.018112766	1.3564423	0.008742684	0.1063125	127.0	272.3312385082245	1.6186328	1.0833741	5.81857	0.7966409	0.0	0.0
7	500.0	0.49215192	0.28479436	1.3271614	0.03300892	128000	-3.7252903e-09	0.077036895	-0.009231477	-0.03427783	1.3564423	0.009995715	0.124937505	127.0	310.8520929813385	2.354632	1.678052	8.688767	0.5297093	0.0	0.0
8	500.0	0.93303955	0.5577701	2.1356149	0.019780122	144000	-2.2351742e-08	0.21477023	-0.007968921	-0.06081304	1.3564423	0.007888861	0.0945	127.0	348.62901878356934	4.349563	2.561917	9.903871	0.9679433	0.0	0.0
9	500.0	1.2613645	0.6801091	2.824554	-0.19059877	160000	-2.2351742e-08	0.25660735	-0.008399829	-0.041689135	1.3564423	0.006750673	0.084625	127.0	386.98716735839844	5.094945	3.0462158	12.399175	0.6763437	0.0	0.0
