Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.16100417	0.041440222	-0.12455922	-0.33675706	16000	1.4901161e-08	0.04011941	-0.005174132	-0.035779294	1.3564423	0.006029863	0.047062498	127.0	34.58866024017334	0.3561784	0.25993153	1.1097713	0.063074924	0.0	0.0
1	500.0	0.03726904	0.026595946	0.09653078	-0.06579403	32000	-2.2351742e-08	0.03197018	-0.0072510038	-0.014067663	1.3564423	0.004747569	0.073874995	127.0	67.05289673805237	0.8484657	0.7962921	3.5515625	0.073796935	0.0	0.0
2	500.0	0.20359167	0.051002856	0.3442952	0.0313899	48000	-3.7252903e-09	0.112666264	-0.007387919	-0.02931178	1.3564423	0.006176508	0.0763125	127.0	99.76435446739197	1.8290334	1.5407549	6.1569004	0.20965533	0.0	0.0
3	500.0	0.37885827	0.049605552	0.5459394	0.19403952	64000	1.4901161e-08	0.13310052	-0.008013412	-0.05160992	1.3564423	0.005778617	0.067	127.0	153.03218388557434	2.6472383	1.661366	6.8749614	0.5183309	0.0	0.0
4	500.0	0.61558867	0.11911507	0.93945336	0.29035434	80000	0.0	0.18270853	-0.009355253	-0.05693935	1.3564423	0.0062744627	0.0808125	127.0	196.16952919960022	3.6590965	1.8660164	8.996389	0.7209274	0.0	0.0
5	500.0	0.84042627	0.17406896	1.293501	0.31833872	96000	2.2351742e-08	0.15557721	-0.008507678	-0.061312426	1.3564423	0.008723811	0.0778125	127.0	228.07603430747986	3.7201257	1.9328638	8.100857	0.75384194	0.0	0.0
6	500.0	0.9215669	0.26261678	1.7015827	0.332471	112000	-7.450581e-09	0.14453806	-0.00985443	-0.049052432	1.3564423	0.008297391	0.090375006	127.0	259.34724259376526	4.3049335	1.9486356	9.4983835	1.4115037	0.0	0.0
7	500.0	1.1607974	0.4425823	2.2228293	0.081507415	128000	-3.7252903e-08	0.95101964	-0.0074861078	-0.6175344	1.3564423	0.006695713	0.074	127.0	294.99269700050354	8.126322	3.1513948	15.366178	2.5382187	0.0	0.0
8	500.0	2.1205006	0.76804936	3.6771622	0.017682105	144000	-4.0978193e-08	2.4576893	-0.009276264	-1.279288	1.3564423	0.0071749603	0.08325	127.0	331.93636441230774	13.250733	6.055874	27.259876	3.3466842	0.0	0.0
9	500.0	3.3568852	1.1873876	5.289247	-0.29255757	160000	7.450581e-09	2.3382454	-0.0104320515	-1.0130837	1.3564423	0.008137951	0.087	127.0	368.6270320415497	17.642282	6.0876226	28.96741	7.1929803	0.0	0.0
10	500.0	4.5529943	1.5349797	6.799943	-0.49118924	176000	0.0	2.5087454	-0.009181041	-0.6583172	1.3564423	0.0062910705	0.080375	127.0	405.1967844963074	22.066637	7.0655837	38.08034	9.211424	0.0	0.0
11	500.0	5.2847877	1.7721685	8.020664	-0.76128256	192000	-2.0489097e-08	2.138834	-0.010242181	-0.39106613	1.3564423	0.0072046216	0.070625	127.0	439.69934582710266	24.145128	5.342449	38.80651	13.690565	0.0	0.0
12	500.0	6.120206	1.7458899	8.479821	-0.5591874	208000	9.313226e-09	2.9799876	-0.008161394	-0.59408957	1.3564423	0.006156385	0.065312505	127.0	475.0216910839081	28.305984	6.4620433	39.039288	14.544556	0.0	0.0
13	500.0	6.859064	1.7034614	8.836539	-0.03481333	224000	1.8626451e-08	3.1494656	-0.008950688	-0.5956205	1.3564423	0.0061949324	0.07225	127.0	509.490567445755	26.131239	7.540226	44.82822	16.269728	0.0	0.0
14	500.0	6.500822	1.4661063	8.485202	0.45895007	240000	1.6763806e-08	2.674264	-0.008937634	-0.45337194	1.3564423	0.008183018	0.066687495	127.0	553.7286512851715	30.02412	6.8191295	47.15142	20.464699	0.0	0.0
15	500.0	6.932629	1.5450011	8.905891	0.44971344	256000	7.450581e-09	2.6620865	-0.009343494	-0.42948297	1.3564423	0.008452275	0.070625	127.0	603.5186762809753	32.041924	6.404638	50.67743	22.600096	0.0	0.0
16	500.0	7.537297	1.6217382	9.228993	0.20966956	272000	-2.9802322e-08	1.5655236	-0.008285904	-0.30225313	1.3564423	0.006080957	0.057312503	127.0	642.1843421459198	34.779083	4.686952	45.314644	22.065718	0.0	0.0
17	500.0	8.118959	1.6059916	9.698933	0.99662197	288000	1.4901161e-08	0.91011405	-0.009045884	-0.096910745	1.3564423	0.0064005814	0.06675	127.0	675.2929368019104	36.138336	4.1589746	43.344875	27.319986	0.0	0.0
18	500.0	8.363888	1.6722031	10.105533	0.80233735	304000	9.313226e-09	1.1257132	-0.010268524	-0.11655697	1.3564423	0.0071255774	0.0791875	127.0	709.2598695755005	36.281593	5.322578	46.07131	23.06532	0.0	0.0
19	500.0	8.540689	1.6327138	10.500782	0.65754944	320000	-3.7252903e-09	1.2850237	-0.010789473	-0.085726835	1.3564423	0.006368243	0.0760625	127.0	746.241236448288	36.340683	5.0055737	45.41656	23.292803	0.0	0.0
20	500.0	8.184421	1.7226949	10.098947	0.9648549	336000	0.0	1.6736538	-0.008677276	-0.28324923	1.3564423	0.0062879026	0.060687497	127.0	782.4289541244507	35.246704	4.2247877	43.867706	26.365602	0.0	0.0
21	500.0	8.274545	1.4388467	10.133149	1.4920752	352000	2.6077032e-08	2.272736	-0.007310071	-0.07506648	1.3564423	0.0070133	0.062124997	127.0	814.7045702934265	36.499527	6.674134	48.233463	21.121899	0.0	0.0
22	500.0	8.3001795	1.4651251	10.257255	1.5452188	368000	1.1175871e-08	1.9685152	-0.008375495	-0.1400133	1.3564423	0.006910635	0.062	127.0	848.9409277439117	36.857033	6.28302	47.353897	23.70824	0.0	0.0
23	500.0	8.391625	1.509622	10.245719	2.1492956	384000	-1.3038516e-08	1.7240875	-0.008750552	-0.37954056	1.3564423	0.008860989	0.06775001	127.0	886.4918994903564	38.72215	5.5296764	48.3096	22.946278	0.0	0.0
24	500.0	8.923517	1.6384352	10.4977665	1.4333755	400000	0.0	2.4813385	-0.008784596	-0.38348135	1.3564423	0.0060793795	0.06375	127.0	920.210946559906	37.740456	6.478543	47.333	24.246355	0.0	0.0
25	500.0	8.687012	1.491272	10.213294	2.1727083	416000	1.3038516e-08	2.48916	-0.0070484253	-0.33730274	1.3564423	0.0053484943	0.05725	127.0	954.5725338459015	40.56621	6.4065776	53.33377	25.346924	0.0	0.0
26	500.0	9.173829	1.7687329	10.576684	1.1276664	432000	0.0	1.1108211	-0.00806899	-0.23095644	1.3564423	0.0063566333	0.0578125	127.0	991.3880236148834	41.777573	3.588143	49.391396	33.786583	0.0	0.0
27	500.0	9.62266	1.7196366	10.980857	1.435746	448000	-3.7252903e-08	2.9385622	-0.007808765	-0.44854122	1.3564423	0.007410825	0.0599375	127.0	1029.1313920021057	39.111103	7.0492067	50.837124	21.634724	0.0	0.0
28	500.0	9.215061	1.6465172	10.748624	2.4092178	464000	-1.8626451e-09	1.6160138	-0.008569367	-0.2612134	1.3564423	0.0073601697	0.0648125	127.0	1065.1505970954895	40.32218	5.628079	50.327164	23.273842	0.0	0.0
29	500.0	9.373898	1.7645646	10.856002	1.8511429	480000	0.0	2.1608272	-0.009823104	-0.22380169	1.3564423	0.0073185735	0.0645625	127.0	1101.2742812633514	40.071762	6.7054343	51.992146	26.77739	0.0	0.0
30	500.0	9.334757	1.6289407	10.91155	2.3665059	496000	-1.8626451e-08	2.4531379	-0.0073839473	-0.26031005	1.3564423	0.0068748565	0.062375	127.0	1134.82484292984	41.27035	7.339515	53.099766	24.411629	0.0	0.0
31	500.0	9.4305315	1.725928	11.322518	2.4794936	512000	3.3527613e-08	2.2804692	-0.009356001	-0.4358908	1.3564423	0.0063830805	0.0624375	127.0	1169.4650611877441	39.64846	7.030551	51.040188	25.08281	0.0	0.0
32	500.0	9.170058	2.0470548	11.617981	2.4658453	528000	-7.450581e-09	2.8356724	-0.00940597	-0.37899375	1.3564423	0.007933291	0.071499996	127.0	1203.822932958603	39.709568	7.8489976	49.89912	22.241331	0.0	0.0
33	500.0	9.605037	1.8707285	11.653235	3.0424786	544000	3.7252903e-09	2.5608685	-0.008687384	-0.37893355	1.3564423	0.0071496367	0.067499995	127.0	1239.242904663086	40.639565	8.0966215	52.542088	26.06751	0.0	0.0
34	500.0	9.593286	1.8490188	11.697799	3.1844687	560000	-1.4901161e-08	3.520679	-0.009267274	-0.56486726	1.3564423	0.006704386	0.063	127.0	1273.1200139522552	40.48108	9.177024	50.383575	19.57379	0.0	0.0
35	500.0	9.213897	1.8019508	11.598332	2.9348862	576000	2.9802322e-08	3.320177	-0.009091731	-0.41022897	1.3564423	0.006138483	0.0706875	127.0	1305.6681308746338	41.400574	8.351728	56.777752	21.619932	0.0	0.0
36	500.0	9.463617	1.9965084	11.976123	2.691376	592000	1.1175871e-08	1.4122713	-0.009565471	-0.23751286	1.3564423	0.0069064563	0.0715625	127.0	1342.0364456176758	42.04383	7.063986	49.07794	26.330593	0.0	0.0
37	500.0	9.956068	2.0667403	12.193795	2.7202814	608000	-7.450581e-09	3.2701812	-0.007834752	-0.39756697	1.3564423	0.00566251	0.051625	127.0	1378.7994236946106	42.48786	8.36049	54.769867	24.24652	0.0	0.0
38	500.0	9.843414	2.008003	12.072568	3.2232506	624000	1.4901161e-08	2.8355525	-0.0083593605	-0.5388838	1.3564423	0.005975508	0.0505625	127.0	1417.3756833076477	40.001938	7.4674454	52.220646	24.854305	0.0	0.0
39	500.0	9.451007	1.990067	11.580366	3.092387	640000	-5.2154064e-08	4.966796	-0.009461628	-1.6784958	1.3564423	0.0075365873	0.066625	127.0	1452.3881356716156	43.58505	10.879416	73.572495	14.294991	0.0	0.0
40	500.0	10.081	2.542604	13.5290575	-0.32996553	656000	-7.450581e-09	2.7331524	-0.010979017	-0.42721283	1.3564423	0.0056782435	0.073625	127.0	1486.195859670639	42.63263	8.856321	68.009605	22.23853	0.0	0.0
41	500.0	10.434691	2.1753209	13.143829	3.2558799	672000	7.450581e-09	7.033383	-0.008502612	-0.41264233	1.3564423	0.008405963	0.086875	127.0	1522.858538389206	46.854145	12.447115	86.100075	23.093277	0.0	0.0
42	500.0	10.500893	2.320308	13.910782	3.2191083	688000	-1.4901161e-08	3.924755	-0.010095737	-2.0502515	1.3564423	0.0064717736	0.0688125	127.0	1561.3753094673157	40.9684	7.4385314	54.71521	21.156223	0.0	0.0
43	500.0	9.705779	2.1073308	12.270291	2.855513	704000	0.0	3.5552404	-0.008619849	-0.6481421	1.3564423	0.0059946207	0.076124996	127.0	1597.1918497085571	41.659096	8.210989	80.02365	30.331545	0.0	0.0
44	500.0	9.834846	2.207252	12.486351	2.594735	720000	1.1175871e-08	1.1522083	-0.007372545	-0.18747443	1.3564423	0.007249305	0.0534375	127.0	1637.4114151000977	40.799973	4.446148	51.976063	28.920883	0.0	0.0
45	500.0	9.409221	2.2753108	12.431313	1.8907319	736000	2.2351742e-08	6.51856	-0.007772047	-0.66440696	1.3564423	0.0096261855	0.076749995	127.0	1674.6652202606201	41.632732	13.41497	101.464066	14.264539	0.0	0.0
46	500.0	10.097631	2.1426458	13.373375	2.4131942	752000	1.6763806e-08	5.0768986	-0.00799766	-0.21406943	1.3564423	0.007201895	0.063875	127.0	1709.1690287590027	42.938076	10.491907	97.61292	31.357729	0.0	0.0
47	500.0	9.875293	2.095266	12.387784	2.7137156	768000	-1.8626451e-09	2.4956272	-0.0071089007	-0.31131086	1.3564423	0.004135274	0.054250002	127.0	1742.22021150589	42.775627	7.3381934	78.34358	33.298496	0.0	0.0
48	500.0	9.908994	1.9436307	12.207787	2.7625172	784000	-1.1175871e-08	0.34177148	-0.009861561	-0.055523444	1.3564423	0.008889273	0.081	127.0	1775.8414256572723	42.91624	2.892765	48.294	34.246582	0.0	0.0
49	500.0	10.081629	1.9215766	12.087651	2.90403	800000	-1.4901161e-08	4.671993	-0.008604678	-0.9080826	1.3564423	0.009405234	0.0963125	127.0	1809.1651599407196	45.957615	10.80121	82.517426	28.19992	0.0	0.0
50	500.0	10.686779	2.2355084	14.387872	2.6768568	816000	-7.450581e-09	6.764148	-0.00928934	-1.1398697	1.3564423	0.010355415	0.092437506	127.0	1844.2471206188202	46.51087	13.080701	81.682724	22.78137	0.0	0.0
51	500.0	9.891182	2.3987186	14.661204	2.0165496	832000	0.0	3.6298342	-0.009146074	-1.6209443	1.3564423	0.0065294923	0.0690625	127.0	1880.9913702011108	40.297153	7.676589	51.42019	21.020353	0.0	0.0
52	500.0	9.566363	2.051131	12.971072	2.2244825	848000	1.4901161e-08	8.235992	-0.008879471	-1.7274777	1.3564423	0.0064827744	0.073875	127.0	1917.2184879779816	46.990406	12.912494	85.1431	25.900425	0.0	0.0
53	500.0	10.762774	2.4136603	14.715134	2.5328927	864000	1.4901161e-08	10.200404	-0.009626895	-2.6423507	1.3564423	0.008032678	0.0876875	127.0	1954.0765357017517	49.59732	14.725474	82.25537	23.95052	0.0	0.0
54	500.0	11.679777	3.1712427	17.072056	2.250076	880000	-1.1175871e-08	18.931728	-0.008096612	-4.0478845	1.3564423	0.0076808147	0.07625	127.0	1988.3227753639221	55.135147	22.470316	109.789955	28.78088	0.0	0.0
55	500.0	13.112439	3.8889623	19.795994	2.1914442	896000	1.8626451e-08	19.86443	-0.010228127	-3.765976	1.3564423	0.008930649	0.0929375	127.0	2022.0664291381836	50.520485	22.144463	105.385185	26.151041	0.0	0.0
56	500.0	11.699055	3.5822823	19.973948	2.3756087	912000	-2.9802322e-08	18.690334	-0.009149605	-3.8537238	1.3564423	0.0078525115	0.07718749	127.0	2084.209597826004	55.01493	22.827543	106.857925	32.199802	0.0	0.0
57	500.0	12.788865	4.069678	21.262354	3.0436442	928000	-2.0489097e-08	18.15221	-0.009086601	-3.7205305	1.3564423	0.0073949695	0.075875	127.0	2124.460161447525	48.4056	21.99414	110.031265	25.736336	0.0	0.0
58	500.0	12.078645	5.2505727	21.285995	-18.436377	944000	3.7252903e-09	20.803432	-0.009696709	-6.5818644	1.3564423	0.006635556	0.074062504	127.0	2162.883982896805	50.601692	26.163269	110.95577	24.530771	0.0	0.0
