Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.2036533	0.048215907	-0.14925529	-0.33147728	16000	-4.8428774e-08	0.03958571	-0.0057389596	-0.036946937	1.3564423	0.0057026064	0.0436875	127.0	36.06703805923462	0.16531625	0.10521943	0.5401051	0.03567807	0.0	0.0
1	500.0	-0.007941194	0.03725784	0.06046669	-0.106368415	32000	1.8626451e-08	0.002337469	-0.01187533	-0.0014761114	1.3564423	0.0077284975	0.1359375	127.0	71.60892915725708	0.25041634	0.16862069	0.59756064	0.06327046	0.0	0.0
2	500.0	0.05348687	0.021695865	0.09267639	-0.032569785	48000	4.284084e-08	0.0042072367	-0.009640038	-0.0013720049	1.3564423	0.0059038736	0.0890625	127.0	105.58544039726257	0.4937899	0.29158288	1.210528	0.07389326	0.0	0.0
3	500.0	0.09641209	0.02244146	0.1606502	0.016266406	64000	7.4505806e-08	0.0075013046	-0.010592021	-0.0032939329	1.3564423	0.007434139	0.0925625	127.0	137.73646354675293	0.77856886	0.36053157	1.6173745	0.17374068	0.0	0.0
4	500.0	0.17184561	0.023229415	0.2512196	0.07667408	80000	3.1664968e-08	0.009319392	-0.008343957	-0.0031748125	1.3564423	0.005256054	0.0701875	127.0	172.63687753677368	1.0110574	0.4374732	2.353773	0.41010967	0.0	0.0
5	500.0	0.21757896	0.025458276	0.31905532	0.13122046	96000	1.4901161e-08	0.011078869	-0.008672021	-0.003662664	1.3564423	0.007140251	0.0774375	127.0	205.92415976524353	1.1767069	0.49574265	2.6696694	0.39083862	0.0	0.0
6	500.0	0.27993795	0.052436247	0.47686318	0.14296082	112000	1.4901161e-08	0.02926753	-0.007844267	-0.015139774	1.3564423	0.007848833	0.0841875	127.0	240.13889455795288	1.6451356	0.78220993	4.0154595	0.54807866	0.0	0.0
7	500.0	0.40461093	0.12542774	0.8501273	0.15319563	128000	0.0	0.025159301	-0.010178668	-0.010752172	1.3564423	0.0074911597	0.0891875	127.0	275.88909554481506	2.0638616	0.8176655	4.1960263	0.9023872	0.0	0.0
8	500.0	0.548803	0.1993508	1.2725426	0.14969158	144000	-3.7252903e-09	0.0756455	-0.0072362027	-0.034414	1.3564423	0.008349817	0.08962499	127.0	325.06392192840576	2.4837556	1.4402357	7.3186417	0.9331112	0.0	0.0
9	500.0	0.6467764	0.30916783	1.7254488	-0.02145838	160000	0.0	0.09005672	-0.008464459	-0.030359458	1.3564423	0.0077914377	0.101375	127.0	381.41477847099304	2.984291	1.7320442	9.638408	0.68747747	0.0	0.0
10	500.0	0.9874414	0.5400525	2.426423	-0.10462354	176000	-9.313226e-09	0.1383605	-0.008526703	-0.045396917	1.3564423	0.0064967936	0.081125006	127.0	414.6640772819519	4.4321632	2.1817372	10.6238785	1.6536287	0.0	0.0
11	500.0	1.0016625	0.5468709	2.8731792	-0.0095485225	192000	1.6763806e-08	0.090690896	-0.009578548	-0.021011187	1.3564423	0.007717544	0.086812496	127.0	449.6936688423157	3.888997	1.3927015	8.786542	1.8056067	0.0	0.0
12	500.0	1.0873144	0.51303875	2.7197838	0.12510513	208000	7.450581e-09	0.4310101	-0.005332151	-0.13043	1.3564423	0.0070616826	0.0725625	127.0	484.51181983947754	4.7916937	3.7836187	18.41769	1.8924243	0.0	0.0
13	500.0	1.8348954	0.988613	4.199052	-0.03416433	224000	1.1175871e-08	1.9507864	-0.0073701497	-0.49299824	1.3564423	0.0060331803	0.0733125	127.0	517.7284517288208	9.187075	7.3809447	38.433964	2.7491152	0.0	0.0
14	500.0	2.686101	1.1448965	5.095247	-0.7469539	240000	0.0	2.6920476	-0.006020689	-0.7288029	1.3564423	0.0065074502	0.0628125	127.0	554.3425211906433	12.186472	7.9927783	39.92998	0.8937344	0.0	0.0
15	500.0	3.2790403	1.697261	6.264516	-1.7905563	256000	-3.7252903e-09	0.8070828	-0.008655546	-0.31290114	1.3564423	0.007107874	0.07206249	127.0	592.110748052597	11.489028	5.839571	20.513313	2.612351	0.0	0.0
16	500.0	3.1320007	1.7732983	6.60361	-2.0004692	272000	-1.3969839e-09	0.7565247	-0.008438429	-0.2785139	1.3564423	0.005855851	0.078375	127.0	629.2124273777008	10.788038	5.542718	21.089687	2.6678097	0.0	0.0
17	500.0	3.3412774	1.4949241	6.0772743	-1.2180599	288000	2.9802322e-08	0.50626934	-0.0071103945	-0.15054098	1.3564423	0.007116043	0.057625	127.0	667.0134198665619	11.697867	5.5039725	22.303427	2.2245803	0.0	0.0
18	500.0	3.3883111	1.5897245	6.2004414	-1.2601751	304000	-1.4901161e-08	0.7866176	-0.0069991895	-0.22267677	1.3564423	0.0048790295	0.0570625	127.0	703.7504217624664	12.051221	4.838676	22.172388	4.5914955	0.0	0.0
19	500.0	3.0910428	1.15641	5.092992	-0.85762894	320000	-1.4901161e-08	0.6551567	-0.008191785	-0.1987206	1.3564423	0.0067749145	0.076625004	127.0	738.6462965011597	13.859122	5.038733	26.253614	5.028281	0.0	0.0
20	500.0	3.5078864	1.5155321	7.14749	-1.4212257	336000	-1.21071935e-08	0.78081626	-0.0071069426	-0.25211155	1.3564423	0.005509617	0.055562504	127.0	774.4645049571991	16.58825	6.355551	30.694433	4.945322	0.0	0.0
21	500.0	3.5669024	1.5542457	6.7932444	-1.4603221	352000	-1.4901161e-08	0.7126087	-0.009367734	-0.15884745	1.3564423	0.0077850614	0.0738125	127.0	810.739545583725	14.685879	5.796146	24.204096	1.7969781	0.0	0.0
22	500.0	3.9801283	1.6965139	7.6137595	-1.6692195	368000	-1.3038516e-08	0.8634238	-0.0077104066	-0.23492241	1.3564423	0.005069065	0.056874998	127.0	846.6691052913666	17.084686	4.8660903	25.721512	7.228147	0.0	0.0
23	500.0	4.6235557	1.6712972	7.123818	-1.264387	384000	1.1175871e-08	0.6609363	-0.007991937	-0.23697636	1.3564423	0.0077080643	0.0555	127.0	882.113429069519	20.328728	4.288444	26.329853	9.342978	0.0	0.0
24	500.0	4.7811394	1.8602089	8.026472	-1.182733	400000	7.450581e-09	0.9396645	-0.0078178095	-0.111540176	1.3564423	0.008575834	0.0644375	127.0	919.6015996932983	19.054811	6.212649	30.544888	1.74828	0.0	0.0
25	500.0	5.2510138	2.1744332	9.919643	-1.0823168	416000	-2.2351742e-08	4.171618	-0.006405114	-0.20853807	1.3564423	0.005061275	0.07475	127.0	953.7769300937653	20.972435	9.009859	61.37824	1.3513234	0.0	0.0
26	500.0	5.5701747	2.072546	9.028953	-0.96585584	432000	-1.1175871e-08	1.3440515	-0.007844004	-0.40066862	1.3564423	0.007414493	0.064625	127.0	989.3435070514679	20.596066	5.2858353	34.16686	4.189497	0.0	0.0
27	500.0	5.2280245	2.130902	8.325134	-0.58417726	448000	3.7252903e-09	2.2012262	-0.0059981365	-0.35867596	1.3564423	0.0061916867	0.0454375	127.0	1026.1087718009949	19.181444	7.770314	45.84149	1.3148232	0.0	0.0
28	500.0	5.261428	1.884329	7.922401	-0.8484369	464000	-7.450581e-09	1.1492369	-0.008122092	-0.19972074	1.3564423	0.0062807975	0.066125	127.0	1062.3252444267273	20.086393	4.9904747	28.057877	2.6616886	0.0	0.0
29	500.0	5.3640456	1.7180593	7.3869276	-0.7280349	480000	-7.450581e-09	4.8677754	-0.0073632956	-0.22456041	1.3564423	0.0066101905	0.068124995	127.0	1098.0649342536926	23.328327	8.443826	66.58896	14.067009	0.0	0.0
30	500.0	5.5076556	1.9213105	7.5376167	-0.49720457	496000	-7.450581e-09	5.8993783	-0.0061894488	-0.25293308	1.3564423	0.005843411	0.064375	127.0	1133.2458503246307	22.68842	10.407217	65.44887	0.86631477	0.0	0.0
31	500.0	5.8080306	1.9714875	7.711615	-0.36179745	512000	-2.2351742e-08	11.372347	-0.00647623	-0.823666	1.3564423	0.006360135	0.0564375	127.0	1166.745697259903	23.638006	14.146105	81.043465	1.6896392	0.0	0.0
32	500.0	5.7696037	1.9999764	7.9586277	0.07873741	528000	-1.7695129e-08	5.934562	-0.0076473947	-0.49130628	1.3564423	0.0069264285	0.0771875	127.0	1204.3847272396088	22.574776	10.413563	77.2611	12.196065	0.0	0.0
33	500.0	5.591047	1.8017495	7.2129335	0.008017473	544000	-1.4901161e-08	4.599745	-0.005661878	-0.16453363	1.3564423	0.0066545242	0.0535	127.0	1239.1775982379913	22.816277	8.966728	68.25604	13.563669	0.0	0.0
34	500.0	5.4249845	1.9340018	7.315681	0.29920444	560000	0.0	9.893635	-0.008094467	-0.7760049	1.3564423	0.0051870914	0.05825	127.0	1273.8401432037354	25.009163	14.5145035	75.783554	0.48062554	0.0	0.0
35	500.0	5.926616	2.212578	8.34286	0.04893406	576000	-3.7252903e-09	7.0818934	-0.0069365306	-1.4580656	1.3564423	0.006502924	0.0584375	127.0	1309.2720675468445	23.966324	12.582703	82.38221	3.8252478	0.0	0.0
36	500.0	6.2791357	2.5776	9.964954	-2.9224393	592000	1.4901161e-08	11.253615	-0.009067353	-0.55550635	1.3564423	0.006603087	0.088625	127.0	1345.8203904628754	25.107359	15.765902	79.37063	1.3890432	0.0	0.0
37	500.0	6.595087	2.516295	9.825966	-0.5059914	608000	0.0	12.232093	-0.00898283	-0.76665866	1.3564423	0.008444438	0.0915	127.0	1384.300056695938	26.598703	16.064428	78.73248	1.2088367	0.0	0.0
38	500.0	6.827246	2.6186988	9.979205	-1.570826	624000	1.4901161e-08	17.356834	-0.008115892	-2.3084228	1.3564423	0.0057598604	0.0695	127.0	1422.2482590675354	27.214287	19.470657	88.410835	1.1695365	0.0	0.0
39	500.0	6.469969	2.6534102	11.315286	-2.0260699	640000	-2.9802322e-08	6.7893295	-0.008525265	-1.2821628	1.3564423	0.006053227	0.0785625	127.0	1459.0027782917023	25.079762	12.503778	54.99228	0.41271764	0.0	0.0
40	500.0	5.663116	2.9162145	11.437236	-1.5289836	656000	-3.7252903e-09	12.612181	-0.00941918	-2.6001222	1.3564423	0.007159161	0.0801875	127.0	1493.7019441127777	24.685934	17.58839	83.00455	0.7638159	0.0	0.0
41	500.0	6.828697	2.7437186	12.910415	0.35001385	672000	2.2351742e-08	17.333437	-0.008763235	-3.8708425	1.3564423	0.007437378	0.10456249	127.0	1529.205914735794	33.430305	17.476826	75.12564	13.540801	0.0	0.0
42	500.0	7.576241	3.3915398	14.295219	-0.32067442	688000	1.4901161e-08	10.164574	-0.0082480665	-2.0764077	1.3564423	0.0067539797	0.0690625	127.0	1565.1393444538116	26.040497	15.0869665	76.08601	0.9902888	0.0	0.0
43	500.0	6.7951818	2.8764617	13.760964	-1.041986	704000	0.0	10.445501	-0.007831136	-1.5047002	1.3564423	0.0073192585	0.07175	127.0	1601.5355758666992	26.953438	14.641696	70.786964	1.0628315	0.0	0.0
44	500.0	5.9765477	2.9316227	13.552276	-3.6213617	720000	0.0	8.229007	-0.009435896	-1.7284214	1.3564423	0.007485305	0.0841875	127.0	1635.9423098564148	24.537426	11.842542	58.18148	1.1843328	0.0	0.0
45	500.0	6.6980314	2.8492541	13.819802	1.2128688	736000	1.6763806e-08	4.495303	-0.010591171	-1.018853	1.3564423	0.008910999	0.07875	127.0	1670.1883866786957	23.970509	7.9827447	56.846233	10.914729	0.0	0.0
46	500.0	5.60216	2.906527	13.377888	-0.306796	752000	7.450581e-09	24.518269	-0.008664849	-7.0311985	1.3564423	0.0089672785	0.078	127.0	1703.9307565689087	31.44648	23.14045	84.969795	1.140999	0.0	0.0
47	500.0	8.043305	3.8066125	15.733236	-0.31576133	768000	0.0	11.23664	-0.008509403	-1.8356929	1.3564423	0.006145589	0.071812496	127.0	1740.733386039734	28.896042	16.471745	90.07023	0.82014567	0.0	0.0
48	500.0	7.6148276	4.0725255	16.878492	-0.5843195	784000	3.7252903e-09	19.588543	-0.009185751	-2.43316	1.3564423	0.009144529	0.0975625	127.0	1780.0136494636536	33.100124	21.324135	86.81522	0.94703627	0.0	0.0
49	500.0	8.386182	4.4766965	17.339745	-0.015721329	800000	7.450581e-09	17.549988	-0.008787756	-2.4150858	1.3564423	0.008939787	0.082375005	127.0	1847.919338464737	33.45497	20.88678	78.156044	0.80558884	0.0	0.0
50	500.0	7.994991	4.5158033	18.079527	-0.0151930675	816000	-1.6763806e-08	14.802492	-0.009815388	-2.7068276	1.3564423	0.007259845	0.088375	127.0	1887.2969918251038	28.26855	18.939219	78.8974	0.66427827	0.0	0.0
51	500.0	8.284382	4.6294503	17.349785	-2.2146132	832000	2.4214387e-08	19.92512	-0.008845538	-4.2254953	1.3564423	0.008524167	0.093812495	127.0	1926.9822535514832	37.619053	23.112724	85.861465	0.9477963	0.0	0.0
52	500.0	9.973426	5.180618	20.277864	0.43937445	848000	3.7252903e-09	20.314602	-0.008954993	-3.8282847	1.3564423	0.006825888	0.0748125	127.0	1966.0816977024078	36.636307	22.531351	86.18814	0.6392844	0.0	0.0
53	500.0	9.971771	5.3611	21.586973	0.1877361	864000	-3.7252903e-09	27.13208	-0.009900348	-6.057369	1.3564423	0.0096553	0.0885	127.0	2004.541509628296	44.25376	25.615984	95.3437	0.83535355	0.0	0.0
54	500.0	11.115721	6.0111117	23.630358	0.73849744	880000	0.0	24.630203	-0.008747185	-7.156423	1.3564423	0.006009279	0.069749996	127.0	2043.091276884079	36.557304	25.376934	95.08638	0.7876103	0.0	0.0
55	500.0	9.174764	5.814039	24.056887	0.359255	896000	1.1175871e-08	19.975515	-0.009393714	-3.0633373	1.3564423	0.006816648	0.077250004	127.0	2079.8999729156494	33.387535	25.825672	83.59468	0.8889135	0.0	0.0
56	500.0	10.437316	6.430473	24.017242	-0.07911822	912000	-1.3038516e-08	24.790024	-0.009340216	-3.3659067	1.3564423	0.007429895	0.079125	127.0	2117.8306427001953	40.75939	26.769085	88.11453	1.9438555	0.0	0.0
57	500.0	9.842121	6.082743	24.783268	0.65488315	928000	2.2351742e-08	24.400585	-0.007849176	-8.741245	1.3564423	0.005507114	0.056812502	127.0	2152.8442203998566	28.549458	23.825312	87.11194	2.4115388	0.0	0.0
58	500.0	9.278373	6.0221977	25.880983	-0.67415273	944000	-3.7252903e-09	30.077145	-0.009082411	-5.24522	1.3564423	0.007193812	0.0734375	127.0	2187.6150448322296	37.222637	27.770628	95.58338	1.9924684	0.0	0.0
59	500.0	10.667695	7.0146117	26.453474	1.0775111	960000	1.8626451e-08	36.565914	-0.008733422	-10.650702	1.3564423	0.0064250603	0.059187498	127.0	2222.71328830719	47.727604	33.549572	96.24698	2.4380562	0.0	0.0
60	500.0	11.420506	7.774458	28.319736	0.53992146	976000	1.4901161e-08	28.265064	-0.008512483	-6.426371	1.3564423	0.0058263643	0.072125	127.0	2259.147725582123	35.72071	27.669212	94.118	2.7759142	0.0	0.0
61	500.0	10.947801	7.3271723	28.946796	0.32112682	992000	2.6077032e-08	27.293308	-0.009158675	-5.507666	1.3564423	0.0068351915	0.07425	127.0	2297.112344264984	42.809963	29.78419	93.66483	3.0335677	0.0	0.0
62	500.0	12.017834	7.89762	30.152111	0.64938617	1008000	3.7252903e-09	26.009315	-0.008989019	-4.4487677	1.3564423	0.008609358	0.0895625	127.0	2334.151713371277	46.18473	28.48806	96.47352	3.0602012	0.0	0.0
63	500.0	12.750332	8.713037	31.399164	-0.03055495	1024000	7.450581e-09	24.968994	-0.008943123	-4.199189	1.3564423	0.0065424247	0.0716875	127.0	2370.3812894821167	42.89135	28.354252	94.12575	2.3418648	0.0	0.0
64	500.0	13.065972	8.53073	31.642572	-10.715945	1040000	1.0244548e-08	23.706959	-0.009319713	-6.323368	1.3564423	0.0071277004	0.0786875	127.0	2405.209702730179	41.692062	28.415215	96.81413	3.5246127	0.0	0.0
65	500.0	12.640681	8.155681	31.95475	0.2438098	1056000	7.450581e-09	25.300861	-0.010213846	-4.6210384	1.3564423	0.007942872	0.080312505	127.0	2441.570327281952	43.163147	27.137762	93.82678	1.919775	0.0	0.0
66	500.0	11.901829	8.161212	32.214607	-0.33554184	1072000	8.381903e-09	30.677929	-0.009137752	-7.067918	1.3564423	0.009165097	0.089375004	127.0	2476.8881709575653	43.06881	29.295048	95.12793	2.466376	0.0	0.0
67	500.0	11.921479	8.158684	32.0209	-3.7589533	1088000	-1.1175871e-08	26.902231	-0.008754604	-4.48329	1.3564423	0.006544941	0.0776875	127.0	2512.6526761054993	45.537117	31.638435	98.36511	16.3033	0.0	0.0
68	500.0	12.064818	8.740476	33.628147	-14.048063	1104000	-9.313226e-09	27.884941	-0.009294045	-3.4904583	1.3564423	0.007710809	0.07625	127.0	2548.7341792583466	41.569862	28.346891	98.403625	2.670949	0.0	0.0
69	500.0	12.90388	8.976003	33.737022	-3.8710716	1120000	-1.9557774e-08	34.816982	-0.008503385	-6.1039696	1.3564423	0.006615025	0.07175	127.0	2585.3488807678223	50.606842	30.783628	102.285355	7.2681074	0.0	0.0
70	500.0	13.086103	8.802128	33.731228	-2.9376383	1136000	1.4901161e-08	22.519222	-0.010343144	-4.805636	1.3564423	0.0069371467	0.0774375	127.0	2621.2829921245575	47.334846	29.92707	101.029015	18.508326	0.0	0.0
71	500.0	13.1306505	9.112486	34.710052	-5.317667	1152000	7.450581e-09	25.369568	-0.008999307	-3.0198998	1.3564423	0.0069288574	0.080625005	127.0	2657.2361178398132	50.065804	29.825268	102.57758	19.97797	0.0	0.0
72	500.0	12.742995	8.367248	34.42079	-16.134714	1168000	2.7939677e-09	32.417065	-0.010153802	-9.198849	1.3564423	0.008800482	0.0851875	127.0	2693.4180064201355	44.243813	29.84498	103.69649	19.003338	0.0	0.0
