Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18297061	0.047087945	-0.14422676	-0.3446108	16000	-6.146729e-08	0.04702712	-0.005626508	-0.041130878	1.3564423	0.0064218864	0.0570625	127.0	35.68141531944275	0.3434348	0.3388258	1.9111837	0.043331787	0.0	0.0
1	500.0	0.031673297	0.028673604	0.10034014	-0.058619402	32000	0.0	0.04146415	-0.0062348335	-0.01690479	1.3564423	0.004166268	0.05125	127.0	68.07701897621155	0.9249651	0.9034093	3.640224	0.1409152	0.0	0.0
2	500.0	0.18368062	0.040351126	0.29761642	0.0031487644	48000	-7.450581e-09	0.016121095	-0.008531437	-0.0027431636	1.3564423	0.006943679	0.0845	127.0	102.65125846862793	1.0052173	0.63417506	2.857793	0.13822322	0.0	0.0
3	500.0	0.21930481	0.03499268	0.3352054	0.11943674	64000	0.0	0.07784552	-0.008279274	-0.03502547	1.3564423	0.0077506853	0.079624996	127.0	137.32421016693115	1.9875634	1.1383375	6.2490563	0.24550107	0.0	0.0
4	500.0	0.46750116	0.07956318	0.70394874	0.2552684	80000	7.450581e-09	0.17194358	-0.0064019533	-0.06393873	1.3564423	0.004661256	0.0520625	127.0	168.6983983516693	3.2298608	1.7295434	7.7353663	0.8475362	0.0	0.0
5	500.0	0.69826156	0.10919469	0.98482645	0.37087998	96000	7.450581e-09	0.2038809	-0.0073061017	-0.08390391	1.3564423	0.006513418	0.061812498	127.0	201.99733662605286	4.0128546	2.0900013	10.159103	0.9883565	0.0	0.0
6	500.0	0.9997222	0.2393201	1.5522276	0.32048333	112000	-1.3038516e-08	0.20621072	-0.007945269	-0.0678939	1.3564423	0.0075182826	0.07975	127.0	238.44278573989868	4.8588495	2.3401647	12.844601	1.2952198	0.0	0.0
7	500.0	1.2772902	0.41200536	2.3344219	0.07613433	128000	1.1175871e-08	3.037643	-0.007662631	-1.128659	1.3564423	0.0077870563	0.08025	127.0	273.0601727962494	9.420061	7.053729	36.788418	1.7977548	0.0	0.0
8	500.0	2.485662	0.866118	4.473987	0.030023444	144000	-1.3038516e-08	1.9119166	-0.009440156	-1.153096	1.3564423	0.006900097	0.0865625	127.0	307.3940124511719	14.881678	3.9272692	21.353285	6.316354	0.0	0.0
9	500.0	3.6320364	1.309059	5.8121037	-0.004461702	160000	-1.8626451e-08	2.1102662	-0.009299604	-0.5750291	1.3564423	0.006901435	0.0891875	127.0	343.63547015190125	17.018482	7.239517	40.491062	5.6455126	0.0	0.0
10	500.0	4.671699	1.4484011	6.9819145	-0.1897169	176000	2.2351742e-08	2.9007576	-0.008930011	-0.5036671	1.3564423	0.006499256	0.08425	127.0	380.49057030677795	22.0922	6.443823	42.510715	9.916547	0.0	0.0
11	500.0	5.411152	1.5028747	7.4363565	-0.20490181	192000	1.1175871e-08	6.326637	-0.008160662	-0.7328414	1.3564423	0.008102806	0.07924999	127.0	415.78380703926086	25.781044	10.680836	57.205845	11.345194	0.0	0.0
12	500.0	6.187241	1.7041061	8.372095	-0.08667974	208000	-7.450581e-09	3.3175461	-0.007979481	-0.29610446	1.3564423	0.006922053	0.064375	127.0	451.7265205383301	25.605972	8.146543	51.89961	12.707197	0.0	0.0
13	500.0	6.360808	1.4359992	7.9070826	0.5059254	224000	0.0	10.328723	-0.0068584476	-1.3692899	1.3564423	0.0054294327	0.056562502	127.0	487.39763164520264	32.17298	14.53001	72.889465	18.190979	0.0	0.0
14	500.0	7.2645926	1.7056621	9.0769005	-0.45018953	240000	-2.0489097e-08	6.4182224	-0.008377813	-0.99098366	1.3564423	0.006666787	0.0515625	127.0	521.6751186847687	27.412895	10.820858	63.82138	13.935966	0.0	0.0
15	500.0	6.6273084	1.4614887	8.435282	0.41110736	256000	-2.2351742e-08	6.6603317	-0.007578873	-0.5986886	1.3564423	0.0077667055	0.0675625	127.0	559.8209075927734	31.002373	11.775147	64.05838	14.4709635	0.0	0.0
16	500.0	7.07122	1.4373628	9.178371	1.3248819	272000	-1.8626451e-08	11.86446	-0.0073511465	-1.8125963	1.3564423	0.0048916107	0.052874997	127.0	595.4672276973724	34.49712	16.943691	82.71664	19.06195	0.0	0.0
17	500.0	7.2576523	1.8634735	10.517503	-1.1023524	288000	-1.4901161e-08	12.41156	-0.0071500866	-1.6658534	1.3564423	0.0059589203	0.050875	127.0	630.8889954090118	35.928978	15.442755	79.32424	18.864504	0.0	0.0
18	500.0	8.168059	1.7862653	12.171739	-0.08723099	304000	2.9802322e-08	4.5862083	-0.00875678	-1.154639	1.3564423	0.0055686426	0.058624998	127.0	664.5526728630066	31.303846	8.52861	65.75295	15.064634	0.0	0.0
19	500.0	7.271201	1.6155981	10.66204	-0.79946846	320000	-1.4901161e-08	1.6945381	-0.008516538	-0.2579781	1.3564423	0.007137771	0.0643125	127.0	697.2860951423645	30.530481	5.715442	42.26728	20.924639	0.0	0.0
20	500.0	7.4194355	1.7023226	10.974011	0.76689357	336000	-1.3969839e-08	7.5783143	-0.0071476	-0.37442094	1.3564423	0.0076571214	0.062750004	127.0	735.3981323242188	32.63315	14.052038	86.595695	18.582472	0.0	0.0
21	500.0	7.4836583	1.6105773	11.00944	1.4254153	352000	0.0	6.004406	-0.008441707	-0.5276754	1.3564423	0.006957777	0.0588125	127.0	775.3783702850342	31.682354	12.528549	89.62856	16.614634	0.0	0.0
