Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.161227	0.03174481	-0.12857777	-0.32028687	16000	-7.450581e-09	0.038273	-0.0051464285	-0.03399729	1.3564423	0.005738642	0.0409375	127.0	35.27455520629883	0.358067	0.29622138	1.5479664	0.07811387	0.0	0.0
1	500.0	0.029834148	0.033047657	0.09485948	-0.08483565	32000	4.0978193e-08	0.02927854	-0.0082794195	-0.012612216	1.3564423	0.0046140198	0.076000005	127.0	67.52433252334595	0.81307703	0.79909086	2.8369446	0.066752546	0.0	0.0
2	500.0	0.19954422	0.063164726	0.37880042	-0.009346701	48000	-2.6077032e-08	0.19331956	-0.008349823	-0.06471469	1.3564423	0.0073065837	0.0850625	127.0	101.57360672950745	2.2235281	1.9717498	6.5458736	0.21397384	0.0	0.0
3	500.0	0.5198677	0.113470286	0.919534	0.16735591	64000	-2.2351742e-08	0.27596048	-0.009930473	-0.07525594	1.3564423	0.008008467	0.0989375	127.0	133.92107915878296	3.424481	2.4241076	11.55564	0.5974602	0.0	0.0
4	500.0	0.9344636	0.21558422	1.5159378	0.3280081	80000	2.7939677e-08	0.963072	-0.0076215323	-0.37285334	1.3564423	0.004686406	0.073125005	127.0	171.06062030792236	6.73951	4.303709	22.432098	0.9146656	0.0	0.0
5	500.0	1.4416764	0.38308713	2.5849826	0.5211519	96000	-3.7252903e-08	3.1432927	-0.010108752	-1.6053649	1.3564423	0.0071428046	0.0829375	127.0	202.1243348121643	12.52989	6.104644	26.362333	1.4771582	0.0	0.0
6	500.0	2.9900353	0.5917395	4.383179	1.3036159	112000	-1.1175871e-08	1.5176138	-0.008729683	-0.26998246	1.3564423	0.006026269	0.076875	127.0	231.79203701019287	14.046133	4.76723	25.367146	3.8035698	0.0	0.0
7	500.0	3.516209	0.84742177	4.925752	0.8225521	128000	-1.3038516e-08	1.3645401	-0.010123685	-0.3516674	1.3564423	0.008013033	0.095125005	127.0	263.5123043060303	16.804604	4.0040956	25.558332	9.007475	0.0	0.0
8	500.0	4.2642884	1.0437957	5.9437194	0.50600696	144000	3.7252903e-09	1.4981837	-0.011111639	-0.18594696	1.3564423	0.008210555	0.0876875	127.0	294.3101472854614	19.64405	4.185845	29.392527	11.329889	0.0	0.0
9	500.0	4.71945	0.8798581	6.034053	1.330713	160000	-1.8626451e-08	2.5804968	-0.009520918	-0.5918444	1.3564423	0.0067108017	0.0709375	127.0	326.3713421821594	24.04382	5.836773	42.657463	13.331392	0.0	0.0
10	500.0	5.5854077	0.77348447	6.464655	2.199897	176000	2.561137e-08	1.5282521	-0.008271011	-0.27932328	1.3564423	0.006192513	0.0649375	127.0	358.7107241153717	22.483707	4.1046557	33.75806	14.440333	0.0	0.0
11	500.0	5.205188	0.5147137	5.776183	2.761741	192000	7.450581e-09	2.19039	-0.007649761	-0.32861972	1.3564423	0.0067317705	0.0640625	127.0	393.69028210639954	25.926834	5.2904625	38.88951	14.827583	0.0	0.0
12	500.0	5.7553325	0.62974954	6.339209	2.303054	208000	3.3527613e-08	2.7287362	-0.006946672	-0.40227532	1.3564423	0.006707865	0.055875	127.0	425.19803166389465	28.9623	6.191815	47.046356	18.843523	0.0	0.0
13	500.0	6.309247	0.5392861	6.7444797	2.8655891	224000	7.450581e-09	2.6969938	-0.00798427	-0.062507935	1.3564423	0.007371026	0.07125	127.0	474.9923288822174	28.580244	7.0131874	50.597313	17.233507	0.0	0.0
14	500.0	6.259825	0.40248215	6.5889864	3.2918165	240000	3.7252903e-08	3.467708	-0.008226254	-0.30560842	1.3564423	0.007366771	0.057625	127.0	516.8051400184631	31.674047	7.716684	50.84884	19.740152	0.0	0.0
15	500.0	6.7817082	0.43614802	7.0856457	3.4247448	256000	6.7055225e-08	3.6703258	-0.0077439505	-0.4465434	1.3564423	0.00706472	0.067999996	127.0	553.9022126197815	34.46845	7.8405776	51.28725	24.490162	0.0	0.0
16	500.0	7.3665395	0.5674387	7.7492576	3.0679517	272000	1.1175871e-08	4.8998365	-0.007457655	-0.5937471	1.3564423	0.006454685	0.061687507	127.0	586.5306522846222	37.6481	9.713898	51.88794	21.711584	0.0	0.0
17	500.0	8.048694	0.6259476	8.562096	3.554856	288000	-1.4901161e-08	4.236791	-0.007475615	-0.44856918	1.3564423	0.0053372136	0.049999997	127.0	619.9229907989502	39.799904	9.4374485	53.783524	25.282064	0.0	0.0
18	500.0	8.516154	0.6875553	9.043844	3.2717814	304000	-5.5879354e-08	4.4119415	-0.0066201612	-0.6077621	1.3564423	0.0043628374	0.0441875	127.0	653.2079966068268	42.834835	9.957249	54.562176	27.227247	0.0	0.0
19	500.0	9.144875	0.8041798	9.876436	3.8165681	320000	4.0978193e-08	4.1058292	-0.007247073	-0.46574748	1.3564423	0.0076518925	0.054687504	127.0	684.9973042011261	42.00687	9.941044	57.41036	25.055721	0.0	0.0
20	500.0	9.12327	0.9605555	10.369854	3.3437886	336000	-2.142042e-08	2.9203093	-0.0076780748	-0.42586443	1.3564423	0.005622044	0.0606875	127.0	716.5978183746338	43.294132	8.829616	57.15913	32.76803	0.0	0.0
21	500.0	9.254608	1.2411338	11.1081915	3.311993	352000	-7.450581e-09	2.546632	-0.00993629	-0.52457273	1.3564423	0.008921165	0.0833125	127.0	747.8636994361877	42.113247	8.613987	58.199818	31.445162	0.0	0.0
22	500.0	9.371609	1.4291261	12.016244	3.666641	368000	1.1175871e-08	3.0919914	-0.0096465135	-0.4370774	1.3564423	0.0080217	0.0775	127.0	779.7136726379395	42.427536	8.958227	57.765854	31.031265	0.0	0.0
23	500.0	9.209818	1.3321573	11.659622	4.193014	384000	5.5879354e-09	2.702364	-0.01035185	-0.85535204	1.3564423	0.009282634	0.08325	127.0	813.284520149231	43.117912	9.887571	59.15754	30.282415	0.0	0.0
24	500.0	9.531196	1.8243377	13.199458	2.6198778	400000	2.9802322e-08	3.6497378	-0.010632543	-0.52139443	1.3564423	0.009009443	0.0765625	127.0	847.2517242431641	41.868122	9.745047	58.21961	27.553465	0.0	0.0
25	500.0	9.02191	1.7019169	12.192195	1.0262977	416000	1.4901161e-08	2.5264359	-0.010352122	-0.52161384	1.3564423	0.0062932745	0.0793125	127.0	880.3554794788361	43.471344	10.265463	59.95802	31.881342	0.0	0.0
26	500.0	9.922252	1.8824881	13.332275	3.077591	432000	7.450581e-09	3.6229944	-0.01075995	-0.3808011	1.3564423	0.0077537	0.07825	127.0	913.9313523769379	45.525543	11.685074	75.68244	31.292608	0.0	0.0
27	500.0	10.104018	2.0685554	13.663441	2.66023	448000	1.1175871e-08	4.6088696	-0.010195227	-0.6390064	1.3564423	0.008853752	0.0854375	127.0	943.6207959651947	44.845726	11.096575	71.50912	32.05844	0.0	0.0
28	500.0	10.184158	2.5276997	13.335716	-9.266417	464000	-1.8626451e-09	7.5834723	-0.009948943	-0.84240246	1.3564423	0.008582307	0.082499996	127.0	997.5588908195496	50.444176	13.715963	87.85987	27.145748	0.0	0.0
29	500.0	10.496625	2.5206053	13.994911	-11.679994	480000	1.1175871e-08	6.714718	-0.01068656	-1.0749404	1.3564423	0.008185532	0.08275	127.0	1040.7998039722443	46.632153	12.566295	70.63197	26.408522	0.0	0.0
30	500.0	9.911649	2.9983943	13.485961	-12.887083	496000	7.450581e-09	10.194193	-0.010081799	-2.504867	1.3564423	0.0074669505	0.08075	127.0	1078.4213185310364	49.903122	18.068335	94.01697	30.447063	0.0	0.0
