Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20173945	0.048110638	-0.14762393	-0.32960856	16000	-1.6763806e-08	0.038439427	-0.005535211	-0.03590229	1.3564423	0.0060069184	0.046937503	127.0	181.22596430778503	0.15521221	0.10397475	0.53778845	0.040867187	0.0	0.0
1	500.0	-0.007340003	0.034989424	0.057413667	-0.10270177	32000	5.9604645e-08	0.0028113453	-0.012210779	-0.001684877	1.3564423	0.007252076	0.13075	127.0	351.3022382259369	0.2751682	0.1881777	0.62935555	0.060699157	0.0	0.0
2	500.0	0.057016276	0.023200784	0.097953	-0.033293597	48000	7.450581e-09	0.0024057506	-0.0100435065	-0.00059353263	1.3564423	0.006214139	0.085125	127.0	488.61013436317444	0.42795074	0.24060917	0.99111736	0.069555886	0.0	0.0
3	500.0	0.086035125	0.016990557	0.14175124	0.026614606	64000	2.2351742e-08	0.0070706913	-0.0101897335	-0.0038977296	1.3564423	0.007712621	0.0916875	127.0	649.1100387573242	0.7772577	0.29308727	1.5286795	0.16407578	0.0	0.0
4	500.0	0.16570969	0.015778502	0.22076559	0.10655553	80000	1.8626451e-08	0.012740663	-0.0074499613	-0.0045488654	1.3564423	0.0053799395	0.066375	127.0	774.4780378341675	1.0974112	0.44937217	2.7701564	0.39121658	0.0	0.0
5	500.0	0.23485956	0.02522777	0.32809338	0.16991332	96000	-4.4703484e-08	0.020920353	-0.006892899	-0.009871018	1.3564423	0.006964007	0.057625	127.0	939.2581129074097	1.4725933	0.5474087	2.9214396	0.69929653	0.0	0.0
6	500.0	0.34422126	0.07234252	0.5354788	0.19448514	112000	-3.7252903e-09	0.036563925	-0.0074561774	-0.016254142	1.3564423	0.007394023	0.0759375	127.0	1119.581952571869	1.9865894	0.72944397	3.4923015	0.44622165	0.0	0.0
7	500.0	0.5009406	0.15780072	0.8434161	0.15927422	128000	1.4901161e-08	0.090660155	-0.008069975	-0.048506234	1.3564423	0.006883481	0.082625	127.0	1279.5180230140686	2.8401456	1.1866795	6.8440485	1.3257926	0.0	0.0
8	500.0	0.72754925	0.27326837	1.4157013	0.119790874	144000	-3.7252903e-09	0.18509117	-0.0071115345	-0.09502183	1.3564423	0.00690249	0.0761875	127.0	1449.854104757309	4.22334	1.4577545	7.3539047	1.8209469	0.0	0.0
9	500.0	1.0953952	0.39893398	2.0368423	0.07894656	160000	-1.8626451e-08	0.19258678	-0.010276317	-0.07305909	1.3564423	0.008252984	0.1126875	127.0	1639.4700210094452	5.5015974	1.6230634	10.311524	3.644084	0.0	0.0
10	500.0	1.4944402	0.543739	2.843061	0.21171805	176000	0.0	0.20312056	-0.0074090017	-0.057673126	1.3564423	0.007053	0.0740625	127.0	1821.1104624271393	6.7037363	2.0727286	12.537414	4.284677	0.0	0.0
11	500.0	1.9393501	0.7045691	3.3727877	0.3373164	192000	-4.4703484e-08	0.5399091	-0.008693424	-0.20833907	1.3564423	0.0061595547	0.07450001	127.0	1997.449961423874	9.428104	2.7407243	16.628605	3.2959437	0.0	0.0
12	500.0	2.5325582	0.9921853	4.1633086	0.12167945	208000	-2.9802322e-08	1.6684152	-0.0066370945	-0.28939295	1.3564423	0.0057373196	0.069125	127.0	2181.9780328273773	11.138052	5.5109715	34.400246	3.8541467	0.0	0.0
13	500.0	3.0148833	1.3902833	5.3548155	0.1366104	224000	-3.3527613e-08	1.6502609	-0.007399559	-0.7113745	1.3564423	0.004542045	0.0651875	127.0	2359.038017272949	14.965977	4.9258757	31.052303	6.8159056	0.0	0.0
14	500.0	3.5748587	1.7031693	6.7732944	-0.0024561137	240000	-7.450581e-09	1.0626005	-0.009771434	-0.10131435	1.3564423	0.008315405	0.0909375	127.0	2526.585974931717	13.548562	5.2618575	28.692627	5.646023	0.0	0.0
15	500.0	4.364084	1.9384742	7.255351	0.48614144	256000	-7.450581e-09	1.1223562	-0.009957256	-0.08506705	1.3564423	0.008243725	0.1055	127.0	2716.041930913925	17.608532	3.911354	28.473858	10.613854	0.0	0.0
16	500.0	4.9020405	1.9918861	7.314574	0.66289675	272000	-2.6077032e-08	3.57275	-0.00662303	-0.40489057	1.3564423	0.006377859	0.07375	127.0	2881.3340454101562	21.551144	8.217163	51.145596	13.335348	0.0	0.0
17	500.0	5.587937	2.1184678	8.251756	0.8255815	288000	7.450581e-09	8.867854	-0.007680812	-1.0590681	1.3564423	0.0076406673	0.075124994	127.0	3051.70596075058	24.965374	13.10312	64.00966	13.009295	0.0	0.0
18	500.0	6.5020375	2.5420296	9.754663	0.10495302	304000	-1.4901161e-08	7.8949037	-0.0073194597	-0.25419444	1.3564423	0.0049208105	0.0511875	127.0	3256.321960926056	24.912954	12.442941	56.790108	10.9237175	0.0	0.0
19	500.0	6.508249	2.6659853	10.369307	0.58891463	320000	-3.7252903e-09	7.5989647	-0.0075241886	-2.0909882	1.3564423	0.0047941697	0.0574375	127.0	3432.429946422577	19.338736	9.675462	52.45378	4.2800508	0.0	0.0
20	500.0	5.6012235	2.2137501	8.589037	0.4714421	336000	-2.2351742e-08	11.575382	-0.007387532	-1.1953909	1.3564423	0.006876912	0.0693125	127.0	3620.418138027191	23.801922	14.942514	63.171703	8.958617	0.0	0.0
21	500.0	6.118884	2.3497095	9.597701	0.8193514	352000	1.4901161e-08	19.342243	-0.007434158	-1.8260741	1.3564423	0.009243421	0.093062505	127.0	3767.8779678344727	29.41748	17.894346	69.670425	10.156783	0.0	0.0
22	500.0	7.106596	2.5519633	10.867602	0.23642041	368000	-7.450581e-09	9.225957	-0.006961615	-0.71596193	1.3564423	0.007977655	0.062062502	127.0	3921.03794836998	25.931057	13.248936	72.90321	10.722753	0.0	0.0
23	500.0	6.6673856	2.5410352	11.183367	0.31993368	384000	2.2351742e-08	15.34016	-0.006703315	-2.100214	1.3564423	0.0058334637	0.052249998	127.0	4089.6299619674683	29.263939	18.561018	75.96679	5.9391737	0.0	0.0
24	500.0	7.6030254	3.1488764	13.480395	-0.22732896	400000	0.0	18.057938	-0.007966467	-1.7982297	1.3564423	0.0057896143	0.05925	127.0	4234.633958816528	27.7166	19.107826	77.40054	14.810325	0.0	0.0
25	500.0	7.2142816	3.0013022	13.24065	-0.53212446	416000	1.1175871e-08	19.011505	-0.0081689255	-1.9446437	1.3564423	0.00553367	0.0593125	127.0	4405.22595334053	30.84513	20.155983	81.328766	12.614165	0.0	0.0
26	500.0	7.1635656	3.356342	14.610728	-3.8843775	432000	3.7252903e-09	15.630817	-0.008082481	-2.0752375	1.3564423	0.0058362	0.060624998	127.0	4566.453938007355	29.558483	19.09724	77.943474	8.298056	0.0	0.0
27	500.0	7.764832	3.5212529	15.70484	-1.1513164	448000	2.2351742e-08	13.16936	-0.008046035	-1.9506061	1.3564423	0.0078468695	0.0741875	127.0	4750.793947219849	28.195024	16.782143	76.168976	14.946587	0.0	0.0
28	500.0	7.9599123	3.1590686	15.373094	0.23649335	464000	2.9802322e-08	8.680931	-0.009387216	-4.3991995	1.3564423	0.0069255745	0.0721875	127.0	4934.145969152451	23.69903	10.934907	75.21245	7.4383116	0.0	0.0
29	500.0	6.831555	3.0410478	13.256367	-0.27147755	480000	-1.4901161e-08	15.016672	-0.007876399	-2.5165448	1.3564423	0.0061092386	0.0655625	127.0	5106.818000793457	25.110485	18.051573	76.13543	3.3198137	0.0	0.0
30	500.0	6.680005	2.6919754	14.749697	0.33925328	496000	1.1175871e-08	11.271999	-0.007950271	-2.6694248	1.3564423	0.006024748	0.0610625	127.0	5288.978070259094	23.976093	15.8083105	64.717834	7.8932176	0.0	0.0
31	500.0	6.7038536	2.4608614	13.95924	-0.2010966	512000	1.3038516e-08	14.071483	-0.008229371	-2.3929567	1.3564423	0.006506717	0.07475	127.0	5499.037952423096	27.050293	17.795315	73.75685	9.240433	0.0	0.0
32	500.0	7.6326585	3.0516114	16.021852	-1.0880091	528000	1.8626451e-09	11.226109	-0.010627293	-2.7863736	1.3564423	0.008167382	0.091125	127.0	5685.270042896271	27.613422	15.881089	67.120735	9.997406	0.0	0.0
33	500.0	7.712556	3.4684174	16.631432	-10.007915	544000	-2.2351742e-08	23.394337	-0.0067906072	-3.024191	1.3564423	0.0067194053	0.055250004	127.0	5903.546015739441	32.38629	21.284597	79.35172	16.501299	0.0	0.0
34	500.0	8.849432	3.5211458	17.389687	-0.4264103	560000	1.8626451e-08	25.180332	-0.0085319495	-6.1981173	1.3564423	0.006487828	0.06875	127.0	6088.865976333618	33.783188	24.678259	92.90227	14.078325	0.0	0.0
35	500.0	7.74669	3.4978945	18.096281	-9.076604	576000	1.6763806e-08	16.93546	-0.008483748	-2.07442	1.3564423	0.0059066946	0.069749996	127.0	6259.049928188324	29.728687	19.213182	88.94779	16.862043	0.0	0.0
36	500.0	6.313346	3.1866739	18.487106	-4.682189	592000	0.0	9.057955	-0.009346984	-1.7786076	1.3564423	0.0065828874	0.07762501	127.0	6489.814115285873	25.888737	13.585115	87.739235	13.999839	0.0	0.0
37	500.0	7.5878797	3.491252	17.92317	-2.3806248	608000	-1.1175871e-08	13.707125	-0.007995863	-1.6174146	1.3564423	0.006631579	0.06925	127.0	6802.989951848984	30.063984	19.351835	86.903854	18.70795	0.0	0.0
38	500.0	7.8453074	3.9010544	19.570253	-3.5765874	624000	0.0	13.063114	-0.008958971	-1.8258542	1.3564423	0.0078040548	0.0735625	127.0	7234.893955230713	30.53798	19.195072	89.82758	18.353436	0.0	0.0
