Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20158145	0.04809962	-0.14762393	-0.32960856	16000	3.9115548e-08	0.038886715	-0.0056370273	-0.036284264	1.3564423	0.0059428033	0.046625	127.0	45.014479637145996	0.16485275	0.10483594	0.53778845	0.03553783	0.0	0.0
1	500.0	-0.007521923	0.035463914	0.060074598	-0.10258899	32000	-5.2154064e-08	0.0021955739	-0.011358889	-0.0013803149	1.3564423	0.007378458	0.127375	127.0	85.23251295089722	0.24402326	0.16217415	0.58446914	0.06386506	0.0	0.0
2	500.0	0.051954184	0.021438448	0.08967078	-0.032460973	48000	-4.0978193e-08	0.0038840524	-0.00953009	-0.0011594659	1.3564423	0.00631952	0.090625	127.0	126.91236877441406	0.4643827	0.286489	1.1999372	0.06261132	0.0	0.0
3	500.0	0.09236198	0.021130089	0.15379864	0.016093552	64000	1.4901161e-08	0.0065894825	-0.010662982	-0.0027916555	1.3564423	0.007680573	0.093187496	127.0	166.83228206634521	0.726272	0.34910017	1.5771464	0.1525602	0.0	0.0
4	500.0	0.15926842	0.021434126	0.23168805	0.06978514	80000	1.4901161e-08	0.009973181	-0.0086350385	-0.0037234644	1.3564423	0.005287487	0.071062505	127.0	207.36115026474	0.9884337	0.45103344	2.384644	0.27771243	0.0	0.0
5	500.0	0.21154906	0.027796242	0.31174436	0.107632786	96000	2.9802322e-08	0.010933744	-0.008894699	-0.003530316	1.3564423	0.0074849464	0.081875	127.0	248.75993061065674	1.1388273	0.49566585	2.6782744	0.40703917	0.0	0.0
6	500.0	0.27249035	0.055070534	0.46714032	0.13733625	112000	-7.450581e-09	0.028529964	-0.008130774	-0.015900407	1.3564423	0.008102762	0.0795	127.0	288.4637882709503	1.6717966	0.73776567	4.1212454	0.68700516	0.0	0.0
7	500.0	0.38694727	0.119527064	0.88851345	0.15383926	128000	-1.1175871e-08	0.04292517	-0.007943458	-0.017122943	1.3564423	0.007139312	0.08375	127.0	328.8776524066925	2.0864859	1.016737	6.1070223	0.9318567	0.0	0.0
8	500.0	0.5963055	0.24080713	1.3444253	0.13058227	144000	-1.21071935e-08	0.19273321	-0.0068298136	-0.11305688	1.3564423	0.008120755	0.07975	127.0	368.96559619903564	3.3232858	2.0718746	8.11742	1.0730304	0.0	0.0
9	500.0	0.7779121	0.4348845	2.1226027	-0.033254977	160000	7.450581e-09	0.09854382	-0.008966309	-0.0303001	1.3564423	0.0071536675	0.090187505	127.0	409.2897231578827	3.2410023	1.9975953	9.678315	0.67538863	0.0	0.0
10	500.0	1.1358228	0.65142477	2.6555574	-0.1295509	176000	1.8626451e-08	0.11919068	-0.008241333	-0.023179825	1.3564423	0.007195317	0.088375	127.0	447.6628797054291	4.688833	2.2888029	11.248793	1.6378268	0.0	0.0
11	500.0	1.2802677	0.66721195	3.195662	0.011658624	192000	1.4901161e-08	0.32804185	-0.009440923	-0.06781971	1.3564423	0.0070959697	0.0985	127.0	484.28561568260193	5.4311075	3.026209	18.197489	2.1696124	0.0	0.0
12	500.0	1.4385532	0.718104	3.9316418	-0.16335508	208000	2.6077032e-08	0.62170446	-0.006830551	-0.20463338	1.3564423	0.0066445693	0.0830625	127.0	522.079996585846	5.9151626	5.020513	22.418694	1.2966765	0.0	0.0
13	500.0	2.1432261	1.1551981	4.7779713	-0.17334601	224000	-2.2351742e-08	2.9549081	-0.0068157306	-0.74812853	1.3564423	0.0056087417	0.075125	127.0	561.7490091323853	9.920395	9.135822	47.682346	2.400394	0.0	0.0
14	500.0	3.1686318	1.4614244	6.3358374	-1.3414294	240000	1.4901161e-08	1.3256406	-0.00678493	-0.33965975	1.3564423	0.006027392	0.0559375	127.0	603.8963851928711	11.960556	6.7966385	29.266838	1.5233876	0.0	0.0
15	500.0	3.4838784	1.87708	7.027849	-2.022009	256000	1.4901161e-08	0.9862588	-0.0086361095	-0.36173785	1.3564423	0.0075200316	0.0715	127.0	642.8064291477203	12.540305	6.7146535	25.460089	2.114624	0.0	0.0
