Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.17843764	0.030864656	-0.14672196	-0.32762903	16000	9.126961e-08	0.050888814	-0.0056599965	-0.0436449	1.3564423	0.005888321	0.047125	127.0	35.48786735534668	0.43566656	0.40246025	1.9830885	0.060658872	0.0	0.0
1	500.0	0.033548936	0.027159935	0.09591233	-0.055682972	32000	2.2351742e-08	0.04747829	-0.0065429565	-0.022243707	1.3564423	0.004168573	0.050437503	127.0	66.8368513584137	1.1288166	0.93740773	3.789359	0.18218488	0.0	0.0
2	500.0	0.19494213	0.045203388	0.3240997	0.035372317	48000	-2.7939677e-08	0.06300878	-0.008025538	-0.015327872	1.3564423	0.0075316774	0.082875	127.0	97.76861882209778	1.4914623	1.1483306	4.8315215	0.22809044	0.0	0.0
3	500.0	0.3297026	0.058702987	0.55326045	0.12426816	64000	7.450581e-09	0.16608244	-0.0102820285	-0.06629308	1.3564423	0.008877097	0.103562504	127.0	129.89551496505737	2.7862859	1.6750047	7.5578675	0.28180557	0.0	0.0
4	500.0	0.6532974	0.14086485	1.0661306	0.3277274	80000	-2.2351742e-08	0.6953046	-0.0064464062	-0.28696376	1.3564423	0.0033564689	0.046437502	127.0	160.83192086219788	5.683911	3.1873934	14.352082	1.4249892	0.0	0.0
5	500.0	1.1792071	0.17980155	1.7769347	0.6464871	96000	-2.2351742e-08	1.6447238	-0.007270392	-0.66991794	1.3564423	0.005766921	0.059249997	127.0	192.82669496536255	8.903217	4.987119	22.52789	2.930267	0.0	0.0
6	500.0	2.1278477	0.44413677	3.1601772	0.9012591	112000	1.6763806e-08	1.9966784	-0.00875842	-0.90771866	1.3564423	0.006053159	0.07225	127.0	225.05089831352234	13.2369995	5.062737	24.758131	5.9381003	0.0	0.0
7	500.0	3.158606	0.874489	4.6376047	0.43235028	128000	-1.4901161e-08	1.5737104	-0.009268193	-0.2693658	1.3564423	0.0073941555	0.0846875	127.0	256.94392108917236	15.110695	5.5061407	26.446718	5.4341073	0.0	0.0
8	500.0	3.8279347	0.9706522	5.3441644	0.7786493	144000	-2.4214387e-08	2.2235441	-0.010772094	-0.98431885	1.3564423	0.0067758127	0.088625	127.0	290.8069291114807	20.963615	4.176315	32.4352	14.878064	0.0	0.0
9	500.0	4.86543	1.0574077	6.346867	0.8956114	160000	1.4901161e-08	2.247635	-0.010889264	-0.47261068	1.3564423	0.008143847	0.0955625	127.0	325.590101480484	24.064186	4.9472127	33.960953	14.981508	0.0	0.0
