Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18624766	0.022497954	-0.1576039	-0.31240946	16000	7.8231096e-08	0.031790465	-0.0052089174	-0.030211043	1.3564423	0.005982437	0.0534375	127.0	37.69946575164795	0.15051168	0.10221484	0.49256495	0.047044296	0.0	0.0
1	500.0	-0.008336222	0.025245605	0.045815744	-0.08582774	32000	0.0	0.0033162953	-0.010563222	-0.002147626	1.3564423	0.0064606275	0.1090625	127.0	74.48477435112	0.31797913	0.21893032	0.9152533	0.067996845	0.0	0.0
2	500.0	0.061201088	0.025191946	0.11904738	-0.025559649	48000	-2.2351742e-08	0.00587974	-0.010755774	-0.0023710986	1.3564423	0.008147814	0.103625	127.0	106.39177179336548	0.5979124	0.3435308	1.5205863	0.1331552	0.0	0.0
3	500.0	0.13030207	0.022715826	0.19357255	0.04098686	64000	-4.0978193e-08	0.0104595125	-0.010616983	-0.0049097016	1.3564423	0.0076624686	0.093687505	127.0	138.30004024505615	0.99790347	0.37932557	1.745921	0.2634641	0.0	0.0
4	500.0	0.20525965	0.026010025	0.26229084	0.0919034	80000	3.7252903e-09	0.031147422	-0.007652183	-0.014746558	1.3564423	0.0041536526	0.0649375	127.0	170.0575349330902	1.6225717	0.56548935	3.3541553	0.59887916	0.0	0.0
5	500.0	0.33361512	0.040836707	0.47324842	0.20673914	96000	3.7252903e-08	0.08003442	-0.006625608	-0.044874236	1.3564423	0.0059747137	0.063375	127.0	204.68067383766174	2.4790137	0.78861624	4.0526476	1.2084283	0.0	0.0
6	500.0	0.5553786	0.12815589	0.83377814	0.2315333	112000	1.8626451e-08	0.117416814	-0.0065162545	-0.04946115	1.3564423	0.006461027	0.063999996	127.0	236.82840132713318	3.0890584	1.2815733	6.8264194	0.8471079	0.0	0.0
7	500.0	0.76786876	0.2750977	1.3762845	0.11270867	128000	-2.2351742e-08	1.0682156	-0.005511567	-0.42958567	1.3564423	0.006584176	0.058624998	127.0	271.1252920627594	5.2961946	4.092558	20.47779	1.6482267	0.0	0.0
8	500.0	1.4448144	0.6999505	3.0535681	-0.065054856	144000	-7.450581e-09	1.4380906	-0.0075357063	-0.8432426	1.3564423	0.008095072	0.07075	127.0	302.24494433403015	9.150742	3.736907	15.628801	1.1487937	0.0	0.0
9	500.0	2.5041795	1.2522479	4.7052164	-0.0017456226	160000	1.8626451e-08	2.4765813	-0.008272689	-1.0832832	1.3564423	0.006911854	0.0836875	127.0	337.66474628448486	13.744425	5.8159523	25.06933	3.8602688	0.0	0.0
10	500.0	3.571877	1.8483888	6.647066	-0.073565796	176000	0.0	0.6266017	-0.010798315	-0.04741865	1.3564423	0.008196363	0.097125	127.0	369.8101999759674	13.015237	3.5781436	19.180937	1.594394	0.0	0.0
11	500.0	4.05724	1.891252	6.69307	0.15652424	192000	0.0	2.74116	-0.0086025875	-0.7091779	1.3564423	0.0060181506	0.075375	127.0	404.6349754333496	18.913025	5.9105887	34.008797	8.951167	0.0	0.0
12	500.0	5.0427313	1.8779342	7.1878095	0.24242835	208000	0.0	2.580522	-0.00789668	-0.117964014	1.3564423	0.0064922906	0.085062504	127.0	443.06237506866455	20.129581	7.274763	39.74958	10.84946	0.0	0.0
