Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.18607098	0.022560664	-0.15927616	-0.31290722	16000	-3.7252903e-09	0.033070713	-0.005641152	-0.031230703	1.3564423	0.0061962972	0.0595	127.0	38.3087272644043	0.17407995	0.1348278	0.54964685	0.031384006	0.0	0.0
1	500.0	-0.008063059	0.028064556	0.050638177	-0.0914431	32000	-1.4901161e-08	0.0030848354	-0.011772773	-0.0018931546	1.3564423	0.0067537883	0.1158125	127.0	74.65588736534119	0.3058992	0.22614847	0.94000864	0.07010814	0.0	0.0
2	500.0	0.058487143	0.026618075	0.1231692	-0.034575008	48000	-2.4214387e-08	0.0151180085	-0.009586412	-0.0056123557	1.3564423	0.007745868	0.0968125	127.0	115.6633734703064	0.7084641	0.5941541	2.4295511	0.10147946	0.0	0.0
3	500.0	0.15144898	0.03307873	0.25158232	0.026385851	64000	-1.1175871e-08	0.027310004	-0.009282248	-0.007970417	1.3564423	0.00814452	0.093625	127.0	151.82617378234863	1.0956118	0.72367954	4.0332184	0.30968913	0.0	0.0
4	500.0	0.2397677	0.0421566	0.37679183	0.11806081	80000	1.6763806e-08	0.03414239	-0.008295273	-0.01289122	1.3564423	0.006443429	0.085875005	127.0	187.55525279045105	1.5872583	0.7971284	4.3718853	0.6461564	0.0	0.0
5	500.0	0.34088728	0.079870865	0.61190975	0.1539579	96000	2.6077032e-08	0.28482825	-0.0067086183	-0.13528794	1.3564423	0.008301597	0.095750004	127.0	220.83781814575195	2.5663915	2.2400322	10.691466	0.92690694	0.0	0.0
6	500.0	0.81249535	0.36757207	1.6021731	0.06449615	112000	-5.029142e-08	0.66609466	-0.007017489	-0.2889086	1.3564423	0.007482211	0.078	127.0	254.55154299736023	4.74431	3.6721146	15.396838	0.59073496	0.0	0.0
7	500.0	1.3783106	0.7587075	3.1660924	-0.07829942	128000	-1.4901161e-08	1.0731251	-0.00806259	-0.45658153	1.3564423	0.007994984	0.0939375	127.0	290.2273705005646	7.4600444	4.829259	17.221931	1.0425055	0.0	0.0
8	500.0	2.4821107	1.2306999	5.041741	-0.33437997	144000	1.8626451e-08	3.316854	-0.008753025	-1.4094816	1.3564423	0.0071027046	0.078250006	127.0	337.9742794036865	14.286715	7.824147	32.188206	1.7294961	0.0	0.0
9	500.0	3.861897	2.1890547	7.169564	-0.71436226	160000	-5.5879354e-09	2.945356	-0.007672188	-0.28647932	1.3564423	0.006274838	0.0810625	127.0	377.5492422580719	15.202117	9.803441	36.36405	0.70295477	0.0	0.0
10	500.0	4.956126	1.7399346	7.172926	-0.34328616	176000	2.4214387e-08	2.5282452	-0.008539801	-0.42935994	1.3564423	0.005640825	0.0753125	127.0	413.6766858100891	18.172039	6.8836026	35.20185	5.162093	0.0	0.0
11	500.0	4.916546	1.4039164	6.704077	0.5530114	192000	1.4901161e-08	2.9220679	-0.0061382875	-0.33859962	1.3564423	0.005765965	0.0563125	127.0	449.0778739452362	19.772823	7.419336	37.314156	10.104703	0.0	0.0
12	500.0	4.8150926	1.1773839	6.7449446	0.5817249	208000	3.7252903e-09	3.8374963	-0.0075949766	-0.61832577	1.3564423	0.007671286	0.0758125	127.0	486.2008638381958	21.253677	9.00213	38.859154	9.147637	0.0	0.0
13	500.0	5.402576	1.4702208	8.26624	0.24612756	224000	1.8626451e-08	4.416161	-0.008086807	-0.6594058	1.3564423	0.007139869	0.060875	127.0	523.6535251140594	23.849472	8.067258	40.707886	13.06415	0.0	0.0
14	500.0	5.8691263	1.2518388	8.443253	1.0064286	240000	2.2351742e-08	4.3643165	-0.008537089	-0.35485262	1.3564423	0.0069314297	0.0790625	127.0	558.8678910732269	25.976511	7.369169	43.496227	15.36682	0.0	0.0
15	500.0	5.995042	1.1133686	7.8231063	0.3136804	256000	5.5879354e-09	4.509738	-0.008339712	-0.7349941	1.3564423	0.0063650548	0.07224999	127.0	593.9319086074829	25.246933	8.843759	44.34281	1.0739095	0.0	0.0
16	500.0	6.2872734	1.3374318	8.609769	-0.14575969	272000	2.6077032e-08	4.1599746	-0.00724944	-0.535654	1.3564423	0.006072122	0.0545	127.0	634.3670582771301	27.389801	7.419467	43.376007	18.390987	0.0	0.0
17	500.0	6.268796	1.3257695	8.546186	-0.09970585	288000	-1.4901161e-08	4.751054	-0.008147807	-1.2318218	1.3564423	0.0056874403	0.0669375	127.0	670.9330112934113	29.615904	10.258798	46.387417	0.6919499	0.0	0.0
18	500.0	6.938395	1.7329062	10.1294775	-1.382543	304000	-1.4901161e-08	5.3766403	-0.010468317	-0.7360096	1.3564423	0.005498294	0.077750005	127.0	705.4504268169403	30.676197	10.79178	54.15492	15.502301	0.0	0.0
19	500.0	7.5069313	1.973256	10.686813	-0.6156847	320000	-2.6077032e-08	7.058049	-0.009003699	-2.234603	1.3564423	0.006596689	0.073312506	127.0	751.145117521286	37.880974	12.806516	64.39028	21.282778	0.0	0.0
20	500.0	8.528387	2.5408068	12.442347	0.24642551	336000	2.2351742e-08	5.57344	-0.010810644	-1.1868474	1.3564423	0.008260755	0.087125	127.0	795.0075764656067	34.191116	12.039895	62.61266	16.587215	0.0	0.0
21	500.0	7.4333606	2.6988056	12.618736	0.858321	352000	0.0	6.9524584	-0.010456594	-1.4956295	1.3564423	0.006654378	0.08787499	127.0	844.4509236812592	34.603592	16.034283	81.024704	0.71578336	0.0	0.0
22	500.0	8.815659	3.476527	13.801187	-7.728137	368000	-1.4901161e-08	8.659815	-0.009460443	-1.4170614	1.3564423	0.0066322447	0.072312504	127.0	882.9118247032166	41.80743	16.893837	76.920586	0.8380315	0.0	0.0
23	500.0	9.931895	3.1579003	14.452058	1.2257948	384000	-7.450581e-09	10.086698	-0.00900359	-1.8845723	1.3564423	0.009558045	0.0816875	127.0	916.9997360706329	48.834858	15.043672	79.70469	22.6388	0.0	0.0
24	500.0	8.96664	3.8505635	15.85882	2.3435156	400000	-1.8626451e-09	8.563982	-0.010415927	-1.3137101	1.3564423	0.0074517075	0.0798125	127.0	955.2355418205261	37.667892	17.23489	72.5769	1.1498698	0.0	0.0
25	500.0	8.926779	3.948758	16.01314	1.0367565	416000	-2.9802322e-08	8.814484	-0.009717663	-1.0424865	1.3564423	0.0085652955	0.0838125	127.0	989.341634273529	41.730476	18.77316	81.130714	1.21095	0.0	0.0
26	500.0	10.551198	4.118904	16.86027	-0.20933452	432000	7.450581e-09	15.170654	-0.010767259	-3.3741271	1.3564423	0.007083865	0.0758125	127.0	1030.9118490219116	49.345097	20.145119	87.699	27.94328	0.0	0.0
27	500.0	10.644186	4.3948197	18.306215	-3.0638983	448000	-3.7252903e-09	15.864407	-0.009849869	-3.110933	1.3564423	0.0076767	0.071125	127.0	1065.851086139679	43.94613	17.026669	84.81376	0.9923205	0.0	0.0
28	500.0	11.615439	3.8908198	17.191229	-12.244489	464000	-3.7252903e-09	14.625694	-0.010014909	-0.98541194	1.3564423	0.008847128	0.09756249	127.0	1104.0677318572998	53.965996	16.838406	100.886955	26.03048	0.0	0.0
29	500.0	11.083686	4.249433	17.724464	0.6085574	480000	1.3038516e-08	16.973904	-0.009231589	-3.584978	1.3564423	0.0081857275	0.073625	127.0	1138.365915298462	44.79393	24.2918	99.79042	1.117368	0.0	0.0
30	500.0	10.730724	4.510856	18.001986	-0.12369517	496000	-5.5879354e-09	13.798149	-0.008291125	-2.5127747	1.3564423	0.006795127	0.07556249	127.0	1170.819736480713	49.255226	22.000683	91.892365	1.5193194	0.0	0.0
31	500.0	10.947621	4.8854623	18.664488	-2.5148666	512000	1.8626451e-09	26.662739	-0.0083779	-5.549143	1.3564423	0.0076434324	0.0696875	127.0	1208.8062889575958	52.472107	31.208286	122.32729	2.7415245	0.0	0.0
32	500.0	12.2871065	6.773637	21.13605	-9.354472	528000	1.5832484e-08	27.266052	-0.00890442	-3.4393752	1.3564423	0.007792578	0.069437504	127.0	1254.017406463623	58.490475	32.728535	108.46796	1.9836843	0.0	0.0
33	500.0	12.2865715	6.625424	22.652832	-5.1988745	544000	-2.9802322e-08	30.273628	-0.008655556	-6.521312	1.3564423	0.0051347855	0.065	127.0	1297.2570593357086	47.881416	27.390526	105.500755	2.5449257	0.0	0.0
34	500.0	11.758605	6.20092	21.929678	-1.9148417	560000	-1.3038516e-08	24.150408	-0.008870069	-3.0474825	1.3564423	0.0064376034	0.066375	127.0	1337.4889874458313	55.328148	29.993217	125.610176	1.2152123	0.0	0.0
35	500.0	12.429267	6.4559803	22.225346	-16.745869	576000	3.7252903e-09	31.215624	-0.008874419	-4.842793	1.3564423	0.0055356645	0.077250004	127.0	1378.7158606052399	53.01872	30.419096	118.13776	16.779701	0.0	0.0
