Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.19653323	0.022618262	-0.17005914	-0.3230956	16000	1.1175871e-08	0.036182165	-0.005657902	-0.034135193	1.3564423	0.0062604416	0.060374998	127.0	42.24038600921631	0.17255582	0.13328968	0.5441908	0.031279948	0.0	0.0
1	500.0	-0.010120963	0.027871437	0.049836315	-0.0933125	32000	4.4703484e-08	0.003162146	-0.011822183	-0.0019809855	1.3564423	0.006993744	0.118625	127.0	82.1070466041565	0.30180812	0.22317405	0.9262992	0.06915221	0.0	0.0
2	500.0	0.0581861	0.025944894	0.11348415	-0.03532286	48000	-3.7252903e-09	0.014811087	-0.009685542	-0.0053508836	1.3564423	0.0077057355	0.0976875	127.0	123.61637425422668	0.6996224	0.5901418	2.4292638	0.09634182	0.0	0.0
3	500.0	0.14869986	0.032724928	0.24918734	0.037072897	64000	1.8626451e-08	0.025798157	-0.009387708	-0.007399647	1.3564423	0.007930199	0.09593749	127.0	166.4947419166565	1.0780817	0.69246036	3.9714289	0.31805047	0.0	0.0
4	500.0	0.23179993	0.034125343	0.33935994	0.1230913	80000	0.0	0.029758297	-0.0076526986	-0.010487506	1.3564423	0.0052759405	0.077062495	127.0	204.47745299339294	1.5057316	0.74467975	4.093847	0.62846416	0.0	0.0
5	500.0	0.32077923	0.06788653	0.54016024	0.17128539	96000	-5.5879354e-09	0.29538536	-0.0059355693	-0.15550452	1.3564423	0.006867961	0.0765	127.0	244.73896646499634	2.6500497	2.2422273	9.287652	0.78620666	0.0	0.0
6	500.0	0.8029127	0.35425344	1.5554059	0.0081113875	112000	1.8626451e-09	0.67884016	-0.006957875	-0.2911048	1.3564423	0.0075792116	0.0820625	127.0	281.7140197753906	4.716737	3.5982215	14.327072	0.5146285	0.0	0.0
7	500.0	1.3878593	0.787697	3.1599274	-0.12518214	128000	7.450581e-09	1.7251394	-0.0068998616	-0.74664843	1.3564423	0.007642449	0.085625	127.0	320.6285493373871	8.205878	5.924468	23.42824	1.1437799	0.0	0.0
8	500.0	2.5442038	1.3085436	5.004272	-0.58571523	144000	-1.4901161e-08	2.607745	-0.0071132663	-0.9519114	1.3564423	0.007762759	0.074562505	127.0	361.4400782585144	13.884838	7.150832	25.267141	1.0908223	0.0	0.0
9	500.0	3.9249775	1.8074474	6.806607	-0.14252836	160000	3.7252903e-09	1.9971678	-0.008468643	-0.17629874	1.3564423	0.0070214244	0.08775	127.0	397.90901613235474	15.0425625	8.033693	30.379965	1.2686927	0.0	0.0
10	500.0	4.8173046	1.5727861	7.146146	-0.20921966	176000	2.6077032e-08	3.0931008	-0.008128168	-0.3963154	1.3564423	0.005559968	0.065	127.0	438.45179414749146	20.657408	7.6599913	38.296722	7.3334184	0.0	0.0
11	500.0	5.2744985	1.4664403	7.2424836	1.0032989	192000	1.4901161e-08	3.6453304	-0.0066010104	-0.45269877	1.3564423	0.004429642	0.056625	127.0	477.95049595832825	20.493856	9.436128	45.391018	0.79287696	0.0	0.0
12	500.0	4.9758534	1.4116257	6.9490194	-0.09035139	208000	1.8626451e-08	4.160666	-0.0067517674	-0.8782022	1.3564423	0.005149575	0.049875002	127.0	517.7129442691803	21.661983	10.236015	40.91876	0.9938473	0.0	0.0
13	500.0	5.4862404	1.3928895	8.698556	-0.38561296	224000	-3.7252903e-09	4.244862	-0.0076511204	-0.9803391	1.3564423	0.0069340495	0.0700625	127.0	562.1191346645355	25.282764	9.115838	47.11829	14.830553	0.0	0.0
14	500.0	6.294287	1.5645703	10.025757	0.43827555	240000	1.1175871e-08	3.478489	-0.009029215	-0.44774646	1.3564423	0.006993753	0.07325	127.0	599.0194849967957	25.80145	8.233598	41.543354	11.20213	0.0	0.0
15	500.0	6.0593576	1.439289	9.67722	0.10344167	256000	-1.1175871e-08	4.1105933	-0.00840899	-0.8535441	1.3564423	0.007294556	0.0695625	127.0	641.3784103393555	25.505882	8.632908	41.951393	1.7342823	0.0	0.0
16	500.0	6.5575423	1.6614641	10.7431345	0.39839715	272000	-2.9802322e-08	4.112772	-0.0072872033	-0.61973	1.3564423	0.0068079047	0.0518125	127.0	680.4358601570129	28.429878	8.296281	45.48662	15.304169	0.0	0.0
17	500.0	6.609909	1.8039738	10.990681	0.844571	288000	7.450581e-09	4.583131	-0.008209337	-0.9387943	1.3564423	0.0065102396	0.063125	127.0	724.7770206928253	29.48523	11.441937	48.72041	1.4753004	0.0	0.0
18	500.0	7.1447225	1.9701817	11.391586	0.67745394	304000	0.0	4.226809	-0.008923128	-0.9887487	1.3564423	0.005507336	0.0645625	127.0	764.5170478820801	30.54047	10.015073	52.9393	13.479567	0.0	0.0
19	500.0	6.791059	2.125957	12.736065	1.4571438	320000	-1.3038516e-08	3.4358547	-0.0105953	-0.67684126	1.3564423	0.0075023756	0.0764375	127.0	808.9754197597504	30.141703	8.656321	62.265865	20.880817	0.0	0.0
20	500.0	7.444927	2.473615	12.689437	2.1846607	336000	2.2351742e-08	4.6196156	-0.008905541	-0.84089744	1.3564423	0.008066551	0.071125	127.0	853.4170663356781	34.42664	12.333854	60.36105	17.245451	0.0	0.0
21	500.0	6.9274883	2.6709146	13.164722	2.742051	352000	-7.450581e-09	4.411338	-0.009955719	-1.6814766	1.3564423	0.0062815463	0.078625	127.0	893.7542688846588	28.778688	14.489759	58.898804	1.2483318	0.0	0.0
22	500.0	8.190628	3.4336214	13.44259	-2.0929499	368000	-1.4901161e-08	8.860996	-0.009548847	-2.0283766	1.3564423	0.0059613558	0.070187494	127.0	934.53564620018	41.031063	17.522943	80.08528	1.3840252	0.0	0.0
23	500.0	9.688689	3.5583963	15.416035	0.9088299	384000	-3.7252903e-09	9.05233	-0.009147153	-0.95010924	1.3564423	0.0058975862	0.0709375	127.0	979.7908082008362	45.311775	15.737396	81.81688	25.762806	0.0	0.0
24	500.0	9.769494	4.275851	16.054893	-3.632848	400000	5.5879354e-09	7.403306	-0.009723915	-0.96225965	1.3564423	0.0077580325	0.0808125	127.0	1024.016407251358	41.397125	18.795279	79.06697	2.4920158	0.0	0.0
25	500.0	9.016476	4.124289	16.088102	0.84888	416000	1.3038516e-08	8.461826	-0.009300153	-0.60919046	1.3564423	0.007014976	0.067	127.0	1062.5456285476685	39.35221	17.475355	83.461685	2.6253662	0.0	0.0
26	500.0	9.87918	3.943284	15.744768	-9.069446	432000	-1.21071935e-08	7.3559403	-0.00822565	-1.2031357	1.3564423	0.006947321	0.056125	127.0	1100.1428594589233	46.924538	15.71934	77.33063	25.884417	0.0	0.0
27	500.0	11.112215	4.009543	16.426718	1.4431376	448000	0.0	13.677951	-0.009780118	-2.0041308	1.3564423	0.009129703	0.073249996	127.0	1143.3366649150848	51.011154	21.369572	88.611946	3.0441637	0.0	0.0
28	500.0	12.422094	4.8938565	17.766632	-13.714642	464000	2.2351742e-08	15.729641	-0.008652337	-1.3201138	1.3564423	0.0064843884	0.06875	127.0	1187.5817551612854	55.840076	19.669022	96.27012	3.267059	0.0	0.0
29	500.0	11.841147	4.7633533	18.640205	1.578837	480000	3.7252903e-09	15.171518	-0.008627631	-2.740806	1.3564423	0.0051373676	0.065937504	127.0	1225.92862200737	51.891674	24.936445	98.679565	1.6992313	0.0	0.0
30	500.0	13.667372	5.594316	20.027454	-1.4285545	496000	1.9557774e-08	22.322866	-0.008822774	-1.0202134	1.3564423	0.0069392296	0.0670625	127.0	1269.2839827537537	56.318672	24.41992	109.01475	2.4068422	0.0	0.0
31	500.0	14.438126	4.4879794	19.253977	1.2145568	512000	-1.8626451e-08	27.847515	-0.00829376	-6.8241053	1.3564423	0.007794894	0.0625	127.0	1311.400203704834	68.998	24.506508	105.26263	26.793959	0.0	0.0
32	500.0	14.569535	5.42727	21.720572	-2.1174903	528000	-2.2351742e-08	29.514473	-0.010151741	-11.5282135	1.3564423	0.0077535044	0.082125	127.0	1358.3545870780945	51.42772	21.978098	98.84903	14.112527	0.0	0.0
33	500.0	12.853746	4.9961743	21.43577	-0.23670404	544000	2.2351742e-08	27.389215	-0.008473794	-4.6634502	1.3564423	0.007086839	0.068625	127.0	1400.8448023796082	60.05105	27.77698	104.45499	2.1226125	0.0	0.0
34	500.0	13.524925	5.5628576	22.316008	-3.6708043	560000	3.7252903e-09	25.456161	-0.008739624	-4.111877	1.3564423	0.0067408257	0.068312496	127.0	1441.5231084823608	55.964115	27.823524	108.83477	21.026663	0.0	0.0
35	500.0	11.934342	5.0690575	22.785913	-13.000398	576000	1.4901161e-08	21.305674	-0.008715073	-5.039444	1.3564423	0.006060864	0.0699375	127.0	1485.787714958191	43.395573	20.09766	90.94328	7.7738214	0.0	0.0
36	500.0	11.901039	5.519803	22.53005	-11.982965	592000	-7.450581e-09	23.327007	-0.008268633	-5.9969864	1.3564423	0.006815118	0.060812503	127.0	1528.6227521896362	46.42781	21.030264	99.67268	20.959297	0.0	0.0
37	500.0	10.749548	4.115101	20.828125	1.149999	608000	-2.9802322e-08	18.73587	-0.0080085	-0.93754995	1.3564423	0.0069976356	0.0735625	127.0	1568.9166951179504	47.02675	20.33219	104.50842	28.22354	0.0	0.0
38	500.0	11.238125	4.4627457	21.25096	-0.49531263	624000	-1.4901161e-08	25.655603	-0.009262711	-1.6028128	1.3564423	0.007961897	0.081562504	127.0	1607.9415183067322	49.93458	24.920683	99.13975	12.911415	0.0	0.0
39	500.0	11.844903	4.921857	22.097363	-6.900849	640000	3.7252903e-09	24.693619	-0.008810539	-4.3854027	1.3564423	0.0067269	0.076812506	127.0	1648.3337152004242	48.19535	25.211449	107.89039	18.005308	0.0	0.0
40	500.0	12.092661	5.5083404	22.304499	0.6172066	656000	-1.6763806e-08	31.079153	-0.008042368	-4.258854	1.3564423	0.008906122	0.072625	127.0	1689.6670460700989	53.71174	27.894596	106.92524	1.3662204	0.0	0.0
41	500.0	12.695962	5.431981	23.421888	-3.6988084	672000	2.6077032e-08	21.376196	-0.009392472	-3.13133	1.3564423	0.005809318	0.072875	127.0	1732.0065867900848	50.892483	22.888092	100.14714	25.478296	0.0	0.0
