Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.2007996	0.022739455	-0.17263618	-0.32679236	16000	-1.0244548e-07	0.034551356	-0.0053595277	-0.03295689	1.3564423	0.005952799	0.058937497	127.0	34.13157296180725	0.11848642	0.06607244	0.2984428	0.047963355	0.0	0.0
1	500.0	-0.01681544	0.025571555	0.03790763	-0.092538714	32000	1.0430813e-07	0.0016382172	-0.0126617	-0.0012178262	1.3564423	0.007309287	0.1348125	127.0	70.7249162197113	0.20787734	0.124143	0.5933409	0.05035476	0.0	0.0
2	500.0	0.04043876	0.020261683	0.076133765	-0.026895124	48000	7.450581e-09	0.003399688	-0.010546289	-0.0014131847	1.3564423	0.0075438893	0.0985625	127.0	102.60580062866211	0.4412784	0.25124645	1.0680907	0.11347686	0.0	0.0
3	500.0	0.093873955	0.016416194	0.14188325	0.02324485	64000	3.7252903e-09	0.0063943695	-0.010933512	-0.0028448342	1.3564423	0.008273853	0.09925	127.0	137.52739429473877	0.7405995	0.29786173	1.5495088	0.22968923	0.0	0.0
4	500.0	0.15603538	0.01772821	0.19740736	0.069495544	80000	-3.1664968e-08	0.01977311	-0.0068467967	-0.009401472	1.3564423	0.004175984	0.0631875	127.0	170.30236983299255	1.2485251	0.43229023	2.5636113	0.3984334	0.0	0.0
5	500.0	0.25639233	0.032559536	0.37028378	0.14691448	96000	1.4901161e-08	0.07382426	-0.0053139776	-0.039126642	1.3564423	0.0053453473	0.046875	127.0	204.20994639396667	2.1105118	0.77336746	3.613328	0.79089683	0.0	0.0
6	500.0	0.4468065	0.08175754	0.6170077	0.21468073	112000	-2.7939677e-08	0.12347807	-0.005845328	-0.054413784	1.3564423	0.0060835825	0.0494375	127.0	238.32849884033203	2.7364948	1.2440479	6.830287	1.0229001	0.0	0.0
7	500.0	0.6543471	0.24115215	1.1800227	0.08856162	128000	0.0	0.8900457	-0.0059094555	-0.3777923	1.3564423	0.005905404	0.053875	127.0	273.8471939563751	4.7203445	3.6361494	16.934885	1.2304909	0.0	0.0
8	500.0	1.258165	0.6650995	2.6624992	-0.11561318	144000	3.7252903e-09	0.9931623	-0.0074624373	-0.56338114	1.3564423	0.008226605	0.0750625	127.0	315.2052700519562	7.5342436	3.36061	13.343362	1.370347	0.0	0.0
9	500.0	2.0963354	1.143364	4.334211	0.08163649	160000	-1.7695129e-08	1.7866912	-0.008893115	-0.90762186	1.3564423	0.0062044053	0.0816875	127.0	369.1241693496704	11.630568	4.5781565	21.541243	2.1302757	0.0	0.0
10	500.0	3.095734	1.6555544	5.653815	0.1444717	176000	4.4703484e-08	1.2975307	-0.010004608	-0.42638916	1.3564423	0.007577258	0.0938125	127.0	407.72273445129395	13.194815	5.203844	24.955782	1.684918	0.0	0.0
11	500.0	3.9392564	1.971661	6.793606	0.044585247	192000	-5.2154064e-08	1.7044897	-0.010720702	-0.6069383	1.3564423	0.007715179	0.088125005	127.0	452.0780141353607	18.027851	4.4296064	28.09156	9.427782	0.0	0.0
12	500.0	4.9527774	2.188306	7.5896573	0.026920803	208000	0.0	1.7834344	-0.010501908	-0.53083074	1.3564423	0.006739705	0.0895	127.0	502.232581615448	21.926958	4.6341863	30.947227	12.931064	0.0	0.0
13	500.0	5.887786	2.3725586	8.496893	0.30612278	224000	2.6077032e-08	2.2646897	-0.010170284	-0.35618743	1.3564423	0.006169727	0.08775	127.0	536.1409358978271	25.284798	5.7781835	36.98849	14.342179	0.0	0.0
14	500.0	6.5825486	2.2004886	8.726499	0.9808094	240000	-3.7252903e-09	1.6020522	-0.010868663	-0.088654265	1.3564423	0.009280706	0.0850625	127.0	569.9218065738678	25.34294	5.068944	35.52961	16.210884	0.0	0.0
15	500.0	6.5163083	1.9641994	8.387171	1.0435938	256000	0.0	2.807169	-0.009222353	-0.20530507	1.3564423	0.0071440474	0.081375	127.0	606.5918576717377	26.29578	6.5476813	45.922165	13.746862	0.0	0.0
16	500.0	6.5684175	1.7710935	8.0442505	0.44898322	272000	-1.4901161e-08	1.7554669	-0.008955985	-0.046954475	1.3564423	0.006025375	0.0555	127.0	637.9464137554169	27.6423	5.3773246	38.31947	15.693548	0.0	0.0
17	500.0	6.641774	1.617658	7.998204	1.2792917	288000	3.7252903e-09	1.8462975	-0.008761063	-0.07273574	1.3564423	0.0073712356	0.0580625	127.0	675.0469791889191	27.883408	5.8268123	40.994392	19.284336	0.0	0.0
18	500.0	6.6982603	1.5742774	8.017939	0.64473337	304000	3.7252903e-09	2.0092065	-0.008001151	-0.21181595	1.3564423	0.005445488	0.058624998	127.0	710.2218129634857	28.290745	5.2592096	41.61365	16.914053	0.0	0.0
19	500.0	6.751284	1.3695643	8.038286	1.4553384	320000	2.7939677e-09	2.8920333	-0.007452271	-0.3405686	1.3564423	0.0058164797	0.0516875	127.0	746.6303260326385	31.259405	6.707973	41.61933	18.39976	0.0	0.0
20	500.0	7.1119976	1.5236082	8.649128	1.8666722	336000	0.0	3.2438629	-0.009103576	-0.4628701	1.3564423	0.007116807	0.0703125	127.0	781.1910874843597	29.486877	8.252603	43.961807	13.243669	0.0	0.0
21	500.0	6.943145	1.5306197	8.666146	1.9305658	352000	-1.8626451e-08	2.2674081	-0.00936736	-0.2751664	1.3564423	0.0077618696	0.073874995	127.0	815.9263818264008	30.890457	5.731156	42.48844	15.508793	0.0	0.0
22	500.0	7.219335	1.397133	8.796677	2.0448892	368000	1.1175871e-08	3.022653	-0.0081702545	-0.913365	1.3564423	0.0073078373	0.06825	127.0	855.5361394882202	33.91393	7.0944853	44.23508	20.60148	0.0	0.0
23	500.0	7.799551	1.7202358	10.284956	1.9105986	384000	-1.1175871e-08	1.789127	-0.009110935	-0.42832968	1.3564423	0.0070415065	0.0724375	127.0	892.1255650520325	35.190353	4.7697954	43.74819	26.180685	0.0	0.0
24	500.0	7.749634	1.5624906	9.748904	2.186165	400000	-3.7252903e-09	1.7697792	-0.011009894	-0.44829556	1.3564423	0.008782232	0.084125005	127.0	929.4956812858582	33.963844	6.544368	42.889935	15.892622	0.0	0.0
25	500.0	7.7372684	1.7406214	10.529005	0.5107179	416000	3.7252903e-09	2.9011655	-0.008275819	-0.55249274	1.3564423	0.005724038	0.070875	127.0	963.5779345035553	34.009132	7.637122	55.91092	17.51658	0.0	0.0
26	500.0	7.5602274	2.0114424	10.662762	0.34662202	432000	-1.8626451e-09	2.4523177	-0.008135533	-0.6203276	1.3564423	0.0076300213	0.065875	127.0	998.1504004001617	37.39422	6.778278	48.813766	17.89073	0.0	0.0
27	500.0	8.462792	1.7420768	10.75536	1.4318489	448000	1.4901161e-08	2.7699387	-0.00928002	-0.30830643	1.3564423	0.0076442296	0.074499995	127.0	1032.5800890922546	36.868374	7.363196	51.02816	21.500599	0.0	0.0
28	500.0	8.374853	1.6638983	10.529488	2.7732549	464000	-5.5879354e-09	2.7369952	-0.009767825	-0.29893327	1.3564423	0.007860839	0.0805	127.0	1067.9626746177673	37.25564	6.886671	50.220764	21.708942	0.0	0.0
29	500.0	8.296422	1.7804059	10.568719	1.9611648	480000	-1.8626451e-08	3.2315838	-0.009796466	-0.21216393	1.3564423	0.007300633	0.08425	127.0	1105.0548791885376	36.199318	7.5444536	50.18023	22.40605	0.0	0.0
30	500.0	8.442618	1.8267043	10.556204	0.7729408	496000	-7.450581e-09	6.090537	-0.00834933	-0.8297166	1.3564423	0.007501024	0.0731875	127.0	1141.3653547763824	41.33732	9.628944	78.735886	24.08314	0.0	0.0
31	500.0	8.972678	1.7615162	10.874376	3.6738453	512000	-3.7252903e-09	4.6069436	-0.009926524	-0.49019676	1.3564423	0.006546897	0.080874994	127.0	1178.9846320152283	41.83576	9.119071	60.566765	14.268603	0.0	0.0
32	500.0	9.333179	2.021566	11.728014	3.741028	528000	-3.7252903e-09	3.7021747	-0.009403936	-0.3028317	1.3564423	0.007819126	0.071375	127.0	1213.6252403259277	40.07021	7.5953264	65.03069	27.23217	0.0	0.0
33	500.0	9.338881	1.7631125	11.280368	3.6786852	544000	7.450581e-09	3.298387	-0.008720277	-0.49159777	1.3564423	0.004698439	0.068187505	127.0	1249.6965696811676	39.45909	6.926964	55.7922	27.529606	0.0	0.0
34	500.0	8.786443	1.9370989	11.116382	3.3989336	560000	0.0	6.97431	-0.00783992	-0.5338971	1.3564423	0.008194404	0.079500005	127.0	1285.919564962387	41.25412	10.825041	75.474556	26.98398	0.0	0.0
35	500.0	9.422008	1.7512231	11.281545	3.6469662	576000	-1.3969839e-08	11.475868	-0.008190554	-1.100107	1.3564423	0.006497713	0.0749375	127.0	1323.1852984428406	40.6538	14.592392	88.493065	20.029593	0.0	0.0
36	500.0	9.115363	1.6364444	10.929975	3.4806027	592000	2.4214387e-08	2.822285	-0.008980621	-0.33053595	1.3564423	0.0069510173	0.0741875	127.0	1358.8406910896301	42.322403	6.195462	65.65002	32.957634	0.0	0.0
37	500.0	9.531502	1.6299504	11.300029	3.7966557	608000	1.4901161e-08	2.1884668	-0.009304086	-0.5535607	1.3564423	0.0075315004	0.071624994	127.0	1393.8049461841583	39.565887	4.905867	50.137863	26.97026	0.0	0.0
38	500.0	9.213584	1.616778	10.7168865	3.7635818	624000	2.9802322e-08	13.68498	-0.007840613	-1.5927265	1.3564423	0.008749068	0.080625	127.0	1428.393711566925	46.06175	15.069653	95.979935	27.376753	0.0	0.0
39	500.0	9.993931	1.6767305	11.728579	3.9084947	640000	-2.9802322e-08	20.348454	-0.0071458984	-2.7572665	1.3564423	0.006286661	0.069562495	127.0	1465.810212612152	48.114933	20.055754	105.95732	20.175627	0.0	0.0
40	500.0	10.155674	1.9403272	13.574685	3.5474908	656000	-1.1175871e-08	8.9531145	-0.0075702593	-1.0981998	1.3564423	0.007230096	0.076875	127.0	1502.5160536766052	44.48889	14.74788	119.469124	31.731134	0.0	0.0
41	500.0	10.436682	2.495201	14.518264	-0.1461115	672000	0.0	31.397896	-0.007979244	-6.6166034	1.3564423	0.006585152	0.069625	127.0	1537.4246957302094	56.13984	26.58265	115.65937	32.955784	0.0	0.0
42	500.0	11.636655	2.8168266	17.16125	3.3480008	688000	2.2351742e-08	8.895531	-0.009957785	-2.7259057	1.3564423	0.009406882	0.0899375	127.0	1574.8883655071259	44.971077	13.210633	93.98126	32.639454	0.0	0.0
43	500.0	10.448194	2.6597667	16.325737	1.6144966	704000	7.450581e-09	16.875088	-0.009068324	-1.9036287	1.3564423	0.0068229856	0.0738125	127.0	1614.3518254756927	45.404274	18.414795	102.610825	26.939392	0.0	0.0
44	500.0	10.277078	2.5539854	15.77917	-11.539153	720000	-1.4901161e-08	7.929437	-0.009516913	-1.5159321	1.3564423	0.008384721	0.08125	127.0	1650.76815700531	42.42148	11.257882	91.10163	29.143332	0.0	0.0
