Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.19447781	0.030952847	-0.16354889	-0.34353197	16000	2.6077032e-08	0.046227664	-0.0055291993	-0.04224755	1.3564423	0.006015854	0.049125	127.0	35.92180562019348	0.3180933	0.22156125	1.1189615	0.071840316	0.0	0.0
1	500.0	0.013719617	0.0252566	0.071535245	-0.068854816	32000	-8.940697e-08	0.01791232	-0.0075033484	-0.009965778	1.3564423	0.0045677437	0.062	127.0	72.28510022163391	0.7359725	0.5078734	2.1016364	0.15887868	0.0	0.0
2	500.0	0.13045475	0.03375181	0.22986433	0.0085494	48000	7.450581e-09	0.038431846	-0.008069871	-0.01141756	1.3564423	0.0076313657	0.0865625	127.0	107.04258751869202	1.1429973	0.84331656	3.8095078	0.19722529	0.0	0.0
3	500.0	0.24720153	0.045769084	0.41381305	0.111628346	64000	4.0978193e-08	0.11124735	-0.010430252	-0.047196157	1.3564423	0.008609719	0.10475	127.0	137.34391403198242	2.2283342	1.2652736	5.4150047	0.3482426	0.0	0.0
4	500.0	0.5305239	0.09388156	0.8036017	0.27134812	80000	-5.5879354e-08	0.6179037	-0.0060929283	-0.31320256	1.3564423	0.0039429883	0.050687503	127.0	172.60817193984985	5.1254706	2.586506	12.439578	1.0885053	0.0	0.0
5	500.0	1.1161045	0.2066357	1.6029389	0.5756346	96000	4.4703484e-08	1.5573267	-0.008062711	-0.7484056	1.3564423	0.005467823	0.06925	127.0	207.54444408416748	8.648314	4.216339	19.737747	2.7746413	0.0	0.0
6	500.0	2.0718057	0.47520608	3.070724	0.8336104	112000	7.450581e-09	2.4081402	-0.0078474	-1.2522554	1.3564423	0.0054903883	0.064687505	127.0	242.71447443962097	13.294414	5.021221	28.828451	4.8132143	0.0	0.0
7	500.0	3.2730443	1.0732156	5.017872	0.41633996	128000	2.2351742e-08	2.8016424	-0.009425668	-0.7782142	1.3564423	0.00779989	0.0946875	127.0	274.28237652778625	16.962782	6.5138893	32.166653	6.1078644	0.0	0.0
8	500.0	4.398086	1.3280817	6.366562	0.5844059	144000	-1.8626451e-09	3.014872	-0.009758264	-1.1935539	1.3564423	0.005948324	0.08993749	127.0	307.23338747024536	23.224546	4.8880286	31.050285	13.001641	0.0	0.0
9	500.0	5.6052704	1.4338039	7.199965	0.64090544	160000	1.6763806e-08	2.3681774	-0.009608782	-0.3542487	1.3564423	0.0062709902	0.0740625	127.0	340.5712699890137	25.87378	5.7335052	39.125206	16.94625	0.0	0.0
10	500.0	6.2748623	1.3343712	7.664142	1.4174271	176000	-2.142042e-08	1.7822049	-0.008247998	-0.15702856	1.3564423	0.0076671187	0.0656875	127.0	373.61078119277954	26.836864	4.721506	38.65817	17.02613	0.0	0.0
11	500.0	6.311288	0.97355545	7.209403	1.9522455	192000	1.1175871e-08	2.1794877	-0.009480849	-0.28914332	1.3564423	0.006922572	0.07225	127.0	409.62657165527344	29.736317	5.4210696	39.19187	13.484107	0.0	0.0
12	500.0	6.77724	1.0329286	7.729195	2.2482333	208000	2.2351742e-08	2.031055	-0.009337064	-0.062803015	1.3564423	0.007055985	0.066	127.0	445.36277985572815	30.495247	5.544212	38.896137	16.13055	0.0	0.0
13	500.0	6.973922	0.8828065	7.67146	2.4872947	224000	7.450581e-09	2.0375302	-0.008592962	-0.31622556	1.3564423	0.007145549	0.065312505	127.0	484.89161252975464	33.82833	4.4395847	43.78947	25.510546	0.0	0.0
