Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20307401	0.022860179	-0.17563507	-0.32925493	16000	-3.5390258e-08	0.035290267	-0.005514243	-0.033657916	1.3564423	0.0062969644	0.0621875	127.0	39.915021896362305	0.1181962	0.0656439	0.2958045	0.048086528	0.0	0.0
1	500.0	-0.016902221	0.025352685	0.037614584	-0.09233124	32000	-2.2351742e-08	0.0016914522	-0.012749707	-0.0012632303	1.3564423	0.0071664546	0.13456249	127.0	76.48810815811157	0.21062595	0.12541392	0.5984998	0.050491102	0.0	0.0
2	500.0	0.04082346	0.020468347	0.077036306	-0.02692882	48000	2.2351742e-08	0.0035387594	-0.010531579	-0.0014866781	1.3564423	0.0074983696	0.098812506	127.0	109.787273645401	0.44592357	0.25718525	1.0696391	0.1053171	0.0	0.0
3	500.0	0.09456659	0.016831188	0.14646201	0.027015626	64000	4.4703484e-08	0.006133345	-0.011232993	-0.00273835	1.3564423	0.008572164	0.10275	127.0	140.89756226539612	0.73813534	0.29493463	1.5376505	0.23327455	0.0	0.0
4	500.0	0.1559598	0.018483358	0.20198691	0.067667544	80000	7.450581e-09	0.015955232	-0.007293475	-0.0075314166	1.3564423	0.0044229636	0.066937506	127.0	177.53705763816833	1.1987829	0.38444525	2.4176853	0.38815635	0.0	0.0
5	500.0	0.246863	0.028515358	0.3504479	0.14413947	96000	-5.2154064e-08	0.06754358	-0.005561332	-0.035558365	1.3564423	0.006149042	0.052875	127.0	209.4268536567688	2.0369692	0.7368843	3.4727156	0.74357265	0.0	0.0
6	500.0	0.4271065	0.07413146	0.5816536	0.2120806	112000	2.9802322e-08	0.11836546	-0.0057362355	-0.050809655	1.3564423	0.006230571	0.050312497	127.0	242.5435733795166	2.6187882	1.2469398	6.4674397	0.80308855	0.0	0.0
7	500.0	0.62819153	0.22646065	1.1357726	0.104775906	128000	2.2351742e-08	0.92619663	-0.006265035	-0.373615	1.3564423	0.0061197486	0.058624998	127.0	276.90574860572815	4.539891	3.7781844	17.049698	1.3148673	0.0	0.0
8	500.0	1.196978	0.64304996	2.6509778	-0.06573219	144000	-2.9802322e-08	0.76752186	-0.007638025	-0.41025862	1.3564423	0.0082806945	0.074999996	127.0	308.93973112106323	6.7048106	3.1670775	12.294832	0.8108807	0.0	0.0
9	500.0	1.9877962	1.0800148	4.332227	0.11338169	160000	2.6077032e-08	1.9313612	-0.008783473	-1.0674976	1.3564423	0.0059300247	0.075625	127.0	353.1160740852356	11.490726	4.5234675	20.887316	2.180256	0.0	0.0
