Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.20206751	0.02287062	-0.17565161	-0.32894295	16000	-2.514571e-07	0.035414778	-0.005843955	-0.03363248	1.3564423	0.006254918	0.062375	127.0	45.84754943847656	0.126053	0.094820835	0.38964555	0.03313559	0.0	0.0
1	500.0	-0.017497594	0.027085725	0.03989643	-0.095498495	32000	4.4703484e-08	0.0020843814	-0.011482025	-0.0013461224	1.3564423	0.006456415	0.1239375	127.0	85.21544575691223	0.22083557	0.1555113	0.61750925	0.044065777	0.0	0.0
2	500.0	0.04135061	0.022734242	0.08625872	-0.036751486	48000	-1.4901161e-08	0.0072426554	-0.009471383	-0.0026300529	1.3564423	0.0074019264	0.092875	127.0	127.82197594642639	0.50652206	0.3969317	1.8654733	0.079138555	0.0	0.0
3	500.0	0.10155497	0.021445079	0.15818706	0.015665062	64000	2.2351742e-08	0.008638732	-0.009468026	-0.0027361307	1.3564423	0.0071070176	0.0848125	127.0	163.45166778564453	0.7195375	0.4238078	1.5014023	0.22702399	0.0	0.0
4	500.0	0.1562467	0.026138304	0.24083284	0.06011332	80000	-3.7252903e-08	0.031045191	-0.0056993365	-0.013943897	1.3564423	0.006466739	0.065	127.0	202.04724025726318	1.1125317	0.7470518	3.4651263	0.27332228	0.0	0.0
5	500.0	0.2624205	0.07861631	0.5065805	0.09170862	96000	1.4901161e-08	0.26309335	-0.0064063678	-0.1533924	1.3564423	0.0057889135	0.069875	127.0	242.21039032936096	2.3471713	2.1889462	8.690804	0.44189736	0.0	0.0
6	500.0	0.71066356	0.37591064	1.5397084	0.0037571713	112000	3.7252903e-09	0.3843212	-0.0075314892	-0.16766119	1.3564423	0.008073885	0.0945625	127.0	279.7615735530853	3.9570045	2.9426148	12.485296	0.60229427	0.0	0.0
7	500.0	1.2056564	0.6511349	2.6285422	-0.20530555	128000	3.7252903e-08	1.5019386	-0.007881381	-0.7442391	1.3564423	0.0075053684	0.0940625	127.0	316.6816921234131	6.9513	5.689007	23.09621	0.70894474	0.0	0.0
8	500.0	2.2525036	1.3973048	5.3228526	-0.88162315	144000	-1.6763806e-08	2.0599365	-0.008494437	-0.8742173	1.3564423	0.0073333615	0.085125	127.0	356.019779920578	12.083828	6.629803	25.32284	0.56701136	0.0	0.0
9	500.0	3.393319	2.1579733	6.9224076	-1.2079958	160000	7.450581e-09	2.7227442	-0.008131431	-0.683667	1.3564423	0.0056490377	0.079500005	127.0	395.70812463760376	14.383057	9.609197	29.414383	0.5367714	0.0	0.0
10	500.0	4.8259807	2.0277162	7.871403	-0.7646278	176000	-3.7252903e-09	2.3563223	-0.010226637	-0.4352525	1.3564423	0.006052914	0.079687506	127.0	431.6627023220062	19.758154	7.7753987	37.529907	5.0857234	0.0	0.0
11	500.0	5.344628	2.039094	8.672781	-0.502475	192000	-1.1175871e-08	2.5124674	-0.00914323	-0.7937832	1.3564423	0.007473438	0.074562505	127.0	474.3940694332123	19.098963	8.0332575	37.21587	2.530364	0.0	0.0
12	500.0	5.032139	1.9841154	8.447951	-1.3658382	208000	1.4901161e-08	2.7964098	-0.010420975	-0.6278336	1.3564423	0.0068102623	0.08325	127.0	511.71495842933655	21.129421	9.19092	34.83482	4.1531205	0.0	0.0
13	500.0	6.178971	2.0252898	9.35984	-0.7364776	224000	-1.4901161e-08	3.963279	-0.010228183	-1.0162733	1.3564423	0.0061113923	0.083625	127.0	548.0693709850311	23.091898	6.779499	34.321537	6.8670497	0.0	0.0
14	500.0	5.8658204	1.7954472	8.261516	0.59221554	240000	1.4901161e-08	4.411153	-0.0070199687	-0.6294543	1.3564423	0.00580959	0.059625	127.0	585.5582818984985	22.846521	7.327136	34.92133	9.842314	0.0	0.0
15	500.0	5.656625	1.3618536	7.3351293	1.4167359	256000	-7.450581e-09	3.518458	-0.008784166	-0.7473544	1.3564423	0.006727393	0.070687495	127.0	648.4254305362701	24.54705	9.705714	36.607544	0.48056972	0.0	0.0
16	500.0	5.8378954	1.9713684	8.031965	-0.85200924	272000	-1.3038516e-08	2.9742327	-0.009356596	-0.40922633	1.3564423	0.0067129536	0.078	127.0	706.2829887866974	26.773392	9.219885	38.2435	0.7019607	0.0	0.0
17	500.0	6.692624	1.6233084	8.4008045	0.055036362	288000	-7.450581e-09	3.1509037	-0.007226363	-0.24636321	1.3564423	0.006197404	0.0520625	127.0	751.7993023395538	27.64033	6.771164	39.3301	9.040643	0.0	0.0
18	500.0	6.587914	1.2415283	7.896822	1.2902254	304000	1.1175871e-08	2.3776085	-0.007962666	-0.75439346	1.3564423	0.0053362967	0.065625	127.0	790.280100107193	32.5592	4.2680125	43.31772	23.189373	0.0	0.0
19	500.0	7.201086	1.4119614	8.840594	1.7625868	320000	-1.1175871e-08	2.8122237	-0.007600948	-0.47472984	1.3564423	0.006684324	0.0534375	127.0	828.331166267395	29.426022	7.917959	41.08364	0.5820883	0.0	0.0
20	500.0	6.969369	1.5426049	8.64984	-0.4014064	336000	-7.450581e-09	1.8132455	-0.008118469	-0.19790249	1.3564423	0.0055552647	0.052374996	127.0	866.0289285182953	30.772572	4.606883	39.876617	21.193686	0.0	0.0
21	500.0	7.0449414	1.5968931	9.110926	1.1776252	352000	-2.514571e-08	2.2666085	-0.008525261	-0.28502294	1.3564423	0.0070536328	0.058624998	127.0	910.0443639755249	29.77249	8.402958	44.12475	0.7991036	0.0	0.0
22	500.0	7.2241364	1.5596787	9.083658	0.98391783	368000	-3.7252903e-08	2.9620159	-0.009036614	-0.35877356	1.3564423	0.00807082	0.0763125	127.0	951.405599117279	30.914274	6.782913	42.456917	13.3336315	0.0	0.0
23	500.0	7.119203	1.1246876	8.625826	2.4080439	384000	5.029142e-08	3.2645772	-0.007845726	-0.5049635	1.3564423	0.0070469305	0.057875	127.0	994.9093406200409	34.470985	6.9472756	50.69713	13.9885235	0.0	0.0
24	500.0	7.736976	1.3380929	9.265119	2.0671415	400000	7.450581e-09	4.3237047	-0.009324046	-0.93963075	1.3564423	0.008286025	0.06887499	127.0	1034.3146841526031	29.47393	8.541352	42.0003	14.379989	0.0	0.0
25	500.0	6.8584113	1.5432389	8.366708	-0.3523696	416000	2.9802322e-08	2.7925096	-0.008963316	-0.33685708	1.3564423	0.0058764396	0.063875005	127.0	1071.063353061676	32.485485	9.138777	47.08322	0.49318737	0.0	0.0
26	500.0	7.41413	1.3096706	8.8663645	0.83967817	432000	-2.6077032e-08	2.711123	-0.007584585	-0.7182451	1.3564423	0.0068746875	0.0595	127.0	1107.0164940357208	36.866035	6.2630568	52.54193	17.71091	0.0	0.0
27	500.0	7.9407964	1.6070058	9.633601	0.088581264	448000	0.0	2.1159816	-0.007823672	-0.18387252	1.3564423	0.005872259	0.061062496	127.0	1145.7497584819794	34.76776	8.864689	50.70098	0.65691257	0.0	0.0
28	500.0	8.0454035	1.5876048	9.821362	0.60179996	464000	-1.4901161e-08	2.041237	-0.010436896	-0.27598384	1.3564423	0.006447701	0.07225	127.0	1184.2055418491364	37.314667	6.351392	45.949062	19.680922	0.0	0.0
