Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.19758813	0.022683755	-0.17063665	-0.32426178	16000	-1.8626451e-08	0.033988055	-0.0059245145	-0.032288425	1.3564423	0.0063065933	0.06375	127.0	34.36443042755127	0.12618284	0.0950041	0.39228788	0.03314189	0.0	0.0
1	500.0	-0.016465371	0.027090361	0.040757976	-0.09502414	32000	-7.450581e-09	0.0020855758	-0.011544509	-0.0013332841	1.3564423	0.006387795	0.1245	127.0	68.40606474876404	0.22429204	0.15743397	0.6268219	0.044773646	0.0	0.0
2	500.0	0.042054564	0.022797763	0.08683686	-0.03585774	48000	-5.2154064e-08	0.007380659	-0.009480458	-0.002719282	1.3564423	0.007288142	0.0926875	127.0	104.03484416007996	0.5151007	0.3981795	1.8656476	0.080166444	0.0	0.0
3	500.0	0.10282057	0.021634093	0.15932974	0.016147897	64000	0.0	0.009413676	-0.00980535	-0.0031090751	1.3564423	0.0074902475	0.093812495	127.0	138.43057298660278	0.7372169	0.43214086	1.5898547	0.2380719	0.0	0.0
4	500.0	0.16274667	0.027676439	0.25409645	0.07205459	80000	0.0	0.027134597	-0.0056085475	-0.0111047365	1.3564423	0.006515636	0.0619375	127.0	170.84153747558594	1.0739782	0.7062865	3.4861066	0.27371213	0.0	0.0
5	500.0	0.25913033	0.078899324	0.499003	0.07831673	96000	2.9802322e-08	0.3127821	-0.006131891	-0.18140124	1.3564423	0.005357171	0.061875	127.0	203.89461636543274	2.5438516	2.2683928	8.861053	0.5098311	0.0	0.0
6	500.0	0.7060896	0.37149635	1.5390856	0.019278675	112000	-9.313226e-09	0.36909053	-0.0075471257	-0.16522175	1.3564423	0.007899624	0.0940625	127.0	237.1991467475891	3.9492612	2.9004624	11.647161	0.6040521	0.0	0.0
7	500.0	1.1670455	0.6811278	2.6449902	-0.19214487	128000	2.9802322e-08	1.5022321	-0.007820824	-0.701623	1.3564423	0.007076477	0.092437506	127.0	270.3739449977875	6.827986	5.7349443	23.752121	0.5668444	0.0	0.0
8	500.0	2.2886057	1.3032165	5.1243057	-0.74144524	144000	4.656613e-08	2.6877403	-0.007925386	-1.5357177	1.3564423	0.007294884	0.080875	127.0	301.58844089508057	13.095783	7.1908135	26.659983	1.0559614	0.0	0.0
9	500.0	3.7199624	2.3385537	7.4377327	-1.9394833	160000	9.313226e-09	2.4019058	-0.008471448	-0.50933236	1.3564423	0.005765305	0.0735	127.0	334.2635807991028	13.889618	9.289593	32.09792	0.7609756	0.0	0.0
