Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.1926494	0.030758537	-0.16052538	-0.34285992	16000	-1.3038516e-08	0.04438962	-0.0055197915	-0.040062837	1.3564423	0.0057589896	0.045250002	127.0	73.62126755714417	0.28824425	0.26727802	1.255222	0.039311286	0.0	0.0
1	500.0	0.010104075	0.025089886	0.06719529	-0.07123923	32000	4.4703484e-08	0.021565076	-0.00638307	-0.010464974	1.3564423	0.0043455902	0.050812498	127.0	117.6714813709259	0.71556044	0.6199752	2.4823186	0.0994541	0.0	0.0
2	500.0	0.12165521	0.03288453	0.21224312	0.00450249	48000	-1.1175871e-08	0.019488329	-0.007875024	-0.0045065433	1.3564423	0.007360433	0.0755	127.0	161.57728099822998	0.8777902	0.6647933	2.6285994	0.1209782	0.0	0.0
3	500.0	0.1921834	0.037725773	0.31559655	0.06972534	64000	3.3527613e-08	0.096356295	-0.009823449	-0.04104382	1.3564423	0.008198268	0.0995	127.0	216.2413671016693	1.8862172	1.2471313	5.0947886	0.16868158	0.0	0.0
4	500.0	0.45225376	0.080269404	0.7005129	0.20598435	80000	0.0	0.41892093	-0.0057036495	-0.17175962	1.3564423	0.0045999447	0.0510625	127.0	277.75922989845276	3.9928234	2.5463448	10.576628	0.9030421	0.0	0.0
5	500.0	0.8655662	0.17274822	1.4061784	0.38559365	96000	2.2351742e-08	1.0200381	-0.007191983	-0.4174748	1.3564423	0.005659517	0.06925	127.0	320.6492302417755	6.3489766	4.1560516	17.736427	1.8812232	0.0	0.0
6	500.0	1.622388	0.44345686	2.8057802	0.36335033	112000	3.7252903e-09	2.5291393	-0.008474987	-1.0202029	1.3564423	0.006190304	0.07075	127.0	365.96127676963806	10.695788	6.3018646	38.33958	3.3628116	0.0	0.0
7	500.0	2.7012055	1.0490661	4.703034	-0.16231234	128000	7.450581e-09	3.3888078	-0.009086254	-0.7624361	1.3564423	0.0072578224	0.0959375	127.0	427.85328817367554	13.236607	8.307231	40.41933	2.5888932	0.0	0.0
8	500.0	3.62664	1.1663578	5.7036724	0.32269174	144000	-4.4703484e-08	3.1951094	-0.009545006	-1.3099604	1.3564423	0.006547143	0.086687505	127.0	481.4340877532959	20.148996	5.9335604	34.92969	8.416419	0.0	0.0
9	500.0	4.908337	1.4998953	7.150095	0.12163229	160000	-1.1175871e-08	5.534729	-0.008120672	-0.5344929	1.3564423	0.0060226284	0.084125	127.0	535.7795403003693	23.305367	10.309946	58.78302	10.212032	0.0	0.0
10	500.0	5.928966	1.4252616	7.7937136	1.026445	176000	7.450581e-09	5.410673	-0.0069672405	-0.23752317	1.3564423	0.0075279493	0.0696875	127.0	586.904079914093	24.00528	10.304399	57.330853	12.616535	0.0	0.0
11	500.0	5.810533	1.0451479	7.104494	1.4064481	192000	-7.450581e-09	7.583021	-0.0073356973	-0.42451712	1.3564423	0.005818798	0.0671875	127.0	641.8424155712128	27.452383	12.577964	60.553947	9.22118	0.0	0.0
12	500.0	6.321167	1.2491935	7.6629434	1.5184877	208000	-7.450581e-09	8.301506	-0.008523616	-0.44147825	1.3564423	0.008093166	0.07075	127.0	695.4814887046814	30.353577	12.759937	61.02925	9.495993	0.0	0.0
13	500.0	7.065175	1.2638258	8.3103075	1.3907945	224000	2.9802322e-08	11.62685	-0.007111133	-0.54610497	1.3564423	0.005966548	0.05475	127.0	754.970198392868	33.54888	15.751796	73.670235	15.05392	0.0	0.0
14	500.0	7.5488534	1.2844348	8.898677	1.9404224	240000	4.656613e-09	7.802431	-0.006770505	-0.2514866	1.3564423	0.0064516035	0.063374996	127.0	806.2092163562775	35.287354	13.607201	66.148056	14.775118	0.0	0.0
