Epoch	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	Success	StepsAtGoal
0	500.0	-0.17798038	0.032311037	-0.14608994	-0.3379051	16000	-8.940697e-08	0.035443597	-0.0053535393	-0.03289561	1.3564423	0.00587433	0.04525	127.0	41.64825510978699	0.23132932	0.1904793	0.99788547	0.050359	0.0	0.0
1	500.0	0.007708504	0.029897314	0.07079081	-0.09060557	32000	-7.4505806e-08	0.01038336	-0.008448509	-0.0045002396	1.3564423	0.005279668	0.0945625	127.0	79.19132471084595	0.47694105	0.46444982	1.6458566	0.03876419	0.0	0.0
2	500.0	0.115988486	0.0381303	0.21392086	-0.01774311	48000	-3.7252903e-08	0.0630844	-0.008096591	-0.021909384	1.3564423	0.0068554655	0.076749995	127.0	117.29910969734192	1.2979577	1.1436923	3.5198612	0.113956295	0.0	0.0
3	500.0	0.29635876	0.06383197	0.53491706	0.09784466	64000	-2.9802322e-08	0.08374508	-0.009601355	-0.030636929	1.3564423	0.00718166	0.0929375	127.0	163.92691326141357	1.9688858	1.4354558	5.9900527	0.3119589	0.0	0.0
4	500.0	0.5777953	0.13639317	0.9094509	0.17990732	80000	1.6763806e-08	0.5636451	-0.008333329	-0.2672736	1.3564423	0.006299261	0.084875	127.0	199.92250967025757	4.7332497	3.0772026	13.736289	0.4947366	0.0	0.0
5	500.0	1.1503502	0.31870976	2.0217068	0.18150797	96000	2.2351742e-08	2.3791738	-0.008920525	-1.3463011	1.3564423	0.0054041212	0.0744375	127.0	237.10642337799072	10.247276	5.1176066	20.916906	1.7587792	0.0	0.0
6	500.0	2.4705532	0.60669804	3.7880957	0.7238892	112000	-1.4901161e-08	2.0826168	-0.0075803967	-0.5109403	1.3564423	0.006567779	0.071624994	127.0	272.40013003349304	12.133244	6.4080462	32.95817	2.3758261	0.0	0.0
7	500.0	3.2436604	1.2043335	5.3243732	-0.14470813	128000	-4.4703484e-08	3.6090717	-0.008068841	-1.0886589	1.3564423	0.0072336085	0.08575	127.0	311.84861302375793	17.117603	7.0894675	42.946655	5.1198196	0.0	0.0
8	500.0	4.5026503	1.4416366	6.6675167	-0.22336741	144000	-1.3038516e-08	4.938269	-0.009048876	-0.4642289	1.3564423	0.007859888	0.07975	127.0	347.61470127105713	20.346985	9.940292	59.306618	10.449673	0.0	0.0
9	500.0	5.3816476	1.5142094	7.5298033	0.47054946	160000	-3.7252903e-08	3.436872	-0.008787006	-0.27777672	1.3564423	0.0061967713	0.079312496	127.0	385.7380256652832	23.908787	7.819239	45.183674	10.854382	0.0	0.0
10	500.0	5.965911	1.3244399	7.800022	1.8312823	176000	4.4703484e-08	7.206157	-0.0064434316	-0.3587158	1.3564423	0.0055212122	0.053500004	127.0	429.01729917526245	27.024593	12.066543	56.7811	12.925062	0.0	0.0
11	500.0	6.483692	1.215027	7.7946835	1.4751322	192000	-5.5879354e-09	7.6738405	-0.008538901	-0.20141394	1.3564423	0.0075786808	0.0703125	127.0	466.1220736503601	28.152897	12.624612	61.346657	9.928501	0.0	0.0
12	500.0	6.707168	1.2769129	8.177878	1.8543063	208000	-2.7939677e-09	7.694196	-0.006141061	-0.31927428	1.3564423	0.0048019546	0.048375	127.0	507.67318773269653	31.464848	13.199631	78.537346	15.888903	0.0	0.0
13	500.0	7.2405753	1.1842021	8.512215	2.3681026	224000	2.142042e-08	10.508392	-0.0077418745	-0.30847022	1.3564423	0.006908629	0.0690625	127.0	553.2556173801422	32.442284	16.373056	101.96162	16.777433	0.0	0.0
14	500.0	7.407337	1.2266229	8.952204	2.5172734	240000	-7.450581e-09	11.218548	-0.0075791893	-1.0494895	1.3564423	0.007552021	0.0610625	127.0	589.3922002315521	35.70092	15.951961	89.65041	20.045912	0.0	0.0
15	500.0	7.9948387	1.3986245	9.684302	2.3912501	256000	0.0	4.9521546	-0.007532566	-0.39366758	1.3564423	0.00632588	0.055062503	127.0	626.726790189743	32.949787	10.868323	87.367455	20.021763	0.0	0.0
16	500.0	7.778019	1.3501207	9.881646	2.5822186	272000	-1.4901161e-08	16.255558	-0.0064828685	-1.6744801	1.3564423	0.007718863	0.0513125	127.0	671.0335209369659	38.210888	19.488169	92.75481	15.513372	0.0	0.0
17	500.0	8.589175	1.5004506	11.5487175	2.921631	288000	-3.7252903e-08	20.682663	-0.006873003	-4.089004	1.3564423	0.0068483595	0.0641875	127.0	712.6889135837555	43.958145	22.288786	98.68476	21.829266	0.0	0.0
18	500.0	9.989494	2.1312773	14.143173	2.5417743	304000	0.0	11.828026	-0.0069915494	-2.8814263	1.3564423	0.005175748	0.0483125	127.0	749.5939774513245	37.079605	15.05255	94.31613	24.360949	0.0	0.0
19	500.0	8.528305	2.8815365	14.101753	-6.5893006	320000	-7.450581e-09	17.131992	-0.007547686	-3.0469456	1.3564423	0.0053605633	0.0610625	127.0	791.7979776859283	37.52708	18.696402	100.048584	19.162203	0.0	0.0
